Date,Open,High,Low,Close,Adj Close,Volume
2008-07-06,7.168750,7.443750,6.937500,7.050000,6.105592,115426599
2008-07-13,6.987500,7.912500,6.750000,7.543750,6.533200,228275085
2008-07-20,7.618750,8.162500,7.287500,7.356250,6.370817,348347640
2008-07-27,7.050000,7.130000,5.750000,6.050000,5.239551,264816170
2008-08-03,5.950000,5.980000,4.950000,4.990000,4.483438,245727213
2008-08-10,5.010000,5.090000,4.720000,4.940000,4.438514,148336940
2008-08-17,4.960000,4.990000,4.410000,4.710000,4.231863,162495373
2008-08-24,4.750000,4.750000,4.280000,4.550000,4.088105,74327860
2008-08-31,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-09-07,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-09-14,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-09-21,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-09-28,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-10-05,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-10-12,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-10-19,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-10-26,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-11-02,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-11-09,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-11-16,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-11-23,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-11-30,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-12-07,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-12-14,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-12-21,4.550000,4.550000,4.550000,4.550000,4.088105,0
2008-12-28,4.550000,4.550000,4.550000,4.550000,4.088105,0
2009-01-04,4.550000,4.550000,4.550000,4.550000,4.088105,0
2009-01-11,4.550000,4.550000,4.550000,4.550000,4.088105,0
2009-01-18,4.550000,4.550000,4.080000,4.170000,3.746681,86129258
2009-01-25,4.170000,4.170000,4.170000,4.170000,3.746681,0
2009-02-01,4.190000,5.120000,4.140000,5.070000,4.555317,570242665
2009-02-08,5.200000,6.330000,5.140000,5.720000,5.139331,738396636
2009-02-15,6.000000,6.410000,5.480000,6.100000,5.480756,803407360
2009-02-22,6.070000,6.160000,4.810000,4.920000,4.420545,551780581
2009-03-01,4.840000,5.540000,4.800000,5.310000,4.770953,470718213
2009-03-08,5.340000,5.390000,4.870000,5.020000,4.510393,288554834
2009-03-15,5.000000,5.750000,4.950000,5.670000,5.094408,459677562
2009-03-22,5.780000,6.120000,5.470000,5.920000,5.319029,588909305
2009-03-29,5.930000,5.940000,5.510000,5.680000,5.103392,448130642
2009-04-05,5.680000,5.700000,5.350000,5.570000,5.004559,231150213
2009-04-12,5.590000,6.740000,5.510000,6.230000,5.597558,842853407
2009-04-19,6.200000,6.450000,5.800000,5.800000,5.211211,357080670
2009-04-26,5.800000,5.830000,5.360000,5.670000,5.094408,180713246
2009-05-03,5.730000,6.670000,5.700000,6.360000,5.714362,530562940
2009-05-10,6.410000,7.130000,6.010000,6.900000,6.199543,761420180
2009-05-17,6.840000,7.800000,6.640000,7.230000,6.496044,561705368
2009-05-24,7.050000,7.280000,6.800000,7.070000,6.352285,237542608
