날짜,철광석 Fines (Daily) [중국(수입가 CFR)] 현물
2013-06-28,116.55
2013-07-01,118.28
2013-07-02,119.99
2013-07-03,120.59
2013-07-04,124.01
2013-07-05,124.45
2013-07-08,120.21
2013-07-09,123.9
2013-07-10,124.51
2013-07-11,126.43
2013-07-12,127.51
2013-07-15,129.09
2013-07-16,128.41
2013-07-17,130.33
2013-07-18,132.44
2013-07-19,132.36
2013-07-22,131.99
2013-07-23,133.17
2013-07-24,132.89
2013-07-25,132.63
2013-07-26,133.48
2013-07-29,131.59
2013-07-30,131.19
2013-07-31,130.63
2013-08-01,130.43
2013-08-02,130.21
2013-08-05,130.56
2013-08-06,131.96
2013-08-07,133.42
2013-08-08,136.0
2013-08-09,136.32
2013-08-12,140.02
2013-08-13,143.78
2013-08-14,144.18
2013-08-15,142.5
2013-08-16,139.34
2013-08-19,140.09
2013-08-20,139.12
2013-08-21,138.9
2013-08-22,138.74
2013-08-23,139.27
2013-08-26,141.09
2013-08-27,141.25
2013-08-28,142.19
2013-08-29,140.3
2013-08-30,139.63
2013-09-02,139.49
2013-09-03,139.35
2013-09-04,138.86
2013-09-05,137.71
2013-09-06,136.47
2013-09-09,136.39
2013-09-10,136.05
2013-09-11,136.26
2013-09-12,136.69
2013-09-13,136.44
2013-09-16,133.52
2013-09-17,131.41
2013-09-18,132.07
2013-09-19,132.07
2013-09-20,132.07
2013-09-23,132.47
2013-09-24,133.89
2013-09-25,135.61
2013-09-26,135.36
2013-09-27,132.07
2013-09-30,131.41
2013-10-01,131.41
2013-10-02,131.41
2013-10-03,131.41
2013-10-04,131.41
2013-10-07,131.41
2013-10-08,131.97
2013-10-09,132.22
2013-10-10,132.82
2013-10-11,133.34
2013-10-14,134.14
2013-10-15,133.82
2013-10-16,134.79
2013-10-17,134.61
2013-10-18,134.78
2013-10-21,134.51
2013-10-22,133.5
2013-10-23,131.82
2013-10-24,133.95
2013-10-25,133.34
2013-10-28,131.73
2013-10-29,130.35
2013-10-30,131.01
2013-10-31,132.25
2013-11-01,137.26
2013-11-04,135.93
2013-11-05,136.13
2013-11-06,137.28
2013-11-07,136.62
2013-11-08,136.07
2013-11-11,135.93
2013-11-12,135.96
2013-11-13,136.74
2013-11-14,137.86
2013-11-15,137.11
2013-11-18,136.23
2013-11-19,137.83
2013-11-20,137.33
2013-11-21,135.74
2013-11-22,136.48
2013-11-25,136.53
2013-11-26,136.09
2013-11-27,136.5
2013-11-28,137.38
2013-11-29,137.15
2013-12-02,137.31
2013-12-03,138.33
2013-12-04,139.24
2013-12-05,138.4
2013-12-06,138.39
2013-12-09,140.28
2013-12-10,138.86
2013-12-11,139.08
2013-12-12,138.26
2013-12-13,136.76
2013-12-16,134.72
2013-12-17,133.03
2013-12-18,133.0
2013-12-19,132.95
2013-12-20,132.79
2013-12-23,132.94
2013-12-24,132.49
2013-12-25,132.43
2013-12-26,132.68
2013-12-27,132.92
2013-12-30,133.33
2013-12-31,134.69
2014-01-02,134.89
2014-01-03,135.27
2014-01-06,135.1
2014-01-07,133.76
2014-01-08,131.75
2014-01-09,131.26
2014-01-10,131.05
2014-01-13,132.82
2014-01-14,131.06
2014-01-15,129.52
2014-01-16,127.72
2014-01-17,130.47
2014-01-20,128.79
2014-01-21,124.12
2014-01-22,122.46
2014-01-23,124.61
2014-01-24,124.29
2014-01-27,124.48
2014-01-28,123.57
2014-01-29,123.32
2014-01-30,123.02
2014-02-03,123.02
2014-02-04,123.02
2014-02-05,122.94
2014-02-06,122.08
2014-02-07,121.19
2014-02-10,121.07
2014-02-11,120.79
2014-02-12,121.56
2014-02-13,122.47
2014-02-14,121.93
2014-02-17,124.69
2014-02-18,124.1
2014-02-19,123.93
2014-02-20,122.61
2014-02-21,122.14
2014-02-24,120.61
2014-02-25,116.62
2014-02-26,117.33
2014-02-27,117.87
2014-02-28,118.14
2014-03-03,118.06
2014-03-04,115.15
2014-03-05,115.28
2014-03-06,116.44
2014-03-07,113.59
2014-03-10,103.99
2014-03-11,105.97
2014-03-12,107.94
2014-03-13,111.58
2014-03-14,109.66
2014-03-17,109.58
2014-03-19,109.9
2014-03-20,109.88
2014-03-21,110.14
2014-03-24,110.92
2014-03-25,112.11
2014-03-26,111.29
2014-03-27,112.88
2014-03-28,112.76
2014-03-31,116.64
2014-04-01,117.76
2014-04-02,115.8
2014-04-03,115.75
2014-04-04,116.7
2014-04-07,117.02
2014-04-08,119.26
2014-04-09,119.82
2014-04-10,118.73
2014-04-11,117.37
2014-04-14,117.74
2014-04-15,117.18
2014-04-17,117.16
2014-04-21,113.75
2014-04-22,111.28
2014-04-23,113.31
2014-04-24,113.58
2014-04-25,111.54
2014-04-28,108.17
2014-04-29,108.84
2014-04-30,105.9
2014-05-02,106.82
2014-05-05,106.33
2014-05-06,106.29
2014-05-07,106.26
2014-05-08,105.24
2014-05-09,103.03
2014-05-12,102.76
2014-05-14,103.27
2014-05-15,103.81
2014-05-16,100.74
2014-05-19,98.83
2014-05-20,98.18
2014-05-21,98.89
2014-05-22,98.9
2014-05-23,98.29
2014-05-26,98.8
2014-05-27,98.95
2014-05-28,97.84
2014-05-29,97.29
2014-05-30,91.33
2014-06-02,92.58
2014-06-03,92.68
2014-06-04,94.84
2014-06-05,93.79
2014-06-06,94.27
2014-06-09,94.46
2014-06-10,93.51
2014-06-11,94.02
2014-06-12,91.17
2014-06-13,90.81
2014-06-16,89.48
2014-06-17,89.98
2014-06-18,91.28
2014-06-19,91.23
2014-06-20,92.13
2014-06-23,93.74
2014-06-24,92.97
2014-06-25,94.19
2014-06-26,95.72
2014-06-27,95.81
2014-06-30,94.02
2014-07-01,93.77
2014-07-02,95.33
2014-07-03,96.33
2014-07-04,96.11
2014-07-07,95.26
2014-07-08,96.51
2014-07-09,96.47
2014-07-10,96.55
2014-07-11,96.92
2014-07-14,97.67
2014-07-15,97.89
2014-07-16,98.35
2014-07-17,98.1
2014-07-18,96.94
2014-07-21,95.71
2014-07-22,95.36
2014-07-23,93.99
2014-07-24,94.02
2014-07-25,94.65
2014-07-29,96.22
2014-07-30,96.1
2014-07-31,95.63
2014-08-01,95.84
2014-08-04,95.17
2014-08-05,95.73
2014-08-06,96.18
2014-08-07,95.4
2014-08-08,94.99
2014-08-11,95.22
2014-08-12,94.24
2014-08-13,93.59
2014-08-14,93.97
2014-08-15,93.98
2014-08-18,93.35
2014-08-19,93.03
2014-08-20,92.38
2014-08-21,91.77
2014-08-22,90.34
2014-08-25,90.07
2014-08-26,89.02
2014-08-27,88.29
2014-08-28,87.7
2014-08-29,87.62
2014-09-01,87.79
2014-09-02,87.4
2014-09-03,86.09
2014-09-04,85.24
2014-09-05,83.8
2014-09-08,83.98
2014-09-09,83.5
2014-09-10,82.22
2014-09-11,82.64
2014-09-12,82.38
2014-09-15,85.58
2014-09-16,85.06
2014-09-17,84.48
2014-09-18,83.06
2014-09-19,81.02
2014-09-22,80.1
2014-09-23,79.69
2014-09-24,79.9
2014-09-25,78.63
2014-09-26,78.68
2014-09-29,77.97
2014-09-30,78.05
2014-10-01,78.89
2014-10-02,79.6
2014-10-03,79.6
2014-10-07,80.42
2014-10-08,80.18
2014-10-09,78.88
2014-10-10,80.24
2014-10-13,84.17
2014-10-14,83.82
2014-10-15,82.55
2014-10-16,80.32
2014-10-17,80.82
2014-10-20,81.6
2014-10-21,81.83
2014-10-23,80.29
2014-10-24,80.48
2014-10-27,79.52
2014-10-28,79.22
2014-10-29,79.09
2014-10-30,79.82
2014-10-31,79.59
2014-11-03,78.63
2014-11-04,78.01
2014-11-05,76.46
2014-11-06,75.38
2014-11-07,75.84
2014-11-10,75.8
2014-11-11,75.87
2014-11-12,76.2
2014-11-13,75.98
2014-11-14,75.47
2014-11-17,75.08
2014-11-18,71.8
2014-11-19,70.2
2014-11-20,70.97
2014-11-21,70.31
2014-11-24,70.42
2014-11-25,69.58
2014-11-26,68.49
2014-11-27,69.98
2014-11-28,71.32
2014-12-01,71.11
2014-12-02,70.67
2014-12-03,69.25
2014-12-04,71.25
2014-12-05,71.77
2014-12-08,69.8
2014-12-09,69.06
2014-12-10,69.14
2014-12-11,69.37
2014-12-12,68.99
2014-12-15,69.06
2014-12-16,68.58
2014-12-17,68.05
2014-12-18,68.42
2014-12-19,69.17
2014-12-22,67.9
2014-12-23,66.84
2014-12-24,66.94
2014-12-26,67.34
2014-12-29,68.71
2014-12-30,71.15
2014-12-31,71.26
2015-01-02,71.26
2015-01-05,70.87
2015-01-06,71.49
2015-01-07,70.96
2015-01-08,71.36
2015-01-09,71.18
2015-01-12,70.3
2015-01-13,68.74
2015-01-14,68.3
2015-01-15,68.63
2015-01-16,68.61
2015-01-19,68.09
2015-01-20,68.16
2015-01-21,67.81
2015-01-22,66.79
2015-01-23,66.42
2015-01-26,63.54
2015-01-27,63.5
2015-01-28,63.09
2015-01-29,63.27
2015-01-30,62.21
2015-02-02,62.45
2015-02-03,63.18
2015-02-04,62.58
2015-02-05,61.64
2015-02-06,62.49
2015-02-09,61.2
2015-02-10,62.38
2015-02-11,62.18
2015-02-12,62.27
2015-02-13,63.19
2015-02-16,65.28
2015-02-17,63.02
2015-02-18,63.44
2015-02-23,63.44
2015-02-24,64.01
2015-02-25,62.94
2015-02-26,62.37
2015-02-27,62.56
2015-03-02,62.83
2015-03-03,62.24
2015-03-04,61.94
2015-03-05,59.73
2015-03-06,59.49
2015-03-09,58.58
2015-03-10,58.15
2015-03-11,57.61
2015-03-12,57.97
2015-03-13,57.66
2015-03-16,58.9
2015-03-17,56.95
2015-03-18,55.48
2015-03-19,55.0
2015-03-20,54.66
2015-03-23,54.81
2015-03-24,55.86
2015-03-25,55.81
2015-03-26,55.36
2015-03-27,53.14
2015-03-30,52.69
2015-03-31,51.35
2015-04-01,49.53
2015-04-02,47.08
2015-04-06,47.08
2015-04-07,48.06
2015-04-08,48.05
2015-04-09,48.34
2015-04-10,47.53
2015-04-13,48.82
2015-04-14,50.78
2015-04-15,50.33
2015-04-16,49.78
2015-04-17,50.93
2015-04-20,51.57
2015-04-21,51.04
2015-04-22,54.04
2015-04-23,54.82
2015-04-24,57.81
2015-04-27,59.09
2015-04-28,59.88
2015-04-29,57.13
2015-04-30,56.18
2015-05-04,57.55
2015-05-05,58.7
2015-05-06,60.89
2015-05-07,60.36
2015-05-08,61.4
2015-05-11,63.02
2015-05-12,62.88
2015-05-13,62.58
2015-05-14,62.3
2015-05-15,61.31
2015-05-18,60.65
2015-05-19,58.53
2015-05-20,57.12
2015-05-21,57.91
2015-05-22,59.96
2015-05-25,61.18
2015-05-26,62.78
2015-05-27,63.1
2015-05-28,62.33
2015-05-29,61.85
2015-06-02,63.02
2015-06-03,63.33
2015-06-04,64.77
2015-06-05,64.45
2015-06-08,64.34
2015-06-09,64.27
2015-06-10,65.39
2015-06-11,65.61
2015-06-12,65.13
2015-06-15,64.25
2015-06-16,62.91
2015-06-17,61.51
2015-06-18,61.77
2015-06-19,61.36
2015-06-22,60.02
2015-06-23,61.34
2015-06-24,62.53
2015-06-25,62.19
2015-06-26,62.01
2015-06-29,61.29
2015-06-30,59.35
2015-07-01,59.2
2015-07-02,55.63
2015-07-03,55.26
2015-07-06,52.28
2015-07-07,49.6
2015-07-08,44.59
2015-07-09,48.99
2015-07-10,50.1
2015-07-13,50.3
2015-07-14,50.06
2015-07-15,50.55
2015-07-16,50.66
2015-07-20,52.39
2015-07-21,52.1
2015-07-22,51.76
2015-07-23,51.72
2015-07-24,51.42
2015-07-27,52.35
2015-07-28,53.45
2015-07-29,55.89
2015-07-30,55.64
2015-07-31,53.41
2015-08-03,55.63
2015-08-04,55.29
2015-08-05,56.78
2015-08-06,56.4
2015-08-11,56.22
2015-08-12,56.31
2015-08-13,57.02
2015-08-14,56.74
2015-08-17,56.66
2015-08-18,56.92
2015-08-19,56.41
2015-08-20,55.84
2015-08-21,56.1
2015-08-24,53.28
2015-08-25,53.45
2015-08-26,53.67
2015-08-27,53.93
2015-08-28,56.04
2015-08-31,56.21
2015-09-01,56.59
2015-09-02,56.7
2015-09-03,56.5
2015-09-04,56.5
2015-09-07,56.85
2015-09-08,57.42
2015-09-09,58.18
2015-09-10,59.01
2015-09-14,58.1
2015-09-15,57.28
2015-09-16,57.21
2015-09-17,57.37
2015-09-18,57.69
2015-09-21,57.3
2015-09-22,56.21
2015-09-23,55.3
2015-09-25,56.98
2015-09-28,56.86
2015-09-29,56.05
2015-09-30,56.32
2015-10-01,56.04
2015-10-02,53.14
2015-10-05,53.14
2015-10-06,53.14
2015-10-07,53.14
2015-10-08,55.97
2015-10-09,56.01
2015-10-12,56.61
2015-10-13,54.97
2015-10-14,55.12
2015-10-15,53.74
2015-10-16,53.76
2015-10-19,53.3
2015-10-20,52.93
2015-10-21,52.79
2015-10-22,52.18
