품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","주요 중국 철광석 항구재고량mmt","Bloomberg(DJ-UBS) Commodity Index1991=100","Bloomberg Commodity Total Return1991=100","TR/CC CRB Index1967=100","S&P GSCI1970=100","GSCI Energy1970=100","GSCI Petroleum1970=100","GSCI Non-Energy1970=100","GSCI Industrial Metals1970=100","GSCI Precious Metals1970=100","Reuters Index of Commodity Prices1931.09.18=100","PDS 원자재 지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000"
20180716,64.32,#N/A,82.83,170.7,191.13,450.73,226.89,248.88,316.55,342.93,1625.1,2265.84,119.71,114.71,283.96,#N/A,#N/A,#N/A,#N/A
20180709,63.85,153.51,84.63,174.36,195.42,469.19,239.2,262.76,320.63,349.83,1641.82,2285.87,122.08,114.5,291.69,2489.68,407.99,2045.79,789.08
20180702,64.05,153.42,85.85,176.79,197.31,479.98,244.8,268.86,327.75,357.94,1638.05,2316.91,123.12,114.28,290.51,2517.35,413.38,2074.21,794.44
20180625,65.23,155.79,86.81,178.7,198.16,477.91,241.55,264.78,332.11,371.8,1647.08,2318.63,121.65,114.27,286.59,2524.66,410.1,2130.06,794.34
20180618,66.13,154.9,86.95,178.91,195.38,465.2,228.23,249.45,338.25,378.8,1669.94,2349.63,122.9,114.15,282.82,2494.52,392.17,2158.71,803.65
20180611,67.37,157.23,89.29,183.66,198.97,473.52,231.6,253.27,349.46,395.67,1701.86,2391.26,124.41,113.03,291.08,2553.97,395,2233.1,831.04
20180604,66.3,159.15,89.79,184.61,199.32,473.52,231.04,252.84,350.95,400.66,1702.16,2374.81,124.39,112.71,289.67,2564.18,393.09,2240.92,843.39
20180528,65.29,160.4,90.54,186.11,202.42,479.83,235.5,257.89,351.98,388.82,1702.82,2340.58,124.83,111.86,287.82,2587.32,399.74,2202.49,859.77
20180521,64.66,158.89,91.28,187.55,205.45,491.31,244.9,268.64,350.48,387.55,1701.23,2323.04,126.18,110.81,297.2,2621.39,413.82,2197.86,858.72
20180514,67.93,157.56,90.28,185.43,203.65,488.55,244.83,268.86,345.07,387.34,1700.78,2281,124.83,110.43,294.45,2595.38,412.5,2190.26,839.51
