날짜,철광석 Fines (Daily) [중국(수입가 CFR)] 현물
20130628,116.55
20130701,118.28
20130702,119.99
20130703,120.59
20130704,124.01
20130705,124.45
20130708,120.21
20130709,123.9
20130710,124.51
20130711,126.43
20130712,127.51
20130715,129.09
20130716,128.41
20130717,130.33
20130718,132.44
20130719,132.36
20130722,131.99
20130723,133.17
20130724,132.89
20130725,132.63
20130726,133.48
20130729,131.59
20130730,131.19
20130731,130.63
20130801,130.43
20130802,130.21
20130805,130.56
20130806,131.96
20130807,133.42
20130808,136.0
20130809,136.32
20130812,140.02
20130813,143.78
20130814,144.18
20130815,142.5
20130816,139.34
20130819,140.09
20130820,139.12
20130821,138.9
20130822,138.74
20130823,139.27
20130826,141.09
20130827,141.25
20130828,142.19
20130829,140.3
20130830,139.63
20130902,139.49
20130903,139.35
20130904,138.86
20130905,137.71
20130906,136.47
20130909,136.39
20130910,136.05
20130911,136.26
20130912,136.69
20130913,136.44
20130916,133.52
20130917,131.41
20130918,132.07
20130919,132.07
20130920,132.07
20130923,132.47
20130924,133.89
20130925,135.61
20130926,135.36
20130927,132.07
20130930,131.41
20131001,131.41
20131002,131.41
20131003,131.41
20131004,131.41
20131007,131.41
20131008,131.97
20131009,132.22
20131010,132.82
20131011,133.34
20131014,134.14
20131015,133.82
20131016,134.79
20131017,134.61
20131018,134.78
20131021,134.51
20131022,133.5
20131023,131.82
20131024,133.95
20131025,133.34
20131028,131.73
20131029,130.35
20131030,131.01
20131031,132.25
20131101,137.26
20131104,135.93
20131105,136.13
20131106,137.28
20131107,136.62
20131108,136.07
20131111,135.93
20131112,135.96
20131113,136.74
20131114,137.86
20131115,137.11
20131118,136.23
20131119,137.83
20131120,137.33
20131121,135.74
20131122,136.48
20131125,136.53
20131126,136.09
20131127,136.5
20131128,137.38
20131129,137.15
20131202,137.31
20131203,138.33
20131204,139.24
20131205,138.4
20131206,138.39
20131209,140.28
20131210,138.86
20131211,139.08
20131212,138.26
20131213,136.76
20131216,134.72
20131217,133.03
20131218,133.0
20131219,132.95
20131220,132.79
20131223,132.94
20131224,132.49
20131225,132.43
20131226,132.68
20131227,132.92
20131230,133.33
20131231,134.69
20140102,134.89
20140103,135.27
20140106,135.1
20140107,133.76
20140108,131.75
20140109,131.26
20140110,131.05
20140113,132.82
20140114,131.06
20140115,129.52
20140116,127.72
20140117,130.47
20140120,128.79
20140121,124.12
20140122,122.46
20140123,124.61
20140124,124.29
20140127,124.48
20140128,123.57
20140129,123.32
20140130,123.02
20140203,123.02
20140204,123.02
20140205,122.94
20140206,122.08
20140207,121.19
20140210,121.07
20140211,120.79
20140212,121.56
20140213,122.47
20140214,121.93
20140217,124.69
20140218,124.1
20140219,123.93
20140220,122.61
20140221,122.14
20140224,120.61
20140225,116.62
20140226,117.33
20140227,117.87
20140228,118.14
20140303,118.06
20140304,115.15
20140305,115.28
20140306,116.44
20140307,113.59
20140310,103.99
20140311,105.97
20140312,107.94
20140313,111.58
20140314,109.66
20140317,109.58
20140319,109.9
20140320,109.88
20140321,110.14
20140324,110.92
20140325,112.11
20140326,111.29
20140327,112.88
20140328,112.76
20140331,116.64
20140401,117.76
20140402,115.8
20140403,115.75
20140404,116.7
20140407,117.02
20140408,119.26
20140409,119.82
20140410,118.73
20140411,117.37
20140414,117.74
20140415,117.18
20140417,117.16
20140421,113.75
20140422,111.28
20140423,113.31
20140424,113.58
20140425,111.54
20140428,108.17
20140429,108.84
20140430,105.9
20140502,106.82
20140505,106.33
20140506,106.29
20140507,106.26
20140508,105.24
20140509,103.03
20140512,102.76
20140514,103.27
20140515,103.81
20140516,100.74
20140519,98.83
20140520,98.18
20140521,98.89
20140522,98.9
20140523,98.29
20140526,98.8
20140527,98.95
20140528,97.84
20140529,97.29
20140530,91.33
20140602,92.58
20140603,92.68
20140604,94.84
20140605,93.79
20140606,94.27
20140609,94.46
20140610,93.51
20140611,94.02
20140612,91.17
20140613,90.81
20140616,89.48
20140617,89.98
20140618,91.28
20140619,91.23
20140620,92.13
20140623,93.74
20140624,92.97
20140625,94.19
20140626,95.72
20140627,95.81
20140630,94.02
20140701,93.77
20140702,95.33
20140703,96.33
20140704,96.11
20140707,95.26
20140708,96.51
20140709,96.47
20140710,96.55
20140711,96.92
20140714,97.67
20140715,97.89
20140716,98.35
20140717,98.1
20140718,96.94
20140721,95.71
20140722,95.36
20140723,93.99
20140724,94.02
20140725,94.65
20140729,96.22
20140730,96.1
20140731,95.63
20140801,95.84
20140804,95.17
20140805,95.73
20140806,96.18
20140807,95.4
20140808,94.99
20140811,95.22
20140812,94.24
20140813,93.59
20140814,93.97
20140815,93.98
20140818,93.35
20140819,93.03
20140820,92.38
20140821,91.77
20140822,90.34
20140825,90.07
20140826,89.02
20140827,88.29
20140828,87.7
20140829,87.62
20140901,87.79
20140902,87.4
20140903,86.09
20140904,85.24
20140905,83.8
20140908,83.98
20140909,83.5
20140910,82.22
20140911,82.64
20140912,82.38
20140915,85.58
20140916,85.06
20140917,84.48
20140918,83.06
20140919,81.02
20140922,80.1
20140923,79.69
20140924,79.9
20140925,78.63
20140926,78.68
20140929,77.97
20140930,78.05
20141001,78.89
20141002,79.6
20141003,79.6
20141007,80.42
20141008,80.18
20141009,78.88
20141010,80.24
20141013,84.17
20141014,83.82
20141015,82.55
20141016,80.32
20141017,80.82
20141020,81.6
20141021,81.83
20141023,80.29
20141024,80.48
20141027,79.52
20141028,79.22
20141029,79.09
20141030,79.82
20141031,79.59
20141103,78.63
20141104,78.01
20141105,76.46
20141106,75.38
20141107,75.84
20141110,75.8
20141111,75.87
20141112,76.2
20141113,75.98
20141114,75.47
20141117,75.08
20141118,71.8
20141119,70.2
20141120,70.97
20141121,70.31
20141124,70.42
20141125,69.58
20141126,68.49
20141127,69.98
20141128,71.32
20141201,71.11
20141202,70.67
20141203,69.25
20141204,71.25
20141205,71.77
20141208,69.8
20141209,69.06
20141210,69.14
20141211,69.37
20141212,68.99
20141215,69.06
20141216,68.58
20141217,68.05
20141218,68.42
20141219,69.17
20141222,67.9
20141223,66.84
20141224,66.94
20141226,67.34
20141229,68.71
20141230,71.15
20141231,71.26
20150102,71.26
20150105,70.87
20150106,71.49
20150107,70.96
20150108,71.36
20150109,71.18
20150112,70.3
20150113,68.74
20150114,68.3
20150115,68.63
20150116,68.61
20150119,68.09
20150120,68.16
20150121,67.81
20150122,66.79
20150123,66.42
20150126,63.54
20150127,63.5
20150128,63.09
20150129,63.27
20150130,62.21
20150202,62.45
20150203,63.18
20150204,62.58
20150205,61.64
20150206,62.49
20150209,61.2
20150210,62.38
20150211,62.18
20150212,62.27
20150213,63.19
20150216,65.28
20150217,63.02
20150218,63.44
20150223,63.44
20150224,64.01
20150225,62.94
20150226,62.37
20150227,62.56
20150302,62.83
20150303,62.24
20150304,61.94
20150305,59.73
20150306,59.49
20150309,58.58
20150310,58.15
20150311,57.61
20150312,57.97
20150313,57.66
20150316,58.9
20150317,56.95
20150318,55.48
20150319,55.0
20150320,54.66
20150323,54.81
20150324,55.86
20150325,55.81
20150326,55.36
20150327,53.14
20150330,52.69
20150331,51.35
20150401,49.53
20150402,47.08
20150406,47.08
20150407,48.06
20150408,48.05
20150409,48.34
20150410,47.53
20150413,48.82
20150414,50.78
20150415,50.33
20150416,49.78
20150417,50.93
20150420,51.57
20150421,51.04
20150422,54.04
20150423,54.82
20150424,57.81
20150427,59.09
20150428,59.88
20150429,57.13
20150430,56.18
20150504,57.55
20150505,58.7
20150506,60.89
20150507,60.36
20150508,61.4
20150511,63.02
20150512,62.88
20150513,62.58
20150514,62.3
20150515,61.31
20150518,60.65
20150519,58.53
20150520,57.12
20150521,57.91
20150522,59.96
20150525,61.18
20150526,62.78
20150527,63.1
20150528,62.33
20150529,61.85
20150602,63.02
20150603,63.33
20150604,64.77
20150605,64.45
20150608,64.34
20150609,64.27
20150610,65.39
20150611,65.61
20150612,65.13
20150615,64.25
20150616,62.91
20150617,61.51
20150618,61.77
20150619,61.36
20150622,60.02
20150623,61.34
20150624,62.53
20150625,62.19
20150626,62.01
20150629,61.29
20150630,59.35
20150701,59.2
20150702,55.63
20150703,55.26
20150706,52.28
20150707,49.6
20150708,44.59
20150709,48.99
20150710,50.1
20150713,50.3
20150714,50.06
20150715,50.55
20150716,50.66
20150720,52.39
20150721,52.1
20150722,51.76
20150723,51.72
20150724,51.42
20150727,52.35
20150728,53.45
20150729,55.89
20150730,55.64
20150731,53.41
20150803,55.63
20150804,55.29
20150805,56.78
20150806,56.4
20150811,56.22
20150812,56.31
20150813,57.02
20150814,56.74
20150817,56.66
20150818,56.92
20150819,56.41
20150820,55.84
20150821,56.1
20150824,53.28
20150825,53.45
20150826,53.67
20150827,53.93
20150828,56.04
20150831,56.21
20150901,56.59
20150902,56.7
20150903,56.5
20150904,56.5
20150907,56.85
20150908,57.42
20150909,58.18
20150910,59.01
20150914,58.1
20150915,57.28
20150916,57.21
20150917,57.37
20150918,57.69
20150921,57.3
20150922,56.21
20150923,55.3
20150925,56.98
20150928,56.86
20150929,56.05
20150930,56.32
20151001,56.04
20151002,53.14
20151005,53.14
20151006,53.14
20151007,53.14
20151008,55.97
20151009,56.01
20151012,56.61
20151013,54.97
20151014,55.12
20151015,53.74
20151016,53.76
20151019,53.3
20151020,52.93
20151021,52.79
20151022,52.18
20151023,51.62
20151026,51.03
20151027,51.5
20151028,49.95
20151029,49.65
20151030,49.83
20151102,49.5
20151103,49.11
20151104,49.18
20151105,48.71
20151106,48.21
20151109,48.24
20151111,48.58
20151112,47.81
20151113,48.14
20151116,47.74
20151117,45.58
20151118,46.35
20151119,45.44
20151120,44.91
20151123,44.75
20151124,43.89
20151125,44.07
20151126,43.98
20151127,44.5
20151130,42.97
20151201,42.24
20151202,41.13
20151203,40.75
20151204,40.03
20151207,39.06
20151208,38.65
20151209,39.08
20151210,38.52
20151211,38.3
20151214,39.06
20151215,39.36
20151216,39.18
20151217,39.43
20151218,40.1
20151221,40.46
20151222,40.8
20151223,40.82
20151224,41.0
20151228,41.3
20151229,42.31
20151230,43.42
20151231,43.57
20160104,44.37
20160105,43.11
20160106,42.91
20160107,42.65
20160108,42.13
20160111,41.31
20160112,41.19
20160113,39.51
20160114,40.22
20160115,41.12
20160118,42.66
20160119,42.78
20160120,41.61
20160121,41.29
20160122,42.2
20160125,41.57
20160126,41.08
20160127,42.43
20160128,41.92
20160129,41.72
20160201,43.02
20160202,43.84
20160203,44.63
20160204,45.52
20160205,45.73
20160210,45.73
20160211,45.73
20160212,45.73
20160215,46.26
20160216,46.78
20160217,46.35
20160218,47.14
20160219,48.52
20160222,51.52
20160223,51.6
20160224,51.64
20160225,49.75
20160226,48.29
20160229,49.62
20160301,51.44
20160302,52.5
20160303,51.2
20160304,53.75
20160307,63.74
20160308,63.63
20160309,58.02
20160310,57.92
20160311,57.09
20160314,55.55
20160315,52.88
20160316,53.57
20160317,56.09
20160318,57.5
20160321,58.82
20160322,58.36
20160323,57.87
20160324,56.37
20160328,55.76
20160329,55.11
20160330,54.18
20160331,53.75
20160401,54.8
20160404,54.8
20160405,54.75
20160406,54.57
20160407,54.7
20160408,54.03
20160411,56.62
20160412,59.22
20160413,60.48
20160414,59.38
20160415,58.28
20160418,60.36
20160419,62.85
20160420,64.77
20160421,70.46
20160422,66.33
20160425,66.07
20160426,62.78
20160427,61.09
20160428,62.9
20160429,66.24
20160503,63.41
20160504,60.09
20160505,60.25
20160506,58.29
20160509,54.99
20160510,55.26
20160511,55.57
20160512,55.05
20160513,54.54
20160516,54.34
20160517,55.78
20160518,56.78
20160519,53.47
20160520,54.89
20160523,51.22
20160524,51.36
20160525,50.41
20160526,49.48
20160527,51.15
20160530,50.27
20160531,50.15
20160601,48.4
20160602,48.18
20160603,50.08
20160606,51.11
20160607,52.54
20160608,52.56
20160609,52.56
20160610,52.56
20160613,52.91
20160614,50.57
20160615,50.65
20160616,50.7
20160617,51.05
20160620,51.06
20160621,50.87
20160622,52.29
20160623,51.89
20160624,50.61
20160627,53.86
20160628,53.65
20160629,53.89
20160630,55.66
20160701,54.33
20160704,56.22
20160705,55.93
20160706,55.93
20160707,55.07
20160708,55.17
20160711,55.68
20160712,59.38
20160713,59.15
20160714,58.47
20160715,58.42
20160718,56.86
20160719,56.02
20160720,55.75
20160721,57.17
20160722,55.87
20160725,56.86
20160726,58.08
20160727,58.63
20160728,60.7
20160729,59.37
20160801,62.27
20160802,61.94
20160803,61.67
20160804,59.5
20160805,60.74
20160808,61.56
20160810,60.58
20160811,59.36
20160812,60.37
20160815,60.22
20160816,62.03
20160817,60.87
20160818,60.71
20160819,60.95
20160822,61.23
20160823,61.75
20160824,61.7
20160825,61.44
20160826,59.13
20160829,59.14
20160830,59.31
20160831,58.97
20160901,58.86
20160902,59.39
20160905,59.24
