,target,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,64.66,91.28,187.55,6862.7,14638.0,2197.86,2264.8,169.6725,2443.2,65.97
1,67.93,90.28,185.43,6809.1,14510.0,2190.26,2299.0,169.144,2340.5,64.69
2,66.95,90.02,184.83,6809.75,13862.5,2201.81,2319.88,169.5475,2306.13,64.05
3,66.43,89.62,183.95,6793.1,13814.0,2178.33,2283.2,169.28,2310.8,64.21
4,66.5,89.26,183.14,6910.6,14069.0,2200.04,2275.0,170.44799999999998,2331.6,66.68
5,65.97,89.67,183.9,6882.5,14711.0,2266.0,2465.6,170.18,2354.9,70.66
6,64.69,88.89,182.25,6834.3,13654.0,2146.02,2216.6,169.62400000000002,2369.6,74.45
7,64.05,86.92,178.15,6712.75,13198.75,2150.72,1979.5,168.81,2386.75,78.99
8,64.21,87.19,178.64,6607.0,13011.25,2160.03,2015.75,170.752,2394.38,78.51
9,66.68,87.04,178.28,6731.0,13337.0,2161.9,2061.6,169.21200000000002,2364.0,77.61
10,70.66,87.58,179.32,6912.7,13781.0,2181.62,2080.9,168.63,2403.1,76.52
11,74.45,88.26,180.65,6865.9,13376.0,2191.13,2108.9,169.69400000000002,2402.3,73.5
12,78.99,88.42,180.94,6965.4,13711.0,2215.06,2161.3,170.3425,2524.0,75.47
13,78.51,88.41,180.85,7045.7,13643.0,2246.62,2219.8,169.97799999999998,2559.0,75.69
14,77.61,87.51,178.95,6982.7,13598.0,2263.85,2148.9,171.5567,2572.0,78.33
15,76.52,87.3,178.46,6941.8,13279.0,2218.07,2177.9,172.53599999999997,2580.2,75.76
16,73.5,89.94,183.82,7060.9,13687.0,2271.17,2230.2,168.96400000000003,2648.1,73.48
17,75.47,89.94,183.76,7014.5,13183.0,2275.51,2228.0,167.13,2610.8,74.02
18,75.69,88.62,181.03,7075.2,12543.0,2245.17,2213.5,165.21200000000002,2573.7,70.47
19,78.33,88.22,180.09,7102.1,12674.0,2230.47,2174.8,164.0275,2575.6,69.77
20,75.76,88.38,180.42,7149.0,12567.5,2239.74,2233.13,163.8225,2571.75,68.24
21,73.48,87.43,178.44,7171.0,12065.0,2212.8,2229.0,164.1767,2500.17,65.35
22,74.02,85.03,173.49,6922.0,11837.0,2150.9,2089.2,164.6,2530.4,62.28
23,70.47,83.8,170.94,6661.0,11065.0,2089.74,2009.1,164.79,2502.4,62.64
24,69.77,84.54,172.4,6612.0,11004.0,2087.38,2023.8,164.59599999999998,2499.6,59.26
25,68.24,86.45,176.26,6788.7,11330.0,2142.54,2070.2,164.532,2461.4,61.64
26,65.35,86.68,176.67,6863.1,11697.0,2160.47,2081.7,165.14,2453.4,62.25
27,62.28,86.36,175.98,6759.7,11831.0,2151.31,2090.0,167.872,2446.4,61.19
28,62.64,87.61,178.5,6830.3,12543.0,2166.32,2110.9,168.03799999999998,2504.6,61.97
29,59.26,86.49,176.17,6862.5,12247.0,2168.45,2157.6,169.032,2445.6,63.42
30,61.64,85.87,174.86,6959.9,11754.0,2165.48,2144.2,170.27200000000002,2476.9,67.98
31,62.25,85.49,174.06,7001.8,11788.0,2171.53,2129.8,171.5075,2509.6,74.71
32,61.19,84.94,172.9,6720.8,11092.0,2173.8,2129.9,172.46,2531.9,76.61
33,61.97,83.98,170.92,6501.0,10526.0,2136.99,2113.3,172.03799999999998,2542.3,77.13
34,63.42,84.81,172.56,6431.0,10427.0,2125.9,2114.8,172.03799999999998,2489.4,78.59
35,67.98,85.03,172.98,6462.3,10971.0,2143.6,2125.8,172.114,2428.5,74.94
36,74.71,84.99,172.86,6548.2,11368.0,2159.52,2079.9,173.102,2270.1,75.88
37,76.61,85.38,173.62,6852.7,12014.0,2193.58,2078.8,172.454,2322.8,73.32
38,77.13,83.93,170.63,6780.0,11728.75,2173.07,2096.38,169.87400000000002,2368.5,69.34
39,78.59,83.22,169.16,6588.9,11473.0,2139.52,2094.6,170.13400000000001,2354.2,68.22
40,74.94,82.82,168.33,6415.8,10576.0,2112.12,2072.2,170.535,2385.6,65.03
41,75.88,83.86,170.4,6386.4,10532.0,2087.06,1996.7,168.486,2350.4,63.11
42,73.32,83.69,170.02,6313.5,10237.0,2049.18,1895.3,166.638,2323.4,62.92
43,69.34,83.63,169.86,6199.2,9929.0,2030.0,1902.7,165.532,2269.7,56.57
44,68.22,83.23,169.0,5958.7,9599.0,1995.25,1898.8,166.726,2233.9,54.73
45,65.03,82.53,167.55,5843.5,9128.0,1969.36,1897.0,168.87599999999998,2285.5,55.63
46,63.11,82.41,167.28,5839.3,9120.0,1971.31,1915.9,169.07,2267.4,57.56
47,62.92,81.01,164.4,5839.0,9156.0,1989.73,1881.7,166.81799999999998,2263.1,60.77
48,56.57,79.9,162.11,5704.1,8969.0,1958.73,1871.2,166.562,2143.9,61.69
49,54.73,81.26,164.84,5677.6,8842.0,1953.58,1875.3,165.74,2066.0,60.67
50,55.63,82.21,166.73,5617.8,8819.0,1976.41,1903.6,165.5925,2073.1,66.08
51,57.56,82.71,167.72,5604.88,8845.0,1985.84,1927.38,164.662,2083.0,66.89
52,60.77,84.43,171.17,5667.2,9174.0,1987.91,1943.4,163.05,2082.2,65.53
53,61.69,83.84,169.95,5566.2,9135.0,1960.32,1917.1,163.028,2091.5,71.45
54,60.67,82.73,167.68,5514.9,9230.0,1932.09,1878.0,163.935,2175.6,79.34
55,66.08,83.34,168.87,5614.13,9177.5,1964.19,1910.38,164.125,2210.5,81.6
56,66.89,83.85,169.89,5663.4,9287.0,2001.71,1942.6,164.218,2207.2,87.1
57,65.53,84.88,171.94,5608.38,9443.75,2008.33,1919.13,165.558,2158.88,90.46
58,71.45,86.02,174.23,5704.25,9888.75,2022.42,1908.38,165.206,2257.0,88.05
59,79.34,85.45,173.04,5798.1,10054.0,2042.15,1946.8,162.974,2292.8,91.71
60,81.6,85.07,172.25,5800.8,9835.0,2051.4,1933.4,162.42600000000002,2314.2,92.67
61,87.1,84.76,171.6,5788.3,9990.0,2034.89,1913.3,163.308,2318.5,91.08
62,90.46,84.56,171.17,5838.2,10182.0,1999.69,1878.4,166.34799999999998,2247.8,83.58
63,88.05,85.52,173.08,5762.9,10493.0,1988.91,1867.7,166.96400000000003,2233.6,83.05
64,91.71,87.47,177.01,5961.4,10914.0,2053.54,1915.0,165.335,2267.3,82.6
65,92.67,87.57,177.19,5976.8,10818.0,2047.44,1877.7,166.794,2270.0,81.73
66,91.08,88.57,179.21,6045.2,10797.0,2054.12,1875.0,167.016,2347.4,79.82
67,83.58,88.4,178.84,5837.6,10400.0,2032.14,1826.0,167.53400000000002,2367.8,77.59
68,83.05,87.9,177.81,5889.6,9986.0,2007.49,1813.4,169.2875,2330.9,79.85
69,82.6,88.39,178.78,5851.6,9623.0,1994.23,1850.8,171.025,2374.9,78.86
70,81.73,88.47,178.92,5753.1,10071.0,1987.4,1817.8,171.878,2302.2,81.83
71,79.82,87.49,176.92,5690.5,10244.0,1961.61,1760.3,173.78,2155.9,80.81
72,77.59,87.04,175.99,5558.0,10148.75,1904.18,1708.63,173.296,2032.63,77.27
73,79.85,87.63,177.18,5500.33,10061.67,1870.04,1717.67,173.158,2015.17,75.53
74,78.86,86.35,174.56,5490.6,10774.0,1883.29,1729.5,171.52200000000002,2143.0,73.84
75,81.83,87.54,176.95,5717.8,11285.0,1944.22,1745.0,168.882,2321.2,72.13
76,80.81,87.91,177.69,5854.6,11490.0,1963.62,1729.6,169.71,2320.4,65.1
