date,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,Bloomberg(DJ-UBS) Commodity Index1991=100,Bloomberg Commodity Total Return1991=100,TR/CC CRB Index1967=100,S&P GSCI1970=100,GSCI Energy1970=100,GSCI Petroleum1970=100,GSCI Non-Energy1970=100,GSCI Reduced Energy Index (CPW 2)1970=100,GSCI Light Energy Index (CPW 4)1970=100,GSCI Industrial Metals1970=100,GSCI Precious Metals1970=100,GSCI Agriculture1970=100,GSCI Livestock1970=100,GSCI Softs1970=100,Reuters Index of Commodity Prices1931.09.18=100,CRB BLS Spot Index1967=100,PDS 원자재 지수2015.01.02=100,PDS 귀금속 하위지수2015.01.02=100,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,PDS 에너지 하위지수2015.01.02=100,PDS 비철금속 하위지수2015.01.02=100,PDS 철강 하위지수2015.01.02=100,PDS 석유화학 하위지수2015.01.02=100,PDS 농산물 하위지수2015.01.02=100,LMEX Index1999.04=1000,US Dollar IndexMar 1973=100,DRAMeXchange Index (DXI)2001.10.01=1000,TOCOM Index2002.05.31=100,Rogers International Commodities Index1998.07.31=1000,Rogers International Commodities Index Energy1998.07.31=1000,Rogers International Commodities Index Metals1998.07.31=1000,Rogers International Commodities Index Agriculture1998.07.31=1000,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,Baltic Dry Index (BDI)1985.01.04,Baltic Capesize Index (BCI)1999.03.01,Baltic Panamax Index (BPI)1998.05.06,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Supramax index (BSI)2005.01.01,Baltic Handysize Index (BHSI)2006.05.23,SSY/Pacific Capesize Index1997.1.6=4114,SSY/Atlantic Capesize Index1997.1.6=5000,Howe Robinson Container Index1997.1.15=1000,China Containerized Freight Index (CCFI)1998.1.1=1000,Shanghai Containerized Freight Index (SCFI)2009.10.16=1000,China Coastal Bulk Freight Index (CBFI)2000.1.1=1000,China Newbuilding Price Index (CNPI)2011.07.01=1000,China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000,China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000,China Container Newbuilding Price Index (CNCPI)2011.07.01=1000,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,USD/KRW (미국 달러 / 한국 원),CNY/KRW (중국 인민폐 / 한국 원),USD/CNY (미국 달러 / 중국 인민폐)
2013-07-05,124.45,125.54,252.7,280.72,634.02,337.35,370.95,377.28,562.61,494.28,328.22,1620.15,378.09,313.2,101.0,2704.91,469.5,,,124.45,,,,,,2931.3,78.5477,5275.69,330.81,3509.66,835.64,2061.1,1069.79,124.45,1099.0,1929.0,1008.0,555.0,603.0,924.0,568.0,,,,1034.91,1118.0,,,,,,124.45,1140.2,186.13,6.13215
2013-07-08,120.21,126.93,255.49,282.64,634.83,337.03,370.13,380.04,564.04,496.24,332.41,1649.93,381.96,309.25,101.51,2702.1,470.17,,,120.21,,,,,,2966.0,78.4953,5263.74,334.53,3527.65,836.3,2096.5,1073.68,120.21,1115.0,1977.0,1002.0,559.0,606.0,920.0,568.0,5382.0,6642.0,,1034.91,1118.0,,,,,,120.21,1141.7,186.17,6.132629
2013-07-09,123.9,127.27,256.19,283.6,637.17,337.75,371.26,383.04,566.63,499.01,328.92,1664.44,389.72,308.32,101.68,2698.35,470.96,,,123.9,,,,,,2931.7,78.66,5230.12,338.73,3545.89,838.0,2086.29,1090.52,123.9,1120.0,2012.0,1006.0,561.0,609.0,911.0,566.0,5382.0,6642.0,,1034.91,1118.0,,,,,,123.9,1151.4,187.71,6.131702
2013-07-10,124.51,128.3,258.26,286.17,644.31,342.38,376.44,384.77,572.17,503.1,334.26,1666.95,390.95,306.93,101.66,2713.8,471.81,,,124.51,,,,,,2976.4,78.2665,5143.18,335.86,3583.13,850.63,2109.29,1094.95,124.51,1130.0,2037.0,1024.0,563.0,611.0,904.0,564.0,5382.0,6642.0,496.4,1034.91,1118.0,,,,,,124.51,1144.7,186.75,6.136973
2013-07-11,126.43,128.6,258.88,286.68,641.56,339.46,373.37,387.57,571.13,503.55,339.52,1713.79,392.57,305.13,100.86,2720.23,471.81,,,126.43,,,,,,3031.6,77.2259,5142.56,336.08,3584.06,843.15,2145.0,1097.44,126.43,1139.0,2047.0,1062.0,566.0,613.0,901.0,561.0,5382.0,6642.0,496.4,1034.91,1118.0,,,,,,126.43,1138.8,185.65,6.1376029999999995
2013-07-12,127.51,128.45,258.55,286.66,644.63,342.79,377.05,384.22,572.22,502.92,339.44,1709.76,386.75,303.43,100.34,2711.43,469.67,,,127.51,,,,,,3025.7,77.3247,5145.75,334.51,3590.14,852.37,2143.2,1087.46,127.51,1149.0,2058.0,1097.0,574.0,612.0,897.0,561.0,5382.0,6642.0,496.4,1046.7,1084.0,,,,,,127.51,1124.9,183.35,6.1389
2013-07-15,129.09,128.37,258.4,286.8,644.4,343.22,377.44,382.41,571.49,501.76,335.22,1717.07,384.08,305.37,101.09,2707.03,467.99,,,129.09,,,,,,2993.8,77.4813,5157.18,334.51,3584.23,854.3,2130.18,1082.88,129.09,1151.0,2052.0,1118.0,574.0,611.0,894.0,560.0,5573.0,7067.0,496.4,1046.7,1084.0,,875.0,865.0,919.0,865.0,129.09,1122.3,182.86,6.138939
2013-07-16,128.41,129.06,259.79,288.48,645.99,343.52,377.77,385.02,573.43,503.97,338.3,1725.83,387.18,305.77,100.95,2706.81,468.64,,,128.41,,,,,,3023.0,77.0113,5156.95,337.93,3596.73,854.33,2144.0,1089.76,128.41,1152.0,2044.0,1136.0,578.0,609.0,895.0,559.0,5573.0,7067.0,496.4,1046.7,1084.0,,875.0,865.0,919.0,865.0,128.41,1122.6,182.91,6.136015
2013-07-17,130.33,128.42,258.5,287.96,646.65,344.94,379.56,382.13,572.97,502.57,334.45,1704.97,385.18,303.81,101.19,2709.91,468.31,,,130.33,,,,,,2989.0,77.2253,5161.14,337.28,3592.28,857.52,2118.25,1088.37,130.33,1151.0,2034.0,1153.0,601.0,617.0,894.0,556.0,5573.0,7067.0,497.5,1046.7,1084.0,,875.0,865.0,919.0,865.0,130.33,1119.0,182.4,6.135256
2013-07-18,132.44,129.49,260.65,290.51,651.05,347.92,382.28,382.79,576.26,504.86,334.99,1712.53,384.83,306.14,102.02,2711.38,470.1,,,132.44,,,,,,2994.2,77.3383,5163.89,340.08,3613.47,866.66,2122.76,1090.23,132.44,1146.0,2006.0,1165.0,595.0,630.0,897.0,550.0,5573.0,7067.0,497.5,1046.7,1084.0,,875.0,865.0,919.0,865.0,132.44,1118.1,182.24,6.141554
