품목비교 Historical Data
조회기간 :,2013-07-05 ~ 2018-07-04
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","USD/KRW (미국 달러 / 한국 원)","CNY/KRW (중국 인민폐 / 한국 원)","USD/CNY (미국 달러 / 중국 인민폐)"
20180704,64.55,1121.1,167.03,6.64173
20180703,64.55,1117.4,168.19,6.64173
20180702,64.54,1117.2,168.42,6.667156
20180629,65.02,1121.7,169.41,6.619026
20180628,64.44,1117.9,169.36,6.6265
20180627,64.6,1115.2,170.1,6.60522
20180626,66.62,1116.1,170.66,6.57951
20180625,65.49,1108.9,170.43,6.539863
20180622,65.34,1109,170.78,6.503585
20180621,64.88,1108,171.16,6.492218
20180620,65.49,1105.5,171.2,6.473198
20180619,66.45,1104.4,171.19,6.485205
20180618,68.49,1091.4,169.97,6.439017
20180615,68.49,1082.5,169.44,6.436049
20180614,68.49,1075.1,167.73,6.40198
20180613,67.02,1073.5,167.6,6.397633
20180612,67.23,1073.5,167.6,6.402199
20180611,66.75,1073.2,167.78,6.397753
20180608,66.84,1067.9,167.31,6.401097
20180607,66.84,1069.6,166.86,6.392057
20180606,66.56,1070.9,166.94,6.387279
20180605,66.34,1070.9,166.94,6.406527
20180604,65.47,1076,167.76,6.409309
20180601,66.16,1076.4,167.99,6.417866
20180531,65.32,1081.3,168.27,6.409551
20180530,65.78,1076.1,167.96,6.419654
20180529,63.89,1073.2,168.15,6.417134
20180528,63.89,1078.7,169.01,6.398485
20180525,63.94,1079.7,169.11,6.389939
20180524,65.54,1078.8,169.57,6.378458
20180523,64.11,1083.8,170.09,6.387459
20180522,64.41,1080,169.92,6.366949
20180521,65.3,1080,169.92,6.382776
20180518,67.49,1079.3,169.9,6.380857
20180517,67.49,1078.7,169.48,6.365596
20180516,68.03,1072.6,169.23,6.370805
20180515,67.28,1066.6,168.42,6.377383
20180514,68.93,1068.6,168.69,6.338378
20180511,67.42,1075.3,169.22,6.334045
20180510,66.83,1081.3,169.76,6.346225
20180509,66.46,1078.2,169.5,6.36045
20180508,66.8,1076.7,169.71,6.371688
20180507,67.26,1076.5,169.07,6.366093
20180504,66.87,1076.5,169.07,6.355386
20180503,66.87,1074.9,169.04,6.353602
20180502,66.98,1067.5,169.07,6.361447
20180501,65.43,1076.2,169.94,6.340526
20180430,65.43,1076.2,169.94,6.334148
20180427,65.68,1079.7,170.69,6.330579
20180426,66.258,1078.7,171.07,6.336184
20180425,66.38,1076.9,170.56,6.325721
20180424,67.67,1068.9,169.89,6.305681
20180423,67.67,1067.3,170.03,6.316452
20180420,67.06,1063.5,169.86,6.292199
20180419,68.45,1066.5,169.59,6.279034
20180418,65.88,1068.4,170.33,6.274085
20180417,64.51,1073.1,170.85,6.282417
20180416,63.93,1070,170.27,6.276502
20180413,64.96,1068.7,170.37,6.273531
20180412,64.47,1066.4,169.91,6.291416
20180411,64.79,1067.7,169.41,6.26774
20180410,65.3,1067.5,169.41,6.282864
20180409,63.95,1066,169.02,6.307058
20180406,63.57,1059.5,168.56,6.301432
20180405,63.57,1057.6,168.26,6.304398
20180404,63.57,1057.8,168.6,6.305228
20180403,63.76,1058.1,168.83,6.289798
20180402,65.8,1064.4,169.8,6.277939
20180330,63.12,1066.5,169.68,6.282121
20180329,63.12,1069.4,170.61,6.289258
20180328,63.12,1072.2,171.52,6.297542
20180327,65.17,1081.2,171.35,6.282352
20180326,64.33,1080.8,170.6,6.27248
20180323,64.58,1069.2,169.3,6.310083
20180322,67.18,1071.4,169.21,6.33332
20180321,67.25,1071,169.35,6.322955
20180320,66.94,1071.2,169.15,6.333165
20180319,67.45,1069.6,169.05,6.331442
20180316,69.84,1065.8,169.04,6.331117
20180315,72.11,1065.8,168.74,6.321626
