,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,PDS 에너지 하위지수2015.01.02=100,PDS 비철금속 하위지수2015.01.02=100,PDS 철강 하위지수2015.01.02=100,PDS 석유화학 하위지수2015.01.02=100,PDS 농산물 하위지수2015.01.02=100,LMEX Index1999.04=1000,US Dollar IndexMar 1973=100,DRAMeXchange Index (DXI)2001.10.01=1000,TOCOM Index2002.05.31=100,Rogers International Commodities Index1998.07.31=1000,Rogers International Commodities Index Energy1998.07.31=1000,Rogers International Commodities Index Metals1998.07.31=1000,Rogers International Commodities Index Agriculture1998.07.31=1000
20180703,64.55,129.696,110.936,114.277,137.256,83.416,3156,89.9734,27896.25,290.24,2519.78,414.62,2084.75,791.07
20180702,64.54,132.225,112.178,114.277,137.256,85.233,3204,89.9734,27892.89,291.82,2511.87,413.75,2077.9,787.71
20180629,65.02,130.461,112.014,114.277,132.055,84.252,3212,89.9734,27944.44,291.45,2537.94,415,2129.88,794.89
20180628,64.44,130.352,113.006,114.277,132.055,84.604,3238,90.5467,28106.42,290.18,2537.94,415,2129.88,794.89
20180627,64.6,128.571,112.184,114.277,132.055,83.409,3231,90.5605,28395,287.22,2537.94,415,2129.88,794.89
20180626,66.62,126.85,113.493,114.277,132.055,83.716,3242,90.1171,28380.51,282.85,2511.37,405.2,2130.24,793.79
20180625,65.49,127.757,113.906,114.218,132.055,85.172,3274,90.0305,28426.08,281.27,2517.21,399.61,2153.28,806.84
20180622,65.34,125.282,113.769,114.442,137.235,84.726,3269,90.297,28441.05,281.1,2517.21,399.61,2153.28,806.84
20180621,64.88,127.49,114.313,114.442,137.235,84.18,3271,90.4353,28467.59,283.36,2479.24,387.59,2145.31,802.7
20180620,65.49,127.335,114.382,114.442,137.235,84.031,3282,90.4464,28557.72,284.61,2488.27,388.96,2154.05,796.12
20180619,66.45,127.673,116.56,114.442,137.235,85.047,3343,90.4529,28578.02,282.84,2478.5,388.96,2154.05,796.12
20180618,68.49,126.72,118.49,112.969,137.235,85.407,3358,90.2859,28579.87,282.17,2509.4,392.5,2182.21,808.94
20180615,68.49,128.806,119.684,113.079,137.267,85.759,3432,90.1206,28579.87,291.26,2506.65,387.73,2184.93,817.43
20180614,68.49,129.523,119.929,113.079,137.267,87.823,3471,89.793,28585.9,291.1,2555.92,396.91,2242.83,825.39
20180613,67.02,128.548,120.593,113.079,137.267,88.308,3462,89.0226,28595.67,290.56,2570.6,398.52,2246.35,834.46
20180612,67.23,129.254,120.436,113.079,137.267,86.975,3473,88.9954,28601.85,291.82,2570.52,395.54,2242.77,842.83
20180611,66.75,128.993,120.678,112.855,137.267,88.058,3489,88.9424,28607.79,290.65,2566.17,396.31,2248.62,835.07
20180608,66.84,129.636,121.692,112.855,138.854,87.476,3500,88.9338,28614.91,290.39,2570.1,394.7,2246.3,843.51
20180607,66.84,127.363,120.432,112.855,138.854,88.321,3484,88.8819,28620.33,289.29,2580.57,397.56,2254.62,844.07
20180606,66.56,127.492,118.767,112.855,138.854,87.872,3443,88.8521,28625.08,290.16,2560.7,389.6,2251.4,845.81
20180605,66.34,127.635,117.854,112.855,138.854,87.641,3402,89.3939,28628.44,288.72,2558.26,392.12,2234.16,842.04
20180604,65.47,129.679,116.192,112.115,138.854,89.737,3371,89.1813,28635.67,289.8,2551.27,391.46,2218.1,841.53
20180601,66.16,130.263,116.631,112.115,141.162,90.135,3351,89.2653,28635.67,290.78,2580.57,397.55,2208.05,857.24
20180531,65.32,129.81,116.114,112.115,141.162,90.205,3341,89.2677,26545.72,290.3,2592.93,401.89,2204.75,859.18
20180530,65.78,127.388,116.253,112.115,141.162,90.37,3338,89.0934,26555.45,285.39,2595.22,403.67,2201.92,857.75
20180529,63.89,127.542,116.877,112.115,141.162,90.907,3331,89.8201,26555.87,286.46,2580.54,395.83,2195.22,864.91
20180528,63.89,129.262,116.877,110.857,141.162,90.954,3331,89.3643,26645.6,286.18,2596.55,402.06,2194.24,865.03
20180525,63.94,132.284,116.045,110.857,142.963,90.347,3343,89.3643,26645.6,294.24,2596.55,402.06,2194.24,865.03
20180524,65.54,132.946,115.307,110.857,142.963,90.752,3331,89.0095,26700.48,295.78,2624.56,414.02,2207.88,858.48
20180523,64.11,132.794,117.114,110.857,142.963,89.848,3362,89.2158,26780.81,297.34,2632.41,418.43,2189.39,860.18
20180522,64.41,131.851,116.465,110.857,142.963,89.147,3343,88.7433,26806.79,299.52,2632.73,418.52,2203.01,856.52
20180521,65.3,131.287,115.961,110.633,142.963,88.583,3331,88.9733,26918.45,299.13,2620.71,416.09,2194.8,853.38
20180518,67.49,131.624,115.669,110.633,140.941,88.284,3346,89.0051,26919.73,298.72,2601.71,412.83,2181.53,847.06
20180517,67.49,130.985,115.907,110.633,140.941,88.294,3336,88.7983,26932.4,296.72,2600.86,415.1,2190.74,838.21
20180516,68.03,130.288,116.519,110.633,140.941,88.647,3330,88.7875,26987.36,293.7,2593.66,413.55,2186.52,836.35
20180515,67.28,129.793,116.227,110.409,140.941,88.522,3348,88.6274,27092.97,293.08,2588.06,411.23,2183.46,837.58
20180514,68.93,128.397,116.108,109.84,140.941,88.599,3344,88.0314,27154.21,290.02,2592.61,409.8,2209.06,838.37
20180511,67.42,128.772,116.522,109.84,133.92,89.604,3348,88.0314,27183.61,291.56,2584.42,406.09,2206.73,840.34
20180510,66.83,127.939,115.286,110.715,133.92,89.451,3334,88.3096,27208.07,292.39,2594.65,407.95,2209.16,844.78
