,Ã¶±¤¼® Fines (Daily) [Áß±¹(¼öÀÔ°¡ CFR)] Çö¹°USD/ton,Baltic Dry Index (BDI)1985.01.04,Baltic Capesize Index (BCI)1999.03.01,Baltic Panamax Index (BPI)1998.05.06,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Supramax index (BSI)2005.01.01,Baltic Handysize Index (BHSI)2006.05.23,SSY/Pacific Capesize Index1997.1.6=4114,SSY/Atlantic Capesize Index1997.1.6=5000,Howe Robinson Container Index1997.1.15=1000,China Containerized Freight Index (CCFI)1998.1.1=1000,Shanghai Containerized Freight Index (SCFI)2009.10.16=1000,China Coastal Bulk Freight Index (CBFI)2000.1.1=1000,China Newbuilding Price Index (CNPI)2011.07.01=1000,China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000,China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000,China Container Newbuilding Price Index (CNCPI)2011.07.01=1000
20180703,64.55,1476,2478,1336,501,702,1025,571,4997,8625,842,815.89,821.18,1105.5,801,828,855,821
20180702,64.54,1422,2304,1338,500,705,1034,575,4997,8625,842,815.89,821.18,1105.5,801,828,855,821
20180630,65.02,1385,2170,1336,496,712,1042,581,4977,8038,842,815.89,821.18,1105.5,801,828,855,821
20180629,65.02,1385,2170,1336,496,712,1042,581,4977,8038,842,815.89,821.18,1105.5,794,824,849,810
20180628,64.44,1329,2025,1331,493,724,1055,583,4977,8038,842,812.18,751.13,1133.57,794,824,849,810
20180627,64.6,1309,1942,1324,496,727,1067,585,4977,8038,842,812.18,751.13,1133.57,794,824,849,810
20180626,66.62,1323,1986,1321,500,735,1078,589,4977,8038,843,812.18,751.13,1133.57,794,824,849,810
20180625,65.49,1333,2001,1339,503,745,1085,592,4977,8038,843,812.18,751.13,1133.57,794,824,849,810
20180622,65.34,1341,2011,1355,506,745,1092,593,5455,8331,843,812.18,751.13,1133.57,794,824,849,810
20180621,64.88,1347,2038,1382,507,742,1094,592,5455,8331,843,814.83,777.7,1150.02,794,824,849,810
20180620,65.49,1373,2090,1419,506,743,1094,593,5455,8331,843,814.83,777.7,1150.02,794,824,849,810
20180619,66.45,1419,2187,1458,507,743,1093,594,5455,8331,846,814.83,777.7,1150.02,794,824,849,810
20180618,68.49,1442,2228,1482,511,736,1092,595,5455,8331,846,814.83,777.7,1150.02,794,824,849,810
20180615,68.49,1445,2223,1495,515,746,1091,593,5372,7908,846,814.83,777.7,1150.02,794,824,849,810
