,날짜,AUD/KRW (호주 달러 / 한국 원),AUD/USD (호주 달러 / 미국 달러),Baltic Capesize Index (BCI)1999.03.01,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Dry Index (BDI)1985.01.04,Baltic Handysize Index (BHSI)2006.05.23,Baltic Panamax Index (BPI)1998.05.06,Baltic Supramax index (BSI)2005.01.01,Bloomberg Commodity Total Return,CNY/KRW (중국 인민폐 / 한국 원),CRB BLS Spot Index,DRAMeXchange Index (DXI)2001.10.01=1000,LMEX Index1999.04=1000,Reuters Index of Commodity Prices,Rogers International Commodities Index Agriculture1998.07.31=1000,Rogers International Commodities Index Energy1998.07.31=1000,Rogers International Commodities Index Metals1998.07.31=1000,Rogers International Commodities Index1998.07.31=1000,S&P GSCI,TOCOM Index2002.05.31=100,TR/CC CRB Index,US Dollar IndexMar 1973=100,USD/CNY (미국 달러 / 중국 인민폐),USD/KRW (미국 달러 / 한국 원),USD/RMB (미국 달러 / 중국 인민폐),철광석 Fines (Daily) [중국(수입가 CFR)] 현물
3,20180713,834.8,0.74,3156.0,499.0,744.0,1666.0,559.0,1527.0,995.0,172.72,167.98,436.1,28088.23,3010.0,2272.06,786.74,404.22,2024.48,2471.47,463.37,290.24,193.73,90.2872,6.69,1127.8,6.67,64.04
4,20180712,825.47,0.74,3041.0,500.0,738.0,1632.0,558.0,1517.0,994.0,173.08,167.78,434.89,28138.71,2990.0,2263.35,787.95,401.56,2035.74,2469.69,461.47,289.13,194.0,90.162,6.67,1120.8,6.67,64.06
5,20180711,827.72,0.74,2793.0,499.0,741.0,1586.0,558.0,1498.0,992.0,171.9,168.46,438.66,27955.24,3067.0,2278.5,777.49,399.28,2022.94,2448.64,459.38,292.99,192.83,89.8616,6.68,1113.8,6.62,63.34
6,20180710,830.33,0.74,2792.0,499.0,732.0,1555.0,560.0,1431.0,994.0,176.67,167.49,438.05,27940.71,3102.0,2305.6,793.79,418.62,2063.83,2526.33,480.64,294.63,198.29,89.7541,6.63,1112.3,6.63,63.9
7,20180709,830.8,0.75,3016.0,501.0,729.0,1609.0,562.0,1367.0,997.0,177.41,167.67,436.81,27935.27,3061.0,2309.85,799.42,416.26,2081.98,2532.26,481.11,291.48,198.23,89.6613,6.62,1117.8,6.64,63.92
8,20180706,826.16,0.74,3086.0,502.0,721.0,1622.0,563.0,1347.0,999.0,177.55,168.27,436.22,27860.25,3079.0,2309.35,805.69,413.37,2064.68,2527.01,480.73,290.27,198.05,89.5756,6.64,1118.4,6.63,63.84
9,20180705,823.37,0.74,3013.0,502.0,710.0,1612.0,565.0,1339.0,1005.0,176.14,168.01,437.34,27852.21,3092.0,2310.55,793.28,411.78,2069.5,2510.74,478.61,290.02,196.21,89.8189,6.64,1115.3,6.62,63.14
11,20180703,820.12,0.74,2478.0,501.0,702.0,1476.0,571.0,1336.0,1025.0,176.94,168.19,437.86,27896.25,3156.0,2329.52,791.07,414.62,2084.75,2519.78,481.0,290.24,197.48,90.0426,6.64,1117.4,6.65,64.55
12,20180702,827.01,0.73,2304.0,500.0,705.0,1422.0,575.0,1338.0,1034.0,176.53,168.42,439.11,27892.89,3204.0,2331.86,787.71,413.75,2077.9,2511.87,479.57,291.82,197.5,90.4184,6.67,1117.2,6.62,64.54
15,20180627,824.3,0.73,1942.0,496.0,727.0,1309.0,585.0,1324.0,1067.0,179.38,170.1,439.42,28395.0,3231.0,2303.79,794.89,415.0,2129.88,2537.94,481.23,287.22,198.95,90.5605,6.61,1115.2,6.56,64.6
