,Date,Baoshan,Hbis,FMG,VALE,BHP,RIO,FVJ,target,Àü±âµ¿ [LME] Çö¹°USD/ton,¾Ë·ç¹Ì´½ [LME] Çö¹°USD/ton,´ÏÄÌ [LME] Çö¹°USD/ton,¾Æ¿¬ [LME] Çö¹°USD/ton,³³ [LME] Çö¹°USD/ton,ÁÖ¼® [LME] Çö¹°USD/ton,NASAAC [LME] Çö¹°USD/ton,¸ô¸®ºêµ§ 60% [LME] Çö¹°USD/ton,ÄÚ¹ßÆ® 99.8% [LME] Çö¹°USD/ton,Ã¶±¤¼® 62% [DCE] 2018.09RMB/ton,Ã¶±¤¼® 62% FE [ºÏÁß±¹ ¼öÀÔ°¡(CFR)] Çö¹°USD/dt,Ã¶±¤¼® TSI CFR China (62% Fe Fines) Index [SGX] 2018.08USD/ton,Ã¶±¤¼® Platts CFR China (Lump Premium) Index [SGX] 2018.08USD/100dmtu,Ã¶±¤¼® MB CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton,Ã¶±¤¼® TSI CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton,Ã¶±¤¼® 65% Pellet [Áß±¹(¼öÀÔ°¡)] Çö¹°USD/ton,Ã¶±¤¼® Fine 62% [Áß±¹(CFR)] Çö¹°USD/dmt,ÁÖ¿ä Áß±¹ Ã¶±¤¼® Ç×±¸Àç°í·®mmt_x,ÁÖ¿ä Áß±¹ Ã¶±¤¼® Ç×±¸Àç°í·®mmt_y,Bloomberg(DJ-UBS) Commodity Index1991=100,Bloomberg Commodity Total Return1991=100,TR/CC CRB Index1967=100,S&P GSCI1970=100,GSCI Energy1970=100,GSCI Petroleum1970=100,GSCI Non-Energy1970=100,GSCI Industrial Metals1970=100,GSCI Precious Metals1970=100,Reuters Index of Commodity Prices1931.09.18=100,PDS ¿øÀÚÀç Áö¼ö2015.01.02=100,PDS Ã¶°­ ÇÏÀ§Áö¼ö2015.01.02=100,TOCOM Index2002.05.31=100,Rogers International Commodities Index1998.07.31=1000,Rogers International Commodities Index Energy1998.07.31=1000,Rogers International Commodities Index Metals1998.07.31=1000,Rogers International Commodities Index Agriculture1998.07.31=1000,Baltic Dry Index (BDI)1985.01.04,Baltic Capesize Index (BCI)1999.03.01,Baltic Panamax Index (BPI)1998.05.06,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Supramax index (BSI)2005.01.01,Baltic Handysize Index (BHSI)2006.05.23,SSY/Pacific Capesize Index1997.1.6=4114,SSY/Atlantic Capesize Index1997.1.6=5000,Howe Robinson Container Index1997.1.15=1000,China Containerized Freight Index (CCFI)1998.1.1=1000,Shanghai Containerized Freight Index (SCFI)2009.10.16=1000,China Coastal Bulk Freight Index (CBFI)2000.1.1=1000,China Newbuilding Price Index (CNPI)2011.07.01=1000,China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000,China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000,China Container Newbuilding Price Index (CNCPI)2011.07.01=1000,USD/CNY (¹Ì±¹ ´Þ·¯ / Áß±¹ ÀÎ¹ÎÆó),AUD/USD (È£ÁÖ ´Þ·¯ / ¹Ì±¹ ´Þ·¯),USD/KRW (¹Ì±¹ ´Þ·¯ / ÇÑ±¹ ¿ø),AUD/KRW (È£ÁÖ ´Þ·¯ / ÇÑ±¹ ¿ø),CNY/KRW (Áß±¹ ÀÎ¹ÎÆó / ÇÑ±¹ ¿ø),USD/RMB (¹Ì±¹ ´Þ·¯ / Áß±¹ ÀÎ¹ÎÆó)
0,2018-07-02,7.2,2.79,4.38,13.14,49.119999,54.0,2.72,64.05,6472.8,2132.8,14245.0,2822.4,2374.0,19704.0,1703.6,26000.0,73600.0,460.9,63.21,63.56,28.6,49.18,50.74,129.38,66.1,153.42,153.42,85.85,176.79,197.31,479.98,244.8,268.86,327.75,357.94,1638.05,2316.91,123.12,114.28,290.51,2517.35,413.38,2074.21,794.44,1533.0,2720.25,1340.0,501.25,709.5,1015.75,568.5,4997.0,8625.0,832.0,808.55,817.4,1088.39,,,,,6.6438,0.7385,1117.88,824.908,167.984,6.6353
1,2018-06-25,7.79,2.95,4.39,13.03,49.580002,54.650002,2.72,65.23,6695.8,2176.9,14792.0,2931.2,2418.2,20024.0,1728.1,26000.0,78660.0,465.8,64.29,64.32,28.05,49.09,49.71,128.27,66.1,155.79,155.79,86.81,178.7,198.16,477.91,241.55,264.78,332.11,371.8,1647.08,2318.63,121.65,114.27,286.59,2524.66,410.1,2130.06,794.34,1335.8,2024.8,1330.2,497.6,728.6,1065.4,586.0,4977.0,8038.0,842.0,815.89,821.18,1105.5,801.0,828.0,855.0,821.0,6.593999999999999,0.738,1115.96,824.424,169.99200000000002,6.5554
2,2018-06-18,8.69,3.14,4.59,12.82,50.009997999999996,55.48,2.73,66.13,6847.6,2182.3,14920.0,3044.5,2397.0,20632.0,1729.2,26000.0,80160.0,454.38,64.45,64.41,23.6,49.04,49.48,128.77,66.1,154.9,154.9,86.95,178.91,195.38,465.2,228.23,249.45,338.25,378.8,1669.94,2349.63,122.9,114.15,282.82,2494.52,392.17,2158.71,803.65,1384.4,2110.8,1419.2,507.4,741.8,1093.0,593.4,5455.0,8331.0,843.0,812.18,751.13,1133.57,,,,,6.4786,0.7399,1103.66,816.682,170.86,6.4583
3,2018-06-11,8.97,3.21,4.71,12.81,48.93,55.459998999999996,2.87,67.37,7191.7,2280.8,15259.0,3217.4,2458.8,21079.0,1734.4,26000.0,81450.0,470.5,65.86,65.82,21.38,49.45,49.58,129.74,66.1,157.23,157.23,89.29,183.66,198.97,473.52,231.6,253.27,349.46,395.67,1701.86,2391.26,124.41,113.03,291.08,2553.97,395.0,2233.1,831.04,1411.8,2131.4,1481.2,519.6,754.2,1086.0,590.0,5372.0,7908.0,846.0,814.83,777.7,1150.02,,,,,6.4071,0.7536,1076.075,813.9925,168.1375,6.4122
4,2018-06-04,8.71,3.09,4.71,13.17,48.700001,56.790001000000004,3.0,66.3,7112.2,2315.0,15465.0,3174.5,2491.1,20915.0,1724.1,26000.0,85500.0,466.3,64.81,64.94,19.5,50.82,50.07,129.05,66.1,159.15,159.15,89.79,184.61,199.32,473.52,231.04,252.84,350.95,400.66,1702.16,2374.81,124.39,112.71,289.67,2564.18,393.09,2240.92,843.39,1313.6,2001.2,1303.8,538.2,738.8,1067.6,583.4,4631.0,6911.0,843.0,796.65,806.04,1207.08,,,,,6.3993,0.7634,1071.1,816.96,167.2175,6.4065
5,2018-05-28,8.53,3.14,4.77,13.75,51.669998,59.220001,3.02,65.29,6822.63,2270.5,15025.0,3094.0,2429.88,20668.75,1750.88,26000.0,90187.5,460.0,64.06,64.36,18.7,51.98,51.15,129.51,66.1,160.4,160.4,90.54,186.11,202.42,479.83,235.5,257.89,351.98,388.82,1702.82,2340.58,124.83,111.86,287.82,2587.32,399.74,2202.49,859.77,1086.25,1400.75,1166.0,559.0,767.0,1064.0,584.0,,,832.0,788.78,829.09,1217.83,794.0,824.0,849.0,810.0,6.4125,0.7553,1077.14,813.2339999999999,168.27599999999998,6.4082
6,2018-05-21,8.46,3.26,4.54,14.03,50.240002000000004,57.540001000000004,3.04,64.66,6862.7,2264.8,14638.0,3042.5,2443.2,20585.0,1802.2,26000.0,91300.0,459.5,64.34,64.36,18.65,51.79,51.13,131.07,66.1,158.89,158.89,91.28,187.55,205.45,491.31,244.9,268.64,350.48,387.55,1701.23,2323.04,126.18,110.81,297.2,2621.39,413.82,2197.86,858.72,1157.2,1703.2,1218.6,542.4,755.4,1072.8,589.8,5019.0,7280.0,826.0,789.76,764.34,1240.74,,,,,6.3811,0.7573,1080.575,817.0925,169.6725,6.3821
7,2018-05-14,8.78,3.27,4.86,14.03,49.02,56.98,2.88,67.93,6809.1,2299.0,14510.0,3053.9,2340.5,20856.0,1814.2,26000.0,91100.0,483.5,67.45,67.59,18.25,51.3,50.66,132.81,66.1,157.56,157.56,90.28,185.43,203.65,488.55,244.83,268.86,345.07,387.34,1700.78,2281.0,124.83,110.43,294.45,2595.38,412.5,2190.26,839.51,1385.0,2360.6,1238.8,530.0,682.0,1059.4,587.4,5553.0,8522.0,822.0,785.63,753.83,1222.31,,,,,6.3666,0.7508,1073.16,806.576,169.144,6.3604
8,2018-05-07,9.01,3.28,4.93,14.58,50.810001,58.41,3.01,66.95,6809.75,2319.88,13862.5,3071.0,2306.13,21061.25,1857.5,26000.0,89437.5,472.1,66.95,66.96,17.9,52.2,50.92,132.09,66.1,158.76,158.76,90.02,184.83,203.5,483.35,239.6,263.22,348.31,387.1,1724.21,2301.63,121.7,110.54,288.76,2580.59,403.11,2201.81,845.35,1455.5,2573.25,1250.25,542.0,654.75,1051.0,584.5,5136.0,8079.0,812.0,763.12,778.83,1163.88,,,,,6.3557,0.75,1077.875,807.31,169.5475,6.3657
9,2018-04-30,9.0,3.28,4.77,14.61,50.41,57.389998999999996,3.08,66.43,6793.1,2283.2,13814.0,3066.6,2310.8,21319.0,1864.2,26000.0,89500.0,471.5,66.26,66.48,17.7,52.67,51.33,132.33,66.1,160.16,160.16,89.62,183.95,202.04,474.59,232.33,254.99,349.71,382.29,1711.56,2301.18,120.3,110.73,282.13,2551.35,391.29,2178.33,853.06,1354.8,2230.2,1269.8,552.6,651.2,1045.6,596.2,4915.0,8004.0,793.0,743.71,776.88,1132.6,790.0,819.0,844.0,806.0,6.349,0.7515,1073.775,807.445,169.28,6.3641
