날짜,철광석 Fines (Daily) [중국(수입가 CFR)] 현물,날짜,철광석 62% [DCE] 2018.09,날짜,고철 HMS No.1 [미 동부 Composite가격] 현물,날짜,철근 [SHFE] 2018.10,날짜,철근 고장력 HD10mm [국내(1차 유통가)] 현물,날짜,냉연코일 1.0x4x8mm [국내(1차 유통가)] 현물,날짜,열연코일 4.5x4x8 ~ 5.9x4x8mm [국내(1차 유통가)] 현물,날짜,선재 [SHFE] 2018.09,날짜,중후판 12(mm)x8(ft)x20(ft) [국내(1차 유통가)] 현물,날짜,H형강 소형 [국내(1차 유통가)] 현물
20180626,66.62,20180627,463.5,20180625,338.5,20180627,3688,20180625,670000,20180625,810000,20180625,750000,20180627,4060,20180625,750000,20180625,820000
20180625,65.49,20180626,462.5,20180618,338.5,20180626,3688,20180618,650000,20180618,810000,20180618,750000,20180626,4060,20180618,750000,20180618,810000
20180622,65.34,20180625,464.5,20180611,338.5,20180625,3741,20180611,620000,20180611,810000,20180611,750000,20180625,4060,20180611,700000,20180611,760000
20180621,64.88,20180622,455,20180604,345.17,20180622,3763,20180604,620000,20180604,810000,20180604,750000,20180622,4060,20180604,700000,20180604,760000
20180620,65.49,20180621,455.5,20180529,345.17,20180621,3808,20180528,590000,20180528,810000,20180528,750000,20180621,4060,20180528,700000,20180528,730000
20180619,66.45,20180620,452,20180521,345.17,20180620,3788,20180521,590000,20180521,810000,20180521,750000,20180620,4060,20180521,700000,20180521,730000
20180618,68.49,20180619,455,20180514,345.17,20180619,3797,20180514,600000,20180514,810000,20180514,750000,20180619,4060,20180514,700000,20180514,730000
20180614,68.49,20180615,472,20180507,348.5,20180615,3882,20180509,590000,20180509,810000,20180509,750000,20180615,3921,20180509,700000,20180509,730000
20180613,67.02,20180614,472.5,20180430,358.5,20180614,3882,20180430,590000,20180430,810000,20180430,750000,20180614,3921,20180430,690000,20180430,730000
20180612,67.23,20180613,469.5,20180423,358.5,20180613,3863,20180423,610000,20180423,810000,20180423,750000,20180613,3921,20180423,690000,20180423,740000
