품목비교 Historical Data
조회기간 :,2013-06-23 ~ 2018-06-22
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"중국 철광석 생산량"
20180401,6746.8
20180301,6688.5
20180201,12346.4
20171201,10922.4
20171101,10965.8
20171001,12007.4
20170901,11912.6
20170801,11549.1
20170701,11466.4
20170601,12469.3
20170501,10748.1
20170401,10337.2
20170301,11361
20170201,18415.8
20161201,11938.6
20161101,11667.9
20161001,11928.9
20160901,11892.7
20160801,11506.9
20160701,11574.3
20160601,12106.4
20160501,10754.1
20160401,10256.7
20160301,9815.8
20160201,16187.5
20151201,11967.1
20151101,11753.4
20151001,12534.8
20150901,13156.4
20150801,12381.4
20150701,12619
20150601,12848.1
20150501,11766.2
20150401,10409.5
20150301,10510.1
20150201,8330.5
20150101,9223
20141201,12614.8
20141101,12705
20141001,13391.4
20140901,13763.2
20140801,13679.6
20140701,13646.3
20140601,13970.6
20140501,13057.9
20140401,12374.4
20140301,12133.8
20140201,8841
20140101,9788.3
20131201,13233.8
20131101,13855.8
20131001,13548.4
20130901,13784.5
20130801,13134.7
20130701,12275.1
