날짜,GSCI Precious Metals,날짜,GSCI Agriculture,날짜,GSCI Livestock,날짜,GSCI Softs,날짜,Reuters Index of Commodity Prices,날짜,CRB BLS Spot Index,날짜,PDS 원자재 지수,날짜,PDS 귀금속 하위지수,날짜,PDS 에너지 하위지수,날짜,PDS 비철금속 하위지수
20180626,1650.13,20180626,284.83,20180626,260.56,20180626,91.07,20180626,2307.42,20180626,440.3,20180626,121.09,20180626,100.08,20180626,126.85,20180626,113.49
20180625,1661.5,20180625,286.08,20180625,259.72,20180625,90.86,20180625,2322.93,20180625,443.21,20180625,121.53,20180625,100.2,20180625,127.76,20180625,113.91
20180621,1663.35,20180621,290.24,20180621,267.04,20180621,90.29,20180622,2347.49,20180622,444.11,20180622,122.1,20180622,99.67,20180622,125.28,20180622,113.77
20180620,1667.82,20180620,289.23,20180620,267.34,20180620,90.37,20180621,2347.43,20180621,445.16,20180621,122.91,20180621,100.12,20180621,127.49,20180621,114.31
20180619,1672.78,20180619,287.22,20180619,270.1,20180619,89.72,20180620,2333.39,20180620,443.83,20180620,122.87,20180620,100.4,20180620,127.34,20180620,114.38
20180618,1675.79,20180618,292.77,20180618,270.31,20180618,91.85,20180619,2348.68,20180619,446.95,20180619,123.4,20180619,101.31,20180619,127.67,20180619,116.56
20180615,1674.34,20180615,297.11,20180615,268.13,20180615,93.14,20180618,2371.17,20180618,449.96,20180618,123.24,20180618,102.93,20180618,126.72,20180618,118.49
20180614,1717.52,20180614,300.69,20180614,263.56,20180614,94.75,20180615,2379.48,20180615,450.94,20180615,124.19,20180615,103.61,20180615,128.81,20180615,119.68
20180613,1706.47,20180613,306.86,20180613,267.92,20180613,95.22,20180614,2396.07,20180614,451.35,20180614,124.55,20180614,102.76,20180614,129.52,20180614,119.93
20180612,1703.02,20180612,309.41,20180612,266.91,20180612,95.2,20180613,2399.67,20180613,451.96,20180613,124.36,20180613,102.84,20180613,128.55,20180613,120.59
20180611,1707.96,20180611,302.47,20180611,265.39,20180611,94.57,20180612,2384.15,20180612,450.01,20180612,124.49,20180612,102.67,20180612,129.25,20180612,120.44
20180608,1705.01,20180608,305.42,20180608,270.35,20180608,94.6,20180611,2396.92,20180611,450.3,20180611,124.46,20180611,102.47,20180611,128.99,20180611,120.68
20180607,1705.97,20180607,303.29,20180607,267.47,20180607,92.26,20180608,2375.73,20180608,447.02,20180608,125.24,20180608,102.52,20180608,129.64,20180608,121.69
20180606,1702.67,20180606,303.05,20180606,269.46,20180606,92.59,20180607,2388.03,20180607,446.27,20180607,124.32,20180607,102.18,20180607,127.36,20180607,120.43
20180605,1702.04,20180605,302.48,20180605,265.22,20180605,91.8,20180606,2388.53,20180606,443.97,20180606,124.05,20180606,101.44,20180606,127.49,20180606,118.77
20180604,1695.12,20180604,301.94,20180604,263.87,20180604,92.89,20180605,2366.09,20180605,443.49,20180605,123.96,20180605,101.8,20180605,127.64,20180605,117.85
20180601,1697.57,20180601,310.54,20180601,266.81,20180601,95.51,20180604,2355.66,20180604,445.63,20180604,124.39,20180604,101.69,20180604,129.68,20180604,116.19
20180531,1704.09,20180531,311.99,20180531,266.69,20180531,96.27,20180601,2332.44,20180601,446.27,20180601,125.34,20180601,102.49,20180601,130.26,20180601,116.63
20180530,1707.1,20180530,310.75,20180530,270.08,20180530,95.28,20180531,2329.29,20180531,445.87,20180531,125.09,20180531,101.89,20180531,129.81,20180531,116.11
20180529,1702.5,20180529,314.76,20180529,263.74,20180529,95.11,20180530,2350.72,20180530,445.48,20180530,124.31,20180530,101.86,20180530,127.39,20180530,116.25
20180525,1710.06,20180525,316.55,20180525,263.27,20180525,93.67,20180529,2349.87,20180529,444.76,20180529,124.52,20180529,102.67,20180529,127.54,20180529,116.88
20180524,1712.46,20180524,313.13,20180524,261.2,20180524,92.91,20180525,2345.86,20180528,444.76,20180528,124.91,20180528,102.67,20180528,129.26,20180528,116.88
20180523,1691.91,20180523,314.13,20180523,261.85,20180523,92.51,20180524,2332.09,20180525,444.76,20180525,126.24,20180525,102.4,20180525,132.28,20180525,116.05
20180522,1696.73,20180522,311.04,20180522,257.07,20180522,92.26,20180523,2320.83,20180524,445.23,20180524,126.34,20180524,101.68,20180524,132.95,20180524,115.31
20180521,1694.98,20180521,308.37,20180521,258.96,20180521,92.56,20180522,2313.27,20180523,445.98,20180523,126.53,20180523,102,20180523,132.79,20180523,117.11
20180518,1694.9,20180518,306.72,20180518,255.52,20180518,90.54,20180521,2303.17,20180522,445.3,20180522,126.05,20180522,101.06,20180522,131.85,20180522,116.47
20180517,1693.17,20180517,300.89,20180517,258.06,20180517,89.52,20180518,2281.68,20180521,444.84,20180521,125.72,20180521,101.15,20180521,131.29,20180521,115.96
20180516,1694.61,20180516,301.54,20180516,257.96,20180516,89.58,20180517,2283.27,20180518,443.39,20180518,125.22,20180518,101.26,20180518,131.62,20180518,115.67
20180515,1692.14,20180515,302.48,20180515,259.01,20180515,88.87,20180516,2278.95,20180517,443.55,20180517,125.04,20180517,101.1,20180517,130.99,20180517,115.91
20180514,1729.06,20180514,300.65,20180514,262.67,20180514,88.59,20180515,2277.9,20180516,442.25,20180516,124.94,20180516,101.67,20180516,130.29,20180516,116.52
20180511,1733.35,20180511,301.48,20180511,264.91,20180511,89.19,20180514,2283.22,20180515,443.62,20180515,124.75,20180515,103.48,20180515,129.79,20180515,116.23
20180510,1733.82,20180510,305,20180510,266.67,20180510,89.18,20180511,2300.41,20180514,443.64,20180514,124.2,20180514,103.97,20180514,128.4,20180514,116.11
20180509,1719.13,20180509,305.9,20180509,264.62,20180509,89.68,20180510,2305.18,20180511,444.07,20180511,122.49,20180511,103.36,20180511,128.77,20180511,116.52
20180508,1717.77,20180508,307.55,20180508,266.16,20180508,90.32,20180509,2302.39,20180510,445.11,20180510,122.12,20180510,102.69,20180510,127.94,20180510,115.29
20180507,1717,20180507,306.2,20180507,262.67,20180507,90.33,20180508,2298.55,20180509,444.07,20180509,121.26,20180509,102.36,20180509,124.99,20180509,116.04
20180504,1716.47,20180504,312.02,20180504,263.72,20180504,91.23,20180504,2311.52,20180508,445.45,20180508,121.61,20180508,102.32,20180508,126.55,20180508,115.19
20180503,1713.38,20180503,315.14,20180503,264.36,20180503,91.15,20180503,2309.86,20180507,446.43,20180507,121.01,20180507,102.32,20180507,124.55,20180507,115.19
20180502,1704.28,20180502,312.14,20180502,261.59,20180502,91.21,20180502,2296.57,20180504,446.49,20180504,120.4,20180504,102.68,20180504,122.74,20180504,116.46
20180501,1703.12,20180501,313.24,20180501,262.96,20180501,91.37,20180501,2293.81,20180503,445.94,20180503,120.11,20180503,101.91,20180503,122.62,20180503,115.26
20180430,1720.53,20180430,308.61,20180430,262.78,20180430,90.78,20180430,2294.16,20180502,446.5,20180502,120.11,20180502,101.84,20180502,122.67,20180502,115.09
20180427,1726.47,20180427,306.63,20180427,264.47,20180427,90.41,20180427,2239.79,20180501,445.1,20180501,120.55,20180501,102.45,20180501,124.16,20180501,114.95
20180426,1720.73,20180426,302.68,20180426,262.21,20180426,89.45,20180426,2272.53,20180430,441.74,20180430,120.34,20180430,103.2,20180430,123.33,20180430,115.31
20180425,1726.59,20180425,303.4,20180425,265.59,20180425,88.66,20180425,2280.99,20180427,446.29,20180427,119.44,20180427,103.27,20180427,123.59,20180427,115.25
20180424,1740.76,20180424,299.42,20180424,264.03,20180424,88.5,20180424,2291.75,20180426,447.17,20180426,119.64,20180426,103.34,20180426,123.45,20180426,116.7
20180423,1728.85,20180423,297.84,20180423,265.81,20180423,89.14,20180423,2301.51,20180425,444.9,20180425,119.72,20180425,103.75,20180425,123.51,20180425,117.17
20180420,1751.5,20180420,299.28,20180420,264.9,20180420,90.46,20180420,2310.51,20180424,444.41,20180424,120.19,20180424,104.28,20180424,123.8,20180424,119.63
20180419,1764.71,20180419,302.58,20180419,264.35,20180419,89.91,20180419,2255.18,20180423,445.63,20180423,120.14,20180423,105.34,20180423,123.08,20180423,120.37
20180418,1770.34,20180418,302.5,20180418,268.45,20180418,89.85,20180418,2246.37,20180420,445.53,20180420,120.1,20180420,106.15,20180420,122.43,20180420,122.63
20180417,1760.75,20180417,300.49,20180417,265.62,20180417,89.27,20180417,2234.52,20180419,444.35,20180419,119.81,20180419,105.78,20180419,122.21,20180419,121.33
20180416,1761.05,20180416,301.21,20180416,264.68,20180416,90.39,20180416,2241.73,20180418,440.79,20180418,118.31,20180418,104.46,20180418,119.98,20180418,117.1
20180413,1757.6,20180413,304.68,20180413,265.12,20180413,90.52,20180413,2263.08,20180417,439.93,20180417,118.59,20180417,104.79,20180417,119.92,20180417,117
20180412,1748.64,20180412,306.9,20180412,264.67,20180412,90.22,20180412,2302.66,20180416,439.73,20180416,119.02,20180416,104.32,20180416,121.28,20180416,116.3
20180411,1772.84,20180411,305.94,20180411,258.63,20180411,90.37,20180411,2313.09,20180413,440.63,20180413,117.39,20180413,104.53,20180413,120.37,20180413,114.18
