품목비교 Historical Data
조회기간 :,2008-07-21 ~ 2018-07-19
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","USD/CNY (미국 달러 / 중국 인민폐)","AUD/USD (호주 달러 / 미국 달러)","USD/KRW (미국 달러 / 한국 원)","CNY/KRW (중국 인민폐 / 한국 원)","AUD/KRW (호주 달러 / 한국 원)","USD/RMB (미국 달러 / 중국 인민폐)","중국 경기선행지수Index","중국 GDP 전체(value)100 million CNY","중국 기업신뢰지수Long term average=100","중국 CFLP 제조업 PMI 지수Index","중국 HSBC 제조업 PMI 지수Index","중국 소비자물가지수the same month last year=100","중국 소매가격지수Index","중국 기준금리Percent","중국 수출액100 million dollars","중국 무역수지100 million dollars","중국 수입액100 million dollars","중국 외환보유고100 million dollars"
20180719,#N/A,#N/A,#N/A,1128.9,167.8,835.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180718,65.24,6.717278,.739844,1125.2,168.06,830.45,6.6914,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180717,64.07,6.706258,.738202,1128.7,168.26,837.1,6.6821,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180716,64.56,6.691871,.741885,1123.4,168.16,833.68,6.6758,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180714,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180713,64.04,6.688496,.742422,1127.8,167.98,834.8,6.6727,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180712,64.06,6.669156,.740274,1120.8,167.78,825.47,6.6726,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180711,63.34,6.681199,.736499,1113.8,168.46,827.72,6.6234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180710,63.9,6.629624,.742568,1112.3,167.49,830.33,6.6259,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180709,63.92,6.616204,.746515,1117.8,167.67,830.8,6.6393,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180707,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180706,63.84,6.6412,.743023,1118.4,168.27,826.16,6.6336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180705,63.14,6.637234,.738705,1115.3,168.01,823.37,6.618,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180704,64.2,6.631469,.738493,1121.1,167.03,827.88,6.6595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180703,64.55,6.64173,.738526,1117.4,168.19,820.12,6.6497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180702,64.54,6.667156,.733811,1117.2,168.42,827.01,6.6157,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180629,65.02,6.619026,.740248,1121.7,169.41,824.45,6.6166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180628,64.44,6.6265,.734891,1117.9,169.36,820.87,6.596,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180627,64.6,6.60522,.734228,1115.2,170.1,824.3,6.5569,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180626,66.62,6.57951,.739067,1116.1,170.66,827.53,6.518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180625,65.49,6.539863,.741493,1108.9,170.43,824.97,6.4893,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180623,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180622,65.34,6.503585,.744158,1109,170.78,818.33,6.4804,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180621,64.88,6.492218,.738002,1108,171.16,816.98,6.4706,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180620,65.49,6.473198,.737122,1105.5,171.2,816.25,6.4586,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180619,66.45,6.485205,.738065,1104.4,171.19,819.85,6.4235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180618,68.49,6.439017,.742234,1091.4,169.97,812,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180615,#N/A,6.436049,.744468,1082.5,169.44,809.06,6.4306,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180614,68.49,6.40198,.747669,1075.1,167.73,814.66,6.3962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180613,67.02,6.397633,.757644,#N/A,#N/A,#N/A,6.4156,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180612,67.23,6.402199,.757295,1073.5,167.6,816.99,6.4121,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
20180611,66.75,6.397753,.760734,1073.2,167.78,815.26,6.4064,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180609,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
