품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","Bloomberg(DJ-UBS) Commodity Index1991=100","Bloomberg Commodity Total Return1991=100","TR/CC CRB Index1967=100","S&P GSCI1970=100","GSCI Energy1970=100","GSCI Petroleum1970=100","GSCI Non-Energy1970=100","GSCI Reduced Energy Index (CPW 2)1970=100","GSCI Light Energy Index (CPW 4)1970=100","GSCI Industrial Metals1970=100","GSCI Precious Metals1970=100","GSCI Agriculture1970=100","GSCI Livestock1970=100","GSCI Softs1970=100","Reuters Index of Commodity Prices1931.09.18=100","CRB BLS Spot Index1967=100","PDS 원자재 지수2015.01.02=100","PDS 귀금속 하위지수2015.01.02=100"
20180718,65.24,83.1195,171.3,191.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2268.18,432.46,118.978,96.755
20180717,64.07,82.8235,170.68,191.09,454.3,227.23,249.32,316.5,414.87,378.93,341.87,1616.74,279.07,243.8,87.82,2268.57,432.95,119.068,97.218
20180716,64.56,82.8425,170.71,191.17,450.73,226.54,248.43,316.6,414.32,378.64,343.98,1633.46,276.18,246.31,87.78,2263.11,435.05,120.361,97.297
20180713,64.04,83.8306,172.72,193.73,463.37,236.02,259.34,317.22,423.15,384.22,346.01,1635.37,276.49,245.79,87.63,2272.06,436.1,120.828,97.62
20180712,64.06,84.0096,173.08,194,461.47,234.14,256.98,318.32,422.23,384.11,346.84,1641.07,277.19,247.65,88.36,2263.35,434.89,120.711,98.023
20180711,63.34,83.44,171.9,192.83,459.38,233.6,256.2,315.51,419.86,381.54,344.85,1634.47,273.23,246.64,87.32,2278.5,438.66,123.14,98.223
20180710,63.9,85.76,176.67,198.29,480.64,246.63,271.3,324.27,437.32,395.63,353.48,1647.71,280.76,257.9,88.83,2305.6,438.05,123.109,99.226
20180709,63.92,86.13,177.41,198.23,481.11,245.63,269.96,327.85,438.85,398.01,357.98,1650.49,283.95,261.37,88.27,2309.85,436.81,122.625,98.368
20180706,63.84,86.21,177.55,198.05,480.73,244.64,268.67,329.69,439.21,398.97,353.06,1642.59,287.62,268.2,88.08,2309.35,436.22,122.542,98.358
20180705,63.14,85.53,176.14,196.21,478.61,244.01,268.04,327.04,436.87,396.49,354.92,1646.41,280.57,269.05,86.37,2310.55,437.34,122.82,98.445
20180704,64.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2303.25,437.34,123.093,98.071
20180703,64.55,85.92,176.94,197.48,481,245.63,269.75,327.62,438.69,397.82,360.56,1639.62,278.95,269.15,86.76,2329.52,437.86,122.989,98.012
20180702,64.54,85.73,176.53,197.5,479.57,244.91,268.96,326.63,437.38,396.63,363.2,1623.59,276.93,267.55,87.37,2331.86,439.11,124.134,98.362
20180629,65.02,87.41,179.95,200.39,487.44,248.42,272.72,333.33,445.01,403.96,369.17,1642.41,285.73,269.54,90.08,2335.29,437.2,122.042,98.591
20180628,64.44,86.79,178.67,198.89,481.55,245,268.73,330.4,440,399.74,370.7,1636.66,281.89,263.54,89.83,2323.72,438.33,122.192,99.022
20180627,64.6,87.14,179.38,198.95,481.23,244.06,267.49,332.22,440.4,400.72,373.77,1644.69,284.72,261.18,89.85,2303.79,439.42,121.418,99.349
20180626,66.62,86.53,178.11,197.24,473.06,237.93,260.65,331.83,434.69,397.12,372.15,1650.13,284.83,260.56,91.07,2307.42,440.3,121.088,100.081
20180625,65.49,86.17,177.37,195.34,466.27,232.35,254.3,332.77,430.37,394.9,373.2,1661.5,286.08,259.72,90.86,2322.93,443.21,121.529,100.196
20180622,65.34,87.32,179.7,197.53,471.45,#N/A,#N/A,338.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2347.49,444.11,122.102,99.671
20180621,64.88,86.42,177.84,194.4,460.73,226.39,247.24,337.28,428.11,395.36,376.2,1663.35,290.24,267.04,90.29,2347.43,445.16,122.908,100.123
20180620,65.49,86.78,178.57,194.98,463.76,228.83,250.06,337,430.08,396.44,376.36,1667.82,289.23,267.34,90.37,2333.39,443.83,122.868,100.4
20180619,66.45,86.58,178.15,193.82,462.65,227.93,249.29,337.09,429.35,396.04,377.64,1672.78,287.22,270.1,89.72,2348.68,446.95,123.404,101.306
20180618,68.49,87.63,180.3,196.18,467.39,229.77,251.21,341.84,434.18,400.88,384.98,1675.79,292.77,270.31,91.85,2371.17,449.96,123.242,102.932
20180615,#N/A,87.7,180.42,196.24,463.62,226.2,246.84,343.62,432.21,400.41,385.75,1674.34,297.11,268.13,93.14,2379.48,450.94,124.19,103.612
20180614,68.49,89.22,183.53,199.01,474.14,232.78,254.63,347.62,440.74,407.19,394.6,1717.52,300.69,263.56,94.75,2396.07,451.35,124.549,102.758
20180613,67.02,89.97,185.06,200.09,478.02,233.9,255.96,352.51,445.03,411.76,399,1706.47,306.86,267.92,95.22,2399.67,451.96,124.356,102.836
20180612,67.23,89.9,184.91,200.14,476.47,232.38,254.28,353.41,444.28,411.67,398.88,1703.02,309.41,266.91,95.2,2384.15,450.01,124.488,102.667
20180611,66.75,89.65,184.38,199.39,475.35,232.75,254.65,350.14,442.42,409.22,400.13,1707.96,302.47,265.39,94.57,2396.92,450.3,124.458,102.469
20180608,#N/A,89.98,185.03,200.04,476.17,232.28,254.34,353.05,443.96,411.33,401.73,1705.01,305.42,270.35,94.6,2375.73,447.02,125.236,102.52
20180607,66.84,90.05,185.16,199.49,477.43,233.7,255.8,351.87,444.42,411.13,403.53,1705.97,303.29,267.47,92.26,2388.03,446.27,124.318,102.18
20180606,66.56,89.77,184.58,199.01,471.28,228.86,250.39,352.16,440.32,408.77,403.67,1702.67,303.05,269.46,92.59,2388.53,443.97,124.054,101.442
20180605,66.34,89.7,184.42,199.19,472.2,230.48,252.28,349.75,440.13,407.68,399.26,1702.04,302.48,265.22,91.8,2366.09,443.49,123.961,101.804
20180604,65.47,89.43,183.87,198.86,470.5,229.86,251.4,347.93,438.36,405.88,395.13,1695.12,301.94,263.87,92.89,2355.66,445.63,124.388,101.693
20180601,66.16,90.45,185.94,201.71,477.11,233.46,255.4,351.84,444.19,410.98,391.43,1697.57,310.54,266.81,95.51,2332.44,446.27,125.336,102.487
20180531,65.32,90.72,186.47,202.84,481.43,236.71,259.16,352.03,447.2,412.88,389.08,1704.09,311.99,266.69,96.27,2329.29,445.87,125.088,101.889
20180530,65.78,90.72,186.47,203.29,483.69,238.52,261.53,351.84,448.68,413.69,387.48,1707.1,310.75,270.08,95.28,2350.72,445.48,124.31,101.86
20180529,#N/A,90.28,185.55,201.82,477.08,233.3,255.46,352.19,444.29,411.18,387.27,1702.5,314.76,263.74,95.11,2349.87,444.76,124.515,102.67
20180528,63.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,444.76,124.906,102.67
20180525,63.94,90.92,186.83,203.34,482.07,236.88,259.32,352.87,447.92,413.65,386.31,1710.06,316.55,263.27,93.67,2345.86,444.76,126.239,102.401
20180524,65.54,91.51,188.04,205.66,491.49,244.72,268.28,351.31,453.83,416.58,388.23,1712.46,313.13,261.2,92.91,2332.09,445.23,126.343,101.678
20180523,64.11,91.57,188.15,206.38,495.11,247.64,271.7,350.96,456.18,417.86,386.24,1691.91,314.13,261.85,92.51,2320.83,445.98,126.532,101.995
20180522,64.41,91.42,187.83,206.2,494.83,248.04,272.25,349.31,455.44,416.74,389.37,1696.73,311.04,257.07,92.26,2313.27,445.3,126.047,101.057
20180521,65.3,90.97,186.9,205.69,493.06,247.2,271.64,347.95,453.77,415.18,387.62,1694.98,308.37,258.96,92.56,2303.17,444.84,125.721,101.15
20180518,#N/A,90.41,185.72,203.69,489.13,244.98,268.97,345.83,450.38,412.27,385.58,1694.9,306.72,255.52,90.54,2281.68,443.39,125.218,101.256
20180517,67.49,90.31,185.5,203.56,490.22,246.42,270.59,344.23,450.58,411.74,388.18,1693.17,300.89,258.06,89.52,2283.27,443.55,125.037,101.1
20180516,68.03,90.18,185.23,203.76,489.2,245.56,269.81,344.46,449.96,411.46,387.79,1694.61,301.54,257.96,89.58,2278.95,442.25,124.938,101.668
20180515,67.28,90.12,185.1,203.45,487.51,244.11,268.07,344.85,448.94,411,386.85,1692.14,302.48,259.01,88.87,2277.9,443.62,124.751,103.478
20180514,68.93,90.37,185.59,203.8,486.71,243.06,266.85,345.99,448.78,411.37,388.29,1729.06,300.65,262.67,88.59,2283.22,443.64,124.204,103.974
20180511,67.42,90.04,184.88,203.56,484.43,241.1,264.74,346.54,447.4,410.76,386.57,1733.35,301.48,264.91,89.19,2300.41,444.07,122.491,103.357
20180510,66.83,90.55,185.93,204.52,487.14,242.24,266.05,349.01,450.08,413.39,387.94,1733.82,305,266.67,89.18,2305.18,445.11,122.12,102.693
20180509,66.46,90.1,184.99,203.7,485.64,241.28,265.26,348.53,448.9,412.48,387.46,1719.13,305.9,264.62,89.68,2302.39,444.07,121.263,102.362
20180508,66.8,89.58,183.92,202.09,477.01,234.38,257.38,349.22,443.24,409.35,385.87,1717.77,307.55,266.16,90.32,2298.55,445.45,121.605,102.317
20180507,67.26,89.82,184.41,203.64,482.55,239.01,262.68,348.24,446.69,411.03,387.65,1717,306.2,262.67,90.33,#N/A,446.43,121.005,102.317
