품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","PDS 에너지 하위지수2015.01.02=100","PDS 비철금속 하위지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","PDS 석유화학 하위지수2015.01.02=100","PDS 농산물 하위지수2015.01.02=100","LMEX Index1999.04=1000","US Dollar IndexMar 1973=100","DRAMeXchange Index (DXI)2001.10.01=1000","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000"
20180718,65.24,122.584,104.13,114.707,135.607,80.555,2965,#N/A,27880.19,284.61,2439.47,393.06,2003.79,788.06
20180717,64.07,122.832,104.153,114.707,135.607,80.332,2981,#N/A,27948.36,283.96,2432.91,390.39,1999.27,789.25
20180716,64.56,126.374,104.331,114.707,135.607,81.842,3005,#N/A,28075.44,#N/A,2431.75,389.51,2013.5,786.33
20180713,64.04,125.803,104.464,114.559,137.87,82.283,3010,90.2872,28088.23,290.24,2471.47,404.22,2024.48,786.74
20180712,64.06,125.303,104.955,114.559,137.87,81.535,2990,90.162,28138.71,289.13,2469.69,401.56,2035.74,787.95
20180711,63.34,131.364,106.976,114.559,137.87,83.187,3067,89.8616,27955.24,292.99,2448.64,399.28,2022.94,777.49
20180710,63.9,130.524,107.965,114.559,137.87,84.331,3102,89.7541,27940.71,294.63,2526.33,418.62,2063.83,793.79
20180709,63.92,129.571,106.913,114.277,137.87,85.56,3061,89.6613,27935.27,291.48,2532.26,416.26,2081.98,799.42
20180706,63.84,129.497,108.121,114.277,137.256,84.186,3079,89.5756,27860.25,290.27,2527.01,413.37,2064.68,805.69
20180705,63.14,130.053,108.802,114.277,137.256,83.908,3092,89.8189,27852.21,290.02,2510.74,411.78,2069.5,793.28
20180704,64.2,129.97,110.826,114.277,137.256,83.927,3134,#N/A,27852.26,290.19,#N/A,#N/A,#N/A,#N/A
20180703,64.55,129.696,110.936,114.277,137.256,83.416,3156,90.0426,27896.25,290.24,2519.78,414.62,2084.75,791.07
20180702,64.54,132.225,112.178,114.277,137.256,85.233,3204,90.4184,27892.89,291.82,2511.87,413.75,2077.9,787.71
20180629,65.02,130.461,112.014,114.277,132.055,84.252,3212,89.9734,27944.44,291.45,#N/A,#N/A,#N/A,#N/A
20180628,64.44,130.352,113.006,114.277,132.055,84.604,3238,90.5467,28106.42,290.18,#N/A,#N/A,#N/A,#N/A
20180627,64.6,128.571,112.184,114.277,132.055,83.409,3231,90.5605,28395,287.22,2537.94,415,2129.88,794.89
20180626,66.62,126.85,113.493,114.277,132.055,83.716,3242,90.1171,28380.51,282.85,2511.37,405.2,2130.24,793.79
