품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","Bloomberg(DJ-UBS) Commodity Index1991=100","Bloomberg Commodity Total Return1991=100","TR/CC CRB Index1967=100","S&P GSCI1970=100","GSCI Energy1970=100","GSCI Petroleum1970=100","GSCI Non-Energy1970=100","GSCI Reduced Energy Index (CPW 2)1970=100","GSCI Light Energy Index (CPW 4)1970=100","GSCI Industrial Metals1970=100","GSCI Precious Metals1970=100","GSCI Agriculture1970=100","GSCI Livestock1970=100","GSCI Softs1970=100","Reuters Index of Commodity Prices1931.09.18=100","CRB BLS Spot Index1967=100","PDS 원자재 지수2015.01.02=100","PDS 귀금속 하위지수2015.01.02=100"
20180716,64.62,82.93,170.9,191.24,452.52,226.89,248.88,316.55,414.6,378.79,342.93,1625.1,277.63,245.06,87.8,2266.62,433.49,119.47,97.09
20180709,63.85,84.63,174.36,195.42,469.19,239.2,262.76,320.63,428.28,388.7,349.83,1641.82,278.32,251.87,88.08,2285.87,436.9,122.08,98.29
20180702,64.05,85.85,176.79,197.31,479.98,244.8,268.86,327.75,438.04,397.48,357.94,1638.05,281.02,268.49,87.15,2316.91,437.57,123.12,98.25
20180625,65.23,86.81,178.7,198.16,477.91,241.55,264.78,332.11,438.09,399.29,371.8,1647.08,284.65,262.91,90.34,2318.63,439.69,121.65,99.45
20180618,66.13,86.95,178.91,195.38,465.2,228.23,249.45,338.25,430.43,397.18,378.8,1669.94,289.87,268.7,90.56,2349.63,446,122.9,100.89
20180611,67.37,89.29,183.66,198.97,473.52,231.6,253.27,349.46,440.94,408.05,395.67,1701.86,303.31,266.38,94.58,2391.26,450.91,124.41,102.87
20180604,66.3,89.79,184.61,199.32,473.52,231.04,252.84,350.95,441.44,408.96,400.66,1702.16,303.24,267.27,92.83,2374.81,445.28,124.39,101.93
20180528,65.29,90.54,186.11,202.42,479.83,235.5,257.89,351.98,446.09,412.18,388.82,1702.82,312.01,266.83,95.54,2340.58,445.43,124.83,102.32
20180521,64.66,91.28,187.55,205.45,491.31,244.9,268.64,350.48,453.43,416,387.55,1701.23,312.64,260.47,92.78,2323.04,445.22,126.18,101.66
20180514,67.93,90.28,185.43,203.65,488.55,244.83,268.86,345.07,449.73,411.57,387.34,1700.78,302.46,258.64,89.42,2281,443.29,124.83,102.3
