품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","PDS 에너지 하위지수2015.01.02=100","PDS 비철금속 하위지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","PDS 석유화학 하위지수2015.01.02=100","PDS 농산물 하위지수2015.01.02=100","LMEX Index1999.04=1000","US Dollar IndexMar 1973=100","DRAMeXchange Index (DXI)2001.10.01=1000","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000"
20180716,64.62,123.93,104.2,114.71,135.61,80.91,2983.67,#N/A,27968,284.29,2434.71,390.99,2005.52,787.88
20180709,63.85,128.51,106.25,114.5,137.87,83.38,3046,89.95,28011.63,291.69,2489.68,407.99,2045.79,789.08
20180702,64.05,130.29,110.17,114.28,137.26,84.13,3133,89.96,27870.77,290.51,2517.35,413.38,2074.21,794.44
20180625,65.23,128.8,112.92,114.27,132.06,84.23,3239.4,90.25,28250.49,286.59,2524.66,410.1,2130.06,794.34
20180618,66.13,126.9,115.5,114.15,137.24,84.68,3304.6,90.38,28511.1,282.82,2494.52,392.17,2158.71,803.65
20180611,67.37,129.02,120.26,113.03,137.27,87.38,3465.4,89.37,28594.22,291.08,2553.97,395,2233.1,831.04
20180604,66.3,128.36,118.99,112.71,138.85,88.21,3440,89.05,28624.89,289.67,2564.18,393.09,2240.92,843.39
20180528,65.29,128.85,116.55,111.86,141.16,90.51,3338.4,89.36,26987.66,287.82,2587.32,399.74,2202.49,859.77
20180521,64.66,132.23,116.18,110.81,142.96,89.74,3342,89.06,26770.43,297.2,2621.39,413.82,2197.86,858.72
20180514,67.93,130.22,116.09,110.43,140.94,88.47,3340.8,88.65,27017.33,294.45,2595.38,412.5,2190.26,839.51
20180507,66.95,126.56,115.64,110.54,133.92,89.63,3335.2,88.38,27236.94,288.76,2580.59,403.11,2201.81,845.35
20180430,66.43,123.1,115.42,110.73,132.97,90.24,3294.6,88.07,27708.94,282.13,2551.35,391.29,2178.33,853.06
20180423,66.5,123.48,117.82,110.8,129.64,88.05,3376.8,87.24,28914.22,280.19,2538.01,391.24,2200.04,834.56
20180416,65.97,121.17,118.87,111.78,128.77,88.17,3407.6,85.81,29098.9,274.82,2543.06,384.22,2266,836.27
20180409,64.69,117.78,114.2,113.33,125.08,88.61,3301.2,85.76,29235.64,268.86,2510.3,377.75,2146.02,841.09
20180402,64.05,115.5,111.55,113.56,126.31,87.49,3209.6,86.4,29292.11,263.28,2445.72,363.96,2150.72,829.05
20180326,64.21,117.01,111.32,113.47,125.77,87.15,3194.6,86.02,27653.66,264.87,2461.68,371.45,2160.03,822.38
20180319,66.68,114.18,113.21,113.19,124.23,87.36,3245.4,86.32,27674.36,259.83,2451.9,365.79,2161.9,826.62
20180312,70.66,111.92,114.53,112.98,123.42,89.72,3294.4,86.34,27728.19,256.57,2444.36,354.17,2181.62,845.6
20180305,74.45,111.9,115.2,111.78,125.96,91.14,3302.2,86.21,27650.61,255.1,2457.66,354.24,2191.13,855.76
20180226,78.99,113.49,117.63,110.95,127.43,90.72,3368.4,86.32,27569.61,259.07,2460.5,355.51,2215.06,849.08
20180219,78.51,111.81,119.16,111.23,126.5,88.89,3431.2,85.82,28067.87,259.18,2456.77,356.98,2246.62,833.53
20180212,77.61,108.95,116.46,112.26,124.71,88.64,3357.6,85.4,28187.94,256.34,2423.26,347.14,2263.85,829.43
20180205,76.52,115.03,118.42,112.24,131.18,87.89,3376.6,85.93,28193.42,266.06,2428.42,354.04,2218.07,821.6
20180129,73.5,121.6,119.82,113.27,130.83,87.86,3427.2,85,28600.36,272.95,2499.3,374.37,2271.17,823.49
20180122,75.47,122.44,118.72,113.95,129.07,86.79,3399.2,85.37,29519.57,276.2,2499.56,375.92,2275.51,818.3
