품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","중국 철근 유통재고량10000 tons","중국 선재 유통재고량10000 tons","중국 중후판 유통재고량10000 tons","중국 냉연코일 유통재고량10000 tons","중국 열연코일 유통재고량10000 tons","주요 중국 철광석 항구재고량mmt"
20180716,64.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180709,63.85,457.25,122.8,93.07,117.66,207.65,153.51
20180702,64.05,467.06,126.08,91.1,118.57,208.35,153.42
20180625,65.23,481.9,134.06,88.73,115.74,206.13,155.79
20180618,66.13,478.22,131.74,86.13,113.8,201.17,154.9
20180611,67.37,477.72,132.01,83.32,111.47,195.45,157.23
20180604,66.3,504.23,144,83.87,110.5,194.64,159.15
20180528,65.29,529.11,157,83.44,111.38,195.88,160.4
20180521,64.66,565.88,172.82,82.84,112.43,200.81,158.89
20180514,67.93,607.19,193.13,84.77,112.99,214.28,157.56
20180507,66.95,652.42,199.64,85.07,113.24,221.02,158.76
20180430,66.43,707.7,212.61,85.96,115.14,228.51,160.16
20180423,66.5,751.91,225.35,85.61,116.56,236.94,159.08
20180416,65.97,804.55,246.33,90.01,118.9,241.88,159.83
20180409,64.69,867.69,265.65,95.27,118.86,248.12,160.43
20180402,64.05,919.95,281.73,100.83,119.99,259.34,161.16
20180326,64.21,981.65,314.88,109.18,119.51,273.74,162.82
20180319,66.68,1036.88,333.26,115.42,122.53,271.01,161.35
20180312,70.66,1073.25,355.79,119.95,123.72,277.21,159.73
20180305,74.45,1082.39,356.5,126.08,122.72,279.39,158.32
20180226,78.99,1008.26,331.12,125.29,123.02,266.16,159.56
20180219,78.51,860.8,274.76,125.87,118.06,238.25,#N/A
20180212,77.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180205,76.52,621.15,192.56,98.58,110.13,198.09,152.38
20180129,73.5,518.19,162.71,100.54,108.15,187.13,151.43
20180122,75.47,448.26,137.66,101.25,108.16,178.86,151.82
20180115,75.69,416.68,131.89,101.79,106.62,176.83,153.61
20180108,78.33,388.93,122.65,99.08,106.66,174.58,151.97
20180101,75.76,350.93,112.13,96.25,106.72,170.21,149.23
20171225,73.48,318.37,102.82,97.08,105.2,170.84,146.55
20171218,74.02,310.04,97.27,98.94,104.34,176.73,145.37
20171211,70.47,297.87,93.55,98.4,103.57,180.11,143.39
20171204,69.77,300.48,90.26,97.47,106.4,181.74,142.18
20171127,68.24,316.05,91.82,102.02,106.75,184.74,141.36
20171120,65.35,334.91,97.01,101.46,108.26,194.42,139.85
20171113,62.28,361.7,109.96,104.09,109.89,201.8,138.15
20171106,62.64,399.66,123.6,104.19,110.66,204.64,138.42
20171030,59.26,427.37,131.05,102.83,112.79,207.24,137.42
20171023,61.64,444.58,131.88,102.83,113.86,206.26,135.94
20171016,62.25,449.58,129.57,104.57,116.6,205.32,131.78
20171009,61.19,471.14,130.09,112.52,118.98,213.03,131.47
20171002,61.97,465.96,134.87,116.97,115.93,215.26,#N/A
20170925,63.42,430.22,117.52,104.13,113.77,193.26,133.57
20170918,67.98,461.5,121.59,104.76,115.1,205.5,131.74
20170911,74.71,472.02,116.94,105.3,112.35,205.44,132.61
20170904,76.61,460.18,110.17,103.58,111.94,207.45,133.9
20170828,77.13,448.93,107.72,100.42,111.61,207.76,134.19
20170821,78.59,437.87,105.34,100.61,110.89,205.96,134.73
20170814,74.94,430.19,103.37,101.71,109.94,209.04,136.35
20170807,75.88,422.55,105.64,97.12,107.66,210.21,138.34
20170731,73.32,415.94,108.46,97.2,106.43,217.76,140.37
20170724,69.34,417.94,112.58,95.05,105.92,220.07,142.31
20170717,68.22,400.31,111.41,96.01,106.18,221.91,143.2
20170710,65.03,387.95,112.15,95.66,107.49,220.45,142.87
20170703,63.11,390.18,113.43,100.1,110,225.53,142.29
20170626,62.92,387.75,114.4,100.86,112.3,236.84,144.13
20170619,56.57,389.9,119.29,102.36,114.46,248.09,145.39
20170612,54.73,389.65,119.6,106.52,115.38,259.17,142.36
20170605,55.63,389.96,124.93,110.59,114.63,272.88,144.11
20170529,57.56,397.16,126.2,109.57,114.5,275,140.14
20170522,60.77,399.66,128.39,113.43,112.34,275.21,140.27
20170515,61.69,432.62,136.88,111.64,112.08,277.92,139.42
20170508,60.67,471.93,144.4,114.77,113.99,289.62,137.93
20170501,66.08,499.02,151.18,117.18,113.71,290.64,136.06
20170424,66.89,531.47,160.36,116.21,117.04,297.47,133.33
20170417,65.53,585.02,177.58,117.18,117.61,306.2,131.35
20170410,71.45,632.59,187.03,118.48,116.84,308.17,132.36
20170403,79.34,678.38,190.78,117.98,116.41,309.99,133.74
20170327,81.6,697.47,195.03,116.13,115.84,310.94,134.56
20170320,87.1,732.14,200.27,120.44,114.64,306.47,133.63
20170313,90.46,753.12,205.3,121.25,114.47,308.19,131.82
20170306,88.05,781.29,217.87,121.84,114.6,305.73,131.29
20170227,91.71,830.26,232.1,123.87,116.13,300.41,131.66
20170220,92.67,866.88,245.94,125.7,118.47,287.54,130.81
20170213,91.08,873.68,252.45,128.08,118.65,281.74,129.31
20170206,83.58,820.97,247,126.68,116.65,267.51,128.2
20170130,83.05,697.32,200.27,112.36,111.31,227.15,#N/A
20170123,82.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20170116,81.73,561.87,146.25,97.31,105.92,192.75,119.51
20170109,79.82,450.13,129.52,93.29,104.12,182.97,118.99
20170102,77.59,487.66,123.93,91.8,102.72,178.27,117.32
20161226,79.85,466.34,114.28,90.69,102.22,173.38,114.39
20161219,78.86,451.41,106.46,89.18,102.66,170.37,111.65
20161212,81.83,431.95,100,88.8,104.05,169.31,112.99
20161205,80.81,414.4,97.67,87.78,105.3,174.33,112.43
20161128,77.27,408.03,94.13,88.77,106.07,176.63,112.12
20161121,75.53,389.98,87.64,87.67,106.98,180.35,110.73
20161114,73.84,381.97,85.7,88.71,107.79,181.07,111.35
20161107,72.13,386.17,83.4,87.12,109.48,182.08,109.09
20161031,65.1,389.01,83.7,90.78,111.51,186.39,111.19
20161024,62.26,398.89,86.6,93.38,113.33,198.32,108.29
20161017,58.55,409.64,92.15,95.09,115.39,204.58,106.86
20161010,57.09,431.01,100.13,98.04,116.28,207.4,105.68
20161003,55.86,446.84,113.3,98.87,118.59,217,104.61
20160926,56.48,421.26,107.95,92.67,117.05,203.07,106.48
20160919,56.09,440.53,115.81,93.6,118.14,201.84,102.72
20160912,56,444.04,116.49,92.25,118.01,204.19,104.01
20160905,58.56,440.18,119.7,87.79,118.62,198.75,103.46
20160829,59.13,429.97,114.28,87.97,117.97,200.53,104.24
20160822,61.05,426.27,111.2,86.02,118.25,194.98,105.4
20160815,60.96,415.99,110.95,84.86,120.96,195.69,106.41
20160808,60.47,398.97,111.47,84.99,121.11,196.56,107.54
20160801,61.22,392.75,106.39,84.9,120.74,193.61,108.21
20160725,58.73,385.34,106.82,85.52,120.47,187.69,108.64
20160718,56.33,379.76,104.9,85.68,120.53,184.32,108.84
20160711,58.22,362.54,100.92,86.6,120.17,182.99,108.4
20160704,55.66,366.55,104.33,87.39,122.52,181.08,106.57
20160627,54.28,380.79,109.23,88.7,122.65,185.38,104.61
20160620,51.34,388.72,110.07,87.5,123.18,188.3,102.68
20160613,51.18,406.6,110.27,86.82,123.21,185.38,100.57
20160606,52.27,410.52,109.53,87.06,123.51,181.88,100.7
20160530,49.42,429.95,112.56,87.16,122.28,187.09,100.17
20160523,50.72,441.4,107.07,88.88,121.23,189.66,101.86
20160516,55.05,450.6,104.4,87.86,121.32,191.63,101.78
20160509,55.08,449.18,93.65,87.36,120.14,188.48,99.37
20160502,60.51,439.82,89.31,86.35,118.98,185.86,100.67
20160425,63.82,428.6,87.49,86.35,121.03,185.21,100.08
20160418,64.95,448.42,89.9,86.2,120.02,194.43,99.39
20160411,58.8,483.27,97.94,87.8,121.73,206.65,99.14
20160404,54.57,519.55,106.74,88.15,122.74,215.6,100.72
20160328,54.72,551.74,119.73,88.7,122.91,225.97,99.43
20160321,57.86,576.36,126.22,91.28,122.97,230.67,96.31
20160314,55.12,594.45,137.05,92.15,123.74,235.98,97.5
20160307,60.08,619.66,146.15,95.9,122.71,238.73,96.95
20160229,51.7,647.03,156.55,99.24,126.23,239.94,97.86
20160222,50.56,632.21,159.23,105.22,128.5,238.5,98.19
20160215,47.01,585.76,150.8,107.72,127.83,234.22,98.13
20160208,45.73,508.79,123.75,101.55,124.45,220.94,#N/A
20160201,44.55,#N/A,#N/A,#N/A,#N/A,#N/A,96.57
20160125,41.74,407.67,93.39,87.23,119.81,204.18,98.41
20160118,42.11,374.83,87.81,89.79,119.98,204.87,100.05
20160111,40.67,365.13,84.43,90.85,120.35,207.11,100.63
20160104,43.03,360.33,85.23,88.67,121.9,205.58,99.06
20151228,42.65,359.74,83.76,89.18,124.02,206.32,96.08
20151221,40.77,368.91,84.46,89.47,126.66,209.33,97.43
20151214,39.43,370.54,81.75,91.89,130.75,215.76,94.29
20151207,38.72,375.81,80.88,93.34,131.83,219.62,92.09
20151130,41.42,375.32,78.05,95.14,132.69,222.5,91.49
20151123,44.24,382.65,76.91,96.15,133.93,225.48,89.17
20151116,46,388.84,74.8,96.22,135.88,229.56,86.58
20151109,48.19,390.32,74.34,96.68,136.25,232.99,87.13
20151102,48.94,388.12,76.32,98.44,136.56,239.04,87.11
20151026,50.39,404.48,79,99.73,136.46,244.55,84.45
20151019,52.56,431.12,81.3,102.36,138.19,252.15,83.87
20151012,54.84,454.19,86.62,103.68,139.68,254.99,84.27
20151005,54.28,482.32,92.98,105.78,139.86,258.71,80.93
20150928,55.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20150921,56.45,458.92,81.02,101.92,135.87,248.25,85.52
20150914,57.53,463.87,81.75,99.74,135.98,252.66,82.9
20150907,57.87,474.04,81.83,100.66,136.83,254.29,81.25
20150831,56.5,489.06,84.08,101.52,137.6,259.3,79.94
20150824,54.07,484.69,78.22,101.07,138.82,257.52,80.59
20150817,56.39,494.68,75.85,104.9,139.84,261.77,81.04
20150810,56.57,514.86,79.07,104.24,139.23,264.13,81.67
20150803,56.03,535.81,85.3,104.26,139.11,264.49,81.56
20150727,54.15,562.74,92.27,107.3,139.33,267.13,80.68
20150720,51.88,583.7,99.81,109.34,140.23,271.8,81.75
20150713,50.39,605.26,105.1,112.52,142.59,278.21,81.15
20150706,49.11,626.95,114.22,116.54,142.47,280.9,82.01
20150629,58.15,632.49,120.34,115.53,142.2,280.34,81.77
20150622,61.62,632.19,121.46,114.5,141.37,277,78.71
20150615,62.36,626.89,125.97,113.47,141.45,272.84,79.62
20150608,64.95,626.86,125.99,112.55,142.38,270.67,80.74
20150601,63.89,629.73,128.7,113.06,142.48,273.07,82.73
20150525,62.25,627.49,131.19,112.04,143.16,277.25,83.31
20150518,58.83,634.24,134.53,114.39,144.79,283.17,84.92
20150511,62.42,634.52,137.96,110.69,147.29,286.72,86.56
20150504,59.78,650.85,141.15,110.34,148.19,288.71,89.91
20150427,58.07,662.91,149.87,111.64,148.83,292.95,95.07
20150420,53.86,681.44,153.21,112.26,149.52,298.62,97.16
20150413,50.13,701.05,163.45,112.73,151.3,307.61,97.58
20150406,47.81,721.18,173.32,114.01,150.78,307.05,97.37
20150330,50.16,725.61,180.27,114.5,151.69,311.34,97.24
20150323,55,755.64,192.15,114.31,150.98,309.98,100.13
20150316,56.2,774.14,197.23,115.43,152.34,314.86,99.19
20150309,57.99,797.75,205.63,117.25,153.77,316.93,100.28
20150302,61.25,801.52,208.86,118.76,154.99,314.5,99.38
20150223,63.06,727.59,185.1,118.45,153.42,290.37,98.29
20150216,63.91,670.58,157.48,110.57,149.72,278.3,#N/A
20150209,62.24,559.97,136.65,103.71,145.89,259.02,96.69
20150202,62.47,509.63,126.3,101.4,144.93,254.46,98.48
20150126,63.12,483.45,117.14,102.85,144.33,249.87,99.77
20150119,67.45,468.86,113.65,102.66,142.45,246.58,98.22
20150112,68.92,448.44,105.74,100.8,142.28,243.56,98.91
20150105,71.17,424.42,101.65,99.03,143.38,243.3,98.7
20141229,70.6,421.38,109.68,97.7,144.99,242.24,98.24
20141222,67.26,389.58,97.38,95.37,144.81,236.67,100.59
20141215,68.66,381.8,97.14,94.5,144.56,237.67,102.77
20141208,69.27,381.83,99,92.77,145.7,238.62,104.89
20141201,70.81,383.64,95.74,94.94,146.62,250.62,108.05
20141124,69.96,389.68,89.18,97.74,146.28,248.05,106.89
20141117,71.67,399.07,86.28,98.85,144.8,256.14,108.05
20141110,75.86,409.66,86.5,100.55,143.71,261.29,107.43
20141103,76.86,412.52,91.78,102.67,146.47,270.37,106.24
20141027,79.45,423.42,97.91,103.1,146.16,273.65,107.18
20141020,81.05,446.37,103.84,103.81,146.93,280.17,105.81
