품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 62% [DCE] 2018.09RMB/ton","철광석 62% FE [북중국 수입가(CFR)] 현물USD/dt","철광석 TSI CFR China (62% Fe Fines) Index [SGX] 2018.08USD/ton","철광석 Platts CFR China (Lump Premium) Index [SGX] 2018.08USD/100dmtu","철광석 MB CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton","철광석 TSI CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton","철광석 65% Pellet [중국(수입가)] 현물USD/ton","철광석 Fine 62% [중국(CFR)] 현물USD/dmt","철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","전기동 [LME] Dec1(2019.12)USD/ton","전기동 [LME] 현물USD/ton","전기동 [LME] Dec2(2020.12)USD/ton","전기동 [LME] Dec3(2021.12)USD/ton","전기동 [LME] 3개월(o)USD/ton","전기동 [LME] 3개월(u)USD/ton","알루미늄 [LME] 현물USD/ton","알루미늄 [LME] Dec1(2019.12)USD/ton","알루미늄 [LME] Dec2(2020.12)USD/ton","알루미늄 [LME] Dec3(2021.12)USD/ton"
20180718,466,63.75,63.97,28,48.57,49.85,130.12,#N/A,65.24,6195,6068,6240,6245,6097,6120,2040,2092,2128,2153
20180717,464,63.7,63.73,28,48.49,49.81,130.12,#N/A,64.07,6280,6141.5,6320,6325,6175.5,6174,2110,2130,2165,2190
20180716,464.5,63,63.62,28,48.46,49.77,130.94,#N/A,64.56,6275,6143,6315,6320,6175,6186,2130,2127,2163,2188
20180713,464.5,63.5,63.46,27.5,48.51,49.79,#N/A,#N/A,64.04,6275,6166,6315,6320,6181,6228,2102,2115,2152,2177
20180712,464.5,63.5,63.65,27.5,48.48,49.77,130.61,#N/A,64.06,6285,6173,6315,6320,6192,6207,2104.5,2118,2150,2172
20180711,456.5,62.7,63.25,27.5,48.82,50.13,131.35,#N/A,63.34,6285,6182,6310,6315,6195,6095,2120.5,2138,2170,2190
20180710,461,63.2,63.19,27.5,48.81,50.19,130.66,#N/A,63.9,6395,6308,6420,6425,6315,6328,2140.5,2157,2183,2203
20180709,457,63.25,63.1,27.5,48.79,50.2,130.2,#N/A,63.92,6465,6383,6490,6495,6385,6395,2135.5,2145,2170,2190
20180706,457.5,62.65,62.83,28,48.84,50.19,129.68,#N/A,63.84,6415,6326,6440,6445,6330,6288,2098.5,2115,2142,2162
20180705,455.5,62.5,62.97,28,48.89,50.32,129.12,#N/A,63.14,6480,6399.5,6500,6505,6395,6336,2127,2143,2168,2188
20180704,462.5,63.35,63.83,29.5,48.99,50.61,#N/A,#N/A,64.2,6550,6459,6570,6575,6464,6375,2120.5,2138,2163,2183
20180703,464,63.75,64.05,28,49.54,51.23,128.92,#N/A,64.55,6665,6584.5,6685,6690,6581,6538,2165,2165,2190,2208
20180702,465,63.8,64.13,29.5,49.62,51.35,129.79,#N/A,64.54,6670,6595,6690,6695,6590,6560,2153,2157,2178,2198
20180629,472,64.45,64.66,31,48.54,49.31,129.09,#N/A,65.02,6725,6646,6745,6750,6645,6634,2183,2188,2210,2230
20180628,466.5,63.95,64.37,29.25,48.86,49.52,128.38,#N/A,64.44,6725,6650,6745,6750,6647,6621,2173,2180,2202,2220
20180627,463.5,63.8,63.95,27.5,49.2,49.8,128.38,#N/A,64.6,6765,6688,6780,6785,6690,6737,2204.5,2220,2242,2257
20180626,462.5,64.65,64.2,27,49.18,49.74,127.68,#N/A,66.62,6795,6712,6810,6815,6720,6709,2152,2165,2185,2200
20180625,464.5,64.6,64.42,25.5,49.67,50.17,127.84,#N/A,65.49,6855,6783,6870,6875,6785.5,6762,2172,2188,2210,2225
20180622,455,63.9,64.21,25,48.68,49.11,128.43,#N/A,65.34,6880,6811,6895,6900,6810,6781,2166,2198,2220,2235
20180621,455.5,63.85,64,24,48.7,49.14,127.55,#N/A,64.88,6880,6801,6900,6905,6801,6807,2167,2195,2217,2232
20180620,452,64.25,64.3,23,49.08,49.53,129.55,#N/A,65.49,6920,6819,6940,6945,6828,6786,2179,2205,2223,2235
20180619,455,64.25,63.95,23,49.1,49.54,129.55,#N/A,66.45,6930,6820,6945,6950,6837,6857,2179,2208,2225,2238
20180618,#N/A,66,65.6,23,49.63,50.08,#N/A,#N/A,68.49,7080,6987,7095,7100,6988,6932,2220.5,2243,2260,2273
20180615,472,#N/A,65.89,23,49.61,49.93,130.27,#N/A,#N/A,7240,7136,7255,7260,7143,7031,2239.5,2250,2265,2275
20180614,472.5,66,66.2,23,49.61,49.93,130.77,#N/A,68.49,7295,7197,7310,7315,7201,7174,2277.5,2280,2293,2298
20180613,469.5,65.8,65.7,21.5,49.57,49.75,129.41,#N/A,67.02,7305,7201.5,7320,7325,7211,7248,2278,2287,2297,2302
20180612,469.5,65.95,65.85,19.9,49.41,49.43,129.12,#N/A,67.23,7305,7200.5,7320,7325,7220,7246,2309,2315,2325,2330
20180611,469,65.7,65.48,19.5,49.05,48.84,129.12,#N/A,66.75,7305,7223.5,7320,7325,7222,7262,2300,2307,2315,2320
20180608,467,65.1,64.97,19.5,49.4,49.04,129.12,#N/A,#N/A,7355,7262.5,7370,7375,7268,7330,2287.5,2302,2310,2315
20180607,472.5,65.15,65.38,19.75,49.24,48.8,129.4,#N/A,66.84,7355,7245.5,7380,7385,7259,7342,2331,2330,2340,2345
20180606,471,65.2,65.37,19.75,49.2,48.61,129.4,#N/A,66.56,7255,7147,7275,7280,7153,7210,2317.5,2313,2320,2325
20180605,462,64.75,64.85,19.75,53.13,52.03,128.81,#N/A,66.34,7085,6971,7105,7110,6985,7065,2314.5,2302,2312,2302
20180604,459,63.85,64.11,18.75,53.14,51.88,128.53,#N/A,65.47,7040,6935,7055,7060,6940,6987,2324.5,2290,2293,2283
20180601,464.5,64.7,64.43,18.25,53.16,52.29,129.25,#N/A,66.16,6930,6814,6950,6955,6825,6885,2271,2250,2248,2238
20180531,461.5,64.3,64.6,19,51.56,50.73,129.56,#N/A,65.32,6925,6825,6945,6950,6834,6864,2285.5,2265,2263,2253
20180530,460.5,64,64,18.75,51.68,50.85,129.22,#N/A,65.78,6910,6810,6925,6930,6820,6817,2265.5,2255,2253,2243
20180529,459.5,#N/A,65.28,18.75,51.74,50.95,129.22,#N/A,#N/A,6960,6841.5,6980,6985,6865,6864,2260,2243,2240,2230
