품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","알루미늄 [LME] 3개월(o)USD/ton","알루미늄 [LME] 3개월(u)USD/ton","니켈 [LME] 현물USD/ton","니켈 [LME] Dec1(2019.12)USD/ton","니켈 [LME] Dec2(2020.12)USD/ton","니켈 [LME] Dec3(2021.12)USD/ton","니켈 [LME] 3개월(o)USD/ton","니켈 [LME] 3개월(u)USD/ton","아연 [LME] 현물USD/ton","아연 [LME] Dec1(2019.12)USD/ton","아연 [LME] Dec2(2020.12)USD/ton","아연 [LME] Dec3(2021.12)USD/ton","아연 [LME] 3개월(o)USD/ton","아연 [LME] 3개월(u)USD/ton","납 [LME] 현물USD/ton","납 [LME] Dec1(2019.12)USD/ton","납 [LME] Dec2(2020.12)USD/ton","납 [LME] Dec3(2021.12)USD/ton"
20180718,65.24,2025,2029,13315,13765,13920,14030,13445,13525,2583,2517,2452,2377,2557.5,2596,2118,2148,2135,2135
20180717,64.07,2065,2051,13460,13885,14035,14145,13555,13575,2548,2483,2420,2345,2522,2515,2164,2190,2175,2175
20180716,64.56,2062,2040,13680,14120,14275,14385,13800,13850,2527,2460,2398,2318,2500,2513,2183,2205,2190,2190
20180713,64.04,2051.5,2043,13870,14300,14455,14565,13975,14000,2607,2538,2477,2397,2575,2580,2162,2193,2178,2178
20180712,64.06,2057,2050,14055,14500,14655,14770,14175,14200,2598,2535,2477,2397,2574,2572,2140,2168,2153,2153
20180711,63.34,2079,2070,13630,14030,14185,14295,13735,13800,2574,2520,2462,2382,2553,2545,2244,2267,2252,2252
20180710,63.9,2109.5,2093,13960,14360,14500,14610,14075,14075,2658,2600,2553,2473,2642,2627,2283,2293,2278,2278
20180709,63.92,2106,2128,13970,14360,14495,14610,14070,14175,2719.5,2640,2563,2483,2698,2726,2321,2365,2345,2345
20180706,63.84,2072,2093,13760,14205,14345,14455,13925,14025,2759,2665,2588,2508,2729,2751,2321,2323,2303,2303
20180705,63.14,2101,2081,14170,14525,14665,14775,14255,14200,2758,2643,2565,2485,2713,2692,2373,2373,2353,2353
20180704,64.2,2100,2086,14100,14470,14610,14720,14200,14100,2797,2668,2578,2498,2744.5,2710,2373,2380,2360,2360
20180703,64.55,2133,2104,14620,14940,15080,15190,14680,14425,2883,2755,2665,2585,2828.5,2807,2405,2405,2385,2385
20180702,64.54,2129.5,2110,14575,14885,15025,15135,14625,14700,2915,2775,2685,2605,2860.5,2855,2398,2402,2383,2383
20180629,65.02,2160,2143,14910,15250,15390,15500,15000,14900,2948,2832,2752,2672,2910,2886,2432,2443,2423,2423
20180628,64.44,2155,2150,14720,15055,15195,15305,14790,14850,2938,2825,2745,2665,2899,2876,2407,2420,2402,2402
20180627,64.6,2198,2195,14700,15045,15185,15295,14775,14950,2921,2817,2747,2665,2877.5,2922,2430,2445,2425,2425
20180626,66.62,2143,2140,14570,14875,15015,15125,14605,14825,2895,2783,2713,2630,2843.5,2842,2408,2423,2403,2403
20180625,65.49,2167,2161,15060,15385,15505,15600,15125,15050,2954,2832,2762,2683,2891,2849,2414,2437,2418,2418
20180622,65.34,2172,2170,15255,15600,15720,15820,15325,15275,2993,2875,2798,2708,2931,2927,2389,2415,2395,2395
20180621,64.88,2166,2172,14980,15335,15455,15555,15060,15025,3021.5,2910,2833,2728,2965.5,2961,2385,2410,2390,2390
20180620,65.49,2176.5,2167,14850,15130,15250,15345,14855,14880,3056,2958,2882,2777,3013,3001,2397,2430,2410,2410
20180619,66.45,2179,2185,14545,14895,15015,15110,14615,14725,3044,2965,2880,2775,3023,3018,2402.5,2433,2413,2413
20180618,68.49,2215.5,2212,14970,15280,15385,15485,15020,15010,3108,3005,2922,2817,3075,3066,2411.5,2448,2428,2428
20180615,#N/A,2233,2217,15265,15595,15700,15795,15350,15190,3189,3080,2995,2890,3150,3099,2431,2455,2435,2435
20180614,68.49,2266.5,2266,15245,15520,15620,15720,15255,15150,3220,3108,3018,2913,3186,3164,2464,2482,2457,2457
20180613,67.02,2276,2275,15180,15505,15605,15700,15250,15650,3228,3118,3028,2923,3196,3204,2461,2480,2455,2455
20180612,67.23,2310.5,2310,15295,15630,15730,15825,15375,15250,3229,3110,3020,2915,3196,3193,2458,2483,2458,2458
20180611,66.75,2297,2293,15310,15590,15690,15785,15340,15325,3221,3117,3027,2922,3195.5,3201,2480,2492,2467,2467
20180608,#N/A,2299.5,2303,15240,15555,15665,15765,15305,15500,3183.5,3075,2985,2880,3166.5,3179,2468,2480,2455,2455
20180607,66.84,2337,2302,15750,16000,16110,16210,15760,15710,3215,3100,3010,2905,3191.5,3185,2545,2548,2523,2523
20180606,66.56,2323,2323,15640,15940,16050,16150,15700,15700,3205,3093,3003,2898,3186,3188,2510.5,2517,2492,2492
20180605,66.34,2315.5,2322,15415,15735,15845,15945,15500,15775,3175,3073,2983,2878,3156.5,3167,2504,2513,2488,2488
20180604,65.47,2321,2340,15280,15545,15665,15765,15295,15350,3094,3000,2910,2805,3087.5,3097,2428,2438,2413,2413
20180601,66.16,2271,2282,15150,15465,15585,15685,15200,15325,3089,2998,2908,2803,3088.5,3083,2430,2443,2418,2418
20180531,65.32,2286,2304,15200,15480,15600,15700,15210,15290,3100,3020,2920,2810,3107.5,3102,2445.5,2458,2433,2433
20180530,65.78,2272.5,2274,14870,15195,15315,15415,14925,15055,3107,3035,2950,2845,3112,3127,2421,2432,2407,2407
20180529,#N/A,2263,2257,14880,15190,15295,15395,14920,14860,3080,3013,2920,2800,3086,3084,2423,2430,2405,2405
20180528,63.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180525,63.94,2285,2274,14840,15180,15285,15380,14900,14805,3048,2982,2888,2768,3052.5,3043,2465,2468,2443,2443
20180524,65.54,2271,2281,14525,14880,14985,15080,14590,14875,3022,2967,2877,2757,3029.5,3026,2502,2503,2478,2478
20180523,64.11,2240.5,2261,14510,14860,14965,15050,14570,14510,3006,2953,2858,2738,3015,3009,2441,2453,2428,2428
20180522,64.41,2274,2285,14700,15065,15170,15255,14770,14770,3038.5,2985,2890,2750,3053,3065,2448,2468,2443,2443
20180521,65.3,2280,2286,14615,14960,15065,15150,14665,14710,3098,3013,2913,2762,3103,3096,2360,2378,2353,2353
20180518,#N/A,2293.5,2268,14750,15120,15225,15310,14850,14800,3080.5,2998,2908,2795,3084,3095,2330.5,2365,2340,2340
20180517,67.49,2260.5,2286,14580,14885,14990,15075,14590,14635,3053,2995,2905,2792,3063,3077,2325,2353,2328,2328
20180516,68.03,2312.5,2325,14410,14755,14860,14945,14470,14495,3055,3000,2910,2802,3062,3074,2321,2345,2320,2320
20180515,67.28,2310.5,2317,14490,14845,14950,15035,14555,14435,3060.5,3048,2972,2872,3080,3060,2346,2365,2340,2340
20180514,68.93,2296,2311,14320,14640,14745,14830,14355,14425,3020.5,3008,2928,2828,3045,3065,2380,2397,2372,2372
20180511,67.42,2275,2285,13910,14270,14375,14460,13975,14055,3080,3040,2960,2860,3088,3099,2332,2347,2322,2322
20180510,66.83,2325.5,2329,13810,14130,14235,14320,13840,13890,3072,3035,2965,2865,3087,3093,2300,2308,2283,2283
20180509,66.46,2281,2350,13790,14130,14235,14320,13855,13900,3066,3035,2965,2865,3078,3093,2291,2298,2273,2273
20180508,66.8,2363,2342,13940,14235,14340,14425,13975,13790,3066,3045,2975,2885,3080,3074,2301.5,2300,2275,2275
20180507,67.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180504,#N/A,2307,2333,13835,14155,14260,14345,13890,13925,2968,2960,2900,2815,2977,3038,2274,2275,2250,2250
