품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","납 [LME] 3개월(u)USD/ton","주석 [LME] 현물USD/ton","주석 [LME] 15개월(o)USD/ton","주석 [LME] 3개월(o)USD/ton","주석 [LME] 3개월(u)USD/ton","NASAAC [LME] 현물USD/ton","NASAAC [LME] Dec1(2019.12)USD/ton","NASAAC [LME] 3개월(o)USD/ton","NASAAC [LME] 3개월(u)USD/ton","고철 HMS No.1 [미 동부 Composite가격] 현물USD/lt(long ton)","철근 [SHFE] 2018.10RMB/ton","철근 고장력 HD10mm [국내(1차 유통가)] 현물KRW/ton","냉연코일 1.0x4x8mm [국내(1차 유통가)] 현물KRW/ton","열연코일 4.5x4x8 ~ 5.9x4x8mm [국내(1차 유통가)] 현물KRW/ton","선재 [SHFE] 2018.10RMB/ton","중후판 12(mm)x8(ft)x20(ft) [국내(1차 유통가)] 현물KRW/ton","H형강 소형 [국내(1차 유통가)] 현물KRW/ton","GI SPGC(1종) 1.2mm [국내(1차 유통가)] 현물KRW/ton"
20180718,65.24,2170,19550,19140,19425,19525,1670,1815,1705,1705,#N/A,3940,#N/A,#N/A,#N/A,4067,#N/A,#N/A,#N/A
20180717,64.07,2183,19500,19120,19405,19500,1681,1820,1710,1715,#N/A,3926,#N/A,#N/A,#N/A,4067,#N/A,#N/A,#N/A
20180716,64.56,2192,19605,19365,19625,19475,1690,1830,1720,1720,345.17,3961,670000,810000,750000,4146,760000,820000,890000
20180713,64.04,2185,19775,19360,19625,19700,1670,1805,1695,1705,#N/A,3974,#N/A,#N/A,#N/A,4060,#N/A,#N/A,#N/A
20180712,64.06,2162,19575,19230,19475,19700,1665,1805,1695,1710,#N/A,3937,#N/A,#N/A,#N/A,4060,#N/A,#N/A,#N/A
20180711,63.34,2232,19445,19075,19305,19350,1707,1840,1730,1730,#N/A,3870,#N/A,#N/A,#N/A,4060,#N/A,#N/A,#N/A
20180710,63.9,2291,19850,19585,19795,19730,1686,1830,1720,1720,#N/A,3861,#N/A,#N/A,#N/A,4060,#N/A,#N/A,#N/A
20180709,63.92,2369,19490,19205,19450,19575,1711,1840,1730,1735,345.17,3790,670000,810000,750000,4060,760000,820000,890000
20180706,63.84,2337,19425,19095,19330,19400,1700,1840,1725,1725,#N/A,3770,#N/A,#N/A,#N/A,4060,#N/A,#N/A,#N/A
20180705,63.14,2353,19585,19275,19510,19525,1696.5,1840,1725,1725,#N/A,3774,#N/A,#N/A,#N/A,4060,#N/A,#N/A,#N/A
