Ç°¸ñºñ±³ Historical Data
Á¶È¸±â°£ :,2008-07-20 ~ 2018-07-18
Ç¥½Ã±âÁØ :,Value(Price)·Î Ç¥½Ã
¼ø¼­ :,ÃÖ±ÙºÎÅÍ(DESC)
º´ÇÕ±âÁØ :,Union
[ÁÖ°£Æò±Õ ±âÁØ]
,"Ã¶±¤¼® 62% [DCE] 2018.09RMB/ton","Ã¶±¤¼® 62% FE [ºÏÁß±¹ ¼öÀÔ°¡(CFR)] Çö¹°USD/dt","Ã¶±¤¼® TSI CFR China (62% Fe Fines) Index [SGX] 2018.08USD/ton","Ã¶±¤¼® Platts CFR China (Lump Premium) Index [SGX] 2018.08USD/100dmtu","Ã¶±¤¼® MB CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton","Ã¶±¤¼® TSI CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton","Ã¶±¤¼® 65% Pellet [Áß±¹(¼öÀÔ°¡)] Çö¹°USD/ton","Ã¶±¤¼® Fine 62% [Áß±¹(CFR)] Çö¹°USD/dmt","Ã¶±¤¼® Fines (Daily) [Áß±¹(¼öÀÔ°¡ CFR)] Çö¹°USD/ton","Àü±âµ¿ [LME] Dec1(2019.12)USD/ton","Àü±âµ¿ [LME] Çö¹°USD/ton","Àü±âµ¿ [LME] Dec2(2020.12)USD/ton","Àü±âµ¿ [LME] Dec3(2021.12)USD/ton","Àü±âµ¿ [LME] 3°³¿ù(o)USD/ton","Àü±âµ¿ [LME] 3°³¿ù(u)USD/ton","¾Ë·ç¹Ì´½ [LME] Çö¹°USD/ton","¾Ë·ç¹Ì´½ [LME] Dec1(2019.12)USD/ton","¾Ë·ç¹Ì´½ [LME] Dec2(2020.12)USD/ton","¾Ë·ç¹Ì´½ [LME] Dec3(2021.12)USD/ton"
20180716,464.83,63.48,63.77,28,48.51,49.81,130.39,#N/A,64.62,6250,6117.5,6291.67,6296.67,6149.17,6160,2093.33,2116.33,2152,2177
20180709,460.7,63.23,63.33,27.5,48.68,50.02,130.71,#N/A,63.85,6341,6242.4,6370,6375,6253.6,6250.6,2120.6,2134.6,2165,2186.4
20180702,460.9,63.21,63.56,28.6,49.18,50.74,129.38,#N/A,64.05,6556,6472.8,6577,6582,6472,6419.4,2132.8,2143.6,2168.2,2187.8
20180625,465.8,64.29,64.32,28.05,49.09,49.71,128.27,#N/A,65.23,6773,6695.8,6790,6795,6697.5,6692.6,2176.9,2188.2,2209.8,2226.4
20180618,454.38,64.45,64.41,23.6,49.04,49.48,128.77,#N/A,66.13,6938,6847.6,6955,6960,6852.8,6832.6,2182.3,2209.8,2229,2242.6
20180611,470.5,65.86,65.82,21.38,49.45,49.58,129.74,#N/A,67.37,7290,7191.7,7305,7310,7199.4,7192.2,2280.8,2287.8,2299,2305
20180604,466.3,64.81,64.94,19.5,50.82,50.07,129.05,#N/A,66.3,7218,7112.2,7237,7242,7121,7186.8,2315,2307.4,2315,2314
20180528,460,64.06,64.36,18.7,51.98,51.15,129.51,#N/A,65.29,6931.25,6822.63,6950,6955,6836,6857.5,2270.5,2253.25,2251,2241
20180521,459.5,64.34,64.36,18.65,51.79,51.13,131.07,#N/A,64.66,7004,6862.7,7023,7028,6889.8,6888.8,2264.8,2253.8,2248.8,2234.8
20180514,483.5,67.45,67.59,18.25,51.3,50.66,132.81,#N/A,67.93,6968,6809.1,6990,6995,6843.4,6851.2,2299,2248.8,2227.2,2194.2
