품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","알루미늄 [LME] 3개월(o)USD/ton","알루미늄 [LME] 3개월(u)USD/ton","니켈 [LME] 현물USD/ton","니켈 [LME] Dec1(2019.12)USD/ton","니켈 [LME] Dec2(2020.12)USD/ton","니켈 [LME] Dec3(2021.12)USD/ton","니켈 [LME] 3개월(o)USD/ton","니켈 [LME] 3개월(u)USD/ton","아연 [LME] 현물USD/ton","아연 [LME] Dec1(2019.12)USD/ton","아연 [LME] Dec2(2020.12)USD/ton","아연 [LME] Dec3(2021.12)USD/ton","아연 [LME] 3개월(o)USD/ton","아연 [LME] 3개월(u)USD/ton","납 [LME] 현물USD/ton","납 [LME] Dec1(2019.12)USD/ton","납 [LME] Dec2(2020.12)USD/ton","납 [LME] Dec3(2021.12)USD/ton"
20180716,64.62,2050.67,2040,13485,13923.33,14076.67,14186.67,13600,13650,2552.67,2486.67,2423.33,2346.67,2526.5,2541.33,2155,2181,2166.67,2166.67
20180709,63.85,2080.6,2076.8,13897,14310,14458,14570,14006,14050,2631.3,2566.6,2506.4,2426.4,2608.4,2610,2230,2257.2,2241.2,2241.2
20180702,64.05,2107.1,2094.8,14245,14605,14745,14855,14337,14290,2822.4,2701.2,2616.2,2536.2,2775.1,2763,2374,2376.6,2356.8,2356.8
20180625,65.23,2164.6,2157.8,14792,15122,15258,15365,14859,14915,2931.2,2817.8,2743.8,2663,2884.2,2875,2418.2,2433.6,2414.2,2414.2
20180618,66.13,2181.8,2181.2,14920,15248,15365,15463,14975,14983,3044.5,2942.6,2863,2761,3001.5,2994.6,2397,2427.2,2407.2,2407.2
20180611,67.37,2276.6,2272.2,15259,15568,15669,15765,15314,15313,3217.4,3106.6,3017.6,2912.6,3184.7,3172.2,2458.8,2478.4,2454.4,2454.4
20180604,66.3,2319.2,2318,15465,15755,15867,15967,15512,15607,3174.5,3068.2,2978.2,2873.2,3157.6,3163.2,2491.1,2499.2,2474.2,2474.2
20180528,65.29,2273.13,2279.25,15025,15332.5,15448.75,15548.75,15063.75,15132.5,3094,3016.5,2924.5,2814.5,3098.5,3099,2429.88,2440.75,2415.75,2415.75
20180521,64.66,2270.1,2277.4,14638,14989,15094,15183,14699,14734,3042.5,2980,2885.2,2755,3050.6,3047.8,2443.2,2454,2429,2429
20180514,67.93,2294.6,2301.4,14510,14849,14954,15039,14564,14558,3053.9,3009.8,2924.6,2817.8,3066.8,3074.2,2340.5,2365,2340,2340
20180507,66.95,2311.13,2326.5,13862.5,14191.25,14296.25,14381.25,13911.25,13908.75,3071,3038.75,2966.25,2868.75,3083.25,3089.75,2306.13,2313.25,2288.25,2288.25
20180430,66.43,2279.6,2284.2,13814,14135,14238,14303,13872,13881,3066.6,3023.2,2938.2,2829.2,3075.9,3071,2310.8,2311.2,2286.2,2286.2
20180423,66.5,2271,2265.6,14069,14339,14399,14459,14111,14130,3167.2,3105,3010.6,2884.6,3177.6,3172.6,2331.6,2336,2311,2311
20180416,65.97,2456.2,2440,14711,14903,14986,15077,14732,14720,3178.6,3108.8,3009.8,2866.8,3192.8,3205.8,2354.9,2358.2,2333.2,2333.2
20180409,64.69,2211.5,2224.4,13654,13974,14125,14260,13693,13703,3185.8,3088.2,2935.2,2731.2,3188.9,3177.9,2369.6,2366,2333.4,2330.8
20180402,64.05,1998.75,1996,13198.75,13537.5,13692.5,13825,13241.25,13282.5,3247.38,3108.75,2933.75,2716.25,3241.13,3247.25,2386.75,2375,2340,2340
20180326,64.21,2036.75,2033,13011.25,13342.5,13497.5,13627.5,13050,13092.5,3301.13,3138.75,2953.75,2728.75,3285.13,3278,2394.38,2389.75,2354.75,2354.75
20180319,66.68,2084.5,2075,13337,13683,13838,13968,13380,13349,3233.4,3077.6,2876,2639,3232.2,3220.2,2364,2358.2,2323.2,2323.2
20180312,70.66,2102.1,2091.6,13781,14139,14294,14421,13833,13721,3267.1,3113.6,2908.6,2679.6,3265.3,3241.2,2403.1,2393,2358,2358
20180305,74.45,2126.1,2127.4,13376,13720,13879,14004,13409,13458,3276.3,3113.2,2912.2,2647.2,3274.5,3268.4,2402.3,2397.6,2353.6,2353.6
20180226,78.99,2147,2146.2,13711,14064,14231,14356,13750,13650,3487,3279.6,3068.6,2803.6,3460.4,3450.2,2524,2517.2,2467.2,2467.2
20180219,78.51,2190.9,2189.2,13643,14012,14185,14310,13681,13702,3566.8,3324.6,3098.6,2833.6,3531.8,3531.8,2559,2536.4,2486.8,2486.8
20180212,77.61,2150,2149,13598,13968,14134,14259,13639,13676,3526.8,3279.4,3053,2788,3495.9,3500.6,2572,2530.6,2480.6,2480.6
20180205,76.52,2176.8,2170.4,13279,13638,13806,13931,13309,13290,3505.8,3225.2,3000.8,2735.8,3454.7,3438.8,2580.2,2534.6,2484.8,2484.8
20180129,73.5,2229.7,2223,13687,14030,14200,14325,13650,13591,3589.7,3269,3040,2773.6,3534.6,3521.6,2648.1,2598.6,2548.6,2548.6
20180122,75.47,2231.8,2241.4,13183,13574,13759,13884,13215,13275,3464,3191.6,2977.6,2710.2,3432.1,3436.6,2610.8,2565.4,2515.8,2515.8
20180115,75.69,2215.9,2217.4,12543,12980,13170,13295,12589,12610,3444.2,3149,2934,2667.2,3404,3400.6,2573.7,2551.6,2518.6,2518.6
20180108,78.33,2188.6,2183,12674,13110,13300,13425,12717,12695,3402.7,3114.2,2896.2,2628.4,3376.2,3365.8,2575.6,2545.8,2512.8,2512.8
20180101,75.76,2247.38,2238,12567.5,13011.25,13167.5,13323.75,12610,12568.75,3375.13,3074.5,2859,2590.25,3351.5,3351,2571.75,2550.25,2517.25,2517.25
20171225,73.48,2239,2261.33,12065,12345,12543.33,12728.33,12130,12281.67,3288.17,3212.67,3043.33,2833.33,3279.83,3288.33,2500.17,2515,2490,2450
20171218,74.02,2108.6,2120.8,11837,12098,12286,12458,11885,11958,3207.9,3168.2,3005.2,2810.2,3216.4,3217.6,2530.4,2518,2488,2446.6
20171211,70.47,2026.5,2032.2,11065,11342,11517,11677,11123,11245,3157.3,3124.6,2978.8,2803.8,3158.2,3166.8,2502.4,2490.6,2460.2,2424.4
20171204,69.77,2041,2038.6,11004,11274,11450,11662,11051,11010,3149.8,3103,2959.4,2783.4,3134.8,3119.8,2499.6,2498.4,2466.2,2430
20171127,68.24,2085.4,2090.8,11330,11609,11784,11944,11387,11440,3192.5,3115.6,2944.4,2737.6,3170.2,3182.2,2461.4,2476.8,2466.2,2456.8
20171120,65.35,2097.6,2105.6,11697,11977,12147,12307,11767,11871,3242.2,3130,2915.2,2688.8,3210.7,3217.2,2453.4,2471.2,2461.2,2453.2
20171113,62.28,2107,2108.6,11831,12115,12305,12491,11891,11816,3212.8,3086.6,2913.6,2700.6,3169.3,3170,2446.4,2466.2,2460.2,2454.6
20171106,62.64,2127.8,2127.4,12543,12836,13036,13226,12602,12545,3261.2,3117.8,2934.8,2706.8,3211.1,3204.9,2504.6,2522,2526.2,2529.2
