품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","납 [LME] 3개월(u)USD/ton","주석 [LME] 현물USD/ton","주석 [LME] 15개월(o)USD/ton","주석 [LME] 3개월(o)USD/ton","주석 [LME] 3개월(u)USD/ton","NASAAC [LME] 현물USD/ton","NASAAC [LME] Dec1(2019.12)USD/ton","NASAAC [LME] 3개월(o)USD/ton","NASAAC [LME] 3개월(u)USD/ton","고철 HMS No.1 [미 동부 Composite가격] 현물USD/lt(long ton)","철근 [SHFE] 2018.10RMB/ton","철근 고장력 HD10mm [국내(1차 유통가)] 현물KRW/ton","냉연코일 1.0x4x8mm [국내(1차 유통가)] 현물KRW/ton","열연코일 4.5x4x8 ~ 5.9x4x8mm [국내(1차 유통가)] 현물KRW/ton","선재 [SHFE] 2018.10RMB/ton","중후판 12(mm)x8(ft)x20(ft) [국내(1차 유통가)] 현물KRW/ton","H형강 소형 [국내(1차 유통가)] 현물KRW/ton","GI SPGC(1종) 1.2mm [국내(1차 유통가)] 현물KRW/ton"
20180716,64.62,2181.67,19551.67,19208.33,19485,19500,1680.33,1821.67,1711.67,1713.33,345.17,3942.33,670000,810000,750000,4093.33,760000,820000,890000
20180709,63.85,2247.8,19627,19291,19530,19611,1687.8,1824,1714,1720,345.17,3886.4,670000,810000,750000,4060,760000,820000,890000
20180702,64.05,2366.4,19704,19365,19625,19600,1703.6,1845,1730,1730,345.17,3770.6,670000,810000,750000,4060,750000,820000,890000
20180625,65.23,2425.4,20024,19592,19919,20000,1728.1,1869,1752,1751,338.5,3727.4,670000,810000,750000,4060,750000,820000,890000
20180618,66.13,2409.8,20632,20217,20560,20530,1729.2,1895,1770,1772,338.5,3789,650000,810000,750000,4060,750000,810000,890000
20180611,67.37,2468.4,21079,20621,20973,20960,1734.4,1897,1775,1775,338.5,3847.2,620000,810000,750000,3921,700000,760000,890000
20180604,66.3,2503.2,20915,20497,20847,20980,1724.1,1874,1764,1767,345.17,3761.6,620000,810000,750000,3921,700000,760000,890000
20180528,65.29,2443.25,20668.75,20272.5,20603.75,20612.5,1750.88,1903.75,1798.75,1801.25,345.17,3649.4,590000,810000,750000,3921,700000,730000,890000
20180521,64.66,2445.8,20585,20178,20506,20500,1802.2,1946,1848,1846,345.17,3573.8,590000,810000,750000,3921,700000,730000,890000
20180514,67.93,2360,20856,20429,20776,20780,1814.2,1947,1857,1860,345.17,3670.4,600000,810000,750000,3743.2,700000,730000,890000
20180507,66.95,2321.25,21061.25,20583.75,20926.25,20987.5,1857.5,1980,1898.75,1901.25,348.5,3628.8,590000,810000,750000,2941,700000,730000,890000
20180430,66.43,2305.4,21319,20822,21163,21195,1864.2,1983,1911,1920,358.5,3678.33,590000,810000,750000,2941,690000,730000,890000
20180423,66.5,2325,21495,20918,21227,21130,1918.2,2034,1959,1953,358.5,3556.4,610000,810000,750000,2941,690000,740000,890000
20180416,65.97,2354.8,21585,21038,21366,21430,1953.9,2066,1989,2001,358.5,3441.4,620000,810000,750000,2941,690000,760000,890000
20180409,64.69,2360.6,21168,20708,21040,21009,1879,1989,1910,1908,358.5,3404.2,615000,810000,770000,2941,680000,760000,890000
20180402,64.05,2372.75,21100,20665,21031.25,21068.75,1795.75,1903.75,1828.75,1830,343.5,3360,625000,810000,770000,2941,690000,750000,890000
20180326,64.21,2392,21013.75,20623.75,20928.75,20956.25,1802.88,1908.75,1833.75,1833.75,343.5,3395.4,635000,800000,780000,2941,690000,770000,880000
20180319,66.68,2360,20825,20522,20809,20840,1801.9,1914,1835,1837,343.5,3608.2,650000,790000,780000,3030.2,690000,770000,860000
20180312,70.66,2385.6,21230,20846,21114,21205,1804.2,1908,1833,1840,343.5,3724.6,#N/A,#N/A,780000,3123,#N/A,#N/A,#N/A
20180305,74.45,2388,21557,21170,21427,21470,1818.5,1921,1851,1853,328.5,3892.8,615000,790000,780000,3121,680000,770000,860000
20180226,78.99,2511.4,21723,21342,21601,21600,1811.6,1924,1849,1856,323.5,4015.6,625000,780000,780000,3121,660000,770000,860000
20180219,78.51,2560.6,21662,21228,21524,21542,1858.6,1971,1894,1896,323.5,3889.5,630000,780000,780000,3121,660000,770000,860000
20180212,77.61,2572.2,21645,21195,21500,21495,1776.8,1894,1818.4,1821,323.5,3919.33,625000,780000,780000,3121,660000,800000,860000
20180205,76.52,2562.4,21676,21238,21536,21540,1821.4,1938,1861,1865,326.83,3938.4,635000,780000,780000,3121,660000,750000,860000
20180129,73.5,2626.4,21955,21436,21772,21717,1875.2,1991,1913,1913,326.83,3935.2,650000,780000,780000,3121,680000,730000,860000
20180122,75.47,2615.4,21219,20717,21039,21095,1884.6,1990,1915,1925,326.83,3934.8,665000,780000,800000,3121,680000,740000,860000
20180115,75.69,2569,20518,20147,20442,20455,1882.4,1962,1901.6,1912,326.83,3828,680000,780000,800000,3121,680000,760000,860000
20180108,78.33,2559.8,20118,19809,20086,20062,1861.9,1926,1884,1886,326.83,3817.2,700000,780000,800000,3121,680000,790000,860000
20180101,75.76,2568.75,20076.25,19682.5,19970,19962.5,1884.25,1956.25,1912.5,1915,#N/A,3822.25,690000,780000,800000,3121,670000,760000,860000
20171225,73.48,2511.67,19778.33,19438.33,19726.67,19750,1893.67,1961.67,1916.67,1926.67,296.83,3807,#N/A,#N/A,#N/A,3121,#N/A,#N/A,#N/A
20171218,74.02,2524.8,19364,19011,19313,19395,1873.6,1940,1893,1899,296.83,3846.2,675000,790000,770000,3121,660000,780000,870000
20171211,70.47,2505.8,19159,18729,19061,19100,1842.4,1900,1853.3,1858,296.83,3863,675000,790000,770000,3121,650000,810000,870000
20171204,69.77,2486.6,19552,19120,19474,19465,1804.1,1868,1821,1829,266.83,3954.8,670000,790000,740000,3121,620000,740000,870000
20171127,68.24,2476.8,19614,19154,19505,19535,1834.6,1896,1846,1860,266.83,3915.2,670000,790000,740000,3121,620000,750000,870000
20171120,65.35,2470,19516,19045,19424,19473,1872,1945,1894.1,1904,266.83,3763.2,660000,790000,750000,3381,620000,770000,870000
20171113,62.28,2454,19567,19094,19473,19440,1886.4,1958,1904.2,1915,266.83,3734.6,655000,790000,780000,3446,630000,770000,870000
20171106,62.64,2514.2,19581,19095,19481,19495,1867.6,1943,1890.2,1897,263.5,3754.6,665000,790000,780000,3446,640000,780000,870000
20171030,59.26,2445.8,19663,19112,19488,19495,1861.9,1952,1895,1902,263.5,3611.2,665000,880000,780000,3446,650000,780000,870000
20171023,61.64,2471,19887,19341,19724,19745,1901,1980,1924,1929,263.5,3689.4,675000,810000,790000,3446,650000,780000,870000
20171016,62.25,2510.4,20335,19806,20196,20135,1868.6,1955,1894,1921,263.5,3723.6,685000,810000,800000,3446,670000,790000,870000
20171009,61.19,2532.4,20937,20371,20757,20780,1904,1994,1929,1935,263.5,3639.6,#N/A,#N/A,#N/A,3446,#N/A,#N/A,#N/A
20171002,61.97,2548,21021,20470,20817,20847,1939.2,2020,1958,1962,296.83,#N/A,660000,790000,780000,#N/A,650000,770000,850000
20170925,63.42,2474.4,20894,20359,20678,20715,1926,2001,1951,1954,296.83,3617.4,660000,810000,800000,3446,670000,790000,870000
20170918,67.98,2442.2,20840,20350,20667,20665,1941.5,2016,1966,1983,296.83,3728.6,660000,790000,780000,3446,650000,770000,850000
20170911,74.71,2295.2,20784,20327,20637,20615,1922.8,2004,1949,1966,295.16,3894.4,660000,790000,780000,3446,650000,770000,850000
20170904,76.61,2351.4,20875,20374,20717,20720,1969.7,2047,1994,2004,288.5,4036.8,660000,770000,770000,3416.6,640000,790000,840000
20170828,77.13,2397.25,20755,20235,20532.5,20606.25,1978,2051.25,1996.25,2008.75,288.5,3896.2,660000,750000,750000,3299,600000,740000,840000
20170821,78.59,2378.4,20629,20180,20452,20435,1961.4,2039,1984,1988,288.5,3879.2,650000,750000,750000,3299,600000,760000,840000
20170814,74.94,2400.6,20354,19906,20206,20225,1938.6,2019,1960,1969,288.5,3785.8,635000,750000,720000,3299,600000,760000,840000
20170807,75.88,2373.2,20537,20112,20409,20402,1886.1,1962,1906,1913,288.5,3979.4,625000,750000,690000,3299,580000,760000,840000
20170731,73.32,2343.4,20770,20337,20624,20610,1798.1,1879,1819,1824,270.17,3735.4,635000,740000,690000,3299,580000,760000,840000
