품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","Baltic Dry Index (BDI)1985.01.04","Baltic Capesize Index (BCI)1999.03.01","Baltic Panamax Index (BPI)1998.05.06","Baltic Clean Tanker Index (BCTI)1998.08.03","Baltic Dirty Tanker Index (BDTI)1998.08.03","Baltic Supramax index (BSI)2005.01.01","Baltic Handysize Index (BHSI)2006.05.23","SSY/Pacific Capesize Index1997.1.6=4114","SSY/Atlantic Capesize Index1997.1.6=5000","Howe Robinson Container Index1997.1.15=1000","China Containerized Freight Index (CCFI)1998.1.1=1000","Shanghai Containerized Freight Index (SCFI)2009.10.16=1000","China Coastal Bulk Freight Index (CBFI)2000.1.1=1000","China Newbuilding Price Index (CNPI)2011.07.01=1000","China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000","China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000","China Container Newbuilding Price Index (CNCPI)2011.07.01=1000"
20180718,65.24,1688,3230,1529,494,714,1008,561,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180717,64.07,1721,3335,1530,494,723,1003,561,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180716,64.56,1695,3238,1529,499,738,998,559,6136,9936,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180713,64.04,1666,3156,1527,499,744,995,559,#N/A,#N/A,#N/A,822.94,825.57,1130.14,#N/A,#N/A,#N/A,#N/A
20180712,64.06,1632,3041,1517,500,738,994,558,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180711,63.34,1586,2793,1498,499,741,992,558,#N/A,#N/A,825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180710,63.9,1555,2792,1431,499,732,994,560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180709,63.92,1609,3016,1367,501,729,997,562,6034,9953,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180706,63.84,1622,3086,1347,502,721,999,563,#N/A,#N/A,#N/A,808.55,817.4,1088.39,#N/A,#N/A,#N/A,#N/A
20180705,63.14,1612,3013,1339,502,710,1005,565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
