품목비교 Historical Data
조회기간 :,2008-07-11 ~ 2018-07-09
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","Baltic Dry Index (BDI)1985.01.04","Baltic Capesize Index (BCI)1999.03.01","Baltic Panamax Index (BPI)1998.05.06","Baltic Clean Tanker Index (BCTI)1998.08.03","Baltic Dirty Tanker Index (BDTI)1998.08.03","Baltic Supramax index (BSI)2005.01.01","Baltic Handysize Index (BHSI)2006.05.23","SSY/Pacific Capesize Index1997.1.6=4114","SSY/Atlantic Capesize Index1997.1.6=5000","Howe Robinson Container Index1997.1.15=1000","China Containerized Freight Index (CCFI)1998.1.1=1000","Shanghai Containerized Freight Index (SCFI)2009.10.16=1000","China Coastal Bulk Freight Index (CBFI)2000.1.1=1000","China Newbuilding Price Index (CNPI)2011.07.01=1000","China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000","China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000","China Container Newbuilding Price Index (CNCPI)2011.07.01=1000"
20180709,63.92,1609,3016,1367,501,729,997,562,6034,9953,832,808.55,817.4,1088.39,801,828,855,821
20180702,64.05,1533,2720.25,1340,501.25,709.5,1015.75,568.5,4997,8625,832,808.55,817.4,1088.39,801,828,855,821
20180625,65.23,1335.8,2024.8,1330.2,497.6,728.6,1065.4,586,4977,8038,842,815.89,821.18,1105.5,801,828,855,821
20180618,66.13,1384.4,2110.8,1419.2,507.4,741.8,1093,593.4,5455,8331,843,812.18,751.13,1133.57,794,824,849,810
20180611,67.37,1411.8,2131.4,1481.2,519.6,754.2,1086,590,5372,7908,846,814.83,777.7,1150.02,794,824,849,810
20180604,66.3,1313.6,2001.2,1303.8,538.2,738.8,1067.6,583.4,4631,6911,843,796.65,806.04,1207.08,794,824,849,810
20180528,65.29,1086.25,1400.75,1166,559,767,1064,584,5019,7280,832,788.78,829.09,1217.83,794,824,849,810
20180521,64.66,1157.2,1703.2,1218.6,542.4,755.4,1072.8,589.8,5019,7280,826,789.76,764.34,1240.74,790,819,844,806
20180514,67.93,1385,2360.6,1238.8,530,682,1059.4,587.4,5553,8522,822,785.63,753.83,1222.31,790,819,844,806
20180507,66.95,1455.5,2573.25,1250.25,542,654.75,1051,584.5,5136,8079,812,763.12,778.83,1163.88,790,819,844,806
20180430,66.43,1354.8,2230.2,1269.8,552.6,651.2,1045.6,596.2,4915,8004,793,743.71,776.88,1132.6,790,819,844,806
20180423,66.5,1349.6,2202,1272.2,563.4,643.6,1035.2,613.4,4674,7323,785,744.06,760.67,1136.88,784,811,839,799
20180416,65.97,1136.6,1439.6,1327.2,548.4,636.6,1020.6,624.4,3814,5282,773,750.37,674.58,1058.65,784,811,839,799
20180409,64.69,982.4,948.8,1329,517,635,1016.2,633.2,3502,4995,761,748.16,659.74,989.45,784,811,839,799
20180402,64.05,973.5,849.5,1378,518.5,647,1049.25,646.25,3730,5312,755,757.66,654.17,998.58,784,811,839,799
20180326,64.21,1094.5,1115.75,1535.5,562.25,660.75,1098.75,648.75,3953,5514,746,769.67,658.68,1030.68,784,811,839,799
20180319,66.68,1122.8,1135.6,1604.4,559.6,643.4,1113.6,634.6,4019,5692,734,788.74,646.59,1064.33,778,799,833,797
20180312,70.66,1166.6,1308,1621.4,570.2,644.6,1063.6,621.4,4267,6063,703,809.75,675.46,1027.97,778,799,833,797
20180305,74.45,1202.2,1529.4,1557.6,589.8,654,1019.4,600.4,4432,6511,677,830.88,729.49,1022.71,778,799,833,797
20180226,78.99,1194.8,1599,1507,613,659.8,967.2,561,4652,6818,661,845.48,772.45,1079.79,778,799,833,797
20180219,78.51,1153.75,1710.5,1410,617.5,643,866.5,526,4374,6681,651,848.32,854.19,1063.33,771,791,827,790
20180212,77.61,1101,1721.8,1244,634.4,643.4,825.6,516.8,4674,7164,649,836.6,871.76,1063.38,771,791,827,790
20180205,76.52,1101,1596.4,1292.2,617.2,647,844.8,533.6,4072,6338,645,836.6,871.76,1063.38,771,791,827,790
20180129,73.5,1153.2,1628.6,1416.6,614.2,666.4,883.4,559.2,4387,6825,640,829,883.59,1221.69,771,791,827,790
20180122,75.47,1184.4,1634,1439,583.2,690.4,907.2,582.6,3955,6697,637,819.59,858.6,1386.07,768,787,823,789
20180115,75.69,1162.25,1714.25,1322.5,568,711,910.25,582,4783,7973,631,813,840.36,1416.08,768,787,823,789
20180108,78.33,1345.6,2600.6,1395,620.2,684.6,896.4,589.8,5379,8574,624,791.38,839.72,1477.53,768,787,823,789
20180101,75.76,1301,2553.25,1359.25,654.25,684.75,890.75,605.75,6312.5,8804.5,610,773.28,816.58,1387.18,768,787,823,789
20171225,73.48,1481.4,3265.4,1524.4,721.2,825.4,930.6,631.4,6312.5,8804.5,600,770.64,824.18,1470.86,768,787,823,789
20171218,74.02,1481.4,3265.4,1524.4,721.2,825.4,930.6,631.4,6312.5,8804.5,600,763.75,723.2,1597.83,766,783,822,786
20171211,70.47,1697.4,4097.8,1681,694.6,813.4,942,633.8,6986,10579,599,764.43,727.14,1577.71,766,783,822,786
20171204,69.77,1675.8,4142,1569,683,820.8,944,628.8,6907,10020,593,763.14,703.67,1462.26,766,783,822,786
20171127,68.24,1544.6,3762.4,1382.8,622.4,803.4,934.6,622,6209,8967,592,772.77,732.04,1395.47,766,783,822,786
20171120,65.35,1419.4,3328,1283,598,822.4,878.8,623.8,5830,8596,590,785.2,705.19,1379.5,765,780,822,786
20171113,62.28,1391.2,3181,1327.2,578.4,794.4,862.4,636.6,6066,8894,587,794.47,734.15,1320.85,765,780,822,786
20171106,62.64,1476.2,3222.6,1505.2,544.8,809.2,959.6,653,5674,8277,584,784.29,782.25,1246.06,765,780,822,786
20171030,59.26,1502,3133.6,1518.8,532.8,868,1045,673.8,5903,8452,588,779.47,818.73,1234.48,765,780,822,786
20171023,61.64,1569.6,3198.6,1586,518,909.2,1120.8,687,5729,8345,596,775.54,806.81,1241.43,765,774,822,788
20171016,62.25,1560.2,3104.8,1645,538.6,906.8,1104.6,667.4,5696,7893,613,772.27,747.38,1279.6,765,774,822,788
20171009,61.19,1441,2882.4,1513.8,587,846,1022.6,627.6,5703,8060,615,772.65,724.93,1228.55,765,774,822,788
20171002,61.97,1348.6,2754.6,1308.4,627.8,767,978.8,610.4,5343,7716,616,803.25,715.97,1227.8,765,774,822,788
20170925,63.42,1431,2955.6,1397.2,657,780.4,1049.8,610.8,5948,8408,634,803.25,715.97,1227.8,765,774,822,788
20170918,67.98,1446.8,2872,1520.6,602,753.4,1031.6,574.2,5379,7588,634,812.38,735.91,1271.19,760,768,818,782
20170911,74.71,1356.4,2698.4,1461.4,556.2,731,931.2,521.4,5381,7734,628,823.76,774.6,1215.22,760,768,818,782
20170904,76.61,1256,2475,1308.4,620.8,699.2,870.8,495,4800,6998,624,833.61,774.27,1112.74,760,768,818,782
20170828,77.13,1187.75,2305,1199.25,663,671.25,852,482.75,4917,7324,604,839.84,801.95,1087.35,760,768,818,782
20170821,78.59,1229.2,2438.8,1299.8,512.2,626.6,831.8,470.2,5105,7585,604,846.73,821.35,1076.81,759,763,819,784
20170814,74.94,1207.6,2337.6,1310.4,524.8,618.8,779.6,464.6,4457,6874,580,853.79,859.92,1137.33,759,763,819,784
20170807,75.88,1070.8,1773.2,1200.8,554,617.8,758.4,469.2,4046,6151,570,856.5,878.27,1149.79,759,763,819,784
20170731,73.32,991.8,1454,1121.4,549.6,630,773,487.2,3503,5186,561,865.5,897.28,1143.06,759,763,819,784
20170724,69.34,960,1175,1184,549,645.2,804.2,499.6,3492,5172,541,874.38,925.45,1155.56,759,763,819,784
20170717,68.22,946.6,1038.4,1239.6,547.6,647.4,795.8,494.4,3194,4798,547,877.33,837.42,1152.94,764,768,823,789
20170710,65.03,859.4,838.4,1108.4,561.8,647.4,746.6,480.2,2874,4447,545,859.88,861.91,1141.99,764,768,823,789
20170703,63.11,850.2,900.2,1063,570.8,653.4,741.4,469.8,3203,4899,523,851.59,889.38,1079.09,764,768,823,789
20170626,62.92,907.4,1094.6,1131.2,566.8,670.6,756,460.4,3057,4757,529,851.6,918.83,1079.65,764,768,823,789
20170619,56.57,852.8,1055.8,1063.6,538,689.2,725.4,444.2,3474,5229,538,851.26,827.27,1125.08,766,769,825,793
20170612,54.73,862.2,1355,900.6,524.6,702,678.6,428.2,3740,5498,549,845.54,838.36,1107.26,766,769,825,793
20170605,55.63,826.6,1383.4,792.2,543.6,713.2,655.8,430.8,3657,5363,565,841.59,869.5,993.93,766,769,825,793
