,target,x1,x2,x3,x4,x5,x6,x7,x8,x9
396,148.55,145.06,291.37,8320.2,23554.0,2658.25,2340.9,168.9,2420.0,137.22
397,147.96,146.11,293.49,8355.2,24267.0,2670.15,2387.3,167.84799999999996,2346.5,139.46
398,140.81,141.03,283.28,8158.5,24281.0,2606.08,2333.2,168.18,2262.8,141.18
399,138.96,139.82,280.84,7994.6,23270.0,2544.06,2291.8,171.426,2257.0,144.48
400,136.12,138.45,278.08,7784.7,22805.0,2482.13,2201.0,173.135,2189.6,146.52
401,137.22,137.66,276.47,7633.6,23156.0,2434.94,2123.0,172.30599999999995,2194.3,143.39
402,139.46,135.38,271.89,7571.5,22280.0,2395.35,2109.0,172.886,2153.8,138.99
403,141.18,132.8,266.69,7538.25,21271.25,2358.93,2084.38,174.94,2091.63,132.91
404,144.48,130.17,261.41,7194.1,20581.0,2285.05,2021.7,174.78400000000005,1988.0,120.81
405,146.52,132.29,265.67,7304.3,21730.0,2318.88,2108.2,173.832,2083.2,116.97
406,143.39,133.29,267.67,7246.8,21780.0,2315.0,2154.3,173.128,2082.4,124.17
407,138.99,136.02,273.13,7376.3,21703.0,2358.53,2203.0,173.178,2160.3,135.54
408,132.91,130.91,262.87,7121.6,20504.0,2255.65,2067.0,175.524,1994.2,141.48
409,120.81,128.54,258.1,6745.3,19393.0,2180.65,1973.6,178.21200000000005,1836.4,143.01
410,116.97,127.33,255.66,6645.4,19312.0,2154.73,1983.6,177.31599999999997,1795.5,144.56
411,124.17,125.78,252.55,6565.9,19015.0,2155.54,1952.0,180.23,1770.9,140.74
412,135.54,125.25,251.48,6536.9,19568.0,2140.75,1948.7,178.998,1737.6,139.4
413,141.48,127.73,256.44,6554.6,19503.0,2181.88,1929.2,174.408,1783.3,155.23
414,143.01,128.4,257.78,6524.7,19676.0,2165.87,1951.9,179.048,1696.3,169.42
415,144.56,123.6,248.15,6259.5,18638.0,2089.43,1885.8,180.758,1621.5,173.81
416,140.74,123.65,248.23,6597.63,19472.5,2124.03,1943.38,176.2875,1680.5,175.19
417,139.4,124.57,250.08,6818.6,21471.0,2205.0,2008.1,179.612,1772.2,178.58
418,155.23,124.26,249.44,6586.2,21166.0,2186.22,1984.7,168.38,1764.6,170.06
419,169.42,130.13,261.22,7019.7,22584.0,2328.57,2086.1,166.732,2010.3,159.23
420,173.81,130.86,262.67,6948.38,23012.5,2312.88,2093.88,163.9375,2008.88,152.48
421,175.19,134.25,269.47,7515.1,26227.0,2419.21,2210.1,162.762,2246.3,145.54
422,178.58,134.83,270.63,7686.0,26788.0,2466.98,2321.7,163.09,2255.1,137.48
423,170.06,135.69,272.34,7893.0,26263.0,2501.36,2408.2,163.39600000000004,2322.4,130.29
424,159.23,134.86,270.67,7887.5,24687.5,2466.65,2326.13,164.608,2248.88,131.18
425,152.48,132.69,266.31,7783.0,24643.75,2402.29,2277.63,166.174,2148.13,129.95
426,145.54,130.79,262.49,7370.6,22543.0,2311.37,2198.8,166.40599999999995,2078.5,125.49
427,137.48,132.88,266.68,7419.3,22075.0,2350.07,2228.2,165.808,2211.5,124.12
428,130.29,133.44,267.79,7463.0,21923.0,2348.93,2213.7,166.21599999999995,2244.2,121.98
429,131.18,134.37,269.64,7425.9,22161.0,2328.35,2149.1,168.5725,2175.4,120.0
430,129.95,133.09,267.08,7143.0,20360.0,2253.01,2085.1,169.018,2214.1,124.93
431,125.49,134.32,269.55,7035.9,19839.0,2284.72,2065.6,168.22,2227.1,126.5
432,124.12,129.98,260.82,6572.6,17742.0,2141.29,2003.2,170.58,2026.3,122.02
433,121.98,129.95,260.75,6641.2,17963.0,2149.15,2041.8,169.658,2027.2,109.74
434,120.0,131.75,264.37,7171.0,18297.0,2245.31,2148.7,168.678,2137.0,106.78
435,124.93,136.33,273.56,7396.4,18705.0,2353.57,2241.8,165.368,2355.5,103.99
436,126.5,139.74,280.41,7472.1,18095.0,2404.67,2281.3,164.778,2463.3,99.32
437,122.02,142.94,286.81,7505.5,18660.0,2408.89,2268.8,168.12400000000005,2517.7,98.58
438,109.74,139.59,280.08,7287.33,18770.0,2324.03,2230.67,171.5375,2385.83,102.33
439,106.78,136.28,273.44,6926.75,17952.5,2278.18,2211.25,172.98,2304.5,101.29
440,103.99,135.29,271.45,6881.6,16937.0,2268.16,2228.0,170.75799999999995,2319.9,97.36
441,99.32,133.13,267.11,6899.4,16188.0,2242.03,2147.6,169.548,2275.6,92.38
442,98.58,136.32,273.52,6991.3,16136.0,2293.82,2074.8,169.95,2367.2,88.77
443,102.33,135.45,271.77,6876.8,16633.0,2239.4,1998.1,169.398,2344.1,86.79
444,101.29,135.65,272.16,6775.9,16804.0,2228.85,1991.8,169.268,2334.1,85.19
445,97.36,132.55,265.94,6522.1,16769.0,2137.93,1914.8,170.172,2268.1,85.24
446,92.38,133.55,267.95,6499.8,17951.0,2128.72,1880.9,173.128,2292.5,85.3
447,88.77,133.67,268.17,6542.6,18695.0,2124.22,1937.3,174.158,2308.6,83.4
448,86.79,137.31,275.49,6451.1,19155.0,2152.61,1909.9,171.766,2313.6,79.58
449,85.19,132.59,266.0,6189.5,18464.0,2091.26,1875.3,170.842,2210.6,76.15
450,85.24,127.97,256.74,6093.1,18249.0,2051.44,1814.4,171.62,2171.2,77.0
451,85.3,125.04,250.86,5984.1,17099.0,1999.06,1807.3,174.1425,2177.4,85.64
452,83.4,125.15,251.06,6110.2,17347.0,2021.53,1834.9,176.042,2191.5,94.75
453,79.58,127.34,255.44,6230.0,17059.0,2044.59,1858.5,178.25400000000005,2158.2,102.2
454,76.15,125.12,250.99,6354.7,17788.0,2042.1,1845.2,180.49,2306.1,99.0
455,77.0,123.87,248.47,6220.13,18171.25,1995.29,1816.25,182.548,2152.75,91.61
456,85.64,127.35,255.45,6340.6,19556.0,1974.33,1867.2,182.512,2033.4,87.05
457,94.75,126.41,253.57,6083.2,19346.0,1930.43,1923.9,182.59,1813.3,81.83
458,102.2,129.48,259.7,6233.4,20349.0,1976.72,1979.1,180.644,1856.5,79.85
459,99.0,131.31,263.38,6004.0,19316.0,1987.13,1964.8,179.03599999999997,1897.2,76.9
460,91.61,123.27,247.22,5577.5,16948.0,1848.03,1820.0,181.978,1782.5,76.05
461,87.05,122.11,244.9,5422.4,16187.0,1808.59,1722.8,183.438,1693.9,74.94
462,81.83,117.16,234.97,5107.4,15485.0,1712.75,1605.5,187.766,1590.3,72.24
463,79.85,115.28,231.18,4876.4,15266.0,1674.46,1560.9,186.322,1636.2,68.31
464,76.9,122.99,246.64,5046.5,16001.0,1743.26,1609.8,186.814,1706.5,64.45
465,76.05,123.17,246.99,4929.3,15175.0,1729.78,1602.1,186.96,1661.2,64.15
466,74.94,125.83,252.32,4989.6,14922.0,1739.2,1596.2,184.378,1671.8,63.67
467,72.24,128.47,257.59,5133.9,15081.0,1799.64,1618.2,183.152,1726.8,61.38
468,68.31,127.38,255.41,4969.9,14290.0,1742.4,1461.5,182.374,1620.0,60.31
469,64.45,122.71,246.03,4653.0,13305.0,1646.18,1386.63,184.166,1450.88,58.73
470,64.15,120.24,241.07,4526.0,12404.0,1619.7,1450.1,183.742,1453.2,59.23
471,63.67,119.83,240.25,4463.6,12604.0,1620.85,1486.9,182.79,1434.0,59.96
472,61.38,117.93,236.42,4685.75,12548.75,1630.2,1508.88,187.805,1447.25,60.48
473,60.31,110.13,220.78,4361.4,11209.0,1538.24,1423.8,197.095,1338.3,59.7
474,58.73,110.03,220.58,4477.7,11509.0,1567.39,1414.1,196.674,1452.4,62.47
475,59.23,113.42,227.37,4705.75,12126.25,1603.47,1459.63,194.414,1494.25,62.37
476,59.96,111.75,224.0,4352.38,10688.75,1528.94,1435.5,194.786,1320.5,64.81
477,60.48,110.32,221.13,4022.2,9787.0,1483.79,1371.3,199.9,1258.2,69.04
478,59.7,112.63,225.76,3966.3,9641.0,1488.03,1384.8,202.222,1281.9,74.98
479,62.47,109.48,219.43,3806.4,9893.0,1454.69,1360.3,209.642,1315.2,81.86
480,62.37,104.87,210.17,3607.1,9637.0,1410.63,1296.5,222.608,1248.6,78.83
481,64.81,104.53,209.49,3537.7,9721.0,1393.32,1290.5,227.252,1104.1,74.25
482,69.04,104.9,210.21,3315.9,9699.0,1371.5,1282.0,220.348,1020.1,73.34
483,74.98,103.25,206.9,3227.0,9812.0,1376.96,1293.4,210.622,1079.7,74.09
484,81.86,110.08,220.57,3424.5,10703.0,1408.46,1372.1,202.968,1151.4,73.64
485,78.83,110.87,222.14,3291.5,11421.0,1386.18,1373.3,202.498,1150.9,72.54
486,74.25,111.52,223.43,3227.6,11265.0,1366.04,1312.4,201.89,1152.0,76.43
487,73.34,111.27,222.93,3202.6,10975.0,1335.76,1335.7,200.486,1115.4,74.15
488,74.09,112.56,225.5,3227.6,10469.0,1360.21,1449.3,198.058,1131.6,69.38
489,73.64,119.64,239.68,3254.9,12238.0,1406.77,1539.3,191.836,1150.4,65.82
490,72.54,115.99,232.36,2907.0,10783.75,1329.76,1463.13,185.9025,958.75,102.97373469387765
491,76.43,111.43,223.23,2843.67,9723.33,1266.86,1493.33,191.3825,895.67,102.97373469387765
492,74.15,112.76,225.9,2961.5,9717.0,1281.61,1433.1,195.566,958.1,102.97373469387765
493,69.38,111.39,223.14,3131.2,9700.0,1289.19,1476.6,208.21400000000003,977.5,102.97373469387765
494,65.82,113.19,226.74,3392.0,9347.0,1295.27,1582.0,213.136,1012.2,102.97373469387765
