품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"AUD/USD (호주 달러 / 미국 달러)"
20180717,0.74
20180716,0.74
20180713,0.74
20180712,0.74
20180711,0.74
20180710,0.74
20180709,0.75
20180706,0.74
20180705,0.74
20180704,0.74
20180703,0.74
20180702,0.73
20180629,0.74
20180628,0.73
20180627,0.73
20180626,0.74
20180625,0.74
20180622,0.74
20180621,0.74
20180620,0.74
20180619,0.74
20180618,0.74
20180615,0.74
20180614,0.75
20180613,0.76
20180612,0.76
20180611,0.76
20180608,0.76
20180607,0.76
20180606,0.77
20180605,0.76
20180604,0.77
20180601,0.76
20180531,0.76
20180530,0.76
20180529,0.75
20180528,0.75
20180525,0.76
20180524,0.76
20180523,0.76
20180522,0.76
20180521,0.76
20180518,0.75
20180517,0.75
20180516,0.75
20180515,0.75
20180514,0.75
20180511,0.75
20180510,0.75
20180509,0.75
20180508,0.74
20180507,0.75
20180504,0.75
20180503,0.75
20180502,0.75
20180501,0.75
20180430,0.75
20180427,0.76
20180426,0.76
20180425,0.76
20180424,0.76
20180423,0.76
20180420,0.77
20180419,0.77
20180418,0.78
20180417,0.78
20180416,0.78
20180413,0.78
20180412,0.78
20180411,0.78
20180410,0.78
20180409,0.77
20180406,0.77
20180405,0.77
20180404,0.77
20180403,0.77
20180402,0.77
20180330,0.77
20180329,0.77
20180328,0.77
20180327,0.77
20180326,0.77
20180323,0.77
20180322,0.77
20180321,0.78
20180320,0.77
20180319,0.77
20180316,0.77
20180315,0.78
20180314,0.79
20180313,0.79
20180312,0.79
20180309,0.78
20180308,0.78
20180307,0.78
20180306,0.78
20180305,0.78
20180302,0.78
20180301,0.78
20180228,0.78
20180227,0.78
20180226,0.79
20180223,0.78
20180222,0.78
20180221,0.78
20180220,0.79
20180219,0.79
20180216,0.79
20180215,0.79
20180214,0.79
20180213,0.79
20180212,0.79
20180209,0.78
20180208,0.78
20180207,0.78
20180206,0.79
20180205,0.79
20180202,0.79
20180201,0.8
20180131,0.81
20180130,0.81
20180129,0.81
20180126,0.81
20180125,0.8
20180124,0.81
20180123,0.8
20180122,0.8
20180119,0.8
20180118,0.8
20180117,0.8
20180116,0.8
20180115,0.8
20180112,0.79
20180111,0.79
20180110,0.78
20180109,0.78
20180108,0.78
20180105,0.79
20180104,0.79
20180103,0.78
20180102,0.78
20180101,0.78
20171229,0.78
20171228,0.78
20171227,0.78
20171226,0.77
20171225,0.77
20171222,0.77
20171221,0.77
20171220,0.77
20171219,0.77
20171218,0.77
20171215,0.76
20171214,0.77
20171213,0.76
20171212,0.76
20171211,0.75
20171208,0.75
20171207,0.75
20171206,0.76
20171205,0.76
20171204,0.76
20171201,0.76
20171130,0.76
20171129,0.76
20171128,0.76
20171127,0.76
20171124,0.76
20171123,0.76
20171122,0.76
20171121,0.76
20171120,0.75
20171117,0.76
20171116,0.76
20171115,0.76
20171114,0.76
20171113,0.76
20171110,0.77
20171109,0.77
20171108,0.77
20171107,0.77
20171106,0.77
20171103,0.77
20171102,0.77
20171101,0.77
20171031,0.77
20171030,0.77
20171027,0.77
20171026,0.77
20171025,0.77
20171024,0.78
20171023,0.78
20171020,0.78
20171019,0.79
20171018,0.78
20171017,0.78
20171016,0.79
20171013,0.79
20171012,0.78
20171011,0.78
20171010,0.78
20171009,0.78
20171006,0.78
20171005,0.78
20171004,0.79
20171003,0.78
20171002,0.78
20170929,0.78
20170928,0.79
20170927,0.79
20170926,0.79
20170925,0.79
20170922,0.8
20170921,0.79
20170920,0.8
20170919,0.8
20170918,0.8
20170915,0.8
20170914,0.8
20170913,0.8
20170912,0.8
20170911,0.8
20170908,0.81
20170907,0.8
20170906,0.8
20170905,0.8
20170904,0.79
20170901,0.8
20170831,0.79
20170830,0.79
20170829,0.8
20170828,0.79
20170825,0.79
20170824,0.79
20170823,0.79
20170822,0.79
20170821,0.79
20170818,0.79
20170817,0.79
20170816,0.79
20170815,0.78
20170814,0.79
20170811,0.79
20170810,0.79
20170809,0.79
20170808,0.79
20170807,0.79
20170804,0.79
20170803,0.8
20170802,0.8
20170801,0.8
20170731,0.8
20170728,0.8
20170727,0.8
20170726,0.8
20170725,0.79
20170724,0.79
20170721,0.79
20170720,0.8
20170719,0.8
20170718,0.79
20170717,0.78
20170714,0.78
20170713,0.77
20170712,0.77
20170711,0.76
20170710,0.76
20170707,0.76
20170706,0.76
20170705,0.76
20170704,0.76
20170703,0.77
20170630,0.77
20170629,0.77
20170628,0.76
20170627,0.76
20170626,0.76
20170623,0.76
20170622,0.75
20170621,0.76
20170620,0.76
20170619,0.76
20170616,0.76
20170615,0.76
20170614,0.76
20170613,0.75
20170612,0.75
20170609,0.75
20170608,0.75
20170607,0.75
20170606,0.75
20170605,0.75
20170602,0.74
20170601,0.74
20170531,0.74
20170530,0.75
20170529,0.74
20170526,0.74
20170525,0.75
20170524,0.75
20170523,0.75
20170522,0.75
20170519,0.75
20170518,0.74
20170517,0.74
20170516,0.74
20170515,0.74
20170512,0.74
20170511,0.74
20170510,0.74
20170509,0.73
20170508,0.74
20170505,0.74
20170504,0.74
20170503,0.74
20170502,0.75
20170501,0.75
20170428,0.75
20170427,0.75
20170426,0.75
20170425,0.75
20170424,0.76
20170421,0.75
20170420,0.75
20170419,0.75
20170418,0.76
20170417,0.76
20170414,0.76
20170413,0.76
20170412,0.75
20170411,0.75
20170410,0.75
20170407,0.75
20170406,0.75
20170405,0.76
20170404,0.76
20170403,0.76
20170331,0.76
20170330,0.76
20170329,0.77
20170328,0.76
20170327,0.76
20170324,0.76
20170323,0.76
20170322,0.77
20170321,0.77
20170320,0.77
20170317,0.77
20170316,0.77
20170315,0.77
20170314,0.76
20170313,0.76
20170310,0.75
20170309,0.75
20170308,0.75
20170307,0.76
20170306,0.76
20170303,0.76
20170302,0.76
20170301,0.77
20170228,0.77
20170227,0.77
20170224,0.77
20170223,0.77
20170222,0.77
20170221,0.77
20170220,0.77
20170217,0.77
20170216,0.77
20170215,0.77
20170214,0.77
20170213,0.76
20170210,0.77
20170209,0.76
20170208,0.76
20170207,0.76
20170206,0.77
20170203,0.77
20170202,0.77
20170201,0.76
20170131,0.76
20170130,0.76
20170127,0.75
20170126,0.75
20170125,0.76
20170124,0.76
20170123,0.76
20170120,0.76
20170119,0.76
20170118,0.75
