품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Dirty Tanker Index (BDTI)1998.08.03"
20180717,723
20180716,738
20180713,744
20180712,738
20180711,741
20180710,732
20180709,729
20180706,721
20180705,710
20180703,702
20180702,705
20180629,712
20180628,724
20180627,727
20180626,735
20180625,745
20180622,745
20180621,742
20180620,743
20180619,743
20180618,736
20180615,746
20180614,760
20180613,768
20180612,751
20180611,746
20180608,734
20180607,731
20180606,735
20180605,745
20180604,749
20180601,754
20180531,754
20180530,779
20180529,781
20180525,776
20180524,776
20180523,748
20180522,748
20180521,729
20180518,714
20180517,692
20180516,681
20180515,667
20180514,656
20180511,657
20180510,656
20180509,656
20180508,650
20180504,650
20180503,648
20180502,647
20180501,655
20180430,656
20180427,655
20180426,648
20180425,639
20180424,637
20180423,639
20180420,637
20180419,637
20180418,635
20180417,636
20180416,638
20180413,640
20180412,639
20180411,628
20180410,631
20180409,637
20180406,643
20180405,646
20180404,648
20180403,651
20180329,661
20180328,662
20180327,662
20180326,658
20180323,652
20180322,649
20180321,645
20180320,636
20180319,635
20180316,639
20180315,641
20180314,642
20180313,648
20180312,653
20180309,653
20180308,651
20180307,648
20180306,654
20180305,664
20180302,669
20180301,662
20180228,658
20180227,658
20180226,652
20180223,646
20180222,645
20180221,640
20180220,641
20180216,649
20180215,649
20180214,642
20180213,637
20180212,640
20180209,642
20180208,643
20180207,648
20180206,648
20180205,654
20180202,658
20180201,661
20180131,664
20180130,670
20180129,679
20180126,682
20180125,683
20180124,691
20180123,694
20180122,702
20180119,705
20180118,707
20180117,715
20180116,717
20180112,684
20180111,681
20180110,685
20180109,691
20180108,682
20180105,680
20180104,676
20180103,683
20180102,700
20171222,827
20171221,831
20171220,825
20171219,824
20171218,820
20171215,815
20171214,814
20171213,812
20171212,812
20171211,814
20171208,814
20171207,823
20171206,824
20171205,822
20171204,821
20171201,820
20171130,806
20171129,794
20171128,799
20171127,798
20171124,812
20171123,820
20171122,826
20171121,827
20171120,827
20171117,809
20171116,790
20171115,787
20171114,790
20171113,796
20171110,803
20171109,802
20171108,807
20171107,814
20171106,820
20171103,843
20171102,855
20171101,867
20171031,871
20171030,904
20171027,914
20171026,920
20171025,912
20171024,901
20171023,899
20171020,896
20171019,902
20171018,907
20171017,916
20171016,913
20171013,903
20171012,870
20171011,856
20171010,818
20171009,783
20171006,776
20171005,766
20171004,760
20171003,758
20171002,775
20170929,776
20170928,782
20170927,783
20170926,780
20170925,781
20170922,772
20170921,760
20170920,751
20170919,740
20170918,744
20170915,744
20170914,739
20170913,732
20170912,725
20170911,715
20170908,707
20170907,701
20170906,699
20170905,698
20170904,691
20170901,682
20170831,677
20170830,667
20170829,659
20170825,643
20170824,627
20170823,620
20170822,621
20170821,622
20170818,621
20170817,618
20170816,620
20170815,617
20170814,618
20170811,621
20170810,620
20170809,618
20170808,616
20170807,614
20170804,619
20170803,628
20170802,632
20170801,632
20170731,639
20170728,640
20170727,644
20170726,647
20170725,646
20170724,649
20170721,655
20170720,649
20170719,642
20170718,643
20170717,648
20170714,644
20170713,644
20170712,647
20170711,651
20170710,651
20170707,649
20170706,647
20170705,656
20170704,656
20170703,659
20170630,663
20170629,668
20170628,670
20170627,671
20170626,681
20170623,683
20170622,686
20170621,688
20170620,690
20170619,699
20170616,702
20170615,704
20170614,705
20170613,699
20170612,700
20170609,702
20170608,705
20170607,708
20170606,718
20170605,733
20170602,742
20170601,756
20170531,768
20170530,785
20170526,807
20170525,814
20170524,825
20170523,821
20170522,799
20170519,785
20170518,765
20170517,757
20170516,737
20170515,742
20170512,741
20170511,748
20170510,763
20170509,772
20170508,775
20170505,774
20170504,768
20170503,767
20170502,778
20170428,785
20170427,786
20170426,797
20170425,802
20170424,812
20170421,812
20170420,819
20170419,800
20170418,814
20170417,800
20170413,800
20170412,790
20170411,776
20170410,776
20170407,775
20170406,777
20170405,773
20170404,778
20170403,781
20170331,790
20170330,794
20170329,800
20170328,802
20170327,799
20170324,804
20170323,812
20170322,826
20170321,826
20170320,824
20170317,824
20170316,832
20170315,835
20170314,847
20170313,850
20170310,850
20170309,862
20170308,859
20170307,839
20170306,838
20170303,841
20170302,837
20170301,831
20170228,835
20170227,847
20170224,857
20170223,856
20170222,852
20170221,857
20170220,859
20170217,863
20170216,869
20170215,850
20170214,862
20170213,851
20170210,847
20170209,846
20170208,842
20170207,846
20170206,856
20170203,858
20170202,864
20170201,877
20170131,901
20170130,930
20170127,946
20170126,965
20170125,977
20170124,987
20170123,995
20170120,997
20170119,1002
20170118,1006
20170117,1001
20170116,1018
20170113,1027
20170112,1024
20170111,1018
20170110,1017
20170109,1013
20170106,1026
20170105,1024
20170104,1053
20170103,1088
20161223,919
20161222,936
20161221,945
20161220,920
20161219,910
20161216,911
20161215,909
20161214,895
20161213,889
20161212,887
20161209,903
20161208,889
20161207,868
20161206,863
20161205,887
20161202,889
20161201,878
20161130,891
20161129,895
20161128,896
20161125,892
20161124,886
20161123,870
20161122,862
20161121,834
20161118,828
20161117,831
20161116,786
20161115,740
20161114,740
20161111,750
20161110,744
20161109,682
20161108,661
20161107,659
20161104,665
20161103,667
20161102,670
20161101,655
20161031,656
20161028,660
20161027,657
20161026,658
20161025,667
20161024,680
20161021,691
20161020,692
20161019,686
20161018,681
20161017,674
20161014,673
20161013,657
20161012,641
20161011,633
20161010,626
20161007,621
20161006,619
20161005,613
20161004,616
20161003,622
20160930,625
20160929,638
20160928,644
20160927,638
20160926,618
20160923,611
20160922,606
20160921,602
20160920,588
20160919,566
20160916,561
20160915,555
20160914,549
20160913,548
20160912,543
20160909,542
20160908,536
20160907,537
20160906,528
20160905,517
20160902,416
20160901,514
20160831,515
20160830,510
20160826,515
20160825,515
20160824,512
20160823,505
20160822,506
20160819,504
20160818,501
20160817,500
20160816,497
20160815,497
20160812,496
20160811,497
20160810,500
20160809,504
20160808,505
20160805,509
20160804,509
20160803,515
20160802,523
20160801,532
20160729,541
20160728,550
20160727,559
20160726,567
20160725,579
20160722,582
20160721,589
20160720,592
20160719,599
20160718,604
20160715,612
20160714,620
20160713,628
20160712,639
20160711,654
20160708,666
20160707,669
20160706,672
20160705,673
20160704,679
20160701,686
20160630,691
20160629,694
20160628,695
20160627,703
20160624,714
20160623,713
20160622,710
20160621,705
20160620,711
