품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Dry Index (BDI)1985.01.04"
20180717,1721
20180716,1695
20180713,1666
20180712,1632
20180711,1586
20180710,1555
20180709,1609
20180706,1622
20180705,1612
20180703,1476
20180702,1422
20180629,1385
20180628,1329
20180627,1309
20180626,1323
20180625,1333
20180622,1341
20180621,1347
20180620,1373
20180619,1419
20180618,1442
20180615,1445
20180614,1433
20180613,1404
20180612,1390
20180611,1387
20180608,1391
20180607,1395
20180606,1340
20180605,1249
20180604,1193
20180601,1156
20180531,1090
20180530,1042
20180529,1057
20180525,1077
20180524,1109
20180523,1162
20180522,1199
20180521,1239
20180518,1273
20180517,1305
20180516,1403
20180515,1468
20180514,1476
20180511,1472
20180510,1453
20180509,1465
20180508,1432
20180504,1384
20180503,1376
20180502,1346
20180501,1327
20180430,1341
20180427,1361
20180426,1375
20180425,1376
20180424,1330
20180423,1306
20180420,1281
20180419,1201
20180418,1124
20180417,1052
20180416,1025
20180413,1014
20180412,993
20180411,979
20180410,974
20180409,952
20180406,948
20180405,953
20180404,977
20180403,1016
20180329,1055
20180328,1080
20180327,1117
20180326,1126
20180323,1122
20180322,1117
20180321,1117
20180320,1122
20180319,1136
20180316,1143
20180315,1150
20180314,1169
20180313,1179
20180312,1192
20180309,1201
20180308,1197
20180307,1191
20180306,1212
20180305,1210
20180302,1207
20180301,1196
20180228,1192
20180227,1188
20180226,1191
20180223,1185
20180222,1167
20180221,1146
20180220,1117
20180216,1084
20180215,1089
20180214,1095
20180213,1114
20180212,1123
20180209,1125
20180208,1106
20180207,1097
20180206,1095
20180205,1082
20180202,1095
20180201,1114
20180131,1152
20180130,1191
20180129,1214
20180126,1219
20180125,1217
20180124,1200
20180123,1157
20180122,1129
20180119,1125
20180118,1139
20180117,1164
20180116,1221
20180112,1279
20180111,1303
20180110,1366
20180109,1395
20180108,1385
20180105,1371
20180104,1341
20180103,1262
20180102,1230
20171222,1366
20171221,1430
20171220,1476
20171219,1547
20171218,1588
20171215,1619
20171214,1668
20171213,1730
20171212,1743
20171211,1727
20171208,1702
20171207,1679
20171206,1670
20171205,1666
20171204,1662
20171201,1626
20171130,1578
20171129,1536
20171128,1506
20171127,1477
20171124,1458
20171123,1445
20171122,1413
20171121,1396
20171120,1385
20171117,1371
20171116,1361
20171115,1374
20171114,1405
20171113,1445
20171110,1464
20171109,1481
20171108,1486
20171107,1477
20171106,1473
20171103,1476
20171102,1482
20171101,1496
20171031,1522
20171030,1534
20171027,1546
20171026,1555
20171025,1573
20171024,1588
20171023,1586
20171020,1578
20171019,1582
20171018,1566
20171017,1552
20171016,1523
20171013,1485
20171012,1458
20171011,1433
20171010,1418
20171009,1411
20171006,1405
20171005,1382
20171004,1320
20171003,1308
20171002,1328
20170929,1356
20170928,1391
20170927,1429
20170926,1476
20170925,1503
20170922,1502
20170921,1470
20170920,1449
20170919,1415
20170918,1398
20170915,1385
20170914,1361
20170913,1337
20170912,1344
20170911,1355
20170908,1332
20170907,1296
20170906,1250
20170905,1215
20170904,1187
20170901,1183
20170831,1184
20170830,1181
20170829,1203
20170825,1209
20170824,1200
20170823,1222
20170822,1249
20170821,1266
20170818,1260
20170817,1247
20170816,1207
20170815,1169
20170814,1155
20170811,1138
20170810,1092
20170809,1050
20170808,1038
20170807,1036
20170804,1032
20170803,1023
20170802,993
20170801,965
20170731,946
20170728,933
20170727,942
20170726,968
20170725,980
20170724,977
20170721,977
20170720,964
20170719,948
20170718,932
20170717,912
20170714,900
20170713,888
20170712,859
20170711,830
20170710,820
20170707,822
20170706,829
20170705,847
20170704,871
20170703,882
20170630,901
20170629,920
20170628,929
20170627,903
20170626,884
20170623,870
20170622,855
20170621,844
20170620,847
20170619,848
20170616,851
20170615,855
20170614,865
20170613,870
20170612,870
20170609,849
20170608,824
20170607,821
20170606,818
20170605,821
20170602,830
20170601,850
20170531,878
20170530,900
20170526,912
20170525,918
20170524,934
20170523,949
20170522,954
20170519,956
20170518,957
20170517,960
20170516,980
20170515,994
20170512,1014
20170511,1012
20170510,1005
20170509,1007
20170508,1001
20170505,994
20170504,1004
20170503,1034
20170502,1073
20170428,1109
20170427,1134
20170426,1147
20170425,1154
20170424,1170
20170421,1195
20170420,1243
20170419,1278
20170418,1294
20170417,1296
20170413,1296
20170412,1282
20170411,1262
20170410,1231
20170407,1223
20170406,1215
20170405,1223
20170404,1255
20170403,1282
20170331,1297
20170330,1324
20170329,1338
20170328,1333
20170327,1282
20170324,1240
20170323,1196
20170322,1190
20170321,1200
20170320,1205
20170317,1196
20170316,1172
20170315,1147
20170314,1112
20170313,1099
20170310,1086
20170309,1064
20170308,1045
20170307,1033
20170306,979
20170303,939
20170302,904
20170301,871
20170228,859
20170227,878
20170224,875
20170223,856
20170222,806
20170221,778
20170220,757
20170217,741
20170216,710
20170215,688
20170214,685
20170213,688
20170210,702
20170209,707
20170208,702
20170207,714
20170206,735
20170203,752
20170202,770
20170201,786
20170131,800
20170130,816
20170127,827
20170126,840
20170125,862
20170124,886
20170123,914
20170120,925
20170119,942
20170118,952
20170117,922
20170116,925
20170113,910
20170112,892
20170111,894
20170110,926
20170109,949
20170106,963
20170105,983
20170104,969
20170103,953
20161223,961
20161222,928
20161221,926
20161220,914
20161219,926
20161216,946
20161215,966
20161214,1003
20161213,1052
20161212,1069
20161209,1090
20161208,1122
20161207,1162
20161206,1186
20161205,1196
20161202,1198
20161201,1196
20161130,1204
20161129,1202
20161128,1184
20161125,1181
20161124,1201
20161123,1224
20161122,1232
20161121,1240
20161118,1257
20161117,1231
20161116,1145
20161115,1084
20161114,1065
20161111,1045
20161110,974
20161109,954
20161108,911
20161107,870
20161104,855
20161103,849
20161102,834
20161101,838
20161031,857
20161028,834
20161027,798
20161026,802
20161025,813
20161024,831
20161021,842
20161020,849
20161019,872
20161018,890
20161017,894
20161014,892
20161013,885
20161012,906
20161011,922
20161010,922
20161007,921
20161006,915
20161005,869
20161004,860
20161003,864
20160930,875
20160929,888
20160928,912
20160927,930
20160926,934
20160923,941
20160922,937
20160921,903
20160920,865
20160919,836
20160916,800
20160915,764
20160914,756
20160913,796
20160912,804
20160909,804
20160908,792
20160907,773
20160906,745
20160905,724
20160902,720
20160901,712
20160831,711
20160830,715
20160826,720
20160825,718
20160824,706
