품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Handysize Index (BHSI)2006.05.23"
20180717,561
20180716,559
20180713,559
20180712,558
20180711,558
20180710,560
20180709,562
20180706,563
20180705,565
20180703,571
20180702,575
20180629,581
20180628,583
20180627,585
20180626,589
20180625,592
20180622,593
20180621,592
20180620,593
20180619,594
20180618,595
20180615,593
20180614,592
20180613,591
20180612,588
20180611,586
20180608,584
20180607,583
20180606,583
20180605,584
20180604,583
20180601,583
20180531,583
20180530,584
20180529,586
20180525,587
20180524,590
20180523,591
20180522,590
20180521,591
20180518,590
20180517,589
20180516,587
20180515,586
20180514,585
20180511,584
20180510,584
20180509,585
20180508,585
20180504,589
20180503,591
20180502,597
20180501,601
20180430,603
20180427,605
20180426,610
20180425,614
20180424,617
20180423,621
20180420,621
20180419,623
20180418,626
20180417,626
20180416,626
20180413,628
20180412,630
20180411,634
20180410,636
20180409,638
20180406,643
20180405,644
20180404,648
20180403,650
20180329,652
20180328,650
20180327,648
20180326,645
20180323,641
20180322,639
20180321,634
20180320,630
20180319,629
20180316,627
20180315,626
20180314,622
20180313,617
20180312,615
20180309,611
20180308,607
20180307,599
20180306,595
20180305,590
20180302,586
20180301,579
20180228,557
20180227,545
20180226,538
20180223,534
20180222,529
20180221,522
20180220,519
20180216,515
20180215,515
20180214,516
20180213,518
20180212,520
20180209,526
20180208,529
20180207,532
20180206,538
20180205,543
20180202,547
20180201,552
20180131,558
20180130,566
20180129,573
20180126,577
20180125,581
20180124,584
20180123,586
20180122,585
20180119,584
20180118,580
20180117,581
20180116,583
20180112,587
20180111,587
20180110,589
20180109,592
20180108,594
20180105,600
20180104,604
20180103,607
20180102,612
20171222,625
20171221,627
20171220,632
20171219,636
20171218,637
20171215,636
20171214,635
20171213,633
20171212,633
20171211,632
20171208,631
20171207,630
20171206,629
20171205,628
20171204,626
20171201,626
20171130,623
20171129,622
20171128,620
20171127,619
20171124,620
20171123,622
20171122,624
20171121,625
20171120,628
20171117,630
20171116,634
20171115,637
20171114,640
20171113,642
20171110,644
20171109,648
20171108,654
20171107,658
20171106,661
20171103,664
20171102,668
20171101,673
20171031,679
20171030,685
20171027,687
20171026,688
20171025,690
20171024,687
20171023,683
20171020,679
20171019,673
20171018,666
20171017,663
20171016,656
20171013,649
20171012,635
20171011,623
20171010,618
20171009,613
20171006,610
20171005,607
20171004,609
20171003,612
20171002,614
20170929,616
20170928,616
20170927,613
20170926,607
20170925,602
20170922,596
20170921,586
20170920,576
20170919,562
20170918,551
20170915,536
20170914,529
20170913,520
20170912,513
20170911,509
20170908,504
20170907,499
20170906,494
20170905,491
20170904,487
20170901,486
20170831,486
20170830,482
20170829,477
20170825,474
20170824,473
20170823,470
20170822,468
20170821,466
20170818,465
20170817,465
20170816,464
20170815,464
20170814,465
20170811,466
20170810,466
20170809,467
20170808,472
20170807,475
20170804,478
20170803,482
20170802,488
20170801,492
20170731,496
20170728,498
20170727,500
20170726,500
20170725,500
20170724,500
20170721,499
20170720,497
20170719,495
20170718,492
20170717,489
20170714,486
20170713,484
20170712,480
20170711,477
20170710,474
20170707,471
20170706,470
20170705,470
20170704,470
20170703,468
20170630,467
20170629,464
20170628,459
20170627,458
20170626,454
20170623,451
20170622,447
20170621,445
20170620,441
20170619,437
20170616,435
20170615,431
20170614,427
20170613,424
20170612,424
20170609,425
20170608,425
20170607,429
20170606,434
20170605,441
20170602,446
20170601,449
20170531,455
20170530,461
20170526,469
20170525,473
20170524,478
20170523,486
20170522,496
20170519,502
20170518,504
20170517,505
20170516,507
20170515,508
20170512,509
20170511,510
20170510,510
20170509,512
20170508,517
20170505,523
20170504,532
20170503,540
20170502,550
20170428,559
20170427,569
20170426,576
20170425,577
20170424,577
20170421,575
20170420,572
20170419,568
20170418,563
20170417,560
20170413,560
20170412,554
20170411,552
20170410,549
20170407,547
20170406,545
20170405,543
20170404,542
20170403,541
20170331,540
20170330,539
20170329,538
20170328,535
20170327,530
20170324,526
20170323,521
20170322,516
20170321,512
20170320,510
20170317,508
20170316,508
20170315,505
20170314,502
20170313,499
20170310,495
20170309,491
20170308,485
20170307,477
20170306,468
20170303,462
20170302,457
20170301,451
20170228,444
20170227,436
20170224,428
20170223,420
20170222,410
20170221,402
20170220,396
20170217,391
20170216,387
20170215,382
20170214,379
20170213,376
20170210,377
20170209,377
20170208,378
20170207,375
20170206,377
20170203,382
20170202,386
20170201,395
20170131,402
20170130,415
20170127,419
20170126,424
20170125,428
20170124,432
20170123,437
20170120,441
20170119,446
20170118,448
20170117,451
20170116,455
20170113,459
20170112,466
20170111,477
20170110,489
20170109,498
20170106,508
20170105,521
20170104,539
20170103,559
20161223,597
20161222,601
20161221,604
20161220,605
20161219,605
20161216,600
20161215,596
20161214,590
20161213,584
20161212,576
20161209,567
20161208,562
20161207,557
20161206,552
20161205,548
20161202,543
20161201,541
20161130,537
20161129,532
20161128,527
20161125,520
20161124,512
20161123,501
20161122,485
20161121,477
20161118,466
20161117,454
20161116,443
20161115,436
20161114,433
20161111,428
20161110,430
20161109,429
20161108,431
20161107,431
20161104,433
20161103,434
20161102,434
20161101,436
20161031,435
20161028,433
20161027,432
20161026,430
20161025,430
20161024,428
20161021,427
20161020,424
20161019,421
20161018,417
20161017,413
20161014,411
20161013,410
20161012,408
20161011,409
20161010,410
20161007,411
20161006,413
20161005,415
20161004,417
20161003,419
20160930,421
20160929,422
20160928,422
20160927,422
20160926,422
20160923,421
20160922,420
20160921,418
20160920,417
20160919,416
20160916,415
20160915,415
20160914,415
20160913,415
20160912,417
20160909,419
20160908,420
20160907,422
20160906,425
20160905,429
20160902,432
20160901,433
20160831,432
20160830,432
20160826,431
20160825,428
20160824,425
20160823,420
20160822,416
20160819,412
20160818,407
20160817,405
20160816,403
20160815,399
20160812,396
20160811,394
20160810,391
20160809,389
20160808,392
20160805,394
20160804,395
20160803,397
20160802,400
20160801,401
20160729,399
20160728,396
20160727,392
20160726,390
20160725,386
20160722,383
20160721,379
20160720,376
20160719,371
20160718,366
20160715,363
20160714,361
20160713,360
20160712,358
20160711,356
20160708,354
20160707,352
20160706,349
20160705,349
20160704,347
20160701,344
20160630,342
20160629,338
20160628,336
20160627,331
20160624,329
20160623,322
20160622,318
20160621,315
20160620,312
20160617,311
20160616,314
