품목비교 Historical Data
조회기간 :,2017-07-17 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"Bloomberg(DJ-UBS) Commodity Index"
20180717,82.82
20180716,82.84
20180713,83.83
20180712,84.01
20180711,83.44
20180710,85.76
20180709,86.13
20180706,86.21
20180705,85.53
20180703,85.92
20180702,85.73
20180629,87.41
20180628,86.79
20180627,87.14
20180626,86.53
20180625,86.17
20180622,87.32
20180621,86.42
20180620,86.78
20180619,86.58
20180618,87.63
20180615,87.7
20180614,89.22
20180613,89.97
20180612,89.9
20180611,89.65
20180608,89.98
20180607,90.05
20180606,89.77
20180605,89.7
20180604,89.43
20180601,90.45
20180531,90.72
20180530,90.72
20180529,90.28
20180525,90.92
20180524,91.51
20180523,91.57
20180522,91.42
20180521,90.97
20180518,90.41
20180517,90.31
20180516,90.18
20180515,90.12
20180514,90.37
20180511,90.04
20180510,90.55
20180509,90.1
20180508,89.58
20180507,89.82
20180504,89.99
20180503,89.67
20180502,89.49
20180501,89.37
20180430,89.59
20180427,89.38
20180426,89.4
20180425,89.25
20180424,89.08
20180423,89.19
20180420,89.85
20180419,89.97
20180418,90.46
20180417,89.02
20180416,89.03
20180413,89.28
20180412,89.09
20180411,89.25
20180410,88.8
20180409,88.01
20180406,86.94
20180405,87.18
20180404,86.62
20180403,87.01
20180402,86.83
20180329,87.47
20180328,86.76
20180327,87.26
20180326,87.25
20180323,87.44
20180322,87.1
20180321,87.41
20180320,86.72
20180319,86.52
20180316,87.36
20180315,87.32
20180314,87.67
20180313,87.88
20180312,87.67
20180309,87.95
20180308,87.59
20180307,88.04
20180306,89.01
20180305,88.7
20180302,88.15
20180301,88.2
20180228,88.14
20180227,88.59
20180226,89.04
20180223,88.69
20180222,88.67
20180221,88.27
20180220,88
20180216,88.2
20180215,88.24
20180214,87.99
20180213,86.79
20180212,86.33
20180209,85.64
20180208,87.01
20180207,87.15
20180206,88.17
20180205,88.51
20180202,89.12
20180201,89.87
20180131,89.8
20180130,90.28
20180129,90.63
20180126,90.8
20180125,90.46
20180124,90.46
20180123,89.16
20180122,88.81
20180119,88.54
20180118,88.69
20180117,88.8
20180116,88.45
20180112,88.76
20180111,88.31
20180110,88.24
20180109,88.1
20180108,87.69
20180105,87.92
20180104,88.57
20180103,88.61
20180102,88.41
20171229,88.17
20171228,87.75
20171227,87.08
20171226,86.73
20171222,85.75
20171221,85.28
20171220,85.05
20171219,84.58
20171218,84.47
20171215,84.05
20171214,83.84
20171213,83.47
20171212,83.43
20171211,84.22
20171208,84.01
20171207,83.8
20171206,84.11
20171205,85.03
20171204,85.75
20171201,86.48
20171130,85.7
20171129,86.44
20171128,86.72
20171127,86.9
20171124,87
20171122,87.04
20171121,86.47
20171120,86.19
20171117,86.77
20171116,85.66
20171115,86
20171114,86.16
20171113,87.2
20171110,87.28
20171109,87.46
20171108,87.64
20171107,87.54
20171106,88.15
20171103,86.88
20171102,86.69
20171101,86.54
20171031,86.19
20171030,86.15
20171027,85.87
20171026,85.92
20171025,85.89
20171024,86.04
20171023,85.61
20171020,85.27
20171019,85.39
20171018,85.31
20171017,85.49
20171016,85.99
20171013,85.89
20171012,85.13
20171011,84.77
20171010,84.82
20171009,84.07
20171006,83.93
20171005,84.58
20171004,83.96
20171003,83.74
20171002,83.71
20170929,84.46
20170928,84.64
20170927,84.84
20170926,84.78
20170925,85.33
20170922,84.86
20170921,84.78
20170920,85.59
20170919,84.84
20170918,85.08
20170915,85.19
20170914,85.1
20170913,84.96
20170912,84.8
20170911,84.89
20170908,84.76
20170907,85.66
20170906,85.72
20170905,85.37
20170901,84.98
20170831,84.66
20170830,83.07
20170829,83.5
20170828,83.42
20170825,83.29
20170824,83.51
20170823,83.27
20170822,82.98
20170821,83.04
20170818,83.23
20170817,82.68
20170816,82.58
20170815,82.52
20170814,83.11
20170811,83.7
20170810,83.54
20170809,84.42
20170808,83.94
20170807,83.72
20170804,83.28
20170803,83.33
20170802,83.93
20170801,83.53
20170731,84.39
20170728,84.48
20170727,84.23
20170726,83.69
20170725,83.11
20170724,82.65
20170721,82.99
20170720,83.69
20170719,83.63
20170718,83.15
20170717,82.69
