품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"CNY/KRW (중국 인민폐 / 한국 원)"
20180718,168.06
20180717,168.26
20180716,168.16
20180713,167.98
20180712,167.78
20180711,168.46
20180710,167.49
20180709,167.67
20180706,168.27
20180705,168.01
20180704,167.03
20180703,168.19
20180702,168.42
20180629,169.41
20180628,169.36
20180627,170.1
20180626,170.66
20180625,170.43
20180622,170.78
20180621,171.16
20180620,171.2
20180619,171.19
20180618,169.97
20180615,169.44
20180614,167.73
20180612,167.6
20180611,167.78
20180608,167.31
20180607,166.86
20180605,166.94
20180604,167.76
20180601,167.99
20180531,168.27
20180530,167.96
20180529,168.15
20180528,169.01
20180525,169.11
20180524,169.57
20180523,170.09
20180521,169.92
20180518,169.9
20180517,169.48
20180516,169.23
20180515,168.42
20180514,168.69
20180511,169.22
20180510,169.76
20180509,169.5
20180508,169.71
20180504,169.07
20180503,169.04
20180502,169.07
20180430,169.94
20180427,170.69
20180426,171.07
20180425,170.56
20180424,169.89
20180423,170.03
20180420,169.86
20180419,169.59
20180418,170.33
20180417,170.85
20180416,170.27
20180413,170.37
20180412,169.91
20180411,169.41
20180410,169.41
20180409,169.02
20180406,168.56
20180405,168.26
20180404,168.6
20180403,168.83
20180402,169.8
20180330,169.68
20180329,170.61
20180328,171.52
20180327,171.35
20180326,170.6
20180323,169.3
20180322,169.21
20180321,169.35
20180320,169.15
20180319,169.05
20180316,169.04
20180315,168.74
20180314,168.55
20180313,168.24
20180312,168.58
20180309,168.89
20180308,168.96
20180307,169.71
20180306,170.7
20180305,170.21
20180302,170.99
20180228,170.2
20180227,169.98
20180226,170.2
20180223,170.74
20180222,169.53
20180221,169.53
20180220,169.52
20180219,170.57
20180214,171.06
20180213,171.7
20180212,171.91
20180209,172.17
20180208,172.87
20180207,173.7
20180206,172.79
20180205,171.15
20180202,170.09
20180201,169.26
20180131,168.99
20180130,168.33
20180129,168.15
20180126,167.42
20180125,167.44
20180124,167.19
20180123,166.86
20180122,166.74
20180119,166.07
20180118,165.65
20180117,165.37
20180116,164.87
20180115,164.1
20180111,163.86
20180110,164.08
20180109,164.31
20180108,163.86
20180105,163.92
20180104,163.9
20180103,163.82
20180102,163.65
20171229,163.65
20171227,164.58
20171226,164.3
20171222,164.66
20171221,164.28
20171220,164.43
20171219,164.72
20171218,164.91
20171215,164.41
20171214,164.87
20171213,164.5
20171212,165.03
20171211,165.14
20171208,165.18
20171207,164.88
20171206,164.03
20171205,164.53
20171204,164.36
20171201,163.99
20171130,164.01
20171129,164.98
20171128,164.86
20171127,164.82
20171124,165.08
20171123,164.76
20171122,165.11
20171121,165.4
20171120,165.35
20171117,166.53
20171116,168.05
20171115,168.25
20171114,168.37
20171113,168.16
20171110,167.92
20171109,167.87
20171108,167.84
20171107,168.32
20171106,168.24
20171103,168.68
20171102,168.45
20171101,169.06
20171031,169.25
20171030,169.72
20171027,169.58
20171026,169.96
20171025,170.16
20171024,170.63
20171023,171.03
20171020,170.87
20171018,171.52
20171017,171.55
20171016,172.09
20171013,172.31
20171012,172.77
20171011,172.78
20171010,171.98
20170929,172.35
20170928,171.83
20170927,171.82
20170926,171.48
20170925,172.71
20170922,171.86
20170921,171.79
20170920,171.59
20170919,172.25
20170918,173.08
20170915,172.88
20170914,172.61
20170913,172.62
20170912,173.26
20170911,174.14
20170908,172.84
20170907,173.32
20170906,172.98
20170905,172.63
20170904,170.5
20170901,170.51
20170831,170.23
20170830,170.26
20170829,168.82
20170828,169.55
20170825,169.33
20170824,169.63
20170823,170.45
20170822,170.44
20170821,170.82
20170818,170.01
20170817,170.14
20170816,170.42
20170814,171.57
20170811,170.69
20170810,169.27
20170809,167.61
20170808,167.49
20170807,167.37
20170804,167.47
20170803,166.94
20170802,166.26
20170801,166.67
20170731,165.85
20170728,165.28
20170727,165.73
20170726,165.44
20170725,165.29
20170724,165.92
20170721,166.35
20170720,166.25
20170719,166.68
20170718,166.76
20170717,167.59
20170714,167.75
20170713,168.72
20170712,168.88
20170711,169.09
20170710,169.94
20170707,169.48
20170706,169.02
20170705,168.91
20170704,168.97
20170703,168.97
20170630,167.79
20170629,167.9
20170628,165.84
20170627,165.84
20170626,166.72
20170623,167.07
20170622,167.25
20170621,166.42
20170620,166.01
20170619,166.06
20170616,165.63
20170615,165.87
20170614,166.24
20170613,165.82
20170612,165.14
20170609,166.21
20170608,165.88
20170607,165.06
20170605,165.22
20170602,166.26
20170601,164.63
20170531,164.59
20170530,164.3
20170529,163.53
20170526,162.73
20170525,163.6
20170524,162.89
20170523,162.36
20170522,163.67
20170519,163.66
20170518,162.76
20170517,162.36
20170516,163.06
20170515,163.3
20170512,163.61
20170511,164.07
20170510,163.9
20170508,164.16
20170504,163.9
20170502,164.35
20170428,163.71
20170427,163.37
20170426,164.26
20170425,164.53
20170424,165.22
20170421,165.85
20170420,165.8
20170419,165.45
20170418,165.22
20170417,165.47
20170414,164.5
20170413,165.94
20170412,165.83
20170411,165.3
20170410,164.46
20170407,164.27
20170406,163.39
20170405,162.67
20170404,162.01
20170403,162.53
20170331,162.27
20170330,162.02
20170329,162.15
20170328,162.48
20170327,163.21
20170324,162.91
20170323,163.57
20170322,162.09
20170321,163.44
20170320,164.53
20170317,164.83
20170316,166.34
20170315,166.24
20170314,166.62
20170313,167.71
20170310,166.9
20170309,166.05
20170308,166.84
20170307,167.74
20170306,167.29
20170303,166.09
20170302,165.2
20170228,165.04
20170227,165.01
20170224,165.93
20170223,166.27
20170222,167.03
20170221,167.57
20170220,167.17
20170217,166.45
20170216,166.46
20170215,167.09
20170214,167.4
20170213,167.68
20170210,167.29
20170209,167.38
20170208,167.63
20170207,167.2
20170206,168.17
20170203,168.54
20170202,168.97
20170201,169.94
20170131,169.7
20170126,170.89
20170125,170.74
20170124,171.04
20170123,171.43
20170120,172.19
20170119,170.96
20170118,172.51
20170117,172.13
20170116,171.6
20170113,171.62
20170112,173.25
20170111,174.35
20170110,175.31
20170109,174.37
20170106,173.48
20170105,173.46
20170104,173.18
20170103,173.1
20170102,173.26
20161230,173.26
20161229,173.63
20161228,173.27
20161227,172.49
20161226,173.14
20161223,172.61
20161222,172.05
20161221,171.54
20161220,170.82
20161219,170.59
20161216,170.15
20161215,168.57
20161214,168.23
20161213,168.84
