품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"CRB BLS Spot Index"
20180717,432.95
20180716,435.05
20180713,436.1
20180712,434.89
20180711,438.66
20180710,438.05
20180709,436.81
20180706,436.22
20180705,437.34
20180704,437.34
20180703,437.86
20180702,439.11
20180629,437.2
20180628,438.33
20180627,439.42
20180626,440.3
20180625,443.21
20180622,444.11
20180621,445.16
20180620,443.83
20180619,446.95
20180618,449.96
20180615,450.94
20180614,451.35
20180613,451.96
20180612,450.01
20180611,450.3
20180608,447.02
20180607,446.27
20180606,443.97
20180605,443.49
20180604,445.63
20180601,446.27
20180531,445.87
20180530,445.48
20180529,444.76
20180528,444.76
20180525,444.76
20180524,445.23
20180523,445.98
20180522,445.3
20180521,444.84
20180518,443.39
20180517,443.55
20180516,442.25
20180515,443.62
20180514,443.64
20180511,444.07
20180510,445.11
20180509,444.07
20180508,445.45
20180507,446.43
20180504,446.49
20180503,445.94
20180502,446.5
20180501,445.1
20180430,441.74
20180427,446.29
20180426,447.17
20180425,444.9
20180424,444.41
20180423,445.63
20180420,445.53
20180419,444.35
20180418,440.79
20180417,439.93
20180416,439.73
20180413,440.63
20180412,440.65
20180411,440.13
20180410,439.3
20180409,436.43
20180406,436.63
20180405,434.96
20180404,437.25
20180403,436.29
20180402,436.88
20180330,436.88
20180329,436.09
20180328,436.14
20180327,437.22
20180326,439.02
20180323,439.3
20180322,440.42
20180321,440.16
20180320,441.07
20180319,443.61
20180316,445.49
20180315,446.2
20180314,446.61
20180313,445.49
20180312,445.18
20180309,447.07
20180308,444.58
20180307,445.12
20180306,445.59
20180305,444.11
20180302,444.22
20180301,443.89
20180228,443.28
20180227,444.32
20180226,442.97
20180223,442.46
20180222,442.13
20180221,442.13
20180220,441.02
20180219,441.92
20180216,440.89
20180215,441.07
20180214,439.5
20180213,439.26
20180212,438.4
20180209,440.88
20180208,442.03
20180207,443.15
20180206,442.6
20180205,443.46
20180202,443.38
20180201,443.44
20180131,442.85
20180130,441.54
20180129,439.95
20180126,439.04
20180125,438.83
20180124,437.32
20180123,438.39
20180122,437.02
20180119,436.95
20180118,437.96
20180117,438.88
20180116,439.79
20180115,439.79
20180112,441.63
20180111,441.15
20180110,439.83
20180109,439.83
20180108,436.5
20180105,436.56
20180104,435.27
20180103,433.72
20180102,433.72
20180101,432.34
20171229,432.22
20171228,431.77
20171227,432.65
20171226,431.77
20171222,431.28
20171221,430.91
20171220,430.59
20171219,430.16
20171218,430.42
20171215,429.73
20171214,429
20171213,428.77
20171212,429.04
20171211,431.46
20171208,427.19
20171207,427.97
20171206,428.82
20171205,430.4
20171204,430.78
20171201,429.43
20171130,429.27
20171129,428.99
20171128,430.95
20171127,430.95
20171124,432.69
20171123,431.15
20171122,428.15
20171121,427.88
20171120,428.42
20171117,428.53
20171116,429.39
20171115,430.37
20171114,431.51
20171113,431.36
20171110,431.12
20171109,431.71
20171108,430.64
20171107,430.02
20171106,429.29
20171103,431.66
20171102,428.81
20171101,427.62
20171031,428.23
20171030,428.19
20171027,429.86
20171026,429.95
20171025,429.32
20171024,429.68
20171023,427.78
20171020,428.61
20171019,428.18
20171018,431.47
20171017,430.91
20171016,430.29
20171013,429.24
20171012,429.02
20171011,427.94
20171010,429.84
20171009,429.84
20171006,430.41
20171005,429.02
20171004,427.87
20171003,426.48
20171002,427.32
20170929,427.96
20170928,428.98
20170927,427.59
20170926,428.97
20170925,428.88
20170922,429.68
20170921,429.25
20170920,428.84
20170919,427.42
20170918,427.9
20170915,428.96
20170914,429.9
20170913,432.05
20170912,433.65
20170911,434.13
20170908,435.66
20170907,436.74
20170906,436.21
20170905,435.55
20170904,435.55
20170901,435.64
20170831,435.47
20170830,434.84
20170829,435.64
20170828,435.38
20170825,436.33
20170824,436.37
20170823,436.17
20170822,436.94
20170821,437.81
20170818,438.54
20170817,438.42
20170816,437.81
20170815,440.23
20170814,440.97
20170811,441.34
20170810,444.3
20170809,443.92
20170808,442.67
20170807,441.58
20170804,441.65
20170803,442.27
20170802,441.28
20170801,441.74
20170731,442.86
20170728,442.32
20170727,441.56
20170726,440.73
20170725,441.25
20170724,442.35
20170721,445.36
20170720,444.75
20170719,444.94
20170718,444.94
20170717,443.95
20170714,443.53
20170713,441.97
20170712,444.09
20170711,445.62
20170710,446.91
20170707,445.49
20170706,446.32
20170705,447.7
20170703,448.16
20170630,446.63
20170629,444.05
20170628,442.12
20170627,441.2
20170626,440.04
20170623,439.59
20170622,440.11
20170621,442.35
20170620,442.95
20170619,441.38
20170616,442.91
20170615,443.07
20170614,441.98
20170613,442.37
20170612,440.25
20170609,440.53
20170608,436.78
20170607,435.34
20170606,435.48
20170605,435.38
20170602,435.83
20170601,434.39
20170531,434.2
20170530,431.54
20170526,433.74
20170525,434.27
20170524,434.29
20170523,433.55
20170522,433.79
20170519,433.12
20170518,433.45
20170517,434.33
20170516,435.29
20170515,434.58
20170512,426.78
20170511,424.56
20170510,422.63
20170509,422.07
20170508,427.28
20170505,427.39
20170504,427.96
20170503,427.92
20170502,427.7
20170501,427.14
20170428,424.54
20170427,422.84
20170426,422.18
20170425,421.21
20170424,420.34
20170421,421.11
20170420,420.85
20170419,421.9
20170418,421.42
20170417,422.48
20170413,422.39
20170412,422.82
20170411,423.73
20170410,424.21
20170407,427.37
20170406,428.57
20170405,429.28
20170404,428.91
20170403,429.7
20170331,430.99
20170330,431.6
20170329,431.88
20170328,432.26
20170327,430.89
20170324,431.88
20170323,433.99
20170322,434.46
20170321,434.61
20170320,434.8
20170317,434.19
20170316,433.92
20170315,432.42
20170314,432.81
20170313,431.72
20170310,431.69
20170309,433.16
20170308,431.68
20170307,432.65
20170306,433.73
20170303,434.42
20170302,433.97
20170301,435.59
20170228,432.61
20170227,431.02
20170224,431.92
20170223,431.95
20170222,433.27
20170221,433.41
20170217,432.94
20170216,434.9
20170215,436.88
20170214,435.07
20170213,434.57
20170210,433.64
20170209,433.83
20170208,434.34
20170207,432.69
20170206,432.75
20170203,432.95
20170202,435.04
20170201,435.61
20170131,432.47
20170130,430.98
20170127,432.79
20170126,432.39
20170125,433.1
20170124,433.15
20170123,432.85
20170120,432.75
20170119,431.81
20170118,432.55
20170117,432.38
20170113,433.87
20170112,433.94
20170111,433.06
20170110,431.72
20170109,429.45
