품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Agriculture"
20180717,279.07
20180716,276.18
20180713,276.49
20180712,277.19
20180711,273.23
20180710,280.76
20180709,283.95
20180706,287.62
20180705,280.57
20180703,278.95
20180702,276.93
20180629,285.73
20180628,281.89
20180627,284.72
20180626,284.83
20180625,286.08
20180621,290.24
20180620,289.23
20180619,287.22
20180618,292.77
20180615,297.11
20180614,300.69
20180613,306.86
20180612,309.41
20180611,302.47
20180608,305.42
20180607,303.29
20180606,303.05
20180605,302.48
20180604,301.94
20180601,310.54
20180531,311.99
20180530,310.75
20180529,314.76
20180525,316.55
20180524,313.13
20180523,314.13
20180522,311.04
20180521,308.37
20180518,306.72
20180517,300.89
20180516,301.54
20180515,302.48
20180514,300.65
20180511,301.48
20180510,305
20180509,305.9
20180508,307.55
20180507,306.2
20180504,312.02
20180503,315.14
20180502,312.14
20180501,313.24
20180430,308.61
20180427,306.63
20180426,302.68
20180425,303.4
20180424,299.42
20180423,297.84
20180420,299.28
20180419,302.58
20180418,302.5
20180417,300.49
20180416,301.21
20180413,304.68
20180412,306.9
20180411,305.94
20180410,305.94
20180409,305.32
20180406,299.78
20180405,297.78
20180404,292.04
20180403,296.53
20180402,294.22
20180329,295.19
20180328,289.05
20180327,290.98
20180326,291.86
20180323,294.08
20180322,293.6
20180321,292.78
20180320,292.53
20180319,292.09
20180316,298.62
20180315,301.35
20180314,303.2
20180313,303.93
20180312,304.4
20180309,304.1
20180308,308.31
20180307,305.71
20180306,309.27
20180305,310.86
20180302,306.85
20180301,309.61
20180228,304.1
20180227,298.93
20180226,298.62
20180223,296.41
20180222,295.74
20180221,294.47
20180220,294.06
20180216,294.69
20180215,296.16
20180214,294.13
20180213,294.7
20180212,293.81
20180209,288.56
20180208,289.98
20180207,290.02
20180206,286.47
20180205,283.39
20180202,285.09
20180201,285.94
20180131,285.92
20180130,287.9
20180129,285.78
20180126,283.78
20180125,282.83
20180124,282.67
20180123,279.27
20180122,280.58
20180119,279.91
20180118,279.26
20180117,279.64
20180116,277.45
20180112,278.75
20180111,281.19
20180110,281.78
20180109,281.76
20180108,280.88
20180105,283.47
20180104,284.69
20180103,285.1
20180102,284.5
20171229,282.14
20171228,281.79
20171227,282.53
20171226,280.23
20171222,279.44
20171221,280.45
20171220,278.77
20171219,277.13
20171218,276.1
20171215,275.97
20171214,276.28
20171213,276.54
20171212,274.17
20171211,275.83
20171208,278.52
20171207,279.43
20171206,280.96
20171205,283.87
20171204,284.34
20171201,286.06
20171130,283.98
20171129,284.89
20171128,282.33
20171127,283.12
20171124,285.05
20171122,286
20171121,284.06
20171120,284.01
20171117,285.16
20171116,281.98
20171115,282.12
20171114,282.85
20171113,284.27
20171110,284.84
20171109,281.9
20171108,282.68
20171107,280.55
20171106,279.71
20171103,277.82
20171102,279.09
20171101,277.12
20171031,276.82
20171030,278.65
20171027,278.88
20171026,278.32
20171025,279.65
20171024,280.55
20171023,279.77
20171020,275.9
20171019,279.04
20171018,277.92
20171017,278.94
20171016,279.79
20171013,282.59
20171012,279.3
20171011,277.81
20171010,278.91
20171009,278.48
20171006,279.94
20171005,279.42
20171004,278.4
20171003,278.55
20171002,279.33
20170929,281.3
20170928,281.1
20170927,282.6
20170926,281.35
20170925,283.37
20170922,284.06
20170921,283.2
20170920,283.12
20170919,280.47
20170918,283.32
20170915,285.52
20170914,283.71
20170913,282.05
20170912,279.96
20170911,281.74
20170908,282.34
20170907,281.61
20170906,284.83
20170905,283.3
20170901,279.19
20170831,279.98
20170830,274.5
20170829,274.98
20170828,276.94
20170825,277.4
20170824,278.12
20170823,275.61
20170822,275.78
20170821,277.72
20170818,279.11
20170817,277.9
20170816,278.27
20170815,280.74
20170814,286.82
20170811,287.03
20170810,284.6
20170809,293.62
20170808,291.47
20170807,291.25
20170804,286.63
20170803,286.97
20170802,289.96
20170801,288.62
20170731,294.62
20170728,295.35
20170727,294.68
20170726,292.45
20170725,289.55
20170724,296.01
20170721,299.37
20170720,303.18
20170719,299.97
20170718,297.26
20170717,296.63
20170714,298.04
20170713,295.15
20170712,303.69
20170711,310.16
20170710,310
20170707,306.11
20170706,304.91
20170705,307.79
20170703,305.41
20170630,297.53
20170629,287.23
20170628,281.18
20170627,280.97
20170626,279.66
20170623,281.04
20170622,281.38
20170621,285.75
20170620,289.93
20170619,290.98
20170616,293.04
20170615,290.4
20170614,288.72
20170613,290.45
20170612,287.86
20170609,292.06
20170608,291.27
20170607,288.26
20170606,283.76
20170605,281.98
20170602,281.49
20170601,282.07
20170531,284.14
20170530,283.67
20170526,286.82
20170525,286.42
20170524,287.75
20170523,287.81
20170522,292.19
20170519,291.88
20170518,287.4
20170517,292
20170516,289.87
20170515,290.32
20170512,291.2
20170511,290.12
20170510,290.84
20170509,288.46
20170508,288.46
20170505,290.92
20170504,289.69
20170503,295.17
20170502,294.79
20170501,296.7
20170428,289.22
20170427,287.37
20170426,286.88
20170425,290.23
20170424,287.67
20170421,287.79
20170420,287.42
20170419,291.48
20170418,292.96
20170417,293.34
20170413,294.97
20170412,293.94
20170411,292.41
20170410,290.61
20170407,287.1
20170406,285.77
20170405,287.14
20170404,286.1
20170403,288.24
20170331,289.11
20170330,287.56
20170329,289.53
20170328,290.75
20170327,290.16
20170324,291.21
20170323,291.9
20170322,292.63
20170321,294.13
20170320,296.25
20170317,298.92
20170316,298.61
20170315,297.68
20170314,296.22
20170313,296.31
20170310,298.61
20170309,299.63
20170308,303.08
20170307,305.37
20170306,309.11
20170303,309.63
20170302,309.13
20170301,311.23
20170228,305.06
20170227,301.99
20170224,306.43
20170223,308.61
20170222,311.85
20170221,311.03
20170217,310.61
20170216,313.77
20170215,317.24
20170214,314.43
20170213,315.06
20170210,314.26
20170209,310.89
20170208,308.84
20170207,305.98
20170206,304
20170203,305.35
20170202,305.99
20170201,306.98
20170131,300.93
20170130,298.96
20170127,303.13
20170126,304.24
20170125,304.92
20170124,305.25
20170123,308.25
20170120,306.27
20170119,304.71
20170118,307.63
20170117,307.17
20170113,302.73
20170112,302.84
20170111,299.05
20170110,300.52
20170109,299.79
20170106,299.24
20170105,301.49
20170104,300.13
20170103,293.76
20161230,290.99
20161229,290.31
20161228,288.1
20161227,290.48
20161223,283.97
20161222,285.45
