품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Industrial Metals"
20180717,341.87
20180716,343.98
20180713,346.01
20180712,346.84
20180711,344.85
20180710,353.48
20180709,357.98
20180706,353.06
20180705,354.92
20180703,360.56
20180702,363.2
20180629,369.17
20180628,370.7
20180627,373.77
20180626,372.15
20180625,373.2
20180621,376.2
20180620,376.36
20180619,377.64
20180618,384.98
20180615,385.75
20180614,394.6
20180613,399
20180612,398.88
20180611,400.13
20180608,401.73
20180607,403.53
20180606,403.67
20180605,399.26
20180604,395.13
20180601,391.43
20180531,389.08
20180530,387.48
20180529,387.27
20180525,386.31
20180524,388.23
20180523,386.24
20180522,389.37
20180521,387.62
20180518,385.58
20180517,388.18
20180516,387.79
20180515,386.85
20180514,388.29
20180511,386.57
20180510,387.94
20180509,387.46
20180508,385.87
20180507,387.65
20180504,387.65
20180503,380.09
20180502,384.24
20180501,378.41
20180430,381.08
20180427,379.39
20180426,387.04
20180425,385.53
20180424,385.33
20180423,388.81
20180420,402.25
20180419,402.95
20180418,407.95
20180417,393
20180416,393.79
20180413,383.48
20180412,385.75
20180411,386.93
20180410,383.48
20180409,376.3
20180406,368.56
20180405,367.54
20180404,364.3
20180403,366.56
20180402,365.87
20180329,365.87
20180328,366.18
20180327,366.2
20180326,365.09
20180323,365.26
20180322,368.04
20180321,372.27
20180320,369.78
20180319,373.76
20180316,374.84
20180315,375.47
20180314,377.53
20180313,378.29
20180312,374.96
20180309,379.03
20180308,372.9
20180307,376.4
20180306,382.05
20180305,379.33
20180302,380.53
20180301,381.73
20180228,383.06
20180227,387.36
20180226,389.76
20180223,388.31
20180222,393.19
20180221,393.46
20180220,392.05
20180216,397.62
20180215,394.35
20180214,394.09
20180213,385.03
20180212,378.31
20180209,376.4
20180208,381.82
20180207,380.97
20180206,388.72
20180205,395.61
20180202,391.95
20180201,396.22
20180131,394.41
20180130,390.69
20180129,394.35
20180126,394.89
20180125,395.21
20180124,395.87
20180123,387.4
20180122,391.77
20180119,389.1
20180118,390.27
20180117,385.5
20180116,387.1
20180112,389.23
20180111,387.62
20180110,388.1
20180109,384.59
20180108,387.49
20180105,387.82
20180104,392.93
20180103,389.68
20180102,393.92
20171229,394.04
20171228,395.46
20171227,391.77
20171226,384.99
20171222,384.99
20171221,381.09
20171220,378.46
20171219,374.43
20171218,372.36
20171215,370.82
20171214,366.23
20171213,362.32
20171212,360.98
20171211,360.86
20171208,356.22
20171207,356
20171206,356.48
20171205,358.64
20171204,368.08
20171201,369.99
20171130,364.34
20171129,365.86
20171128,368.45
20171127,374.78
20171124,377.89
20171122,374.62
20171121,371.84
20171120,369.21
20171117,368.87
20171116,366.57
20171115,369.33
20171114,367.62
20171113,375.15
20171110,371.56
20171109,371.21
20171108,374.03
20171107,373.91
20171106,380.97
20171103,379.11
20171102,379.43
20171101,381.37
20171031,376.09
20171030,374.82
20171027,373.78
20171026,380.46
20171025,380.62
20171024,379.12
20171023,376.69
20171020,374.41
20171019,376.53
20171018,375.16
20171017,376.2
20171016,380.85
20171013,375.38
20171012,376.28
20171011,372.25
20171010,373.59
20171009,370.56
20171006,368.74
20171005,371.86
20171004,367.35
20171003,365.13
20171002,361.15
20170929,359.8
20170928,361.83
20170927,358.83
20170926,358.73
20170925,360.87
20170922,360.66
20170921,364.35
20170920,366.12
20170919,362.13
20170918,359.55
20170915,357.43
20170914,357.21
20170913,359.28
20170912,365.23
20170911,365.71
20170908,361.93
20170907,370.36
20170906,369.9
20170905,369.84
20170901,372.1
20170831,368.97
20170830,365.47
20170829,367.04
20170828,361.12
20170825,361.12
20170824,365.33
20170823,361.77
20170822,361.19
20170821,360.83
20170818,357.09
20170817,357.19
20170816,361.29
20170815,350.53
20170814,348.58
20170811,350.12
20170810,351.57
20170809,350.99
20170808,351.61
20170807,344.51
20170804,339.53
20170803,339.4
20170802,339.86
20170801,338.06
20170731,339.27
20170728,337.31
20170727,339.37
20170726,339.66
20170725,337.09
20170724,329.7
20170721,328.17
20170720,326.46
20170719,327.47
20170718,330.62
20170717,329.93
20170714,328.77
20170713,326.6
20170712,325.99
20170711,325.22
20170710,323.16
20170707,324.96
20170706,326.31
20170705,325.26
20170703,328.77
20170630,327.46
20170629,327.38
20170628,324.44
20170627,323.22
20170626,319.29
20170623,319.28
20170622,317.73
20170621,316.34
20170620,313.14
20170619,315.06
20170616,311.88
20170615,311.39
20170614,312.74
20170613,312.72
20170612,314.21
20170609,317.36
20170608,313.94
20170607,310.9
20170606,310.85
20170605,312.07
20170602,315.36
20170601,316.42
20170531,316.92
20170530,316.71
20170526,318.64
20170525,320.13
20170524,318.36
20170523,320.09
20170522,319.27
20170519,318.87
20170518,313.5
20170517,315.17
20170516,314.29
20170515,314.51
20170512,312.43
20170511,312.29
20170510,310.58
20170509,311.19
20170508,310.57
20170505,314.12
20170504,313.28
20170503,315.82
20170502,323.07
20170501,320.1
20170428,320.1
20170427,318.74
20170426,321.51
20170425,320.86
20170424,318.48
20170421,316.78
20170420,318.58
20170419,313.18
20170418,311.81
20170417,319.6
20170413,319.6
20170412,317.06
20170411,321.15
20170410,322.27
20170407,327.12
20170406,328.07
20170405,330.84
20170404,325.7
20170403,325.09
20170331,329.6
20170330,334.71
20170329,332.59
20170328,330.01
20170327,324.92
20170324,328.34
20170323,328.73
20170322,328.34
20170321,326.51
20170320,329.15
20170317,330.71
20170316,327.9
20170315,325.86
20170314,322.2
20170313,323.26
20170310,320.52
20170309,318.84
20170308,321.58
20170307,322.05
20170306,325.6
20170303,328.37
20170302,329.52
20170301,336
20170228,332.46
20170227,330.05
20170224,329.03
20170223,325.03
20170222,332.11
20170221,332.75
20170217,329.31
20170216,332.12
20170215,335.12
20170214,333.11
20170213,335.1
20170210,334.68
20170209,324.21
20170208,326.9
20170207,321.96
20170206,323.57
20170203,321.26
20170202,324.87
20170201,325.8
20170131,326.57
20170130,319.56
20170127,320.75
20170126,320.53
20170125,325.12
20170124,327.75
20170123,322.26
20170120,320.19
20170119,318.98
20170118,320.93
20170117,317.47
20170113,323.41
20170112,318.21
20170111,312.16
20170110,314.34
20170109,307.03
20170106,304.63
20170105,303.82
20170104,304.58
20170103,298.62
20161230,300.9
20161229,297.84
20161228,302.23
20161227,302.4
20161223,302.4
20161222,305.64
