품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Light Energy Index (CPW 4)"
20180717,378.93
20180716,378.64
20180713,384.22
20180712,384.11
20180711,381.54
20180710,395.63
20180709,398.01
20180706,398.97
20180705,396.49
20180703,397.82
20180702,396.63
20180629,403.96
20180628,399.74
20180627,400.72
20180626,397.12
20180625,394.9
20180621,395.36
20180620,396.44
20180619,396.04
20180618,400.88
20180615,400.41
20180614,407.19
20180613,411.76
20180612,411.67
20180611,409.22
20180608,411.33
20180607,411.13
20180606,408.77
20180605,407.68
20180604,405.88
20180601,410.98
20180531,412.88
20180530,413.69
20180529,411.18
20180525,413.65
20180524,416.58
20180523,417.86
20180522,416.74
20180521,415.18
20180518,412.27
20180517,411.74
20180516,411.46
20180515,411
20180514,411.37
20180511,410.76
20180510,413.39
20180509,412.48
20180508,409.35
20180507,411.03
20180504,411.6
20180503,409.22
20180502,407.77
20180501,406.67
20180430,407.94
20180427,406.33
20180426,406.16
20180425,406.04
20180424,404.16
20180423,405.62
20180420,408.5
20180419,409.79
20180418,411.52
20180417,403.91
20180416,403.99
20180413,404.93
20180412,405.17
20180411,404.51
20180410,401.33
20180409,396.25
20180406,389.42
20180405,391.1
20180404,387.25
20180403,388.49
20180402,387.73
20180329,391.72
20180328,389.52
20180327,391.1
20180326,391.55
20180323,393.09
20180322,391.64
20180321,393.33
20180320,389.91
20180319,388.78
20180316,392.89
20180315,392.66
20180314,393.92
20180313,393.7
20180312,393.52
20180309,395.6
20180308,392.84
20180307,394.54
20180306,399.39
20180305,399.04
20180302,395.21
20180301,395.85
20180228,395.67
20180227,398.31
20180226,400.24
20180223,398.82
20180222,398.41
20180221,396.28
20180220,396.04
20180216,397.12
20180215,396.36
20180214,395.58
20180213,389.35
20180212,387.64
20180209,384.15
20180208,389.59
20180207,390.36
20180206,394.21
20180205,396.77
20180202,398.93
20180201,401.42
20180131,398.73
20180130,399.08
20180129,401
20180126,401.89
20180125,400.32
20180124,401.31
20180123,396
20180122,395.54
20180119,393.96
20180118,395.25
20180117,394.42
20180116,392.85
20180112,393.99
20180111,392.99
20180110,393.02
20180109,391.63
20180108,389.71
20180105,390.46
20180104,393.97
20180103,393.36
20180102,391.98
20171229,390.77
20171228,389.68
20171227,387.9
20171226,386.09
20171222,381.53
20171221,380.44
20171220,378.59
20171219,376.22
20171218,375.09
20171215,374.34
20171214,372.77
20171213,370.58
20171212,370.8
20171211,373.2
20171208,372.41
20171207,371.26
20171206,371.33
20171205,376.44
20171204,379.05
20171201,382.4
20171130,379.16
20171129,381.13
20171128,382.05
20171127,383.49
20171124,384.68
20171122,383.7
20171121,380.05
20171120,378.72
20171117,380.61
20171116,376.31
20171115,377.7
20171114,378.25
20171113,383.38
20171110,382.48
20171109,381.95
20171108,381.39
20171107,380.8
20171106,382.38
20171103,378.04
20171102,376.07
20171101,376.19
20171031,375.1
20171030,374.07
20171027,372.51
20171026,372
20171025,371.31
20171024,371.44
20171023,368.56
20171020,376.04
20171019,367.78
20171018,368.43
20171017,368.46
20171016,370.05
20171013,369.47
20171012,366.44
20171011,366.33
20171010,366.39
20171009,362.66
20171006,362.38
20171005,365.67
20171004,362.23
20171003,362.01
20171002,361.29
20170929,364.11
20170928,364.56
20170927,365.55
20170926,364.51
20170925,366.84
20170922,364.74
20170921,364.67
20170920,366.28
20170919,361.91
20170918,362.52
20170915,363.52
20170914,361.79
20170913,361.01
20170912,359.53
20170911,360.37
20170908,359.77
20170907,362.54
20170906,363.23
20170905,361.77
20170901,358.98
20170831,358.42
20170830,352.05
20170829,352.98
20170828,353.08
20170825,353.61
20170824,354.43
20170823,353.42
20170822,352.6
20170821,352.5
20170818,354.25
20170817,351.72
20170816,352.82
20170815,353.3
20170814,354.76
20170811,357.21
20170810,355.93
20170809,360.69
20170808,359.55
20170807,358.51
20170804,356.7
20170803,356.36
20170802,358.54
20170801,356.05
20170731,360.03
20170728,359.52
20170727,358.84
20170726,356.85
20170725,353.55
20170724,352.22
20170721,353.78
20170720,356.86
20170719,357.01
20170718,354.29
20170717,353.59
20170714,354.19
20170713,352.08
20170712,354.87
20170711,356.23
20170710,354.52
20170707,353.76
20170706,356.26
20170705,356.29
20170703,359.91
20170630,355.66
20170629,349.27
20170628,345.59
20170627,343.73
20170626,341.75
20170623,340.9
20170622,340.06
20170621,341.73
20170620,344.23
20170619,346.74
20170616,348.27
20170615,346.25
20170614,346.72
20170613,350.96
20170612,350
20170609,353.27
20170608,351.83
20170607,350.23
20170606,352.12
20170605,350.84
20170602,352.45
20170601,353.57
20170531,354.01
20170530,355.02
20170526,357.29
20170525,356.59
20170524,359.84
20170523,361.02
20170522,362.71
20170519,361.04
20170518,355.52
20170517,357.1
20170516,354.87
20170515,355.25
20170512,354.47
20170511,352.76
20170510,351.81
20170509,348.73
20170508,350.53
20170505,352.04
20170504,350.79
20170503,357.44
20170502,357.44
20170501,358.24
20170428,356.93
20170427,354.34
20170426,354.8
20170425,355.39
20170424,352.92
20170421,353.81
20170420,355.9
20170419,356.86
20170418,360.64
20170417,363.27
20170413,364.43
20170412,362.77
20170411,363.26
20170410,361.34
20170407,359.41
20170406,357.91
20170405,357.3
20170404,355.79
20170403,355.05
20170331,357.35
20170330,357.21
20170329,356.61
20170328,354.44
20170327,352.2
20170324,354.18
20170323,354.41
20170322,354.84
20170321,354.91
20170320,356.82
20170317,358.12
20170316,357.31
20170315,355.84
20170314,352.69
20170313,354.28
20170310,354.05
20170309,355.02
20170308,358.65
20170307,363.48
20170306,365.8
20170303,366.32
20170302,365.68
20170301,371
20170228,368.24
20170227,366.17
20170224,367.42
20170223,368.28
20170222,369.25
20170221,370.71
20170217,369.4
20170216,370.63
20170215,372.89
20170214,371.66
20170213,371.01
20170210,372.92
20170209,368.03
20170208,366.74
20170207,364.16
20170206,363.94
20170203,365.12
20170202,365.71
20170201,366.08
20170131,362.19
20170130,359.23
20170127,362.8
20170126,364.27
20170125,364.96
20170124,366.2
20170123,365.88
20170120,365.16
20170119,362.79
20170118,364.11
20170117,365.92
20170113,364.57
20170112,363.76
20170111,359.34
20170110,357.51
20170109,355.72
20170106,357.76
20170105,358.47
20170104,357.28
20170103,351.85
20161230,355
20161229,354.72
20161228,354.75
20161227,354.69
20161223,349.85
20161222,351.14
