품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Precious Metals"
20180717,1616.74
20180716,1633.46
20180713,1635.37
20180712,1641.07
20180711,1634.47
20180710,1647.71
20180709,1650.49
20180706,1642.59
20180705,1646.41
20180703,1639.62
20180702,1623.59
20180629,1642.41
20180628,1636.66
20180627,1644.69
20180626,1650.13
20180625,1661.5
20180621,1663.35
20180620,1667.82
20180619,1672.78
20180618,1675.79
20180615,1674.34
20180614,1717.52
20180613,1706.47
20180612,1703.02
20180611,1707.96
20180608,1705.01
20180607,1705.97
20180606,1702.67
20180605,1702.04
20180604,1695.12
20180601,1697.57
20180531,1704.09
20180530,1707.1
20180529,1702.5
20180525,1710.06
20180524,1712.46
20180523,1691.91
20180522,1696.73
20180521,1694.98
20180518,1694.9
20180517,1693.17
20180516,1694.61
20180515,1692.14
20180514,1729.06
20180511,1733.35
20180510,1733.82
20180509,1719.13
20180508,1717.77
20180507,1717
20180504,1716.47
20180503,1713.38
20180502,1704.28
20180501,1703.12
20180430,1720.53
20180427,1726.47
20180426,1720.73
20180425,1726.59
20180424,1740.76
20180423,1728.85
20180420,1751.5
20180419,1764.71
20180418,1770.34
20180417,1760.75
20180416,1761.05
20180413,1757.6
20180412,1748.64
20180411,1772.84
20180410,1754.36
20180409,1746.74
20180406,1740.15
20180405,1730.98
20180404,1743.68
20180403,1741.71
20180402,1755.9
20180329,1728.67
20180328,1731.68
20180327,1755.71
20180326,1772.47
20180323,1765.3
20180322,1736.84
20180321,1730.24
20180320,1716.41
20180319,1724.68
20180316,1717.78
20180315,1725.8
20180314,1736.28
20180313,1739.1
20180312,1729.36
20180309,1732.49
20180308,1727.27
20180307,1732.73
20180306,1743.32
20180305,1721.47
20180302,1726.14
20180301,1702.79
20180228,1719.07
20180227,1720.17
20180226,1738.81
20180223,1735.11
20180222,1738.86
20180221,1738.57
20180220,1735.8
20180216,1768.11
20180215,1767.92
20180214,1771.92
20180213,1735.86
20180212,1731.43
20180209,1714.21
20180208,1720.02
20180207,1713.61
20180206,1734.5
20180205,1743.67
20180202,1745
20180201,1762.1
20180131,1757.35
20180130,1751.81
20180129,1758.52
20180126,1776
20180125,1790.5
20180124,1781.43
20180123,1752.3
20180122,1747.45
20180119,1749.23
20180118,1741.32
20180117,1757.63
20180116,1755.52
20180112,1752.43
20180111,1734.77
20180110,1730.59
20180109,1722.62
20180108,1730.76
20180105,1733.37
20180104,1732.38
20180103,1728.73
20180102,1725.27
20171229,1716.65
20171228,1700.1
20171227,1691.51
20171226,1685.3
20171222,1673.4
20171221,1661.59
20171220,1660.81
20171219,1653.18
20171218,1655.26
20171215,1644.37
20171214,1642.5
20171213,1631.86
20171212,1621.61
20171211,1628.96
20171208,1631.13
20171207,1636.4
20171206,1653.25
20171205,1653.07
20171204,1671.34
20171201,1676.89
20171130,1671.27
20171129,1683.32
20171128,1702.39
20171127,1704.21
20171124,1695.63
20171122,1702.81
20171121,1688.74
20171120,1679.83
20171117,1710.36
20171116,1685.68
20171115,1683.99
20171114,1691.17
20171113,1686.21
20171110,1677.48
20171109,1692.96
20171108,1689.07
20171107,1676.48
20171106,1685.24
20171103,1666.4
20171102,1680.08
20171101,1679.57
20171031,1666.39
20171030,1676.48
20171027,1668.55
20171026,1666.61
20171025,1678.84
20171024,1678.47
20171023,1682.69
20171020,1682.25
20171019,1695.28
20171018,1684.3
20171017,1688.52
20171016,1711.71
20171013,1714.04
20171012,1703
20171011,1692.67
20171010,1699.2
20171009,1686.35
20171006,1672.58
20171005,1668.95
20171004,1673.01
20171003,1670.72
20171002,1672.16
20170929,1682.93
20170928,1689.34
20170927,1688.07
20170926,1704.93
20170925,1719.25
20170922,1701.11
20170921,1698.32
20170920,1727
20170919,1719.62
20170918,1718.53
20170915,1741.27
20170914,1747.01
20170913,1746.34
20170912,1752.08
20170911,1755.72
20170908,1776.24
20170907,1775.11
20170906,1759.67
20170905,1766.43
20170901,1748.59
20170831,1736.39
20170830,1726.14
20170829,1731.9
20170828,1727.83
20170825,1703.18
20170824,1695.35
20170823,1699.38
20170822,1694.33
20170821,1701.39
20170818,1695.33
20170817,1696.84
20170816,1684.49
20170815,1678.32
20170814,1695.24
20170811,1698.88
20170810,1694.09
20170809,1679.07
20170808,1654.23
20170807,1655.01
20170804,1654.72
20170803,1670.27
20170802,1676.06
20170801,1677.57
20170731,1670.79
20170728,1672.02
20170727,1660.41
20170726,1646.43
20170725,1650.72
20170724,1652.22
20170721,1652.73
20170720,1641.11
20170719,1636.73
20170718,1636.41
20170717,1625.11
20170714,1616.06
20170713,1599.88
20170712,1602.61
20170711,1594.24
20170710,1589.55
20170707,1581.56
20170706,1603.51
20170705,1600.7
20170703,1599.89
20170630,1632.7
20170629,1637.08
20170628,1642.43
20170627,1638.34
20170626,1637.54
20170623,1650.05
20170622,1640.42
20170621,1634.7
20170620,1632.47
20170619,1637.17
20170616,1650.32
20170615,1648.76
20170614,1678.28
20170613,1665.75
20170612,1667.87
20170609,1673.67
20170608,1685.05
20170607,1703.14
20170606,1708.97
20170605,1690.27
20170602,1686.74
20170601,1672.29
20170531,1679.84
20170530,1668.72
20170526,1674.26
20170525,1659.29
20170524,1654.61
20170523,1657.65
20170522,1665.12
20170519,1651.48
20170518,1649.3
20170517,1658.76
20170516,1630.96
20170515,1622.03
20170512,1617.17
20170511,1611.71
20170510,1604.06
20170509,1598.45
20170508,1612.57
20170505,1611.69
20170504,1613.17
20170503,1639.07
20170502,1652.1
20170501,1650.46
20170428,1669.98
20170427,1667.95
20170426,1667.01
20170425,1672.99
20170424,1687.99
20170421,1701.61
20170420,1697.15
20170419,1698.22
20170418,1711.93
20170417,1711.95
20170413,1707.92
20170412,1693.32
20170411,1688.1
20170410,1660.53
20170407,1666.9
20170406,1663.09
20170405,1656.84
20170404,1669.89
20170403,1663.54
20170331,1660.74
20170330,1656.46
20170329,1667.25
20170328,1669.59
20170327,1668.03
20170324,1655.83
20170323,1652.28
20170322,1655.27
20170321,1651.59
20170320,1635.52
20170317,1630.57
20170316,1626.16
20170315,1590.88
20170314,1593.22
20170313,1594.57
20170310,1591.16
20170309,1593.79
20170308,1603.08
20170307,1612.7
20170306,1625.46
20170303,1626.27
20170302,1633.84
20170301,1661.86
20170228,1666.21
20170227,1671.37
