품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Reduced Energy Index (CPW 2)"
20180717,414.87
20180716,414.32
20180713,423.15
20180712,422.23
20180711,419.86
20180710,437.32
20180709,438.85
20180706,439.21
20180705,436.87
20180703,438.69
20180702,437.38
20180629,445.01
20180628,440
20180627,440.4
20180626,434.69
20180625,430.37
20180621,428.11
20180620,430.08
20180619,429.35
20180618,434.18
20180615,432.21
20180614,440.74
20180613,445.03
20180612,444.28
20180611,442.42
20180608,443.96
20180607,444.42
20180606,440.32
20180605,440.13
20180604,438.36
20180601,444.19
20180531,447.2
20180530,448.68
20180529,444.29
20180525,447.92
20180524,453.83
20180523,456.18
20180522,455.44
20180521,453.77
20180518,450.38
20180517,450.58
20180516,449.96
20180515,448.94
20180514,448.78
20180511,447.4
20180510,450.08
20180509,448.9
20180508,443.24
20180507,446.69
20180504,445.6
20180503,441.93
20180502,440.33
20180501,438.99
20180430,441.9
20180427,439.82
20180426,439.9
20180425,439.13
20180424,437.38
20180423,439.6
20180420,441.3
20180419,442.13
20180418,443.43
20180417,434.71
20180416,434.59
20180413,436.84
20180412,436.32
20180411,435.89
20180410,431.59
20180409,424.58
20180406,417.08
20180405,420.17
20180404,416.79
20180403,418.02
20180402,416.76
20180329,422.54
20180328,420.01
20180327,422.26
20180326,422.67
20180323,424.32
20180322,421.3
20180321,423.68
20180320,418.46
20180319,415.62
20180316,419.41
20180315,417.78
20180314,418.61
20180313,418.01
20180312,418.34
20180309,420.8
20180308,416.23
20180307,418.92
20180306,424.64
20180305,424.14
20180302,419.3
20180301,419.42
20180228,420.38
20180227,424.9
20180226,427.59
20180223,425.83
20180222,424.38
20180221,421.26
20180220,420.96
20180216,421.28
20180215,419.92
20180214,417.81
20180213,411.57
20180212,410.08
20180209,407.26
20180208,414.6
20180207,416.06
20180206,421.39
20180205,424.73
20180202,428.17
20180201,431.22
20180131,428.06
20180130,428.29
20180129,431.15
20180126,432.95
20180125,430.91
20180124,431.68
20180123,426.16
20180122,424.39
20180119,422.62
20180118,424.58
20180117,423.95
20180116,422.25
20180112,423.93
20180111,422.47
20180110,422.14
20180109,420.44
20180108,417.26
20180105,417.67
20180104,421.46
20180103,420.82
20180102,418.03
20171229,417.24
20171228,415.48
20171227,413.44
20171226,412.3
20171222,406.16
20171221,404.86
20171220,403.01
20171219,400.26
20171218,398.86
20171215,397.8
20171214,396.51
20171213,393.97
20171212,395.3
20171211,398.87
20171208,397.03
20171207,394.73
20171206,393.83
20171205,400.35
20171204,402.15
20171201,406.71
20171130,402.54
20171129,404.47
20171128,406.2
20171127,407.37
20171124,408.76
20171122,407.21
20171121,403.21
20171120,401.64
20171117,403.83
20171116,398.45
20171115,400.08
20171114,400.93
20171113,406.81
20171110,406.35
20171109,406.33
20171108,405.2
20171107,404.96
20171106,406.68
20171103,400.24
20171102,396.92
20171101,396.74
20171031,396.13
20171030,394.95
20171027,393.29
20171026,391.41
20171025,390.06
20171024,390.28
20171023,386.95
20171020,385.86
20171019,385.57
20171018,386.79
20171017,386.82
20171016,388.77
20171013,387.39
20171012,383.57
20171011,384.21
20171010,383.73
20171009,378.91
20171006,378.47
20171005,383.42
20171004,379.26
20171003,379.19
20171002,378.85
20170929,382.84
20170928,383.5
20170927,384.99
20170926,384.1
20170925,386.6
20170922,382.61
20170921,382.22
20170920,383.76
20170919,378.97
20170918,379.97
20170915,380.96
20170914,379.24
20170913,377.98
20170912,375.44
20170911,375.68
20170908,374.91
20170907,378.79
20170906,379.21
20170905,377.28
20170901,374.1
20170831,373.62
20170830,365.47
20170829,366.73
20170828,366.55
20170825,367.8
20170824,368.22
20170823,368.12
20170822,366.51
20170821,366.02
20170818,368.89
20170817,364.86
20170816,365.18
20170815,366.53
20170814,367.96
20170811,371.58
20170810,370.39
20170809,375.27
20170808,373.74
20170807,373.12
20170804,371.99
20170803,371.2
20170802,373.58
20170801,370.93
20170731,375.45
20170728,374.51
20170727,372.91
20170726,370.61
20170725,366.75
20170724,363.44
20170721,364.28
20170720,368.59
20170719,369.13
20170718,365.66
20170717,364.51
20170714,365.55
20170713,362.96
20170712,364.44
20170711,365.2
20170710,362.74
20170707,361.68
20170706,365.71
20170705,365.09
20170703,370.65
20170630,365.87
20170629,359.13
20170628,355.86
20170627,353.48
20170626,350.5
20170623,349.25
20170622,348.2
20170621,349.2
20170620,352.59
20170619,355.93
20170616,358.05
20170615,355.88
20170614,356.23
20170613,362.14
20170612,360.91
20170609,363.38
20170608,361.71
20170607,360.42
20170606,364.91
20170605,362.92
20170602,365
20170601,367
20170531,367.47
20170530,370.32
20170526,372.77
20170525,371.29
20170524,377.11
20170523,378.28
20170522,379.49
20170519,377.37
20170518,371.16
20170517,372.14
20170516,369.73
20170515,370.34
20170512,368.47
20170511,366.98
20170510,365.2
20170509,360.45
20170508,362.46
20170505,363.43
20170504,361.1
20170503,369.79
20170502,369.48
20170501,371.53
20170428,371.32
20170427,368.81
20170426,370.39
20170425,370.84
20170424,368.42
20170421,369.73
20170420,373.01
20170419,374.06
20170418,379.67
20170417,382.38
20170413,384.06
20170412,382.45
20170411,382.98
20170410,381.11
20170407,378.38
20170406,376.47
20170405,375.16
20170404,373.74
20170403,371.59
20170331,374.05
20170330,373.49
20170329,372.09
20170328,368.71
20170327,365.95
20170324,367.69
20170323,367.5
20170322,368.1
20170321,368.67
20170320,370.99
20170317,372.14
20170316,371.3
20170315,370.32
20170314,366.45
20170313,368.67
20170310,368.5
20170309,370.2
20170308,374.51
20170307,381.64
20170306,383.53
20170303,383.72
20170302,382.24
20170301,388.43
20170228,386.45
20170227,384.78
20170224,385.82
20170223,387.16
20170222,386.71
20170221,388.85
20170217,387.45
20170216,388.44
20170215,390.49
20170214,389.64
20170213,388.68
20170210,391.59
20170209,386.12
20170208,384.04
20170207,381.13
20170206,381.58
20170203,383.89
20170202,384.2
20170201,385.02
20170131,380.19
20170130,377.5
20170127,381.28
20170126,383.56
20170125,382.68
20170124,384.38
20170123,383.57
20170120,383.46
20170119,380.12
20170118,380.95
20170117,384.57
20170113,383.34
20170112,383.28
20170111,378.08
20170110,374.48
20170109,374.19
20170106,378.84
20170105,379.07
20170104,377.64
20170103,372.15
20161230,377.34
20161229,377.31
20161228,377.65
20161227,377.18
20161223,371.62
