품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Softs"
20180717,87.82
20180716,87.78
20180713,87.63
20180712,88.36
20180711,87.32
20180710,88.83
20180709,88.27
20180706,88.08
20180705,86.37
20180703,86.76
20180702,87.37
20180629,90.08
20180628,89.83
20180627,89.85
20180626,91.07
20180625,90.86
20180621,90.29
20180620,90.37
20180619,89.72
20180618,91.85
20180615,93.14
20180614,94.75
20180613,95.22
20180612,95.2
20180611,94.57
20180608,94.6
20180607,92.26
20180606,92.59
20180605,91.8
20180604,92.89
20180601,95.51
20180531,96.27
20180530,95.28
20180529,95.11
20180525,93.67
20180524,92.91
20180523,92.51
20180522,92.26
20180521,92.56
20180518,90.54
20180517,89.52
20180516,89.58
20180515,88.87
20180514,88.59
20180511,89.19
20180510,89.18
20180509,89.68
20180508,90.32
20180507,90.33
20180504,91.23
20180503,91.15
20180502,91.21
20180501,91.37
20180430,90.78
20180427,90.41
20180426,89.45
20180425,88.66
20180424,88.5
20180423,89.14
20180420,90.46
20180419,89.91
20180418,89.85
20180417,89.27
20180416,90.39
20180413,90.52
20180412,90.22
20180411,90.37
20180410,90.12
20180409,90.61
20180406,89.95
20180405,90.11
20180404,88.5
20180403,90.04
20180402,90.14
20180329,89.88
20180328,89.3
20180327,90.71
20180326,90.43
20180323,90.67
20180322,91.31
20180321,91.18
20180320,90.97
20180319,91.01
20180316,91.12
20180315,91.77
20180314,92.16
20180313,91.6
20180312,92.29
20180309,92.41
20180308,92.89
20180307,91.6
20180306,93.21
20180305,94.65
20180302,92.72
20180301,93.4
20180228,92.63
20180227,90.92
20180226,92.42
20180223,91.97
20180222,91.35
20180221,90.74
20180220,90.23
20180216,89.52
20180215,90.46
20180214,89.98
20180213,90.34
20180212,90.41
20180209,90.46
20180208,90.39
20180207,91.08
20180206,90.61
20180205,90.52
20180202,90.24
20180201,90
20180131,89.19
20180130,90.34
20180129,91.04
20180126,91.26
20180125,91.24
20180124,91.02
20180123,90.8
20180122,91.46
20180119,91.48
20180118,90.86
20180117,91.82
20180116,91.44
20180112,93.28
20180111,93.81
20180110,93.99
20180109,93.69
20180108,93.78
20180105,94.89
20180104,96.03
20180103,95.59
20180102,95.7
20171229,95.04
20171228,94.57
20171227,94.26
20171226,92.69
20171222,92.21
20171221,93.25
20171220,92.02
20171219,91.07
20171218,89.51
20171215,89.25
20171214,89.28
20171213,88.95
20171212,87.94
20171211,88.8
20171208,89.63
20171207,90.54
20171206,90.8
20171205,92.14
20171204,92.96
20171201,93.31
20171130,93.26
20171129,94.18
20171128,93.06
20171127,93.5
20171124,93.91
20171122,93.12
20171121,91.58
20171120,91.94
20171117,92.67
20171116,92.75
20171115,92.12
20171114,92.2
20171113,92.59
20171110,92.2
20171109,91.39
20171108,91.27
20171107,90.33
20171106,90.1
20171103,89.18
20171102,89.24
20171101,89.61
20171031,90.23
20171030,90.5
20171027,90.15
20171026,88.56
20171025,88.98
20171024,89.23
20171023,88.55
20171020,87.86
20171019,88.61
20171018,88.02
20171017,87.92
20171016,88.08
20171013,89.64
20171012,88.98
20171011,89.48
20171010,89.64
20171009,89.07
20171006,89.1
20171005,89.53
20171004,89.09
20171003,88.07
20171002,88.89
20170929,88.84
20170928,88.53
20170927,88.31
20170926,88.81
20170925,90.15
20170922,90.92
20170921,91.27
20170920,91.74
20170919,90.62
20170918,92.86
20170915,93.58
20170914,92.14
20170913,91.84
20170912,90.37
20170911,91.58
20170908,91.63
20170907,90.77
20170906,91.4
20170905,90.97
20170901,89.18
20170831,90.44
20170830,88.97
20170829,88.56
20170828,90.26
20170825,88.64
20170824,88.7
20170823,87.44
20170822,86.69
20170821,86.77
20170818,86.54
20170817,86.09
20170816,85.39
20170815,86.25
20170814,88.3
20170811,88.38
20170810,88.04
20170809,90.9
20170808,91.25
20170807,91.09
20170804,91.34
20170803,91.81
20170802,93.13
20170801,92.49
20170731,92.69
20170728,91.08
20170727,90.86
20170726,89.65
20170725,88.45
20170724,89.92
20170721,90.52
20170720,90.53
20170719,90.47
20170718,89.25
20170717,88.85
20170714,88.94
20170713,87.96
20170712,85.99
20170711,85.92
20170710,86.38
20170707,88.59
20170706,88.1
20170705,87.49
20170703,87.64
20170630,87.49
20170629,85.97
20170628,84.03
20170627,84.45
20170626,83.98
20170623,84.62
20170622,83.15
20170621,85.12
20170620,87.45
20170619,87.42
20170616,87.67
20170615,88.26
20170614,89.29
20170613,90.15
20170612,91.2
20170609,91.73
20170608,92.1
20170607,91.32
20170606,91.09
20170605,91.42
20170602,90.83
20170601,92.86
20170531,94.55
20170530,95.39
20170526,94.86
20170525,96.1
20170524,96.24
20170523,97.27
20170522,99.5
20170519,99.78
20170518,98.64
20170517,100.27
20170516,99.19
20170515,100.44
20170512,99
20170511,97.78
20170510,97.55
20170509,96.71
20170508,96.68
20170505,96.29
20170504,96.72
20170503,97.85
20170502,98.3
20170501,98.87
20170428,98.47
20170427,95.83
20170426,96.97
20170425,98.95
20170424,98.64
20170421,99.6
20170420,99.28
20170419,100.34
20170418,101.89
20170417,100.85
20170413,99.96
20170412,100.12
20170411,100.38
20170410,99.88
20170407,99.55
20170406,98.89
20170405,98.15
20170404,98.35
20170403,99.6
20170331,101.09
20170330,100.77
20170329,101.5
20170328,103.02
20170327,103.53
20170324,103.49
20170323,103.67
20170322,103.05
20170321,103.2
20170320,104.4
20170317,105.27
20170316,105.36
20170315,105.27
20170314,104.78
20170313,104.74
20170310,104.61
20170309,104.02
20170308,105.39
20170307,105.24
20170306,107.78
20170303,108.59
20170302,108.51
20170301,108.45
20170228,106.92
20170227,106.65
20170224,109.29
20170223,110.53
20170222,111.73
20170221,112.09
20170217,110.49
20170216,111.09
20170215,111.26
20170214,110.98
20170213,110.25
20170210,111.07
20170209,111.35
20170208,111.06
20170207,110.68
20170206,112.34
20170203,112.84
20170202,111.59
20170201,112.81
20170131,111.08
20170130,110.52
20170127,111.09
20170126,110.89
20170125,111.1
20170124,111.55
20170123,112.44
20170120,110.21
20170119,109.81
20170118,111.72
20170117,111.11
20170113,110.48
20170112,111.23
20170111,110.62
20170110,110.52
20170109,109.72
20170106,111.06
20170105,111.18
20170104,111.23
20170103,108.47
20161230,105.24
20161229,105.04
20161228,103.3
20161227,102.34
20161223,101.74
20161222,102.05
