품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Howe Robinson Container Index1997.1.15=1000"
20180711,825
20180704,832
20180627,842
20180620,843
20180613,846
20180606,843
20180530,832
20180523,826
20180516,822
20180509,812
20180502,793
20180425,785
20180418,773
20180411,761
20180404,755
20180328,746
20180321,734
20180314,703
20180307,677
20180228,661
20180221,651
20180214,649
20180207,645
20180131,640
20180124,637
20180117,631
20180110,624
20180103,610
20171220,600
20171213,599
20171206,593
20171129,592
20171122,590
20171115,587
20171108,584
20171101,588
20171025,596
20171018,613
20171011,615
20171004,616
20170927,634
20170920,634
20170913,628
20170906,624
20170830,604
20170823,604
20170816,580
20170809,570
20170802,561
20170726,541
20170719,547
20170712,545
20170705,523
20170628,529
20170621,538
20170614,549
20170607,565
20170531,588
20170524,596
20170517,603
20170510,606
20170503,613
20170426,612
20170419,610
20170412,603
20170405,587
20170329,574
20170322,515
20170315,467
20170308,444
20170301,425
20170222,420
20170215,415
20170208,406
20170201,406
20170125,406
20170118,403
20170111,399
20170104,394
20161221,392
20161214,392
20161207,393
20161130,394
20161123,398
20161116,403
20161111,404
20161102,405
20161026,406
20161019,408
20161012,411
20161005,412
20160928,415
20160921,416
20160914,416
20160907,417
20160817,428
20160810,429
20160803,431
20160727,436
20160720,439
20160713,438
20160706,436
20160629,437
20160622,440
20160615,442
20160608,440
20160601,441
20160525,442
20160518,447
20160511,451
20160504,448
20160427,441
20160420,445
20160413,442
20160406,444
20160330,445
20160323,448
20160316,450
20160309,451
20160302,451
20160224,451
20160217,444
20160210,446
20160203,450
20160127,453
20160120,453
20160113,447
20160106,446
20151223,449
20151216,455
20151209,468.7
20151202,476.4
20151125,481.9
20151118,487.9
20151111,491
20151104,500
20151028,521
20151021,543
20151014,563
20151007,572
20150930,593
20150923,617
20150916,631
20150909,664
20150902,666
20150826,669
20150819,674
20150812,681
20150805,693.8
20150729,706.1
20150722,607.6
20150715,733.9
20150701,763.4
20150624,768.7
20150617,776.6
20150610,779.3
20150603,782.6
20150527,780.5
20150520,778
20150513,771.5
20150506,753.2
20150429,749.5
20150422,730.5
20150415,713.2
20150408,686.1
20150401,652.7
20150325,627.6
20150318,623.5
20150311,609.7
20150304,603.6
20150225,541.6
20150218,588.9
20150211,571
20150205,570.4
20150128,561.1
20150121,557.7
20150114,556
20150107,543.9
20141217,542.3
20141210,544.5
20141203,542.3
20141126,544.2
20141119,545.8
20141112,543.7
20141105,536.6
20141029,533.8
20141022,478.6
20141015,533.5
20141008,540
20141001,540
20140924,536.4
20140917,538.6
20140910,540.6
20140903,542.3
20140828,536
20140820,531.3
20140813,533.7
20140806,533.3
20140730,536.1
20140723,540
20140716,538.8
20140709,537.6
20140702,538.7
20140625,540.8
20140618,541.8
20140611,540.3
20140604,533.4
20140528,534.1
20140521,531.2
20140514,527.2
20140507,531.9
20140430,529.4
20140423,524.3
20140416,520
20140409,516.8
20140402,504.1
20140326,504.9
20140319,500.1
20140312,505
20140305,505.9
20140226,508.7
20140219,508.1
20140212,504.4
20140205,502.4
20140129,504
20140122,505.4
20140115,500.7
20140108,498
20131218,497.5
20131211,500.8
20131204,498.4
20131127,498.7
20131120,499.9
20131113,500.4
20131106,500.9
20131030,503.4
20131023,506
20131016,504
20131009,510
20131002,509.7
20130925,510.9
20130918,511.3
20130911,508.5
20130904,504
20130828,503.3
20130821,502.7
20130814,502.7
20130807,501.7
20130731,501.9
20130724,500.4
20130717,497.5
20130710,496.4
20130703,495.9
20130626,498.6
20130619,499.5
20130612,491.7
20130605,491.1
20130529,487.6
20130522,487.9
20130515,492.1
20130508,500.7
20130501,505.2
20130424,501.8
20130417,491.2
20130410,482.6
20130403,478.4
20130327,481.7
20130320,475.4
20130313,468.2
20130306,469.3
20130227,471.5
20130220,470.2
20130213,470
20130206,469.8
20130130,461.1
20130123,458.2
20130116,458.1
20130109,459.6
20130102,459.1
20121219,457.1
20121212,459.8
20121205,465.1
20121128,468.6
20121121,468.2
20121114,466.5
20121107,466.6
20121031,463.3
20121024,469
20121017,476.4
20121010,473.7
20121003,479.5
20120926,475.8
20120919,469.5
20120912,476.9
20120905,476.9
20120829,474.6
20120822,472.3
20120815,479.9
20120808,487.7
20120801,486.1
20120725,487.5
20120718,482.9
20120711,487.5
20120704,492.6
20120627,502.7
20120620,502.6
20120613,512.1
20120606,509.5
20120531,514.1
20120523,514.1
20120516,501.1
20120509,499.8
20120502,491.5
20120425,489.3
20120418,479
20120411,476.3
20120404,477.1
20120328,469.9
20120321,468.2
20120314,473.4
20120307,465
20120229,461.1
20120222,462.6
20120215,456.4
20120208,457.6
20120201,456.2
20120125,459.2
20120118,464
20120111,467.5
20120104,473.5
20111221,485.1
20111214,498.9
20111207,514.1
20111130,519.6
20111123,528.7
20111116,540.5
20111109,551.4
20111102,556.5
20111026,564.1
20111012,594.7
20111005,628.7
20110928,659.5
20110921,674.4
20110914,679.9
20110907,692.7
20110831,705.6
20110824,718.8
20110817,752.2
20110811,768.9
20110803,784
20110727,792
20110720,820.6
20110713,846
20110706,867.7
20110629,883
20110622,897.3
20110615,907.3
20110608,910
20110601,908.9
20110525,907.6
20110518,910.7
20110511,902.8
20110504,909.6
20110427,904.8
20110420,899.6
20110413,909.3
20110406,909.5
20110330,916.1
20110323,901.9
20110316,901.2
20110309,880
20110302,855.6
20110223,850.6
20110216,828.1
20110209,808.3
20110202,775.2
20110126,766.4
20110119,732.3
20110112,716.6
20110105,694.5
20101222,676.2
20101215,668.4
20101208,663
20101201,664.6
20101124,666.8
20101117,669.9
20101110,682.4
20101103,696.6
20101027,699.1
20101020,704.4
20101013,727.3
20101006,728.4
20100929,734.9
20100922,731.9
20100915,727.1
20100908,721.7
20100902,715.8
20100825,695.9
20100818,679.9
20100811,674.3
20100804,666.2
20100728,665.8
20100721,667.8
20100714,661.2
20100707,651.5
20100630,629
20100623,611.9
20100616,596.5
20100609,568.7
20100602,531.5
20100526,497.1
20100519,479.1
20100512,466.7
20100505,438.8
20100428,426.9
20100421,399.3
20100414,390.5
20100407,382.6
20100331,372.5
20100324,370.2
20100317,374.1
20100310,364.2
20100303,357.2
20100224,357.1
20100217,352.3
20100210,349.2
20100203,339.9
20100127,339.3
20100120,335.5
20100113,334.5
20100106,335.5
20091223,333.9
20091216,333
20091209,330.7
