품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"LMEX Index1999.04=1000"
20180717,2981
20180716,3005
20180713,3010
20180712,2990
20180711,3067
20180710,3102
20180709,3061
20180706,3079
20180705,3092
20180704,3134
20180703,3156
20180702,3204
20180629,3212
20180628,3238
20180627,3231
20180626,3242
20180625,3274
20180622,3269
20180621,3271
20180620,3282
20180619,3343
20180618,3358
20180615,3432
20180614,3471
20180613,3462
20180612,3473
20180611,3489
20180608,3500
20180607,3484
20180606,3443
20180605,3402
20180604,3371
20180601,3351
20180531,3341
20180530,3338
20180529,3331
20180528,3331
20180525,3343
20180524,3331
20180523,3362
20180522,3343
20180521,3331
20180518,3346
20180517,3336
20180516,3330
20180515,3348
20180514,3344
20180511,3348
20180510,3334
20180509,3316
20180508,3339
20180507,3339
20180504,3293
20180503,3317
20180502,3275
20180501,3300
20180430,3288
20180427,3358
20180426,3352
20180425,3352
20180424,3365
20180423,3457
20180420,3459
20180419,3494
20180418,3382
20180417,3387
20180416,3316
20180413,3326
20180412,3351
20180411,3330
20180410,3276
20180409,3223
20180406,3224
20180405,3194
20180404,3220
20180403,3205
20180402,3205
20180330,3205
20180329,3199
20180328,3196
20180327,3184
20180326,3189
20180323,3210
20180322,3250
20180321,3227
20180320,3264
20180319,3276
20180316,3283
20180315,3299
20180314,3301
20180313,3278
20180312,3311
20180309,3258
20180308,3293
20180307,3335
20180306,3309
20180305,3316
20180302,3329
20180301,3340
20180228,3378
20180227,3403
20180226,3392
20180223,3428
20180222,3425
20180221,3411
20180220,3428
20180219,3464
20180216,3439
20180215,3433
20180214,3354
20180213,3291
20180212,3271
20180209,3318
20180208,3319
20180207,3391
20180206,3448
20180205,3407
20180202,3443
20180201,3433
20180131,3400
20180130,3431
20180129,3429
20180126,3435
20180125,3436
20180124,3354
20180123,3395
20180122,3376
20180119,3383
20180118,3350
20180117,3365
20180116,3419
20180115,3380
20180112,3373
20180111,3373
20180110,3344
20180109,3366
20180108,3368
20180105,3405
20180104,3379
20180103,3413
20180102,3419
20180101,3419
20171229,3429
20171228,3398
20171227,3344
20171226,3344
20171225,3344
20171222,3314
20171221,3294
20171220,3256
20171219,3240
20171218,3227
20171215,3186
20171214,3148
20171213,3137
20171212,3140
20171211,3101
20171208,3100
20171207,3102
20171206,3115
20171205,3206
20171204,3219
20171201,3176
20171130,3186
20171129,3206
20171128,3260
20171127,3289
20171124,3269
20171123,3262
20171122,3238
20171121,3214
20171120,3207
20171117,3186
20171116,3204
20171115,3197
20171114,3261
20171113,3227
20171110,3227
20171109,3249
20171108,3245
20171107,3306
20171106,3287
20171103,3294
20171102,3305
20171101,3262
20171031,3253
20171030,3245
20171027,3303
20171026,3307
20171025,3300
20171024,3278
20171023,3257
20171020,3271
20171019,3269
20171018,3280
20171017,3326
20171016,3266
20171013,3273
20171011,3239
20171010,3211
20171009,3198
20171006,3226
20171005,3179
20171004,3165
20171003,3136
20171002,3125
20170929,3140
20170928,3112
20170927,3109
20170926,3126
20170925,3122
20170922,3150
20170921,3169
20170920,3145
20170919,3129
20170918,3111
20170915,3108
20170914,3121
20170913,3175
20170912,3189
20170911,3158
20170908,3239
20170907,3236
20170906,3236
20170905,3263
20170904,3243
20170901,3217
20170831,3192
20170830,3203
20170829,3152
20170828,3152
20170825,3183
20170824,3147
20170823,3144
20170822,3143
20170821,3143
20170818,3104
20170817,3133
20170816,3047
20170815,3039
20170814,3050
20170811,3050
20170810,3058
20170809,3064
20170808,3015
20170807,2980
20170804,2978
20170803,2977.6
20170802,2980
20170801,2967
20170731,2977.9
20170728,2960.9
20170727,2974.8
20170726,2973.7
20170725,2947.9
20170724,2879.1
20170721,2849
20170720,2857
20170719,2881
20170718,2875
20170717,2875
20170714,2859
20170713,2840
20170712,2838
20170711,2829
20170710,2812
20170707,2822
20170706,2836
20170705,2827
20170704,2846
20170703,2863
20170630,2854
20170629,2853
20170628,2824
20170627,2813
20170626,2781
20170623,2781
20170622,2765
20170621,2757
20170620,2726
20170619,2745
20170616,2720
20170615,2715
20170614,2720
20170613,2722
20170612,2735
20170609,2759
20170608,2731
20170607,2703
20170606,2706
20170605,2719
20170602,2746
20170601,2758
20170531,2759
20170530,2758
20170526,2770
20170525,2786
20170524,2771
20170523,2787
20170522,2781
20170519,2775
20170518,2727
20170517,2742
20170516,2732
20170515,2734
20170512,2716
20170511,2714
20170510,2694
20170509,2701
20170508,2695
20170505,2726
20170504,2718
20170503,2740
20170502,2808
20170428,2783
20170427,2768
20170426,2788
20170425,2781
20170424,2761
20170421,2748
20170420,2762
20170419,2718
20170418,2709
20170413,2773
20170412,2745
20170411,2789
20170410,2799
20170407,2841
20170406,2851
20170405,2872
20170404,2826
20170403,2819
20170331,2859
20170330,2905
20170329,2887
20170328,2866
20170327,2816
20170324,2846
20170323,2854
20170322,2853
20170321,2838
20170320,2866
20170317,2882
20170316,2860
20170315,2840
20170314,2812
20170313,2811
20170310,2786
20170309,2771
20170308,2795
20170307,2800
20170306,2835
20170303,2859
20170302,2865
20170301,2918
20170228,2889
20170227,2868
20170224,2863
20170223,2827
20170222,2896
20170221,2906
20170220,2923
20170217,2873
20170216,2894
20170215,2921
20170214,2904
20170213,2926
20170210,2919
20170209,2821
20170208,2842
20170207,2800
20170206,2818
20170203,2800
20170202,2837
20170201,2849
20170131,2856
20170130,2791
20170127,2808
20170126,2802
20170124,2861
20170123,2809
20170120,2792
20170119,2789
20170118,2808
20170117,2784
20170116,2812
20170113,2840
20170112,2799
20170111,2747
20170110,2768
20170109,2705
20170106,2689
20170105,2684
20170104,2696
20170103,2639
20161230,2660
20161229,2635
20161228,2667
20161223,2663
20161222,2689
20161221,2693
20161220,2693
20161219,2685
20161216,2744
20161215,2793
20161214,2791
20161213,2771
20161212,2787
20161209,2806
20161208,2776
20161207,2785
20161206,2821
20161205,2842
20161202,2771
20161201,2787
20161130,2799
20161129,2759
20161128,2857
20161125,2841
20161124,2826
20161123,2789
20161122,2738
20161121,2707
20161118,2645
20161117,2666
20161116,2652
20161115,2703
20161114,2712
20161111,2696
20161110,2732
20161109,2673
20161108,2617
20161107,2579
20161104,2536
20161103,2535
20161102,2509
20161101,2520
20161031,2502
20161028,2487
20161027,2459
20161026,2435
20161025,2432
20161024,2383
20161021,2370
20161020,2376
