품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"PDS 원자재 지수"
20180717,119.07
20180716,120.36
20180713,120.83
20180712,120.71
20180711,123.14
20180710,123.11
20180709,122.63
20180706,122.54
20180705,122.82
20180704,123.09
20180703,122.99
20180702,124.13
20180629,122.04
20180628,122.19
20180627,121.42
20180626,121.09
20180625,121.53
20180622,122.1
20180621,122.91
20180620,122.87
20180619,123.4
20180618,123.24
20180615,124.19
20180614,124.55
20180613,124.36
20180612,124.49
20180611,124.46
20180608,125.24
20180607,124.32
20180606,124.05
20180605,123.96
20180604,124.39
20180601,125.34
20180531,125.09
20180530,124.31
20180529,124.52
20180528,124.91
20180525,126.24
20180524,126.34
20180523,126.53
20180522,126.05
20180521,125.72
20180518,125.22
20180517,125.04
20180516,124.94
20180515,124.75
20180514,124.2
20180511,122.49
20180510,122.12
20180509,121.26
20180508,121.61
20180507,121.01
20180504,120.4
20180503,120.11
20180502,120.11
20180501,120.55
20180430,120.34
20180427,119.44
20180426,119.64
20180425,119.72
20180424,120.19
20180423,120.14
20180420,120.1
20180419,119.81
20180418,118.31
20180417,118.59
20180416,119.02
20180413,117.39
20180412,117.69
20180411,116.99
20180410,115.74
20180409,114.75
20180406,115.58
20180405,115.33
20180404,115.69
20180403,115.44
20180402,116.14
20180330,116.03
20180329,115.6
20180328,116.08
20180327,115.93
20180326,116.15
20180323,115.34
20180322,115.34
20180321,114.66
20180320,114.15
20180319,114.54
20180316,114.01
20180315,114.41
20180314,114.16
20180313,114.24
20180312,113.92
20180309,114.27
20180308,114.79
20180307,115.52
20180306,115.12
20180305,114.58
20180302,114.86
20180301,115.45
20180228,116.4
20180227,116.84
20180226,116.59
20180223,115.69
20180222,115.26
20180221,115.29
20180220,115.5
20180219,115.38
20180216,114.54
20180215,114.13
20180214,113.41
20180213,113.12
20180212,113.19
20180209,116.3
20180208,117.14
20180207,117.86
20180206,118.24
20180205,119.23
20180202,119.49
20180201,119.52
20180131,119.85
20180130,121.2
20180129,121.4
20180126,120.76
20180125,120.51
20180124,119.95
20180123,119.34
20180122,119.15
20180119,118.52
20180118,118.58
20180117,118.22
20180116,119.11
20180115,118.72
20180112,118.12
20180111,117.75
20180110,117.51
20180109,116.97
20180108,116.88
20180105,116.44
20180104,116.41
20180103,116.15
20180102,115.8
20180101,115.67
20171229,115.34
20171228,114.65
20171227,114.16
20171226,113.67
20171225,113.67
20171222,113.17
20171221,113.03
20171220,112.57
20171219,112.44
20171218,111.83
20171215,111.64
20171214,111.08
20171213,111.35
20171212,111.86
20171211,110.87
20171208,110.05
20171207,110.25
20171206,111.1
20171205,111.48
20171204,112
20171201,111.56
20171130,111.92
20171129,112.28
20171128,112.29
20171127,112.42
20171124,111.29
20171123,111.22
20171122,110.77
20171121,110.54
20171120,110.79
20171117,111.26
20171116,111.32
20171115,111.77
20171114,112.22
20171113,112.78
20171110,111.72
20171109,111.66
20171108,111.89
20171107,112.07
20171106,111.13
20171103,109.72
20171102,109.84
20171101,109.63
20171031,109.62
20171030,109.13
20171027,108.81
20171026,108.15
20171025,108.29
20171024,107.76
20171023,107.72
20171020,107.23
20171019,107.74
20171018,107.96
20171017,108.19
20171016,107.77
20171013,107.35
20171012,107.19
20171011,107
20171010,106.47
20171009,106.69
20171006,107.35
20171005,107.15
20171004,106.95
20171003,106.94
20171002,107.83
20170929,107.76
20170928,108.11
20170927,108.13
20170926,108.06
20170925,107.14
20170922,106.69
20170921,107.24
20170920,106.55
20170919,106.72
20170918,106.47
20170915,106.7
20170914,106.76
20170913,106.32
20170912,106.36
20170911,106.19
20170908,105.15
20170907,104.97
20170906,104.7
20170905,104.41
20170904,103.67
20170901,103.25
20170831,102.24
20170830,102.81
20170829,102.58
20170828,102.73
20170825,101.8
20170824,101.78
20170823,101.59
20170822,101.55
20170821,101.43
20170818,100.49
20170817,100.04
20170816,100.15
20170815,100.16
20170814,100.51
20170811,100.59
20170810,100.76
20170809,100.12
20170808,99.96
20170807,99.82
20170804,98.96
20170803,99.13
20170802,98.96
20170801,99.44
20170731,99.18
20170728,98.47
20170727,97.86
20170726,97.3
20170725,96.44
20170724,96.53
20170721,96.09
20170720,96.33
20170719,95.9
20170718,95.74
20170717,95.54
20170714,94.78
20170713,94.68
20170712,94.45
20170711,93.98
20170710,93.81
20170707,94.7
20170706,94.47
20170705,95.37
20170704,95.47
20170703,94.98
20170630,93.82
20170629,93.53
20170628,93.03
20170627,92.54
20170626,92.26
20170623,92.51
20170622,92.26
20170621,92.95
20170620,93.24
20170619,93.85
20170616,93.56
20170615,93.52
20170614,94.13
20170613,94.28
20170612,94.25
20170609,94.53
20170608,94.54
20170607,95.26
20170606,94.99
20170605,95.01
20170602,95.84
20170601,95.98
20170531,96.8
20170530,97.39
20170529,97.5
20170526,97.96
20170525,98.9
20170524,98.8
20170523,99.04
20170522,98.65
20170519,96.88
20170518,97.07
20170517,96.81
20170516,97.17
20170515,96.92
20170512,96.98
20170511,96.38
20170510,95.65
20170509,95.65
20170508,95.92
20170505,97.07
20170504,98.35
20170503,98.44
20170502,98.96
20170501,99.17
20170428,99.63
20170427,99.85
20170426,99.73
20170425,99.27
20170424,99.81
20170421,101.59
20170420,101.59
20170419,102.4
20170418,102.69
20170417,103.17
20170414,102.98
20170413,103.17
20170412,103.23
20170411,103.34
20170410,103.41
20170407,102.82
20170406,102.4
20170405,102.03
20170404,101.4
20170403,101.62
20170331,101.2
20170330,100.99
20170329,100.27
20170328,99.6
20170327,99.94
20170324,100.92
20170323,100.7
20170322,101.19
20170321,101.44
20170320,101.3
20170317,101.32
20170316,101.13
20170315,100.49
20170314,101.06
20170313,100.96
20170310,102.95
20170309,103.62
20170308,104.58
20170307,104.89
20170306,104.95
20170303,105.5
20170302,106.13
20170301,105.47
20170228,105.4
20170227,105.23
20170224,106
20170223,105.69
20170222,106.04
20170221,106.21
20170220,106.12
20170217,106.61
20170216,106.82
20170215,107.11
20170214,106.98
20170213,107.21
20170210,107.5
20170209,107.18
20170208,106.98
20170207,107.06
20170206,107.54
20170203,107.26
20170202,107.18
20170201,106.59
20170131,106.46
20170130,106.82
20170127,106.49
20170126,105.92
20170125,106.08
20170124,105.78
20170123,105.62
20170120,104.84
20170119,104.75
20170118,105.54
20170117,105.78
20170116,105.41
