품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"Reuters Index of Commodity Prices"
20180717,2268.57
20180716,2263.11
20180713,2272.06
20180712,2263.35
20180711,2278.5
20180710,2305.6
20180709,2309.85
20180706,2309.35
20180705,2310.55
20180704,2303.25
20180703,2329.52
20180702,2331.86
20180629,2335.29
20180628,2323.72
20180627,2303.79
20180626,2307.42
20180625,2322.93
20180622,2347.49
20180621,2347.43
20180620,2333.39
20180619,2348.68
20180618,2371.17
20180615,2379.48
20180614,2396.07
20180613,2399.67
20180612,2384.15
20180611,2396.92
20180608,2375.73
20180607,2388.03
20180606,2388.53
20180605,2366.09
20180604,2355.66
20180601,2332.44
20180531,2329.29
20180530,2350.72
20180529,2349.87
20180525,2345.86
20180524,2332.09
20180523,2320.83
20180522,2313.27
20180521,2303.17
20180518,2281.68
20180517,2283.27
20180516,2278.95
20180515,2277.9
20180514,2283.22
20180511,2300.41
20180510,2305.18
20180509,2302.39
20180508,2298.55
20180504,2311.52
20180503,2309.86
20180502,2296.57
20180501,2293.81
20180430,2294.16
20180427,2239.79
20180426,2272.53
20180425,2280.99
20180424,2291.75
20180423,2301.51
20180420,2310.51
20180419,2255.18
20180418,2246.37
20180417,2234.52
20180416,2241.73
20180413,2263.08
20180412,2302.66
20180411,2313.09
20180410,2323.79
20180409,2304.67
20180406,2302.92
20180405,2307.24
20180404,2289.22
20180403,2304.12
20180329,2293.67
20180328,2288.12
20180327,2285.59
20180326,2279.77
20180323,2287.18
20180322,2303.18
20180321,2297.27
20180320,2305.34
20180319,2310.77
20180316,2323.68
20180315,2326.85
20180314,2336.56
20180313,2331.77
20180312,2331.58
20180309,2327.31
20180308,2327.08
20180307,2344.38
20180306,2359.74
20180305,2340.77
20180302,2357.33
20180301,2356.41
20180228,2353.21
20180227,2367.18
20180226,2363.29
20180223,2351.52
20180222,2335.52
20180221,2342.6
20180220,2339.39
20180219,2338.25
20180216,2341.83
20180213,2333.35
20180212,2328.8
20180209,2319.8
20180208,2330.3
20180207,2330.2
20180206,2324.67
20180205,2325.83
20180202,2330.32
20180201,2344.58
20180131,2348.73
20180130,2346.44
20180129,2348.9
20180126,2337.43
20180125,2335.09
20180124,2329.07
20180123,2329.51
20180122,2342.03
20180119,2345.54
20180118,2345.22
20180117,2345.15
20180116,2358.72
20180115,2372.61
20180112,2385.15
20180111,2408.91
20180110,2401.5
20180109,2402.21
20180108,2401.22
20180105,2400.69
20180104,2396.23
20180103,2386.34
20180102,2377.81
20171229,2371.84
20171228,2377.19
20171227,2386.79
20171222,2364.57
20171221,2363.7
20171220,2365.43
20171219,2360.94
20171218,2366.23
20171215,2362.02
20171214,2363.39
20171213,2361.32
20171212,2372.81
20171211,2369.47
20171208,2376.08
20171207,2386.09
20171206,2402.97
20171205,2415.05
20171204,2422
20171201,2406.51
20171130,2405.62
20171129,2401.86
20171128,2398.47
20171127,2418.15
20171124,2429.51
20171123,2424.27
20171122,2415.26
20171121,2415.26
20171120,2421.44
20171117,2421.09
20171116,2423.08
20171115,2413.58
20171114,2434.92
20171113,2434.6
20171110,2447.21
20171109,2445.79
20171108,2443.76
20171107,2442.96
20171106,2442.07
20171103,2433.63
20171102,2433.83
20171101,2432.21
20171031,2441.94
20171030,2434.11
20171027,2419.53
20171026,2417.96
20171025,2412.29
20171024,2409.92
20171023,2397.67
20171020,2406.64
20171019,2398.15
20171018,2409.78
20171017,2412.53
20171016,2427.44
20171013,2415.03
20171012,2411.7
20171011,2406.48
20171010,2408.59
20171009,2423.24
20170928,2402.66
20170927,2414.69
20170926,2420.5
20170925,2412.83
20170922,2410.31
20170921,2406.58
20170920,2399.32
20170919,2395.48
20170918,2393.42
20170917,2387.58
20170914,2382.95
20170913,2380.22
20170912,2385.58
20170911,2393.87
20170908,2397.04
20170907,2411.67
20170906,2414.42
20170905,2416.23
20170904,2410.23
20170901,2397.66
20170831,2388.5
20170830,2385.34
20170829,2382.63
20170825,2397.13
20170824,2388.65
20170823,2389.72
20170822,2396.15
20170821,2411.66
20170818,2405.16
20170817,2405.35
20170816,2396.46
20170815,2392.65
20170814,2391.24
20170811,2399.6
20170810,2446.24
20170809,2447.62
20170808,2432.63
20170807,2405.84
20170804,2405.72
20170803,2408
20170802,2391.79
20170801,2419.41
20170731,2419.99
20170728,2409.05
20170727,2419.11
20170726,2417.25
20170725,2403.37
20170724,2399.83
20170721,2416.07
20170720,2417.53
20170719,2394.29
20170718,2379.66
20170717,2408.76
20170714,2399.69
20170713,2406.85
20170712,2408.59
20170711,2389.34
20170710,2393.15
20170707,2392.9
20170706,2404.47
20170705,2408.37
20170704,2419.84
20170703,2420.01
20170630,2388.79
20170629,2368.55
20170628,2365.59
20170627,2364.37
20170626,2365.35
20170623,2355.92
20170622,2364.49
20170621,2376.46
20170620,2387.15
20170619,2395.87
20170616,2352.09
20170615,2353.22
20170614,2340.61
20170613,2337.91
20170612,2347.71
20170609,2354.69
20170608,2341.96
20170607,2345.23
20170606,2337.84
20170605,2345.29
20170602,2347.44
20170601,2368.46
20170531,2381.82
20170530,2384.37
20170526,2393.45
20170525,2390.06
20170524,2405.11
20170523,2412.89
20170522,2423.31
20170519,2410.77
20170518,2408.59
20170517,2432.69
20170516,2435.11
20170515,2450.2
20170512,2447.94
20170511,2463.85
20170510,2450.82
20170509,2455.2
20170508,2433.47
20170505,2434.48
20170504,2453.95
20170503,2475.4
20170502,2475.4
20170428,2454.1
20170427,2457.93
20170426,2457.71
20170425,2470.26
20170424,2486.32
20170421,2496.84
20170420,2495.29
20170419,2499.94
20170418,2515.57
20170413,2525.16
20170412,2512.25
20170411,2520.33
20170410,2528.68
20170407,2538.43
20170406,2546.33
20170405,2544.9
20170404,2533.68
20170403,2547.37
20170331,2544.3
20170330,2558.71
20170329,2580.78
20170328,2569.11
20170327,2592.6
20170324,2619.79
20170323,2624.09
20170322,2624.5
20170321,2635.66
20170320,2655.37
20170317,2649.61
20170316,2643.81
20170315,2637.07
20170314,2629.59
20170313,2646.77
20170310,2642.7
20170309,2644.2
20170308,2616.89
20170307,2641.4
20170306,2649.36
20170303,2660.06
20170302,2661.33
20170301,2654.89
20170228,2629.24
20170227,2643.6
20170224,2651.12
20170223,2670.2
20170222,2676.61
20170221,2675.18
20170220,2678.08
20170217,2672.45
