품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Rogers International Commodities Index Energy1998.07.31=1000"
20180713,404.22
20180712,401.56
20180711,399.28
20180710,418.62
20180709,416.26
20180706,413.37
20180705,411.78
20180703,414.62
20180702,413.75
20180627,415
20180626,405.2
20180622,399.61
20180621,387.59
20180619,388.96
20180618,392.5
20180615,387.73
20180614,396.91
20180613,398.52
20180612,395.54
20180611,396.31
20180608,394.7
20180607,397.56
20180606,389.6
20180605,392.12
20180604,391.46
20180601,397.55
20180531,401.89
20180530,403.67
20180529,395.83
20180525,402.06
20180524,414.02
20180523,418.43
20180522,418.52
20180521,416.09
20180518,412.83
20180517,415.1
20180516,413.55
20180515,411.23
20180514,409.8
20180511,406.09
20180510,407.95
20180509,405.16
20180508,394.79
20180507,401.56
20180504,395.59
20180503,389.93
20180502,388.94
20180501,388.1
20180430,393.91
20180427,391.21
20180426,392.86
20180425,390.15
20180424,389.36
20180423,392.63
20180419,387.93
20180418,388.75
20180417,380.39
20180416,379.82
20180413,384.5
20180412,381.38
20180411,381.23
20180410,375.37
20180409,366.29
20180406,360.19
20180405,365.69
20180404,365.26
20180403,365.51
20180402,363.13
20180328,369.28
20180327,372.82
20180326,372.26
20180323,373.23
20180321,370.67
20180320,363.08
20180319,356.19
20180316,358.16
20180315,353.07
20180314,353.05
20180313,352.41
20180309,355.65
20180308,348.13
20180307,352.58
20180306,358.15
20180305,356.7
20180302,350.76
20180301,349.19
20180228,352.4
20180227,360.63
20180226,364.59
20180223,362.36
20180222,358.55
20180221,353.83
20180220,353.16
20180216,350.55
20180215,350.55
20180214,348.44
20180213,346.68
20180212,339.47
20180209,339.44
20180208,350.53
20180207,353.61
20180206,361.28
20180205,365.33
20180202,371.64
20180201,375.39
20180131,372.74
20180130,373.95
20180129,378.13
20180126,381.77
20180125,378.34
20180124,378
20180123,373.78
20180122,367.69
20180119,366.19
20180118,369.9
20180117,370.44
20180116,368.24
20180112,371.31
20180111,367.72
20180110,365.26
20180109,363.58
20180108,357.02
20180105,355.48
20180104,358.87
20180103,359.47
20180102,354.5
20171229,354.48
20171228,351.17
20171227,347.76
20171226,348.35
20171222,340.43
20171221,338.43
20171220,337.59
20171219,335.25
20171218,333.92
20171215,331.57
20171214,332.15
20171213,329.49
20171212,333.01
20171211,340.03
20171208,335.61
20171207,331.19
20171206,328.98
20171205,336.98
20171204,336.26
20171201,342.76
20171130,337.38
20171129,339.3
20171128,342.34
20171127,341.6
20171124,342.4
20171122,340.7
20171121,337.32
20171120,335.81
20171117,338.31
20171116,331.4
20171115,333.33
20171114,335.25
20171113,341.32
20171110,342.7
20171109,344.3
20171108,341.98
20171107,342.9
20171106,344.09
20171103,333
20171102,326.6
20171101,325.14
20171031,326.26
20171030,325.59
20171027,324.09
20171026,319.51
20171025,316.87
20171024,317.82
20171023,314.33
20171020,314.46
20171019,311.54
20171018,314.88
20171017,314.81
20171016,314.55
20171013,312.87
20171012,308.19
20171011,310.57
20171010,308.74
20171009,302.6
20171006,302.03
20171005,310.12
20171004,305.67
20171003,306.19
20171002,307.09
20170929,312.91
20170928,313.86
20170927,316.73
20170926,316.35
20170925,318.38
20170922,310.15
20170921,308.81
20170920,310.54
20170919,306.17
20170918,308.59
20170915,308.17
20170914,307.51
20170913,305.22
20170912,300.21
20170911,298.36
20170908,296.37
20170907,302.61
20170906,302.32
20170905,299.37
20170901,296.63
20170831,296.29
20170830,285.4
20170829,288.07
20170828,287.02
20170824,289.33
20170823,292.16
20170822,288.9
20170821,287.64
20170818,292.58
20170817,285.57
20170816,282.87
20170815,286.6
20170814,287.16
20170811,293.43
20170810,292.61
20170809,295.73
20170808,293.09
20170807,293.93
20170804,294.48
20170803,292.48
20170802,294.8
20170801,292.67
20170731,296.99
20170728,295.92
20170727,292.44
20170726,289.57
20170725,285.88
20170724,277.56
20170721,276.09
20170720,282.87
20170719,284.86
20170718,280.65
20170717,278.05
20170714,280.01
20170713,276.96
20170712,274.28
20170711,273.45
20170710,269.08
20170707,267.28
20170706,274.4
20170705,272.01
20170703,282.48
20170630,278.38
20170629,272.89
20170628,272.58
20170627,269.34
20170626,264.59
20170623,261.89
20170622,260.23
20170621,258.74
20170620,263.93
20170619,268.33
20170616,272.39
20170615,270.69
20170614,269.92
20170613,279.09
20170612,277.99
20170609,277.51
20170608,276.17
20170607,276.57
20170606,287.55
20170605,283.78
20170602,286.27
20170601,290.08
20170531,290.93
20170530,298.69
20170526,301.58
20170525,297.42
20170524,309.51
20170523,310.34
20170522,310.2
20170519,307.19
20170518,300.77
20170517,299.6
20170516,297.74
20170515,299.44
20170512,295.38
20170511,294.87
20170510,291.24
20170509,283.23
20170508,285.59
20170505,285.28
20170504,280.61
20170503,292.46
20170502,290.82
20170501,296.34
20170428,299.68
20170427,298.06
20170426,302.24
20170425,301.6
20170424,299.92
20170421,302.21
20170420,308.95
20170419,308.95
20170418,318.32
20170417,320.3
20170413,323.35
20170412,322.6
20170411,323.47
20170410,323.13
20170407,319.33
20170406,317.79
20170405,314.5
20170404,314.06
20170403,307.52
20170331,309.96
20170330,308.23
20170329,305.31
20170328,298.96
20170327,295.43
20170324,296.1
20170323,294.44
20170322,294.97
20170321,297.41
20170320,299.6
20170317,299.29
20170316,298.41
20170315,299.84
20170314,294.82
20170313,298.93
20170310,299.07
20170309,302.71
20170308,306.95
20170307,318.94
20170306,320.04
20170303,318.99
20170302,315.23
20170301,321.5
20170228,322.39
20170227,321.55
20170224,322.2
20170223,324.25
20170222,319.45
20170221,322.72
20170217,323.25
20170216,323.23
20170215,324.21
20170214,324.56
20170213,323.27
20170210,329.62
20170209,325.91
20170208,323.17
20170207,321.8
20170206,325.06
20170203,329.89
20170202,329.81
20170201,331.33
20170131,324.9
20170130,324.8
20170127,328.7
20170126,332.86
20170125,326.98
20170124,329.35
20170120,328.67
20170119,324.13
20170118,322.51
20170117,331.41
20170113,331.03
20170112,333.85
20170111,327.87
20170110,321.28
20170109,325.73
20170106,338.6
20170105,337.31
20170104,335.27
20170103,331.41
20161230,343.05
20161229,344.18
20161228,346.08
20161227,343.69
20161223,337.6
20161222,335.63
20161221,333.21
20161220,333.97
20161219,333.37
20161216,333.83
20161215,328.54
20161214,329.87
20161213,337.63
20161212,337.3
20161209,332.85
20161208,329.54
