품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Rogers International Commodities Index1998.07.31=1000"
20180713,2471.47
20180712,2469.69
20180711,2448.64
20180710,2526.33
20180709,2532.26
20180706,2527.01
20180705,2510.74
20180703,2519.78
20180702,2511.87
20180627,2537.94
20180626,2511.37
20180622,2517.21
20180621,2479.24
20180620,2488.27
20180619,2478.5
20180618,2509.4
20180615,2506.65
20180614,2555.92
20180613,2570.6
20180612,2570.52
20180611,2566.17
20180608,2570.1
20180607,2580.57
20180606,2560.7
20180605,2558.26
20180604,2551.27
20180601,2580.57
20180531,2592.93
20180530,2595.22
20180529,2580.54
20180525,2596.55
20180524,2624.56
20180523,2632.41
20180522,2632.73
20180521,2620.71
20180518,2601.71
20180517,2600.86
20180516,2593.66
20180515,2588.06
20180514,2592.61
20180511,2584.42
20180510,2594.65
20180509,2585.8
20180508,2560.39
20180507,2577.71
20180504,2571.52
20180503,2551.81
20180502,2545.69
20180501,2537.67
20180430,2550.08
20180427,2540.32
20180426,2544.31
20180425,2536.32
20180424,2529.78
20180423,2539.3
20180420,2555.21
20180419,2556.19
20180418,2565.09
20180417,2521.13
20180416,2517.69
20180413,2525.16
20180412,2520.51
20180411,2524.22
20180410,2505.47
20180409,2476.15
20180406,2441.36
20180405,2454.07
20180404,2440.11
20180403,2450.98
20180402,2442.06
20180328,2450.38
20180327,2467.42
20180326,2467.25
20180323,2469.69
20180322,2455.09
20180321,2467.62
20180320,2440.46
20180319,2426.64
20180316,2446.18
20180315,2439.71
20180314,2445.08
20180313,2446.47
20180309,2455.13
20180308,2435.61
20180307,2447.55
20180306,2478.71
20180305,2471.3
20180302,2446.86
20180301,2446.86
20180228,2452.59
20180227,2470.66
20180226,2485.53
20180223,2471.68
20180222,2462.25
20180221,2449.16
20180220,2443.98
20180216,2444.38
20180215,2439.06
20180214,2413.65
20180213,2429.67
20180212,2389.55
20180209,2375.74
20180208,2417.68
20180207,2426.35
20180206,2454.95
20180205,2467.4
20180202,2487.13
20180201,2506.08
20180131,2494.69
20180130,2497.02
20180129,2511.59
20180126,2523.14
20180125,2512.39
20180124,2513.27
20180123,2480.31
20180122,2468.71
20180119,2461.16
20180118,2470.62
20180117,2468.27
20180116,2457.14
20180112,2465.03
20180111,2455.3
20180110,2448.11
20180109,2438.75
20180108,2422.19
20180105,2423.27
20180104,2440.11
20180103,2438.12
20180102,2422.96
20171229,2415.9
20171228,2404.76
20171227,2391.69
20171226,2382.49
20171222,2355.43
20171221,2345.86
20171220,2337.32
20171219,2323.98
20171218,2319.26
20171215,2309.08
20171214,2305.11
20171213,2291.21
20171212,2294.05
20171211,2319.43
20171208,2309.61
20171207,2299.79
20171206,2299.8
20171205,2332.19
20171204,2341.71
20171201,2367.68
20171130,2342.9
20171129,2354.17
20171128,2362.19
20171127,2365.13
20171124,2374.1
20171122,2369.56
20171121,2351.52
20171120,2343.59
20171117,2359.1
20171116,2327.89
20171115,2335.63
20171114,2342.29
20171113,2369.12
20171110,2372.9
20171109,2377.53
20171108,2376.48
20171107,2375.97
20171106,2389.1
20171103,2346.69
20171102,2332.75
20171101,2326.9
20171031,2320.43
20171030,2320.75
20171027,2314.8
20171026,2307
20171025,2304.19
20171024,2306.19
20171023,2294.01
20171020,2282.94
20171019,2282
20171018,2286.45
20171017,2289.68
20171016,2299.5
20171013,2297.54
20171012,2276.13
20171011,2276.3
20171010,2274.16
20171009,2249.93
20171006,2248.22
20171005,2272.93
20171004,2255.84
20171003,2254.04
20171002,2251.23
20170929,2270.54
20170928,2275.1
20170927,2285.88
20170926,2283.53
20170925,2297.89
20170922,2270.97
20170921,2269.74
20170920,2281.82
20170919,2258.1
20170918,2265.37
20170915,2269.28
20170914,2265.34
20170913,2258.87
20170912,2245.53
20170911,2245.32
20170908,2244.65
20170907,2269.31
20170906,2270.85
20170905,2261.67
20170901,2243.61
20170831,2236.35
20170830,2189.8
20170829,2200.17
20170828,2195.49
20170825,2200.68
20170824,2203.09
20170823,2204.35
20170822,2192.81
20170821,2191.26
20170818,2204.39
20170817,2180.82
20170816,2175.41
20170815,2178.7
20170814,2190.92
20170811,2215.08
20170810,2211.12
20170809,2237.37
20170808,2225.09
20170807,2223.38
20170804,2217.33
20170803,2214.51
20170802,2228.15
20170801,2214.5
20170731,2238.51
20170728,2235.55
20170727,2224.33
20170726,2209.51
20170725,2190.78
20170724,2168.4
20170721,2170.99
20170720,2193.96
20170719,2193.72
20170718,2178.81
20170717,2167.73
20170714,2172.47
20170713,2153.13
20170712,2162.25
20170711,2165.92
20170710,2148.85
20170707,2135.52
20170706,2162.23
20170705,2158.57
20170703,2192.74
20170630,2171.32
20170629,2134.38
20170628,2118.88
20170627,2103.72
20170626,2083.16
20170623,2078.36
20170622,2069.86
20170621,2072.43
20170620,2092.32
20170619,2112.5
20170616,2127.78
20170615,2114.71
20170614,2113.86
20170613,2139.46
20170612,2136.13
20170609,2147.71
20170608,2140.89
20170607,2137.76
20170606,2166.93
20170605,2152.54
20170602,2162.79
20170601,2172.38
20170531,2178.75
20170530,2199.31
20170526,2215.13
20170525,2200.45
20170524,2235.96
20170523,2242.53
20170522,2250.19
20170519,2237.74
20170518,2204.9
20170517,2214.96
20170516,2200.02
20170515,2206.36
20170512,2191.86
20170511,2185.37
20170510,2170.53
20170509,2145.41
20170508,2156.03
20170505,2161.53
20170504,2146.3
20170503,2193.91
20170502,2197.33
20170501,2211.13
20170428,2211.66
20170427,2200.57
20170426,2214.41
20170425,2215.91
20170424,2206.69
20170421,2215.41
20170420,2236.04
20170419,2240.22
20170418,2270.13
20170417,2287.79
20170413,2297.46
20170412,2290.59
20170411,2297.24
20170410,2291.93
20170407,2282.76
20170406,2280.04
20170405,2274.85
20170404,2266.17
20170403,2249.52
20170331,2263.46
20170330,2259.68
20170329,2255.21
20170328,2236.57
20170327,2221.1
20170324,2229.32
20170323,2228.31
20170322,2231.97
20170321,2237.8
20170320,2246.32
20170317,2248.83
20170316,2240.62
20170315,2236.09
20170314,2212.77
20170313,2225.93
20170310,2226.98
20170309,2238.86
20170308,2262.47
20170307,2304.64
20170306,2321.33
20170303,2319.94
20170302,2307.66
20170301,2343.52
20170228,2330.7
20170227,2318.64
20170224,2326.04
20170223,2328.45
20170222,2324.31
20170221,2334.85
