품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"TR/CC CRB Index"
20180717,191.09
20180716,191.17
20180713,193.73
20180712,194
20180711,192.83
20180710,198.29
20180709,198.23
20180706,198.05
20180705,196.21
20180703,197.48
20180702,197.5
20180629,200.39
20180628,198.89
20180627,198.95
20180626,197.24
20180625,195.34
20180622,197.53
20180621,194.4
20180620,194.98
20180619,193.82
20180618,196.18
20180615,196.24
20180614,199.01
20180613,200.09
20180612,200.14
20180611,199.39
20180608,200.04
20180607,199.49
20180606,199.01
20180605,199.19
20180604,198.86
20180601,201.71
20180531,202.84
20180530,203.29
20180529,201.82
20180525,203.34
20180524,205.66
20180523,206.38
20180522,206.2
20180521,205.69
20180518,203.69
20180517,203.56
20180516,203.76
20180515,203.45
20180514,203.8
20180511,203.56
20180510,204.52
20180509,203.7
20180508,202.09
20180507,203.64
20180504,203.25
20180503,202.1
20180502,201.6
20180501,201.26
20180430,201.98
20180427,201.39
20180426,201.22
20180425,200.69
20180424,200.08
20180423,200.73
20180420,201.92
20180419,201.86
20180418,202.97
20180417,199.38
20180416,199.55
20180413,199.7
20180412,199.3
20180411,198.83
20180410,197.11
20180409,194.97
20180406,192.25
20180405,193.81
20180404,192.34
20180403,193.21
20180402,193.38
20180329,195.36
20180328,194.31
20180327,195.57
20180326,195.77
20180323,196.26
20180322,195.23
20180321,196.02
20180320,194.15
20180319,192.9
20180316,194.46
20180315,193.89
20180314,194.49
20180313,194.28
20180312,194.53
20180309,195.15
20180308,193.66
20180307,194.44
20180306,196.76
20180305,196.67
20180302,194.12
20180301,193.95
20180228,193.95
20180227,195.39
20180226,196.75
20180223,195.99
20180222,195.27
20180221,194.17
20180220,193.67
20180216,193.58
20180215,193.46
20180214,192.39
20180213,189.84
20180212,189.08
20180209,188.51
20180208,191.77
20180207,192.34
20180206,194.75
20180205,195.67
20180202,198.35
20180201,198.35
20180131,197.38
20180130,198.14
20180129,199.54
20180126,200.52
20180125,199.34
20180124,199.51
20180123,196.94
20180122,196.22
20180119,195.5
20180118,196.34
20180117,196.4
20180116,195.11
20180112,196.06
20180111,195.16
20180110,194.83
20180109,194.16
20180108,192.92
20180105,193.45
20180104,195.37
20180103,195.35
20180102,194.72
20171229,193.86
20171228,193.04
20171227,191.47
20171226,190.47
20171222,187.88
20171221,187.74
20171220,187.09
20171219,186.02
20171218,185.42
20171215,184.52
20171214,184.22
20171213,183.36
20171212,183.41
20171211,185.49
20171208,185.02
20171207,184.47
20171206,184.72
20171205,187.47
20171204,188.69
20171201,190.69
20171130,189.17
20171129,190.9
20171128,191.21
20171127,191.63
20171124,192.22
20171122,191.6
20171121,189.83
20171120,189.21
20171117,190.39
20171116,188.25
20171115,188.64
20171114,189.06
20171113,191.45
20171110,191.65
20171109,191.87
20171108,191.89
20171107,191.85
20171106,192.57
20171103,189.38
20171102,188.13
20171101,187.94
20171031,187.56
20171030,187.53
20171027,186.89
20171026,185.94
20171025,185.4
20171024,185.82
20171023,184.71
20171020,184.12
20171019,184.07
20171018,183.99
20171017,184.24
20171016,184.62
20171013,184.83
20171012,183.28
20171011,183.5
20171010,183.2
20171009,180.96
20171006,180.95
20171005,182.94
20171004,181.29
20171003,180.9
20171002,180.91
20170929,183.09
20170928,182.99
20170927,183.86
20170926,183.4
20170925,184.61
20170922,183.57
20170921,183.4
20170920,184.63
20170919,182.58
20170918,183.73
20170915,184.05
20170914,183.31
20170913,182.88
20170912,181.41
20170911,181.66
20170908,181.17
20170907,182.87
20170906,183
20170905,182.34
20170901,180.95
20170831,180.86
20170830,176.87
20170829,177.53
20170828,178.01
20170825,177.83
20170824,177.8
20170823,177.58
20170822,176.73
20170821,176.55
20170818,177.5
20170817,175.89
20170816,175.36
20170815,176.31
20170814,177.51
20170811,179.61
20170810,178.91
20170809,181.56
20170808,181.09
20170807,180.97
20170804,180.68
20170803,180.65
20170802,181.98
20170801,180.76
20170731,182.64
20170728,182.12
20170727,181.14
20170726,179.45
20170725,177.67
20170724,176.23
20170721,176.66
20170720,178.4
20170719,178.66
20170718,176.88
20170717,175.88
20170714,176.28
20170713,174.35
20170712,173.88
20170711,173.92
20170710,172.74
20170707,172.56
20170706,174.43
20170705,173.65
20170703,176.16
20170630,174.78
20170629,171.89
20170628,170.98
20170627,170.01
20170626,168.57
20170623,167.74
20170622,166.5
20170621,167.42
20170620,169.66
20170619,171.28
20170616,173.05
20170615,172.78
20170614,173.02
20170613,175.83
20170612,175.93
20170609,176.76
20170608,176.1
20170607,175.61
20170606,178.08
20170605,177.3
20170602,177.96
20170601,179.09
20170531,179.77
20170530,181.33
20170526,182
20170525,181.15
20170524,183.92
20170523,185.06
20170522,186.07
20170519,185.08
20170518,182.51
20170517,183.24
20170516,182.14
20170515,182.74
20170512,181.69
20170511,180.44
20170510,179.51
20170509,177.29
20170508,178.13
20170505,177.92
20170504,177.01
20170503,180.4
20170502,180.34
20170501,181.59
20170428,181.73
20170427,180.49
20170426,181.71
20170425,181.91
20170424,180.93
20170421,181.87
20170420,183.04
20170419,183.92
20170418,186.54
20170417,187.39
20170413,187.77
20170412,187.38
20170411,188
20170410,187.63
20170407,187.11
20170406,186.78
20170405,186.15
20170404,185.59
20170403,184.53
20170331,185.88
20170330,185.52
20170329,185.21
20170328,184.08
20170327,183.1
20170324,183.47
20170323,183.64
20170322,183.85
20170321,184.29
20170320,184.78
20170317,184.48
20170316,184.04
20170315,183.8
20170314,182.12
20170313,183.16
20170310,182.65
20170309,183.22
20170308,185.05
20170307,188.02
20170306,189.42
20170303,189.72
20170302,188.81
20170301,191.27
20170228,190.62
20170227,189.88
20170224,190.93
20170223,191.63
20170222,191.23
20170221,192.05
20170217,192.12
20170216,192.76
20170215,193.26
20170214,192.28
20170213,192.06
20170210,194.04
20170209,192.76
20170208,192.26
20170207,191.37
20170206,192.16
20170203,193.2
20170202,193.52
20170201,194.34
20170131,192.04
20170130,191.26
20170127,193.43
20170126,194.26
20170125,193.98
20170124,194.95
20170123,194.44
20170120,194.02
20170119,192.96
20170118,193.36
20170117,195.14
20170113,194.54
20170112,194.97
20170111,192.29
20170110,191.14
20170109,190.6
20170106,193.54
20170105,193.71
20170104,192.98
20170103,190.15
20161230,192.51
20161229,192.9
20161228,193.03
20161227,192.75
20161223,190.53
