품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"USD/KRW (미국 달러 / 한국 원)"
20180718,1125.2
20180717,1128.7
20180716,1123.4
20180713,1127.8
20180712,1120.8
20180711,1113.8
20180710,1112.3
20180709,1117.8
20180706,1118.4
20180705,1115.3
20180704,1121.1
20180703,1117.4
20180702,1117.2
20180629,1121.7
20180628,1117.9
20180627,1115.2
20180626,1116.1
20180625,1108.9
20180622,1109
20180621,1108
20180620,1105.5
20180619,1104.4
20180618,1091.4
20180615,1082.5
20180614,1075.1
20180612,1073.5
20180611,1073.2
20180608,1067.9
20180607,1069.6
20180605,1070.9
20180604,1076
20180601,1076.4
20180531,1081.3
20180530,1076.1
20180529,1073.2
20180528,1078.7
20180525,1079.7
20180524,1078.8
20180523,1083.8
20180521,1080
20180518,1079.3
20180517,1078.7
20180516,1072.6
20180515,1066.6
20180514,1068.6
20180511,1075.3
20180510,1081.3
20180509,1078.2
20180508,1076.7
20180504,1076.5
20180503,1074.9
20180502,1067.5
20180430,1076.2
20180427,1079.7
20180426,1078.7
20180425,1076.9
20180424,1068.9
20180423,1067.3
20180420,1063.5
20180419,1066.5
20180418,1068.4
20180417,1073.1
20180416,1070
20180413,1068.7
20180412,1066.4
20180411,1067.7
20180410,1067.5
20180409,1066
20180406,1059.5
20180405,1057.6
20180404,1057.8
20180403,1058.1
20180402,1064.4
20180330,1066.5
20180329,1069.4
20180328,1072.2
20180327,1081.2
20180326,1080.8
20180323,1069.2
20180322,1071.4
20180321,1071
20180320,1071.2
20180319,1069.6
20180316,1065.8
20180315,1065.8
20180314,1065.8
20180313,1064.3
20180312,1069.2
20180309,1068.4
20180308,1068.7
20180307,1075.4
20180306,1080.5
20180305,1081.3
20180302,1081.9
20180228,1071
20180227,1073.7
20180226,1078.5
20180223,1082.9
20180222,1075.3
20180221,1070.3
20180220,1068
20180219,1079.9
20180214,1082.8
20180213,1083.4
20180212,1092.7
20180209,1087.8
20180208,1083.3
20180207,1094.3
20180206,1089.8
20180205,1076.7
20180202,1071.1
20180201,1071
20180131,1071.5
20180130,1064.8
20180129,1064.8
20180126,1061.7
20180125,1070.6
20180124,1069.7
20180123,1068.9
20180122,1067.3
20180119,1069.4
20180118,1065.8
20180117,1064
20180116,1061.3
20180115,1064.7
20180111,1070.7
20180110,1067.1
20180109,1065.2
20180108,1062.1
20180105,1065.5
20180104,1065.4
20180103,1064.3
20180102,1071.4
20171229,1071.4
20171227,1077.1
20171226,1079.2
20171222,1080.6
20171221,1082.9
20171220,1086.8
20171219,1089.1
20171218,1089.3
20171215,1086.7
20171214,1091.9
20171213,1090.1
20171212,1092.4
20171211,1093.4
20171208,1092.7
20171207,1091.9
20171206,1084.3
20171205,1088.3
20171204,1087.1
20171201,1085.1
20171130,1082.4
20171129,1088.3
20171128,1087.6
20171127,1085
20171124,1088.2
20171123,1091.3
20171122,1097.3
20171121,1098.9
20171120,1096.1
20171117,1104.1
20171116,1114.4
20171115,1118.5
20171114,1120.7
20171113,1117.2
20171110,1114.3
20171109,1114.3
20171108,1111.6
20171107,1116.7
20171106,1112.7
20171103,1113.3
20171102,1116.8
20171101,1121.2
20171031,1125
20171030,1130
20171027,1124.7
20171026,1128.3
20171025,1128.3
20171024,1131.9
20171023,1131.9
20171020,1132.3
20171018,1131.4
20171017,1127.3
20171016,1130.8
20171013,1133.7
20171012,1135.2
20171011,1138.2
20171010,1145.7
20170929,1146.7
20170928,1139.4
20170927,1136.3
20170926,1130.7
20170925,1136.3
20170922,1132.8
20170921,1129.1
20170920,1130
20170919,1127.9
20170918,1133.5
20170915,1132.5
20170914,1127.5
20170913,1129.8
20170912,1129.5
20170911,1126.8
20170908,1129.6
20170907,1133.7
20170906,1131.3
20170905,1131.5
20170904,1122.7
20170901,1125.8
20170831,1122.8
20170830,1126.2
20170829,1120.4
20170828,1129.2
20170825,1127.3
20170824,1130.9
20170823,1135.6
20170822,1138.3
20170821,1142
20170818,1135.9
20170817,1139.6
20170816,1138.2
20170814,1146.3
20170811,1141.1
20170810,1134.7
20170809,1125.4
20170808,1127.3
20170807,1125.4
20170804,1127.6
20170803,1123.2
20170802,1118
20170801,1121.9
20170731,1119.1
20170728,1112.5
20170727,1120.3
20170726,1116.1
20170725,1116.1
20170724,1121.2
20170721,1124.9
20170720,1121.8
20170719,1126.3
20170718,1128.2
20170717,1136
20170714,1137.5
20170713,1145.6
20170712,1150.1
20170711,1149.9
20170710,1155.8
20170707,1153.5
20170706,1149.3
20170705,1149.3
20170704,1145
20170703,1144
20170630,1139.6
20170629,1141.7
20170628,1136.4
20170627,1135.2
20170626,1140.1
20170623,1140.8
20170622,1142.2
20170621,1137
20170620,1131.4
20170619,1133
20170616,1122.8
20170615,1125.6
20170614,1128.9
20170613,1126
20170612,1121.6
20170609,1125
20170608,1122
20170607,1118.4
20170605,1120.9
20170602,1120.4
20170601,1121.8
20170531,1123.9
20170530,1120.1
20170529,1119.5
20170526,1118
20170525,1126.6
20170524,1120.6
20170523,1117.1
20170522,1127.5
20170519,1125.2
20170518,1118.4
20170517,1117.7
20170516,1125.4
20170515,1126.8
20170512,1130.4
20170511,1134.5
20170510,1132.4
20170508,1132.1
20170504,1130.7
20170502,1133.4
20170428,1130.1
20170427,1125.1
20170426,1130.5
20170425,1131.7
20170424,1136.6
20170421,1141.4
20170420,1139.8
20170419,1137.9
20170418,1136.5
20170417,1138.8
20170414,1131.9
20170413,1145.2
20170412,1145.8
20170411,1141.6
20170410,1134.6
20170407,1131
20170406,1124
20170405,1118.9
20170404,1113.8
20170403,1119.3
20170331,1116.1
20170330,1114
20170329,1112.5
20170328,1114.2
20170327,1122.7
20170324,1120
20170323,1123.8
20170322,1117.5
20170321,1124.5
20170320,1131.4
20170317,1131.7
20170316,1146.3
20170315,1147.3
20170314,1147.7
20170313,1158.2
20170310,1156.1
20170309,1146.6
20170308,1151.2
20170307,1156.1
20170306,1152.7
20170303,1142
20170302,1132.3
20170228,1132.1
20170227,1131
20170224,1138.8
20170223,1140.9
20170222,1146.8
20170221,1147.6
20170220,1145.3
20170217,1138.9
20170216,1141.6
20170215,1144.5
20170214,1151.9
20170213,1151.4
20170210,1145.7
20170209,1145.4
20170208,1142.1
20170207,1137.7
20170206,1146.8
20170203,1149.2
20170202,1155.2
