품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물"
20180717,64.07
20180716,64.56
20180713,64.04
20180712,64.06
20180711,63.34
20180710,63.9
20180709,63.92
20180706,63.84
20180705,63.14
20180704,64.2
20180703,64.55
20180702,64.54
20180629,65.02
20180628,64.44
20180627,64.6
20180626,66.62
20180625,65.49
20180622,65.34
20180621,64.88
20180620,65.49
20180619,66.45
20180618,68.49
20180614,68.49
20180613,67.02
20180612,67.23
20180611,66.75
20180607,66.84
20180606,66.56
20180605,66.34
20180604,65.47
20180601,66.16
20180531,65.32
20180530,65.78
20180528,63.89
20180525,63.94
20180524,65.54
20180523,64.11
20180522,64.41
20180521,65.3
20180517,67.49
20180516,68.03
20180515,67.28
20180514,68.93
20180511,67.42
20180510,66.83
20180509,66.46
20180508,66.8
20180507,67.26
20180503,66.87
20180502,66.98
20180430,65.43
20180427,65.68
20180426,66.26
20180425,66.38
20180423,67.67
20180420,67.06
20180419,68.45
20180418,65.88
20180417,64.51
20180416,63.93
20180413,64.96
20180412,64.47
20180411,64.79
20180410,65.3
20180409,63.95
20180406,63.57
20180405,63.57
20180404,63.57
20180403,63.76
20180402,65.8
20180328,63.12
20180327,65.17
20180326,64.33
20180323,64.58
20180322,67.18
20180321,67.25
20180320,66.94
20180319,67.45
20180316,69.84
20180315,72.11
20180314,71.64
20180313,69.78
20180312,69.93
20180309,70.09
20180308,73.23
20180307,75.84
20180306,76.07
20180305,77.03
20180302,78.43
20180301,79.39
20180228,78.61
20180227,79.15
20180226,79.36
20180223,78.82
20180222,78.2
20180215,78.43
20180214,78.41
20180213,77.36
20180212,76.24
20180209,76.46
20180208,77.32
20180207,77.2
20180206,75.92
20180205,75.7
20180202,74.39
20180201,72.88
20180131,72.92
20180130,72.97
20180129,74.33
20180126,74.4
20180125,75.04
20180124,74.53
20180123,76.75
20180122,76.61
20180119,76.75
20180118,74.87
20180117,74.51
20180116,75.71
20180115,76.59
20180112,78.05
20180111,79.08
20180110,78.31
20180109,78.47
20180108,77.74
20180105,76.8
20180104,76.54
20180103,74.97
20180102,74.71
20171229,72.61
20171228,72.62
20171227,72.62
20171226,76.08
20171222,76.36
20171221,72.82
20171220,72.84
20171219,73.93
20171218,74.15
20171215,71.5
20171214,69.94
20171213,70.85
20171212,71.25
20171211,68.82
20171208,69.35
20171207,65.7
20171206,69.36
20171205,71.77
20171204,72.68
20171201,70.11
20171130,68.13
20171129,67.92
20171128,67.76
20171127,67.27
20171124,67.94
20171123,67.69
20171122,65.17
20171121,62.5
20171120,63.47
20171117,62.61
20171116,61.57
20171115,61.84
20171114,63.17
20171113,62.19
20171110,62.6
20171109,62.32
20171108,62.26
20171107,62.66
20171106,63.36
20171103,59.88
20171102,59.79
20171101,59.35
20171031,58.52
20171030,58.75
20171027,60.08
20171026,61.47
20171025,62.24
20171024,62.42
20171023,62
20171020,62.46
20171019,60.88
20171017,62.72
20171016,62.94
20171013,62.53
20171012,60.09
20171011,59.65
20171010,61.01
20171009,62.67
20171006,62.24
20171005,61.48
20171004,62.05
20171003,62.05
20171002,62.05
20170929,62.05
20170928,62.89
20170927,64.15
20170926,64.95
20170925,63.06
20170922,63.56
20170921,66.09
20170920,69.65
20170919,68.85
20170918,71.76
20170915,72.13
20170914,73.99
20170913,76.56
20170912,76.37
20170911,74.49
20170908,74.36
20170907,75.61
20170906,76.82
20170905,78.39
20170904,77.86
20170831,78.91
20170830,76.08
20170829,76.36
20170828,77.15
20170825,78.38
20170824,77.16
20170823,77.82
20170822,79.65
20170821,79.93
20170818,77.94
20170817,75.41
20170816,72.97
20170815,73.68
20170814,74.71
20170811,75.19
20170810,76.68
20170808,75.46
20170807,76.17
20170804,74.12
20170803,72.93
20170802,72.3
20170801,73.56
20170731,73.7
20170728,68.73
20170727,70.2
20170726,70.43
20170725,69.48
20170724,67.86
20170721,67.14
20170720,68.05
20170719,70.24
20170718,68.84
20170717,66.81
20170714,65.74
20170713,65.91
20170712,64.05
20170711,65.4
20170710,64.05
20170707,62.8
20170706,61.96
20170705,63.28
20170704,63.23
20170703,64.29
20170630,64.95
20170629,64.71
20170628,62.33
20170627,59.7
20170623,56.75
20170622,56.53
20170621,56.82
20170620,56.45
20170619,56.3
20170616,55.75
20170615,55.23
20170614,54.43
20170613,53.36
20170612,54.87
20170609,55.43
20170608,55.36
20170607,55.43
20170606,56.03
20170605,55.9
20170602,57.79
20170601,55.97
20170531,57.02
20170530,58.5
20170529,58.5
20170526,57.91
20170525,60.24
20170524,60.52
20170523,62
20170522,63.19
20170519,62.69
20170518,61.6
20170517,62.2
20170516,61.17
20170515,60.8
20170512,61.38
20170511,60.38
20170509,60.75
20170508,60.15
20170505,61.73
20170504,65.2
20170503,68.68
20170502,68.72
20170428,68.8
20170427,66.42
20170426,66.62
20170425,66.07
20170424,66.53
20170421,68.22
20170420,65.36
20170419,64.6
20170418,63.2
20170417,66.25
20170413,68.68
20170412,68.04
20170411,74.38
20170410,74.71
20170407,75.45
20170406,80.92
20170405,81.54
20170404,79.45
20170403,79.36
20170331,80.39
20170330,81.78
20170329,82.25
20170328,82.01
20170327,81.57
20170324,85.06
20170323,86.36
20170322,84.99
20170321,87.59
20170320,91.49
20170317,92.34
20170316,92.61
20170315,90.93
20170314,88.14
20170313,88.26
20170310,86.72
20170309,86.79
20170308,87.19
20170307,89.8
20170306,89.73
20170303,91.32
20170302,92.36
20170301,91.26
20170228,91.27
20170227,92.33
20170224,90.5
20170223,91.34
20170222,94.3
20170221,94.86
20170220,92.34
20170217,90.37
20170216,90.06
20170215,91.05
20170214,91.71
20170213,92.23
20170210,86.62
20170209,83.84
20170208,83.53
20170207,83.29
20170206,80.6
20170203,82.19
20170202,83.34
20170201,83.34
20170131,83.34
20170127,83.34
20170126,83.34
20170125,82.49
20170124,82.69
20170123,81.13
20170120,80.41
20170119,80.99
20170118,82.05
20170117,81.55
20170116,83.65
20170113,80.54
20170112,80.99
20170111,80.41
20170110,79.43
20170109,77.73
20170106,76.25
20170105,78.93
20170104,77.25
20170103,77.91
20161230,78.87
20161229,80.43
20161228,80.68
20161227,79.42
20161223,78.14
20161222,76.15
20161221,79.19
20161220,79.62
20161219,81.22
20161216,81.49
20161215,81.5
