품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"AUD/KRW (호주 달러 / 한국 원)"
20180718,830.45
20180717,837.1
20180716,833.68
20180713,834.8
20180712,825.47
20180711,827.72
20180710,830.33
20180709,830.8
20180706,826.16
20180705,823.37
20180704,827.88
20180703,820.12
20180702,827.01
20180629,824.45
20180628,820.87
20180627,824.3
20180626,827.53
20180625,824.97
20180622,818.33
20180621,816.98
20180620,816.25
20180619,819.85
20180618,812
20180615,809.06
20180614,814.66
20180612,816.99
20180611,815.26
20180608,814.11
20180607,820.12
20180605,819.35
20180604,814.26
20180601,814.57
20180531,818.92
20180530,807.45
20180529,809.89
20180528,815.34
20180525,817.93
20180524,816.27
20180523,821.52
20180521,812.65
20180518,810.88
20180517,811.51
20180516,801.29
20180515,802.67
20180514,806.53
20180511,809.97
20180510,807.14
20180509,803.1
20180508,809.03
20180504,810.55
20180503,805.15
20180502,799.02
20180430,815.06
20180427,815.77
20180426,816.52
20180425,818.77
20180424,812.79
20180423,818.46
20180420,821.87
20180419,830.75
20180418,829.99
20180417,834.93
20180416,831.6
20180413,828.78
20180412,827.69
20180411,829.34
20180410,821.6
20180409,818.63
20180406,812.21
20180405,816.52
20180404,812.87
20180403,810.56
20180402,818.15
20180330,819.23
20180329,818.73
20180328,823.5
20180327,837.55
20180326,833.13
20180323,822.91
20180322,832.21
20180321,823.28
20180320,826.06
20180319,825.09
20180316,830.31
20180315,839.48
20180314,837.35
20180313,837.5
20180312,840.44
20180309,832.12
20180308,835.56
20180307,838.49
20180306,839.17
20180305,839.14
20180302,839.39
20180228,834.58
20180227,842.75
20180226,846.03
20180223,849.37
20180222,838.68
20180221,843.29
20180220,845.11
20180219,854.47
20180214,850.65
20180213,851.71
20180212,854
20180209,846.04
20180208,846.76
20180207,864.83
20180206,858.65
20180205,850.59
20180202,860.84
20180201,863.33
20180131,866.41
20180130,861.9
20180129,863.07
20180126,850.53
20180125,862.1
20180124,855.23
20180123,856.67
20180122,853.73
20180119,856.59
20180118,848.7
20180117,847
20180116,845.27
20180115,842.66
20180111,839.86
20180110,834.74
20180109,835.22
20180108,835.55
20180105,837.91
20180104,834.26
20180103,833.24
20180102,836.28
20171229,835.16
20171227,832.06
20171226,832.98
20171222,832.39
20171221,830.15
20171220,832.54
20171219,835.12
20171218,833.1
20171215,832.41
20171214,833.34
20171213,823.73
20171212,822.52
20171211,821.14
20171208,821.05
20171207,825.8
20171206,824.18
20171205,827.22
20171204,825.71
20171201,820.23
20171130,819.27
20171129,827.22
20171128,826.96
20171127,825.96
20171124,829.81
20171123,831.19
20171122,831.64
20171121,829.45
20171120,828.6
20171117,837.57
20171116,845.38
20171115,853.53
20171114,853.58
20171113,854.43
20171110,855.5
20171109,855.67
20171108,850.71
20171107,858.3
20171106,851.44
20171103,858.24
20171102,857.26
20171101,858.17
20171031,864.9
20171030,866.77
20171027,861.01
20171026,869.19
20171025,877.7
20171024,884.01
20171023,884.47
20171020,892.03
20171018,887.81
20171017,884.25
20171016,891.18
20171013,886.84
20171012,885
20171011,885.63
20171010,888.49
20170929,900.04
20170928,894.88
20170927,895.86
20170926,897.21
20170925,903.76
20170922,897.97
20170921,906.22
20170920,904.9
20170919,898.49
20170918,906.91
20170915,905.6
20170914,900.37
20170913,905.76
20170912,906.99
20170911,907.41
20170908,909.55
20170907,907.64
20170906,905.72
20170905,899.2
20170904,894.57
20170901,894.05
20170831,887.74
20170830,895.78
20170829,886.91
20170828,896.92
20170825,890.45
20170824,894.43
20170823,898.71
20170822,903.41
20170821,905.04
20170818,896.28
20170817,903.13
20170816,890.13
20170814,904.32
20170811,897.42
20170810,895.05
20170809,890.59
20170808,891.41
20170807,892.72
20170804,897.29
20170803,894.24
20170802,890.54
20170801,897.46
20170731,893.66
20170728,886.77
20170727,895.68
20170726,885.85
20170725,884.45
20170724,887.6
20170721,894.35
20170720,892.67
20170719,891.3
20170718,879.21
20170717,889.03
20170714,879.63
20170713,879.53
20170712,878.5
20170711,874.67
20170710,878.58
20170707,874.47
20170706,874.1
20170705,874.56
20170704,877.53
20170703,879.96
20170630,875.55
20170629,872.09
20170628,862.3
20170627,860.71
20170626,862.71
20170623,860.28
20170622,862.02
20170621,861.56
20170620,859.13
20170619,863.74
20170616,851.64
20170615,854.39
20170614,850.91
20170613,849.51
20170612,844.73
20170609,847.18
20170608,846.72
20170607,840.25
20170605,833.67
20170602,827.14
20170601,832.77
20170531,838.32
20170530,833.19
20170529,833.13
20170526,833.19
20170525,844.78
20170524,838.21
20170523,834.81
20170522,840.55
20170519,834.34
20170518,831.03
20170517,830.28
20170516,835.05
20170515,832.48
20170512,833.44
20170511,834.14
20170510,831.69
20170508,839.45
20170504,839.66
20170502,853.17
20170428,844.02
20170427,841.57
20170426,852.11
20170425,856.47
20170424,858.87
20170421,858.33
20170420,854.17
20170419,859.68
20170418,862.26
20170417,863.21
20170414,856.74
20170413,862.22
20170412,859.64
20170411,857.17
20170410,851.35
20170407,852.83
20170406,851.26
20170405,846.5
20170404,846.88
20170403,854.64
20170331,853.37
20170330,853.88
20170329,848.95
20170328,849.24
20170327,856.79
20170324,854.39
20170323,862.07
20170322,858.13
20170321,869.29
20170320,871.91
20170317,868.3
20170316,882.65
20170315,867.47
20170314,868.46
20170313,873.17
20170310,867.25
20170309,863.05
20170308,873.53
20170307,876.61
20170306,874.9
20170303,864.61
20170302,868.36
20170228,869.11
20170227,867.99
20170224,878.58
20170223,878.15
20170222,880.17
20170221,882.33
20170220,878.9
20170217,876.61
20170216,880.63
20170215,878.17
20170214,880.57
20170213,883.18
20170210,873.6
20170209,875.2
20170208,870.74
20170207,870.34
20170206,879.77
20170203,880.34
20170202,876.1
20170201,883.33
20170131,875.07
20170126,883.1
20170125,882.65
20170124,886.34
20170123,886.23
20170120,889.59
20170119,876.24
20170118,893.11
20170117,882.36
20170116,882.92
20170113,885.03
20170112,890.9
20170111,882.84
20170110,887.25
20170109,867.81
20170106,874.81
20170105,878.36
20170104,871.96
20170103,868.89
20170102,870.6
20161230,872.05
20161229,867.24
20161228,866.37
20161227,861.65
20161226,862.96
20161223,864.48
20161222,863.35
20161221,865.94
20161220,860.32
20161219,862.4
20161216,868.91
20161215,864.19
20161214,873.43
20161213,877.12
20161212,868.12
20161209,863.88
