품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Clean Tanker Index (BCTI)1998.08.03"
20180717,494
20180716,499
20180713,499
20180712,500
20180711,499
20180710,499
20180709,501
20180706,502
20180705,502
20180703,501
20180702,500
20180629,496
20180628,493
20180627,496
20180626,500
20180625,503
20180622,506
20180621,507
20180620,506
20180619,507
20180618,511
20180615,515
20180614,518
20180613,518
20180612,522
20180611,525
20180608,531
20180607,535
20180606,538
20180605,541
20180604,546
20180601,549
20180531,555
20180530,569
20180529,563
20180525,558
20180524,558
20180523,535
20180522,535
20180521,526
20180518,525
20180517,524
20180516,529
20180515,532
20180514,540
20180511,542
20180510,540
20180509,541
20180508,545
20180504,545
20180503,546
20180502,545
20180501,560
20180430,567
20180427,571
20180426,571
20180425,563
20180424,557
20180423,555
20180420,558
20180419,557
20180418,554
20180417,538
20180416,535
20180413,529
20180412,525
20180411,523
20180410,510
20180409,498
20180406,501
20180405,510
20180404,520
20180403,543
20180329,560
20180328,563
20180327,563
20180326,563
20180323,554
20180322,560
20180321,561
20180320,559
20180319,564
20180316,564
20180315,563
20180314,567
20180313,577
20180312,580
20180309,580
20180308,585
20180307,590
20180306,596
20180305,598
20180302,600
20180301,604
20180228,622
20180227,621
20180226,618
20180223,622
20180222,618
20180221,617
20180220,613
20180216,628
20180215,630
20180214,638
20180213,642
20180212,634
20180209,632
20180208,619
20180207,614
20180206,615
20180205,606
20180202,606
20180201,598
20180131,602
20180130,628
20180129,637
20180126,623
20180125,589
20180124,571
20180123,569
20180122,564
20180119,567
20180118,570
20180117,566
20180116,569
20180112,602
20180111,609
20180110,616
20180109,628
20180108,646
20180105,656
20180104,653
20180103,653
20180102,655
20171222,720
20171221,719
20171220,722
20171219,723
20171218,722
20171215,707
20171214,702
20171213,694
20171212,686
20171211,684
20171208,686
20171207,679
20171206,685
20171205,688
20171204,677
20171201,649
20171130,634
20171129,615
20171128,611
20171127,603
20171124,602
20171123,600
20171122,599
20171121,595
20171120,594
20171117,590
20171116,594
20171115,582
20171114,570
20171113,556
20171110,550
20171109,546
20171108,544
20171107,542
20171106,542
20171103,540
20171102,539
20171101,534
20171031,528
20171030,523
20171027,524
20171026,516
20171025,515
20171024,515
20171023,520
20171020,527
20171019,531
20171018,540
20171017,544
20171016,551
20171013,563
20171012,573
20171011,591
20171010,599
20171009,609
20171006,615
20171005,617
20171004,622
20171003,634
20171002,651
20170929,667
20170928,671
20170927,666
20170926,652
20170925,629
20170922,621
20170921,617
20170920,610
20170919,587
20170918,575
20170915,548
20170914,545
20170913,548
20170912,560
20170911,580
20170908,590
20170907,609
20170906,607
20170905,624
20170904,674
20170901,737
20170831,703
20170830,648
20170829,564
20170825,521
20170824,508
20170823,510
20170822,511
20170821,511
20170818,511
20170817,520
20170816,517
20170815,530
20170814,546
20170811,551
20170810,552
20170809,555
20170808,556
20170807,556
20170804,556
20170803,556
20170802,552
20170801,543
20170731,541
20170728,544
20170727,545
20170726,551
20170725,556
20170724,549
20170721,550
20170720,548
20170719,545
20170718,546
20170717,549
20170714,551
20170713,557
20170712,565
20170711,567
20170710,569
20170707,580
20170706,583
20170705,566
20170704,563
20170703,562
20170630,563
20170629,569
20170628,568
20170627,570
20170626,564
20170623,559
20170622,546
20170621,537
20170620,527
20170619,521
20170616,522
20170615,517
20170614,522
20170613,529
20170612,533
20170609,539
20170608,540
20170607,545
20170606,546
20170605,548
20170602,554
20170601,559
20170531,558
20170530,556
20170526,549
20170525,540
20170524,538
20170523,520
20170522,516
20170519,513
20170518,516
20170517,523
20170516,522
20170515,536
20170512,540
20170511,545
20170510,546
20170509,550
20170508,558
20170505,566
20170504,570
20170503,579
20170502,590
20170428,613
20170427,620
20170426,637
20170425,646
20170424,654
20170421,661
20170420,660
20170419,643
20170418,638
20170417,645
20170413,645
20170412,639
20170411,646
20170410,661
20170407,665
20170406,672
20170405,679
20170404,704
20170403,739
20170331,751
20170330,771
20170329,784
20170328,792
20170327,803
20170324,806
20170323,807
20170322,767
20170321,767
20170320,748
20170317,720
20170316,701
20170315,680
20170314,660
20170313,646
20170310,644
20170309,638
20170308,634
20170307,620
20170306,617
20170303,611
20170302,603
20170301,601
20170228,601
20170227,606
20170224,609
20170223,614
20170222,614
20170221,612
20170220,613
20170217,612
20170216,605
20170215,596
20170214,586
20170213,577
20170210,582
20170209,581
20170208,581
20170207,580
20170206,582
20170203,585
20170202,591
20170201,595
20170131,603
20170130,606
20170127,614
20170126,615
20170125,621
20170124,619
20170123,624
20170120,619
20170119,616
20170118,632
20170117,642
20170116,660
20170113,684
20170112,707
20170111,746
20170110,775
20170109,800
20170106,846
20170105,854
20170104,861
20170103,867
20161223,678
20161222,675
20161221,668
20161220,595
20161219,552
20161216,522
20161215,491
20161214,470
20161213,446
20161212,442
20161209,443
20161208,441
20161207,440
20161206,439
20161205,437
20161202,434
20161201,436
20161130,439
20161129,443
20161128,448
20161125,456
20161124,460
20161123,459
20161122,459
20161121,456
20161118,447
20161117,437
20161116,430
20161115,411
20161114,398
20161111,395
20161110,391
20161109,394
20161108,398
20161107,409
20161104,424
20161103,445
20161102,471
20161101,505
20161031,417
20161028,423
20161027,426
20161026,430
20161025,434
20161024,434
20161021,428
20161020,422
20161019,418
20161018,407
20161017,395
20161014,390
20161013,385
20161012,367
20161011,361
20161010,357
20161007,354
20161006,350
20161005,346
20161004,347
20161003,349
20160930,352
20160929,358
20160928,365
20160927,375
20160926,379
20160923,378
20160922,380
20160921,382
20160920,389
20160919,387
20160916,383
20160915,386
20160914,389
20160913,396
20160912,402
20160909,408
20160908,416
20160907,421
20160906,427
20160905,434
20160902,437
20160901,441
20160831,447
20160830,455
20160826,457
20160825,455
20160824,454
20160823,456
20160822,462
20160819,463
20160818,461
20160817,462
20160816,460
20160815,455
20160812,450
20160811,451
20160810,449
20160809,449
20160808,447
20160805,452
20160804,458
20160803,458
20160802,459
20160801,462
20160729,465
20160728,466
20160727,464
20160726,462
20160725,461
20160722,463
20160721,462
20160720,459
20160719,450
20160718,445
20160715,442
20160714,435
20160713,433
20160712,432
20160711,436
20160708,437
20160707,437
20160706,439
20160705,448
20160704,456
20160701,462
20160630,464
20160629,464
20160628,464
20160627,457
20160624,453
20160623,442
20160622,437
20160621,433
20160620,438
20160617,443
20160616,448
