품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Panamax Index (BPI)1998.05.06"
20180717,1530
20180716,1529
20180713,1527
20180712,1517
20180711,1498
20180710,1431
20180709,1367
20180706,1347
20180705,1339
20180703,1336
20180702,1338
20180629,1336
20180628,1331
20180627,1324
20180626,1321
20180625,1339
20180622,1355
20180621,1382
20180620,1419
20180619,1458
20180618,1482
20180615,1495
20180614,1498
20180613,1488
20180612,1474
20180611,1451
20180608,1418
20180607,1344
20180606,1290
20180605,1250
20180604,1217
20180601,1192
20180531,1160
20180530,1149
20180529,1163
20180525,1187
20180524,1202
20180523,1222
20180522,1239
20180521,1243
20180518,1241
20180517,1239
20180516,1237
20180515,1237
20180514,1240
20180511,1245
20180510,1246
20180509,1253
20180508,1257
20180504,1265
20180503,1266
20180502,1271
20180501,1271
20180430,1276
20180427,1275
20180426,1272
20180425,1264
20180424,1269
20180423,1281
20180420,1289
20180419,1306
20180418,1329
20180417,1353
20180416,1359
20180413,1351
20180412,1335
20180411,1325
20180410,1319
20180409,1315
20180406,1317
20180405,1343
20180404,1397
20180403,1455
20180329,1495
20180328,1520
20180327,1552
20180326,1575
20180323,1587
20180322,1593
20180321,1606
20180320,1615
20180319,1621
20180316,1618
20180315,1619
20180314,1623
20180313,1623
20180312,1624
20180309,1615
20180308,1590
20180307,1553
20180306,1528
20180305,1502
20180302,1500
20180301,1505
20180228,1513
20180227,1513
20180226,1504
20180223,1481
20180222,1438
20180221,1388
20180220,1333
20180216,1273
20180215,1251
20180214,1231
20180213,1228
20180212,1237
20180209,1250
20180208,1263
20180207,1293
20180206,1316
20180205,1339
20180202,1359
20180201,1378
20180131,1411
20180130,1450
20180129,1485
20180126,1492
20180125,1481
20180124,1456
20180123,1404
20180122,1362
20180119,1333
20180118,1311
20180117,1317
20180116,1329
20180112,1348
20180111,1371
20180110,1404
20180109,1428
20180108,1424
20180105,1400
20180104,1365
20180103,1332
20180102,1340
20171222,1395
20171221,1445
20171220,1546
20171219,1593
20171218,1643
20171215,1677
20171214,1714
20171213,1718
20171212,1672
20171211,1624
20171208,1588
20171207,1564
20171206,1563
20171205,1571
20171204,1559
20171201,1494
20171130,1433
20171129,1368
20171128,1320
20171127,1299
20171124,1295
20171123,1284
20171122,1281
20171121,1275
20171120,1280
20171117,1285
20171116,1298
20171115,1320
20171114,1346
20171113,1387
20171110,1418
20171109,1468
20171108,1515
20171107,1558
20171106,1567
20171103,1562
20171102,1539
20171101,1503
20171031,1492
20171030,1498
20171027,1517
20171026,1553
20171025,1592
20171024,1626
20171023,1642
20171020,1643
20171019,1648
20171018,1646
20171017,1651
20171016,1637
20171013,1606
20171012,1556
20171011,1504
20171010,1465
20171009,1438
20171006,1406
20171005,1345
20171004,1276
20171003,1247
20171002,1268
20170929,1308
20170928,1352
20170927,1406
20170926,1446
20170925,1474
20170922,1493
20170921,1514
20170920,1531
20170919,1536
20170918,1529
20170915,1521
20170914,1499
20170913,1464
20170912,1429
20170911,1394
20170908,1375
20170907,1351
20170906,1314
20170905,1275
20170904,1227
20170901,1198
20170831,1189
20170830,1195
20170829,1215
20170825,1235
20170824,1259
20170823,1311
20170822,1345
20170821,1349
20170818,1345
20170817,1336
20170816,1310
20170815,1289
20170814,1272
20170811,1256
20170810,1228
20170809,1192
20170808,1170
20170807,1158
20170804,1153
20170803,1143
20170802,1118
20170801,1098
20170731,1095
20170728,1109
20170727,1146
20170726,1192
20170725,1225
20170724,1248
20170721,1258
20170720,1260
20170719,1252
20170718,1226
20170717,1202
20170714,1173
20170713,1141
20170712,1098
20170711,1069
20170710,1061
20170707,1062
20170706,1063
20170705,1060
20170704,1062
20170703,1068
20170630,1091
20170629,1119
20170628,1150
20170627,1151
20170626,1145
20170623,1138
20170622,1109
20170621,1070
20170620,1017
20170619,984
20170616,964
20170615,938
20170614,903
20170613,865
20170612,833
20170609,813
20170608,793
20170607,783
20170606,783
20170605,789
20170602,792
20170601,810
20170531,829
20170530,842
20170526,845
20170525,848
20170524,849
20170523,850
20170522,854
20170519,870
20170518,894
20170517,925
20170516,956
20170515,978
20170512,992
20170511,1006
20170510,1011
20170509,1007
20170508,1009
20170505,1023
20170504,1048
20170503,1096
20170502,1140
20170428,1187
20170427,1260
20170426,1320
20170425,1371
20170424,1429
20170421,1494
20170420,1553
20170419,1612
20170418,1621
20170417,1611
20170413,1611
20170412,1583
20170411,1533
20170410,1466
20170407,1427
20170406,1387
20170405,1371
20170404,1377
20170403,1379
20170331,1374
20170330,1366
20170329,1346
20170328,1306
20170327,1253
20170324,1218
20170323,1170
20170322,1119
20170321,1101
20170320,1103
20170317,1108
20170316,1129
20170315,1150
20170314,1185
20170313,1207
20170310,1211
20170309,1220
20170308,1220
20170307,1194
20170306,1154
20170303,1118
20170302,1084
20170301,1041
20170228,995
20170227,966
20170224,947
20170223,927
20170222,908
20170221,906
20170220,909
20170217,917
20170216,923
20170215,933
20170214,939
20170213,944
20170210,943
20170209,940
20170208,934
20170207,931
20170206,922
20170203,922
20170202,926
20170201,933
20170131,951
20170130,964
20170127,968
20170126,973
20170125,972
20170124,964
20170123,962
20170120,970
20170119,981
20170118,998
20170117,1019
20170116,1039
20170113,1042
20170112,1038
20170111,1021
20170110,973
20170109,927
20170106,892
20170105,837
20170104,807
20170103,811
20161223,852
20161222,866
20161221,905
20161220,976
20161219,1032
20161216,1126
20161215,1234
20161214,1332
20161213,1419
20161212,1469
20161209,1508
20161208,1547
20161207,1565
20161206,1563
20161205,1541
20161202,1508
20161201,1486
20161130,1465
20161129,1424
20161128,1400
20161125,1389
20161124,1385
20161123,1387
20161122,1382
20161121,1387
20161118,1388
20161117,1353
20161116,1263
20161115,1162
20161114,1058
20161111,1011
20161110,956
20161109,927
20161108,903
20161107,889
20161104,885
20161103,886
20161102,885
20161101,895
20161031,905
20161028,913
20161027,921
20161026,925
20161025,925
20161024,923
20161021,915
20161020,905
20161019,885
20161018,860
20161017,838
20161014,819
20161013,790
20161012,763
20161011,745
20161010,729
20161007,717
20161006,704
20161005,699
20161004,705
20161003,713
20160930,726
20160929,741
20160928,751
20160927,750
20160926,739
20160923,722
20160922,700
20160921,673
20160920,657
20160919,650
20160916,646
20160915,645
20160914,649
20160913,656
20160912,659
20160909,658
20160908,655
20160907,648
