품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Supramax index (BSI)2005.01.01"
20180717,1003
20180716,998
20180713,995
20180712,994
20180711,992
20180710,994
20180709,997
20180706,999
20180705,1005
20180703,1025
20180702,1034
20180629,1042
20180628,1055
20180627,1067
20180626,1078
20180625,1085
20180622,1092
20180621,1094
20180620,1094
20180619,1093
20180618,1092
20180615,1091
20180614,1089
20180613,1088
20180612,1084
20180611,1078
20180608,1075
20180607,1072
20180606,1065
20180605,1065
20180604,1061
20180601,1061
20180531,1063
20180530,1064
20180529,1068
20180525,1071
20180524,1074
20180523,1074
20180522,1074
20180521,1071
20180518,1069
20180517,1064
20180516,1056
20180515,1053
20180514,1055
20180511,1053
20180510,1052
20180509,1048
20180508,1051
20180504,1050
20180503,1047
20180502,1043
20180501,1043
20180430,1045
20180427,1042
20180426,1040
20180425,1037
20180424,1030
20180423,1027
20180420,1025
20180419,1022
20180418,1022
20180417,1018
20180416,1016
20180413,1013
20180412,1014
20180411,1014
20180410,1016
20180409,1024
20180406,1032
20180405,1042
20180404,1056
20180403,1067
20180329,1080
20180328,1093
20180327,1106
20180326,1116
20180323,1121
20180322,1122
20180321,1117
20180320,1109
20180319,1099
20180316,1091
20180315,1077
20180314,1061
20180313,1049
20180312,1040
20180309,1032
20180308,1026
20180307,1020
20180306,1013
20180305,1006
20180302,1004
20180301,992
20180228,973
20180227,948
20180226,919
20180223,892
20180222,871
20180221,856
20180220,847
20180216,837
20180215,832
20180214,823
20180213,817
20180212,819
20180209,825
20180208,833
20180207,844
20180206,857
20180205,865
20180202,872
20180201,877
20180131,884
20180130,889
20180129,895
20180126,900
20180125,904
20180124,908
20180123,911
20180122,913
20180119,911
20180118,910
20180117,910
20180116,910
20180112,907
20180111,902
20180110,898
20180109,889
20180108,886
20180105,884
20180104,884
20180103,894
20180102,901
20171222,914
20171221,925
20171220,933
20171219,938
20171218,943
20171215,942
20171214,944
20171213,943
20171212,942
20171211,939
20171208,943
20171207,944
20171206,945
20171205,944
20171204,944
20171201,944
20171130,941
20171129,936
20171128,929
20171127,923
20171124,914
20171123,899
20171122,875
20171121,856
20171120,850
20171117,845
20171116,849
20171115,858
20171114,872
20171113,888
20171110,912
20171109,936
20171108,961
20171107,988
20171106,1001
20171103,1014
20171102,1027
20171101,1043
20171031,1060
20171030,1081
20171027,1100
20171026,1117
20171025,1129
20171024,1130
20171023,1128
20171020,1126
20171019,1116
20171018,1105
20171017,1094
20171016,1082
20171013,1069
20171012,1050
20171011,1020
20171010,996
20171009,978
20171006,971
20171005,965
20171004,968
20171003,984
20171002,1006
20170929,1021
20170928,1041
20170927,1054
20170926,1065
20170925,1068
20170922,1061
20170921,1050
20170920,1033
20170919,1017
20170918,997
20170915,977
20170914,950
20170913,923
20170912,908
20170911,898
20170908,888
20170907,875
20170906,868
20170905,863
20170904,860
20170901,856
20170831,853
20170830,851
20170829,848
20170825,845
20170824,840
20170823,833
20170822,824
20170821,817
20170818,806
20170817,791
20170816,776
20170815,765
20170814,760
20170811,759
20170810,756
20170809,756
20170808,759
20170807,762
20170804,764
20170803,767
20170802,772
20170801,779
20170731,783
20170728,789
20170727,798
20170726,807
20170725,813
20170724,814
20170721,812
20170720,807
20170719,798
20170718,786
20170717,776
20170714,769
20170713,758
20170712,744
20170711,733
20170710,729
20170707,732
20170706,735
20170705,742
20170704,747
20170703,751
20170630,754
20170629,758
20170628,761
20170627,757
20170626,750
20170623,744
20170622,734
20170621,724
20170620,717
20170619,708
20170616,701
20170615,690
20170614,679
20170613,665
20170612,658
20170609,654
20170608,649
20170607,652
20170606,658
20170605,666
20170602,674
20170601,685
20170531,698
20170530,712
20170526,721
20170525,728
20170524,737
20170523,746
20170522,753
20170519,759
20170518,764
20170517,771
20170516,778
20170515,782
20170512,784
20170511,787
20170510,790
20170509,794
20170508,799
20170505,811
20170504,822
20170503,835
20170502,849
20170428,861
20170427,870
20170426,881
20170425,887
20170424,892
20170421,895
20170420,899
20170419,900
20170418,898
20170417,899
20170413,899
20170412,893
20170411,891
20170410,888
20170407,886
20170406,882
20170405,880
20170404,881
20170403,882
20170331,881
20170330,882
20170329,885
20170328,893
20170327,895
20170324,896
20170323,892
20170322,888
20170321,886
20170320,884
20170317,879
20170316,877
20170315,877
20170314,877
20170313,875
20170310,874
20170309,872
20170308,868
20170307,861
20170306,852
20170303,846
20170302,840
20170301,833
20170228,825
20170227,817
20170224,809
20170223,797
20170222,783
20170221,764
20170220,747
20170217,729
20170216,707
20170215,689
20170214,681
20170213,676
20170210,672
20170209,668
20170208,665
20170207,663
20170206,665
20170203,667
20170202,670
20170201,674
20170131,679
20170130,688
20170127,692
20170126,696
20170125,702
20170124,708
20170123,714
20170120,718
20170119,722
20170118,725
20170117,730
20170116,733
20170113,739
20170112,748
20170111,758
20170110,766
20170109,772
20170106,783
20170105,795
20170104,820
20170103,843
20161223,903
20161222,914
20161221,926
20161220,941
20161219,953
20161216,960
20161215,968
20161214,975
20161213,972
20161212,968
20161209,966
20161208,957
20161207,941
20161206,934
20161205,929
20161202,921
20161201,917
20161130,912
20161129,908
20161128,904
20161125,908
20161124,897
20161123,874
20161122,852
20161121,835
20161118,809
20161117,748
20161116,722
20161115,713
20161114,707
20161111,705
20161110,703
20161109,703
20161108,708
20161107,712
20161104,716
20161103,718
20161102,718
20161101,721
20161031,722
20161028,722
20161027,719
20161026,714
20161025,710
20161024,705
20161021,700
20161020,691
20161019,682
20161018,678
20161017,676
20161014,674
20161013,673
20161012,674
20161011,676
20161010,677
20161007,677
20161006,678
20161005,680
20161004,681
20161003,681
20160930,679
20160929,676
20160928,676
20160927,674
20160926,673
20160923,671
20160922,668
20160921,662
20160920,660
20160919,661
20160916,660
20160915,661
20160914,665
20160913,671
20160912,681
20160909,688
20160908,694
20160907,702
20160906,714
20160905,718
20160902,721
20160901,723
20160831,721
20160830,719
20160826,715
20160825,712
20160824,706
20160823,702
20160822,694
20160819,686
20160818,677
20160817,666
20160816,652
20160815,646
20160812,643
20160811,640
20160810,639
20160809,642
20160808,645
20160805,647
20160804,654
20160803,660
20160802,663
20160801,667
20160729,671
20160728,676
20160727,684
20160726,690
20160725,697
20160722,698
20160721,701
20160720,702
20160719,700
20160718,697
20160715,693
20160714,686
20160713,679
20160712,666
