품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"Bloomberg Commodity Total Return"
20180717,170.68
20180716,170.71
20180713,172.72
20180712,173.08
20180711,171.9
20180710,176.67
20180709,177.41
20180706,177.55
20180705,176.14
20180703,176.94
20180702,176.53
20180629,179.95
20180628,178.67
20180627,179.38
20180626,178.11
20180625,177.37
20180622,179.7
20180621,177.84
20180620,178.57
20180619,178.15
20180618,180.3
20180615,180.42
20180614,183.53
20180613,185.06
20180612,184.91
20180611,184.38
20180608,185.03
20180607,185.16
20180606,184.58
20180605,184.42
20180604,183.87
20180601,185.94
20180531,186.47
20180530,186.47
20180529,185.55
20180525,186.83
20180524,188.04
20180523,188.15
20180522,187.83
20180521,186.9
20180518,185.72
20180517,185.5
20180516,185.23
20180515,185.1
20180514,185.59
20180511,184.88
20180510,185.93
20180509,184.99
20180508,183.92
20180507,184.41
20180504,184.72
20180503,184.06
20180502,183.68
20180501,183.41
20180430,183.87
20180427,183.41
20180426,183.44
20180425,183.11
20180424,182.76
20180423,182.99
20180420,184.3
20180419,184.54
20180418,185.53
20180417,182.56
20180416,182.59
20180413,183.06
20180412,182.68
20180411,182.99
20180410,182.06
20180409,180.44
20180406,178.21
20180405,178.69
20180404,177.54
20180403,178.33
20180402,177.96
20180329,179.24
20180328,177.77
20180327,178.78
20180326,178.76
20180323,179.12
20180322,178.42
20180321,179.04
20180320,177.62
20180319,177.2
20180316,178.9
20180315,178.79
20180314,179.52
20180313,179.92
20180312,179.48
20180309,180.05
20180308,179.29
20180307,180.2
20180306,182.18
20180305,181.55
20180302,180.39
20180301,180.49
20180228,180.36
20180227,181.27
20180226,182.18
20180223,181.44
20180222,181.39
20180221,180.57
20180220,180.01
20180216,180.39
20180215,180.45
20180214,179.94
20180213,177.47
20180212,176.52
20180209,175.1
20180208,177.88
20180207,178.16
20180206,180.24
20180205,180.94
20180202,182.16
20180201,183.67
20180131,183.53
20180130,184.51
20180129,185.21
20180126,185.54
20180125,184.83
20180124,184.84
20180123,182.16
20180122,181.44
20180119,180.87
20180118,181.18
20180117,181.38
20180116,180.67
20180112,181.26
20180111,180.33
20180110,180.2
20180109,179.62
20180108,179.06
20180105,179.49
20180104,180.82
20180103,180.89
20180102,180.48
20171229,179.96
20171228,179.1
20171227,177.71
20171226,177
20171222,174.97
20171221,174
20171220,173.54
20171219,172.58
20171218,172.34
20171215,171.47
20171214,171.02
20171213,170.26
20171212,170.18
20171211,171.78
20171208,171.34
20171207,170.91
20171206,171.52
20171205,173.4
20171204,174.85
20171201,176.33
20171130,174.74
20171129,176.23
20171128,176.81
20171127,177.17
20171124,177.35
20171122,177.41
20171121,176.25
20171120,175.68
20171117,176.82
20171116,174.57
20171115,175.25
20171114,175.57
20171113,177.69
20171110,177.83
20171109,178.19
20171108,178.56
20171107,178.34
20171106,179.59
20171103,176.97
20171102,176.59
20171101,176.27
20171031,175.55
20171030,175.46
20171027,174.87
20171026,174.97
20171025,174.91
20171024,175.21
20171023,174.33
20171020,173.62
20171019,173.87
20171018,173.69
20171017,174.05
20171016,175.08
20171013,174.86
20171012,173.29
20171011,172.56
20171010,172.65
20171009,171.12
20171006,170.81
20171005,172.15
20171004,170.87
20171003,170.42
20171002,170.35
20170929,171.86
20170928,172.22
20170927,172.62
20170926,172.51
20170925,173.61
20170922,172.64
20170921,172.48
20170920,174.12
20170919,172.59
20170918,173.08
20170915,173.29
20170914,173.09
20170913,172.81
20170912,172.47
20170911,172.64
20170908,172.38
20170907,174.2
20170906,174.32
20170905,173.59
20170901,172.78
20170831,172.12
20170830,168.9
20170829,169.77
20170828,169.6
20170825,169.32
20170824,169.76
20170823,169.27
20170822,168.68
20170821,168.78
20170818,169.16
20170817,168.04
20170816,167.84
20170815,167.7
20170814,168.9
20170811,170.07
20170810,169.75
20170809,171.52
20170808,170.56
20170807,170.09
20170804,169.19
20170803,169.3
20170802,170.5
20170801,169.69
20170731,171.43
20170728,171.59
20170727,171.08
20170726,169.97
20170725,168.8
20170724,167.85
20170721,168.53
20170720,169.94
20170719,169.82
20170718,168.83
20170717,167.9
20170714,167.91
20170713,166.32
20170712,167.8
20170711,168.54
20170710,167.2
20170707,166.06
20170706,167.29
20170705,167.09
20170703,168.68
20170630,167.64
20170629,165.05
20170628,164.06
20170627,163.19
20170626,162.08
20170623,161.59
20170622,161.02
20170621,161.57
20170620,162.58
20170619,163.77
20170616,164.87
20170615,164.15
20170614,164.09
20170613,165.56
20170612,165.51
20170609,167.18
20170608,166.67
20170607,166.23
20170606,167.28
20170605,166.31
20170602,166.95
20170601,167.23
20170531,167.96
20170530,168.72
20170526,170.33
20170525,169.71
20170524,171.25
20170523,171.73
20170522,172.85
20170519,171.73
20170518,169.11
20170517,170.23
20170516,169.25
20170515,169.41
20170512,169.21
20170511,168.48
20170510,167.74
20170509,166.26
20170508,166.73
20170505,167.55
20170504,166.6
20170503,169.68
20170502,169.91
20170501,170.63
20170428,170.22
20170427,169.42
20170426,169.97
20170425,170.24
20170424,169.61
20170421,169.98
20170420,171.07
20170419,171.45
20170418,172.9
20170417,174.31
20170413,174.8
20170412,173.95
20170411,174.19
20170410,173.98
20170407,173.83
20170406,173.65
20170405,173.39
20170404,172.72
20170403,171.6
20170331,172.83
20170330,172.82
20170329,172.92
20170328,171.91
20170327,170.75
20170324,171.13
20170323,171.25
20170322,171.39
20170321,171.93
20170320,172.29
20170317,172.36
20170316,171.8
20170315,171.07
20170314,169.83
20170313,170.77
20170310,170.56
20170309,171.18
20170308,172.62
20170307,174.76
20170306,176.3
20170303,176.45
20170302,176.03
20170301,178.74
20170228,177.55
20170227,176.26
20170224,177.02
20170223,176.8
20170222,177.16
20170221,177.79
20170217,178.27
20170216,179.02
20170215,180.1
20170214,179.31
20170213,179.33
20170210,180.78
20170209,179.1
20170208,178.87
20170207,177.75
20170206,177.68
20170203,177.9
20170202,178.82
20170201,179.11
20170131,177.18
20170130,176.04
20170127,177.95
20170126,178.54
20170125,178.73
20170124,179.51
20170123,179.19
20170120,178.74
20170119,178.3
20170118,178.75
20170117,179.89
20170113,179.06
20170112,178.94
20170111,176.36
20170110,175.64
20170109,174.6
20170106,176.66
20170105,176.99
20170104,176.26
20170103,174.03
20161230,176.94
20161229,177.25
20161228,177.42
20161227,177.1
