품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"DRAMeXchange Index (DXI)2001.10.01=1000"
20180717,27948.36
20180716,28075.44
20180713,28088.23
20180712,28138.71
20180711,27955.24
20180710,27940.71
20180709,27935.27
20180706,27860.25
20180705,27852.21
20180704,27852.26
20180703,27896.25
20180702,27892.89
20180629,27944.44
20180628,28106.42
20180627,28395
20180626,28380.51
20180625,28426.08
20180622,28441.05
20180621,28467.59
20180620,28557.72
20180619,28578.02
20180615,28579.87
20180614,28585.9
20180613,28595.67
20180612,28601.85
20180611,28607.79
20180608,28614.91
20180607,28620.33
20180606,28625.08
20180605,28628.44
20180604,28635.67
20180601,28635.67
20180531,26545.72
20180530,26555.45
20180529,26555.87
20180528,26645.6
20180525,26645.6
20180524,26700.48
20180523,26780.81
20180522,26806.79
20180521,26918.45
20180518,26919.73
20180517,26932.4
20180516,26987.36
20180515,27092.97
20180514,27154.21
20180511,27183.61
20180510,27208.07
20180509,27239.7
20180508,27262.49
20180507,27290.81
20180504,27329.65
20180503,27341.09
20180502,27405.72
20180430,28759.29
20180427,28791.38
20180426,28818.59
20180425,28953.76
20180424,28985.2
20180423,29022.19
20180420,29063.11
20180419,29089.33
20180418,29089.33
20180417,29099.6
20180416,29153.15
20180413,29195.13
20180412,29198.4
20180411,29258.04
20180410,29256.26
20180409,29270.39
20180404,29287.56
20180403,29287.56
20180402,29301.22
20180330,27579.62
20180329,27639.49
20180328,27657.96
20180327,27693.68
20180326,27697.55
20180323,27646.41
20180322,27643.53
20180321,27694.18
20180320,27705.44
20180319,27682.25
20180316,27648.52
20180315,27622.7
20180314,27709.64
20180313,27753.07
20180312,27907
20180309,27979.31
20180308,28053.43
20180307,28194.25
20180306,27013.04
20180305,27013.04
20180302,27013
20180301,27013
20180228,27931
20180227,27935.1
20180226,27955.93
20180223,27980.41
20180222,28098.2
20180221,28125.01
20180214,28189.28
20180213,28187.27
20180212,28187.27
20180209,28190.99
20180208,28189.58
20180207,28225.58
20180206,28223.85
20180205,28137.12
20180202,28333.49
20180201,28432.75
20180131,27781.76
20180130,29158.72
20180129,29295.08
20180126,29523.37
20180125,29534.68
20180124,29544.68
20180123,29488.13
20180122,29507
20180119,29549.86
20180118,29601
20180117,29762.07
20180116,29768.73
20180115,29765.24
20180112,29763.94
20180111,29757.32
20180110,29770.34
20180109,29780.31
20180108,29785.66
20180105,29782.33
20180104,29737.11
20180103,29704.65
20180102,29735.32
20171229,27274.69
20171228,27272.31
20171227,27358.54
20171226,27380.32
20171225,27380.18
20171222,27380.18
20171221,27377.76
20171220,27370.27
20171219,27358.64
20171218,27367.81
20171215,27366.84
20171214,27400.78
20171213,27472.02
20171212,27525.38
20171211,27538.31
20171208,27562.65
20171207,27578.41
20171206,27593.87
20171205,27543.55
20171204,27520.06
20171201,27514.71
20171130,27154.27
20171129,27128.08
20171128,27119.95
20171127,27184.81
20171124,27184.32
20171123,27138.25
20171122,27107.15
20171121,26936.38
20171120,26985.88
20171117,26981.27
20171116,26976.13
20171115,26969.08
20171114,26975.61
20171113,26935.39
20171110,26955.01
20171109,27022.15
20171108,27058.21
20171107,27181.14
20171106,27164.8
20171103,27144.38
20171102,27053.86
20171101,26920.63
20171031,27532.12
20171030,27482.75
20171027,27438.13
20171026,27391.86
20171025,27457.88
20171024,27543.1
20171023,27636
20171020,27557.15
20171019,27145.47
20171018,27004.59
20171017,26736.16
20171016,26380.09
20171013,26126.86
20171012,26006.78
20171011,25805.18
20171010,25611.88
20171009,25307.08
20171006,25270.71
20171005,25168.31
20171003,24908.29
20171002,24518.39
20170929,22913.23
20170928,22790.14
20170927,22725.96
20170926,22541.1
20170925,22155.63
20170922,21917.24
20170921,21785.76
20170920,21451.94
20170919,21405.57
20170918,21300.01
20170915,21243.83
20170914,21168.97
20170913,21076.57
20170912,20909.18
20170911,20825.68
20170908,20664.44
20170907,20567.8
20170906,20497.6
20170905,20471.85
20170904,20444.77
20170901,20422.81
20170831,19821.85
20170830,19821.52
20170829,19781.56
20170828,19755.18
20170825,19713.31
20170824,19667.01
20170823,19662.81
20170822,19652.99
20170821,19662.76
20170818,19662.98
20170817,19662.15
20170816,19711.37
20170814,19710.73
20170811,19716.38
20170810,19721.66
20170809,19731.39
20170808,19734.36
20170807,19738.96
20170804,19746.38
20170803,19899.45
20170802,19899.45
20170801,19942.91
20170731,19956.23
20170728,19946.68
20170727,19793.68
20170726,19790.13
20170725,19735.7
20170724,19724.86
20170721,19703.17
20170720,19610.89
20170719,19445.46
20170718,19392.72
20170717,19328.25
20170714,19258.9
20170713,19071.78
20170712,18809.55
20170711,18806
20170710,18779.63
20170707,18723.46
20170706,18677.53
20170705,18640.28
20170704,18239.59
20170703,18209.51
20170630,18198.38
20170629,18150.23
20170628,18106.79
20170627,18045.58
20170626,18003.54
20170623,17916.3
20170622,17752.03
20170621,17692.58
20170620,17620.55
20170619,17542.62
20170616,17461.77
20170615,17413.68
20170614,17344.17
20170613,17274.64
20170612,17235.74
20170609,17177.32
20170608,17082.11
20170607,17038.39
20170606,16993.57
20170605,16932.19
20170602,16889.5
20170601,16785.95
20170531,16747.9
20170526,16747.32
20170525,16745.96
20170524,16736.91
20170523,16735.12
20170522,16736.26
20170519,16735.99
20170518,16743.53
20170517,16741.5
20170516,16738.28
20170515,16739.01
20170512,16740.31
20170511,16742.22
20170510,16754.61
20170509,16765.8
20170508,16774.23
20170505,16761.19
20170504,16769.35
20170503,16794.55
20170502,16802.78
20170428,16838.45
20170427,16942.39
20170426,17098.38
20170425,17174.64
20170424,17246.4
20170421,17320.26
20170420,17488.78
20170419,17491.19
20170418,17484.53
20170417,17476.2
20170414,17473.49
20170413,17487.62
20170412,17518.61
20170411,17504.8
20170410,17485.53
20170407,17443.27
20170406,17435.04
20170331,17417.66
20170330,17375.53
20170329,17318.87
20170328,17254.25
20170327,17302.12
20170324,17268.59
20170323,17218.41
20170322,17221.2
20170321,17201.88
20170320,17159.76
20170317,17081.85
20170316,17032.99
20170315,17172.09
20170314,17134.26
20170313,17096.75
20170310,17061.79
20170309,17029.02
20170308,16989.92
20170307,16951.47
20170306,16858.99
20170303,16830.4
20170302,16788.25
20170301,16744.81
20170228,16726.95
20170227,16756.23
20170224,16808.04
20170223,16800.72
20170222,16837.67
20170221,16873.94
