Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,7.550000,8.200000,7.500000,7.950000,6.178574,10668371
2008-09-03,7.630000,7.850000,7.140000,7.140000,5.549059,17000810
2008-09-04,7.230000,7.420000,6.640000,6.890000,5.354764,14634075
2008-09-05,6.500000,6.650000,6.250000,6.390000,4.966174,13114471
2008-09-08,7.080000,7.260000,6.960000,7.100000,5.517971,9976805
2008-09-09,6.800000,6.940000,6.500000,6.500000,5.051664,9222410
2008-09-10,6.060000,6.440000,5.950000,6.190000,4.810738,13888098
2008-09-11,9.500000,9.500000,5.840000,5.880000,4.569813,8401646
2008-09-12,5.990000,6.090000,5.910000,5.910000,4.593128,6240971
2008-09-15,5.900000,6.020000,5.710000,5.830000,4.530955,8464032
2008-09-16,5.300000,5.680000,5.170000,5.590000,4.344431,10054789
2008-09-17,5.640000,5.800000,5.000000,5.220000,4.056874,12183284
2008-09-18,4.600000,5.340000,4.550000,5.200000,4.041330,19329242
2008-09-19,5.600000,5.870000,5.420000,5.700000,4.429921,10838623
2008-09-22,7.500000,7.500000,6.750000,7.150000,5.556830,24838582
2008-09-23,6.800000,6.900000,6.510000,6.510000,5.059436,4477771
2008-09-24,6.400000,7.000000,6.370000,6.460000,5.020577,14491176
2008-09-25,6.470000,6.600000,6.150000,6.210000,4.826282,3812239
2008-09-26,6.370000,6.450000,5.920000,5.980000,4.647531,4669867
2008-09-29,6.300000,6.300000,5.590000,5.600000,4.352203,5595768
2008-09-30,4.800000,5.090000,4.520000,4.660000,3.621655,17647280
2008-10-01,5.140000,5.310000,4.920000,5.310000,4.126820,7576334
2008-10-02,5.150000,5.270000,4.850000,4.850000,3.769319,6349619
2008-10-03,4.970000,4.970000,4.850000,4.970000,3.862580,6967110
2008-10-05,4.860000,4.860000,4.410000,4.410000,3.427359,12537458
2008-10-06,3.980000,4.280000,3.900000,4.230000,3.287467,15602315
2008-10-07,3.950000,4.000000,3.600000,3.620000,2.813388,10141799
2008-10-08,3.660000,3.660000,3.300000,3.300000,2.564691,14613011
2008-10-09,2.930000,2.940000,2.680000,2.680000,2.082840,19356425
2008-10-12,2.760000,3.180000,2.740000,2.820000,2.191645,23126558
2008-10-13,3.510000,4.400000,3.410000,4.370000,3.396272,24785204
2008-10-14,4.250000,4.250000,3.270000,3.450000,2.681268,16669532
2008-10-15,2.850000,3.240000,2.800000,3.100000,2.409255,17898194
2008-10-16,3.500000,3.580000,2.900000,2.940000,2.284907,19773396
2008-10-19,3.110000,3.160000,2.940000,3.000000,2.331537,11884606
2008-10-20,3.260000,3.350000,3.120000,3.210000,2.494745,11135829
2008-10-21,3.150000,3.180000,3.050000,3.100000,2.409255,7299866
2008-10-22,2.990000,3.020000,2.840000,2.910000,2.261591,9499888
2008-10-23,2.980000,3.040000,2.800000,2.850000,2.214960,10968859
2008-10-26,2.840000,2.960000,2.770000,2.800000,2.176101,8399238
2008-10-27,2.810000,2.950000,2.800000,2.910000,2.261591,10590633
2008-10-28,3.150000,3.270000,3.010000,3.050000,2.370397,13637915
2008-10-29,3.200000,3.220000,3.100000,3.140000,2.440342,9086020
2008-10-30,3.100000,3.150000,2.950000,2.950000,2.292678,9013507
2008-11-02,3.000000,3.050000,2.930000,2.980000,2.315993,11816747
2008-11-03,3.010000,3.020000,2.880000,2.940000,2.284907,6279077
2008-11-04,3.060000,3.130000,2.990000,3.040000,2.362624,14983568
2008-11-05,2.880000,2.880000,2.710000,2.710000,2.106155,11974747
2008-11-06,2.570000,2.630000,2.460000,2.600000,2.020665,12196628
2008-11-09,2.730000,2.730000,2.450000,2.450000,1.904089,12354795
2008-11-10,2.420000,2.420000,2.260000,2.280000,1.771968,12979996
2008-11-11,2.130000,2.170000,2.010000,2.030000,1.577674,10926359
2008-11-12,1.900000,1.905000,1.825000,1.880000,1.461097,9654803
2008-11-13,2.040000,2.080000,1.900000,1.900000,1.476640,7618851
2008-11-16,1.880000,1.910000,1.805000,1.855000,1.441667,7444883
2008-11-17,1.855000,1.940000,1.610000,1.610000,1.251258,8452349
2008-11-18,1.680000,1.700000,1.355000,1.355000,1.053078,11756056
2008-11-19,1.240000,1.305000,1.160000,1.290000,1.002561,11225605
2008-11-20,1.345000,1.800000,1.345000,1.800000,1.398922,20440154
2008-11-23,1.910000,1.995000,1.665000,1.695000,1.317319,13010258
2008-11-24,1.945000,2.120000,1.850000,2.050000,1.593217,19271279
2008-11-25,2.000000,2.050000,1.720000,1.720000,1.336748,18218906
2008-11-26,1.890000,1.945000,1.815000,1.840000,1.430009,8455796
2008-11-27,1.875000,2.120000,1.850000,2.060000,1.600989,11942361
2008-11-30,2.160000,2.930000,2.100000,2.500000,1.942948,33065768
2008-12-01,2.220000,2.840000,2.140000,2.500000,1.942948,27557047
2008-12-02,2.710000,2.870000,2.620000,2.710000,2.106155,22055861
2008-12-03,2.800000,2.810000,2.330000,2.460000,1.911860,13193674
2008-12-04,2.240000,2.410000,2.170000,2.230000,1.733109,9432537
2008-12-07,2.250000,2.320000,2.050000,2.180000,1.694250,12293627
2008-12-08,2.290000,2.370000,2.220000,2.340000,1.818599,15281073
2008-12-09,2.350000,2.850000,2.300000,2.730000,2.121699,16667451
2008-12-10,2.820000,2.990000,2.580000,2.720000,2.113927,15570606
2008-12-11,2.650000,2.700000,2.390000,2.420000,1.880774,8487041
2008-12-14,2.550000,2.680000,2.530000,2.630000,2.043981,7291594
2008-12-15,2.500000,2.550000,2.360000,2.360000,1.834143,7438701
2008-12-16,2.460000,2.550000,2.420000,2.470000,1.919632,6900773
2008-12-17,2.370000,2.430000,2.250000,2.360000,1.834143,15749586
2008-12-18,2.240000,2.340000,2.140000,2.160000,1.678707,10671292
2008-12-21,2.110000,2.110000,1.700000,1.715000,1.332862,25779589
2008-12-22,1.845000,1.850000,1.770000,1.805000,1.402808,4594474
2008-12-23,1.845000,1.850000,1.770000,1.805000,1.402808,4594474
2008-12-28,1.820000,1.895000,1.800000,1.850000,1.437781,4511864
2008-12-29,1.930000,1.970000,1.900000,1.930000,1.499956,5100649
2008-12-30,1.930000,1.970000,1.900000,1.930000,1.499956,5100649
2009-01-01,1.965000,2.060000,1.950000,2.010000,1.562130,5613166
2009-01-04,2.130000,2.170000,2.090000,2.100000,1.632076,8138007
2009-01-05,2.130000,2.160000,2.110000,2.140000,1.663163,6325993
2009-01-06,2.210000,2.360000,2.210000,2.270000,1.764196,13471836
2009-01-07,2.100000,2.130000,2.050000,2.090000,1.624304,8655745
2009-01-08,2.120000,2.200000,2.060000,2.070000,1.608761,6643881
2009-01-11,2.010000,2.030000,1.970000,2.000000,1.554358,4792991
2009-01-12,1.970000,1.970000,1.905000,1.925000,1.496070,6784699
2009-01-13,1.945000,2.080000,1.945000,2.050000,1.593217,5394606
2009-01-14,1.925000,1.965000,1.910000,1.930000,1.499956,5846733
2009-01-15,1.960000,2.030000,1.950000,1.980000,1.538815,8249945
2009-01-18,2.020000,2.040000,1.955000,2.010000,1.562130,6026415
2009-01-19,1.965000,1.965000,1.825000,1.825000,1.418352,7693716
2009-01-20,1.800000,1.900000,1.755000,1.900000,1.476640,5682680
2009-01-21,1.940000,1.960000,1.850000,1.870000,1.453325,4680972
2009-01-22,1.810000,1.820000,1.705000,1.745000,1.356178,8063295
2009-01-26,1.800000,1.800000,1.700000,1.725000,1.340634,6688910
2009-01-27,1.705000,1.725000,1.655000,1.690000,1.313433,8853344
2009-01-28,1.720000,1.745000,1.680000,1.730000,1.344520,6023812
