품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Energy"
20180717,227.23
20180716,226.54
20180713,236.02
20180712,234.14
20180711,233.6
20180710,246.63
20180709,245.63
20180706,244.64
20180705,244.01
20180703,245.63
20180702,244.91
20180629,248.42
20180628,245
20180627,244.06
20180626,237.93
20180625,232.35
20180621,226.39
20180620,228.83
20180619,227.93
20180618,229.77
20180615,226.2
20180614,232.78
20180613,233.9
20180612,232.38
20180611,232.75
20180608,232.28
20180607,233.7
20180606,228.86
20180605,230.48
20180604,229.86
20180601,233.46
20180531,236.71
20180530,238.52
20180529,233.3
20180525,236.88
20180524,244.72
20180523,247.64
20180522,248.04
20180521,247.2
20180518,244.98
20180517,246.42
20180516,245.56
20180515,244.11
20180514,243.06
20180511,241.1
20180510,242.24
20180509,241.28
20180508,234.38
20180507,239.01
20180504,235.48
20180503,231.65
20180502,230.75
20180501,229.79
20180430,233.97
20180427,232.3
20180426,232.79
20180425,231.29
20180424,230.84
20180423,233.12
20180420,231.58
20180419,231.04
20180418,230.73
20180417,225.29
20180416,224.89
20180413,228.2
20180412,226.57
20180411,226.84
20180410,223.1
20180409,216.79
20180406,212.65
20180405,216.45
20180404,216.04
20180403,216.48
20180402,215.08
20180329,220.66
20180328,219.05
20180327,221.16
20180326,221.27
20180323,222.1
20180322,218.01
20180321,220.2
20180320,214.83
20180319,210.55
20180316,211.42
20180315,208.16
20180314,207.68
20180313,206.76
20180312,207.82
20180309,209.5
20180308,204.35
20180307,207.22
20180306,211.05
20180305,210.58
20180302,206.83
20180301,205.9
20180228,208.41
20180227,213.64
20180226,216.12
20180223,214.8
20180222,212.31
20180221,209.25
20180220,209.03
20180216,207.72
20180215,206.09
20180214,204.78
20180213,200.37
20180212,200.2
20180209,200.34
20180208,206.74
20180207,208.59
20180206,213.42
20180205,216.15
20180202,219.86
20180201,222.1
20180131,219.99
20180130,219.85
20180129,222.74
20180126,225.11
20180125,223.43
20180124,223.33
20180123,220.8
20180122,217.68
20180119,216.64
20180118,218.66
20180117,218.78
20180116,217.88
20180112,219.55
20180111,218.11
20180110,217.27
20180109,216.04
20180108,212.49
20180105,212.03
20180104,214.02
20180103,213.7
20180102,210.06
20171229,210.51
20171228,208.61
20171227,207.34
20171226,208.11
20171222,202.87
20171221,201.97
20171220,201.26
20171219,199.5
20171218,198.45
20171215,197.48
20171214,197.48
20171213,195.85
20171212,198.39
20171211,201.91
20171208,199.29
20171207,196.32
20171206,194.19
20171205,199.28
20171204,198.53
20171201,202.49
20171130,199.17
20171129,199.85
20171128,201.99
20171127,201.97
20171124,202.87
20171122,201.23
20171121,199.04
20171120,197.99
20171117,199.4
20171116,195.33
20171115,196.36
20171114,197.27
20171113,200.93
20171110,201.53
20171109,202.47
20171108,200.99
20171107,201.54
20171106,202.46
20171103,196.14
20171102,192.4
20171101,191.78
20171031,192.41
20171030,191.69
20171027,190.85
20171026,187.62
20171025,185.92
20171024,186.16
20171023,184.05
20171020,184.4
20171019,182.67
20171018,184.8
20171017,184.65
20171016,184.64
20171013,183.35
20171012,180.43
20171011,182.06
20171010,180.88
20171009,177.03
20171006,176.58
20171005,181.51
20171004,178.56
20171003,178.82
20171002,179.39
20170929,183.07
20170928,183.7
20170927,185.19
20170926,185.11
20170925,186.41
20170922,181.4
20170921,180.68
20170920,181.13
20170919,178.54
20170918,179.61
20170915,179.97
20170914,179.34
20170913,177.97
20170912,175.07
20170911,174.07
20170908,173.44
20170907,176.97
20170906,176.66
20170905,175.05
20170901,173.11
20170831,173.07
20170830,166.67
20170829,167.74
20170828,167.16
20170825,168.96
20170824,168.39
20170823,170.01
20170822,167.94
20170821,167.05
20170818,170.22
20170817,165.9
20170816,164.61
20170815,166.71
20170814,167.21
20170811,170.76
20170810,170.45
20170809,172.59
20170808,171.28
20170807,171.8
20170804,172.6
20170803,171.45
20170802,172.76
20170801,171.43
20170731,174.18
20170728,173.03
20170727,170.72
20170726,169.28
20170725,166.76
20170724,161.87
20170721,160.89
20170720,164.79
20170719,165.73
20170718,163.01
20170717,161.73
20170714,162.95
20170713,161.08
20170712,159.27
20170711,158.48
20170710,156.14
20170707,155.17
20170706,159.53
20170705,158.1
20170703,163.8
20170630,160.96
20170629,157.72
20170628,157.2
20170627,155.33
20170626,152.34
20170623,151.13
20170622,150.35
20170621,149.52
20170620,152.45
20170619,155.26
20170616,157.15
20170615,156.03
20170614,155.96
20170613,161.29
20170612,160.33
20170609,159.82
20170608,158.76
20170607,158.82
20170606,165.31
20170605,163.22
20170602,164.9
20170601,167.27
20170531,167.5
20170530,171.96
20170526,173.25
20170525,171.25
20170524,178.19
20170523,178.61
20170522,178.22
20170519,176.58
20170518,172.91
20170517,172.19
20170516,170.94
20170515,171.58
20170512,168.88
20170511,168.7
20170510,166.5
20170509,161.63
20170508,162.78
20170505,162.16
20170504,159.3
20170503,166.38
20170502,165.71
20170501,168.77
20170428,170.7
20170427,169.85
20170426,172.52
20170425,172.44
20170424,171.58
20170421,172.86
20170420,176.31
20170419,176.87
20170418,182.37
20170417,183.58
20170413,185.17
20170412,184.64
20170411,184.92
20170410,184.27
20170407,181.76
20170406,180.29
20170405,178.5
20170404,178.11
20170403,174.7
20170331,175.96
20170330,174.97
20170329,172.96
20170328,169.45
20170327,167.45
20170324,167.68
20170323,166.84
20170322,167.37
20170321,168.53
20170320,170.15
20170317,170.33
20170316,169.96
20170315,170.47
20170314,167.65
20170313,169.66
20170310,169.7
20170309,171.69
20170308,174.61
20170307,181.57
20170306,181.51
20170303,180.97
20170302,178.89
20170301,182.86
20170228,183.51
20170227,183.6
20170224,183.61
20170223,185.02
20170222,182.25
20170221,184.33
20170217,183.62
20170216,183.57
20170215,183.98
20170214,184.35
20170213,183.41
20170210,186.35
20170209,183.17
20170208,180.94
20170207,179.2
20170206,180.59
20170203,183.54
20170202,183.16
20170201,184.29
20170131,180.72
20170130,180.16
20170127,182
20170126,184.36
20170125,181.16
20170124,182.67
20170123,181.45
20170120,182.54
20170119,179.48
20170118,178.89
20170117,183.59
20170113,183.34
20170112,184.68
20170111,181.27
20170110,176.76
20170109,179.28
20170106,185.77
20170105,185.01
20170104,184.02
20170103,181.76
20161230,187.43
20161229,187.87
20161228,188.56
20161227,187.63
20161223,184.18
20161222,183.48
