품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Livestock"
20180717,243.8
20180716,246.31
20180713,245.79
20180712,247.65
20180711,246.64
20180710,257.9
20180709,261.37
20180706,268.2
20180705,269.05
20180703,269.15
20180702,267.55
20180629,269.54
20180628,263.54
20180627,261.18
20180626,260.56
20180625,259.72
20180621,267.04
20180620,267.34
20180619,270.1
20180618,270.31
20180615,268.13
20180614,263.56
20180613,267.92
20180612,266.91
20180611,265.39
20180608,270.35
20180607,267.47
20180606,269.46
20180605,265.22
20180604,263.87
20180601,266.81
20180531,266.69
20180530,270.08
20180529,263.74
20180525,263.27
20180524,261.2
20180523,261.85
20180522,257.07
20180521,258.96
20180518,255.52
20180517,258.06
20180516,257.96
20180515,259.01
20180514,262.67
20180511,264.91
20180510,266.67
20180509,264.62
20180508,266.16
20180507,262.67
20180504,263.72
20180503,264.36
20180502,261.59
20180501,262.96
20180430,262.78
20180427,264.47
20180426,262.21
20180425,265.59
20180424,264.03
20180423,265.81
20180420,264.9
20180419,264.35
20180418,268.45
20180417,265.62
20180416,264.68
20180413,265.12
20180412,264.67
20180411,258.63
20180410,258.06
20180409,259.27
20180406,255.74
20180405,260.17
20180404,255.21
20180403,248.64
20180402,252.94
20180329,258.96
20180328,264.2
20180327,260.1
20180326,259.99
20180323,261.73
20180322,266.39
20180321,266.63
20180320,268.52
20180319,270.28
20180316,275.55
20180315,276.5
20180314,277.37
20180313,276.07
20180312,275.84
20180309,277.86
20180308,276.54
20180307,278.37
20180306,278.31
20180305,279.74
20180302,276.51
20180301,277.71
20180228,278.02
20180227,283.09
20180226,282.38
20180223,285.26
20180222,285.66
20180221,285.45
20180220,287.58
20180216,286.26
20180215,287.55
20180214,285.51
20180213,283.23
20180212,284.67
20180209,280.38
20180208,281.41
20180207,281.69
20180206,285.05
20180205,288.67
20180202,290.14
20180201,288.61
20180131,282.78
20180130,285.76
20180129,287.34
20180126,287.22
20180125,283.84
20180124,289.97
20180123,288.5
20180122,287.66
20180119,286.47
20180118,288.37
20180117,286.68
20180116,283.76
20180112,280.1
20180111,277.28
20180110,278.27
20180109,279.18
20180108,276.95
20180105,276.27
20180104,281.04
20180103,281.91
20180102,282.04
20171229,279.78
20171228,280.26
20171227,277.92
20171226,279
20171222,272.69
20171221,272.97
20171220,271.63
20171219,272.82
20171218,274.18
20171215,276.13
20171214,272.36
20171213,270.32
20171212,271.44
20171211,269.81
20171208,272.77
20171207,273.24
20171206,274.58
20171205,278.51
20171204,281.35
20171201,281.34
20171130,285.12
20171129,288.91
20171128,288.17
20171127,286.94
20171124,283.92
20171122,284.52
20171121,279.86
20171120,279.77
20171117,280.83
20171116,281.44
20171115,283.37
20171114,282.57
20171113,288.36
20171110,285.41
20171109,284.83
20171108,281.76
20171107,282.73
20171106,281.46
20171103,284.69
20171102,280.81
20171101,285.33
20171031,285.44
20171030,278.65
20171027,274.14
20171026,274.74
20171025,271.87
20171024,271.73
20171023,266.43
20171020,267.94
20171019,266.63
20171018,266.35
20171017,263.72
20171016,267.23
20171013,265.98
20171012,265.25
20171011,268.53
20171010,267.93
20171009,264.77
20171006,264.9
20171005,265.87
20171004,263
20171003,263.41
20171002,260.64
20170929,261.24
20170928,259.3
20170927,260.61
20170926,256.32
20170925,256.96
20170922,261.11
20170921,260.73
20170920,263.52
20170919,258.4
20170918,255.58
20170915,255.48
20170914,251.49
20170913,252.57
20170912,250.27
20170911,253.13
20170908,252.86
20170907,249.37
20170906,249.21
20170905,248.75
20170901,247.25
20170831,247.43
20170830,248.52
20170829,246.98
20170828,252.35
20170825,251.22
20170824,251.76
20170823,250.47
20170822,252.97
20170821,250.74
20170818,252.64
20170817,254.16
20170816,259.67
20170815,263.69
20170814,257.84
20170811,257.98
20170810,255.92
20170809,258.38
20170808,262.32
20170807,263.64
20170804,266.94
20170803,266.45
20170802,266.94
20170801,262.18
20170731,262.11
20170728,263.4
20170727,266.79
20170726,265.95
20170725,264.27
20170724,266.29
20170721,272.3
20170720,272.39
20170719,276.4
20170718,271.96
20170717,275.18
20170714,273.99
20170713,278.29
20170712,281.19
20170711,278.94
20170710,279.83
20170707,285.53
20170706,284.95
20170705,284.76
20170703,288.46
20170630,288.92
20170629,285.4
20170628,282.56
20170627,280.26
20170626,285.85
20170623,280.72
20170622,280.47
20170621,284.95
20170620,284.75
20170619,285.11
20170616,285.79
20170615,284.47
20170614,286.4
20170613,291.09
20170612,292.31
20170609,298.55
20170608,298.32
20170607,297.6
20170606,297.48
20170605,300.96
20170602,302.26
20170601,300.25
20170531,296.22
20170530,290.72
20170526,289.77
20170525,292.51
20170524,289.08
20170523,291.88
20170522,293.17
20170519,291.4
20170518,288.25
20170517,286.41
20170516,286.24
20170515,286.07
20170512,290.85
20170511,285.08
20170510,287.64
20170509,290.35
20170508,296.02
20170505,296.94
20170504,302.1
20170503,300.08
20170502,293.33
20170501,288.07
20170428,289.09
20170427,283.27
20170426,275.71
20170425,272.26
20170424,268.13
20170421,269.49
20170420,269.68
20170419,270.68
20170418,271.9
20170417,272.83
20170413,271.33
20170412,270.4
20170411,271.31
20170410,268
20170407,266.23
20170406,264.61
20170405,261.23
20170404,260.98
20170403,263.98
20170331,265.88
20170330,265.98
20170329,265.96
20170328,264.81
20170327,265.81
20170324,270.94
20170323,273.13
20170322,272.53
20170321,268.67
20170320,268.28
20170317,267.8
20170316,268.8
20170315,267
20170314,265.36
20170313,266.48
20170310,263.73
20170309,262.54
20170308,262.19
20170307,261.31
20170306,260.87
20170303,260.99
20170302,262.71
20170301,265.21
20170228,264.96
20170227,262.2
20170224,260.79
20170223,262.23
20170222,263.06
20170221,265.04
20170217,264.8
20170216,261.44
20170215,262.78
20170214,264.17
20170213,259.86
20170210,262.39
20170209,264.58
20170208,265.22
20170207,268.47
20170206,266.01
20170203,264.87
20170202,263.94
20170201,260.65
20170131,261.63
20170130,261.57
20170127,265.85
20170126,264.79
20170125,270.44
20170124,267.21
20170123,268.51
20170120,269.26
20170119,270.65
20170118,269.7
20170117,270.41
20170113,268.72
20170112,265.75
20170111,267.4
20170110,267.18
20170109,259.83
20170106,256.51
20170105,257.89
20170104,258.31
20170103,256.36
20161230,261.02
20161229,262.11
20161228,261.97
20161227,259.54
20161223,258.28
20161222,260.87
