품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Non-Energy"
20180717,316.5
20180716,316.6
20180713,317.22
20180712,318.32
20180711,315.51
20180710,324.27
20180709,327.85
20180706,329.69
20180705,327.04
20180703,327.62
20180702,326.63
20180629,333.33
20180628,330.4
20180627,332.22
20180626,331.83
20180625,332.77
20180622,338.06
20180621,337.28
20180620,337
20180619,337.09
20180618,341.84
20180615,343.62
20180614,347.62
20180613,352.51
20180612,353.41
20180611,350.14
20180608,353.05
20180607,351.87
20180606,352.16
20180605,349.75
20180604,347.93
20180601,351.84
20180531,352.03
20180530,351.84
20180529,352.19
20180525,352.87
20180524,351.31
20180523,350.96
20180522,349.31
20180521,347.95
20180518,345.83
20180517,344.23
20180516,344.46
20180515,344.85
20180514,345.99
20180511,346.54
20180510,349.01
20180509,348.53
20180508,349.22
20180507,348.24
20180504,351.27
20180503,350.86
20180502,349.68
20180501,348.95
20180430,347.77
20180427,346.88
20180426,346.35
20180425,347.19
20180424,345.18
20180423,345.47
20180420,350.02
20180419,351.97
20180418,354.31
20180417,348.53
20180416,348.88
20180413,347.86
20180412,349.23
20180411,348.25
20180410,346.8
20180409,344.7
20180406,339.03
20180405,338.59
20180404,334.12
20180403,335.36
20180402,335.35
20180329,336.57
20180328,334.93
20180327,335.48
20180326,335.96
20180323,337.31
20180322,338.23
20180321,338.87
20180320,338.2
20180319,339.62
20180316,344.11
20180315,345.98
20180314,347.86
20180313,348.18
20180312,347.26
20180309,348.71
20180308,348.71
20180307,348.91
20180306,352.36
20180305,352.24
20180302,349.99
20180301,351.4
20180228,349.52
20180227,349.32
20180226,350.06
20180223,349.18
20180222,350.32
20180221,349.72
20180220,349.57
20180216,351.77
20180215,351.9
20180214,350.48
20180213,347.04
20180212,345.06
20180209,340.66
20180208,343.14
20180207,342.86
20180206,344.41
20180205,345.77
20180202,345.98
20180201,347.56
20180131,345.65
20180130,346.17
20180129,346.62
20180126,346.16
20180125,345.34
20180124,346.62
20180123,341.76
20180122,343.25
20180119,341.99
20180118,342.24
20180117,341.14
20180116,339.8
20180112,340.1
20180111,339.82
20180110,340.36
20180109,339.46
20180108,339.47
20180105,340.72
20180104,343.72
20180103,343.19
20180102,343.96
20171229,342.14
20171228,342.09
20171227,340.75
20171226,337.97
20171222,335.88
20171221,335.15
20171220,333.32
20171219,331.57
20171218,330.89
20171215,330.63
20171214,328.67
20171213,327.07
20171212,325.6
20171211,326.16
20171208,326.98
20171207,327.58
20171206,329.13
20171205,332.01
20171204,335.76
20171201,337.22
20171130,335.47
20171129,337.45
20171128,337.13
20171127,338.93
20171124,339.8
20171122,339.71
20171121,336.66
20171120,335.73
20171117,337.11
20171116,334.56
20171115,335.61
20171114,335.64
20171113,339.52
20171110,337.98
20171109,336.67
20171108,337
20171107,335.88
20171106,337.23
20171103,336.15
20171102,336.26
20171101,336.84
20171031,335.04
20171030,334.26
20171027,332.9
20171026,334.47
20171025,334.77
20171024,334.77
20171023,332.63
20171020,330.49
20171019,332.43
20171018,331.35
20171017,331.61
20171016,334.57
20171013,334.24
20171012,332.47
20171011,331.22
20171010,332.11
20171009,330.1
20171006,330.05
20171005,330.77
20171004,328.52
20171003,328.06
20171002,326.78
20170929,327.76
20170928,327.89
20170927,328.1
20170926,326.86
20170925,328.87
20170922,329.7
20170921,330.1
20170920,331.8
20170919,328.13
20170918,328.16
20170915,329.15
20170914,327.43
20170913,327.4
20170912,327.55
20170911,329.27
20170908,328.96
20170907,329.99
20170906,331.06
20170905,330.34
20170901,328.2
20170831,327.54
20170830,323.99
20170829,324.41
20170828,324.94
20170825,324.36
20170824,325.77
20170823,323.41
20170822,323.81
20170821,324.3
20170818,324.29
20170817,324.11
20170816,326.36
20170815,325.52
20170814,326.99
20170811,327.61
20170810,326.23
20170809,330.69
20170808,330.16
20170807,328.51
20170804,325.72
20170803,326.08
20170802,327.89
20170801,325.71
20170731,328.78
20170728,328.94
20170727,329.67
20170726,328.17
20170725,325.79
20170724,327.49
20170721,330.11
20170720,331.27
20170719,330.8
20170718,329.29
20170717,329.29
20170714,329.2
20170713,327.86
20170712,332.57
20170711,334.8
20170710,334.28
20170707,334
20170706,334.12
20170705,335.14
20170703,335.73
20170630,332.4
20170629,326.67
20170628,322.43
20170627,321.4
20170626,320.99
20170623,320.76
20170622,320.25
20170621,322.9
20170620,324
20170619,325.2
20170616,325.81
20170615,324.06
20170614,324.7
20170613,326.33
20170612,325.79
20170609,330.21
20170608,329.13
20170607,327.1
20170606,325.01
20170605,324.85
20170602,325.7
20170601,325.48
20170531,325.85
20170530,324.06
20170526,326
20170525,326.5
20170524,325.79
20170523,326.98
20170522,329.35
20170519,328.39
20170518,324.04
20170517,326.49
20170516,324.58
20170515,324.62
20170512,325.49
20170511,323.48
20170510,323.8
20170509,323.31
20170508,324.76
20170505,327.07
20170504,327.47
20170503,330.91
20170502,331.36
20170501,330.26
20170428,327.3
20170427,324.67
20170426,323.4
20170425,324.2
20170424,321.71
20170421,321.94
20170420,322.17
20170419,322.98
20170418,323.93
20170417,326.36
20170413,326.72
20170412,325.02
20170411,325.44
20170410,323.5
20170407,322.8
20170406,321.95
20170405,322.42
20170404,320.8
20170403,322.23
20170331,324.21
20170330,324.73
20170329,325.36
20170328,325.06
20170327,323.64
20170324,325.95
20170323,326.81
20170322,326.99
20170321,326.27
20170320,327.55
20170317,329.03
20170316,328.28
20170315,326.1
20170314,324.11
20170313,324.72
20170310,324.41
20170309,324.25
20170308,326.77
20170307,328.01
20170306,330.93
20170303,331.96
20170302,332.57
20170301,336.49
20170228,332.61
20170227,329.96
20170224,331.51
20170223,331.62
20170222,334.73
20170221,335.11
20170217,333.97
20170216,335.54
20170215,338.07
20170214,336.28
20170213,336.12
20170210,336.48
20170209,332.58
20170208,332.49
20170207,330.48
20170206,329.25
20170203,328.7
20170202,329.7
20170201,329.38
20170131,326.98
20170130,323.68
20170127,326.86
20170126,327.07
20170125,330.14
20170124,330.63
20170123,331.07
20170120,329.43
20170119,328.58
20170118,330.62
20170117,329.65
20170113,328.14
20170112,326.25
20170111,323.1
20170110,324.05
20170109,320.01
20170106,318.01
20170105,319.44
20170104,318.64
20170103,313.42
20161230,313.37
20161229,312.71
20161228,312.27
20161227,312.85
20161223,309.2
