품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"GSCI Petroleum"
20180717,249.32
20180716,248.43
20180713,259.34
20180712,256.98
20180711,256.2
20180710,271.3
20180709,269.96
20180706,268.67
20180705,268.04
20180703,269.75
20180702,268.96
20180629,272.72
20180628,268.73
20180627,267.49
20180626,260.65
20180625,254.3
20180621,247.24
20180620,250.06
20180619,249.29
20180618,251.21
20180615,246.84
20180614,254.63
20180613,255.96
20180612,254.28
20180611,254.65
20180608,254.34
20180607,255.8
20180606,250.39
20180605,252.28
20180604,251.4
20180601,255.4
20180531,259.16
20180530,261.53
20180529,255.46
20180525,259.32
20180524,268.28
20180523,271.7
20180522,272.25
20180521,271.64
20180518,268.97
20180517,270.59
20180516,269.81
20180515,268.07
20180514,266.85
20180511,264.74
20180510,266.05
20180509,265.26
20180508,257.38
20180507,262.68
20180504,258.78
20180503,254.32
20180502,253.16
20180501,251.87
20180430,256.82
20180427,254.88
20180426,255.15
20180425,253.56
20180424,253.02
20180423,255.8
20180420,254.07
20180419,253.75
20180418,253.09
20180417,246.83
20180416,246.32
20180413,250.2
20180412,248.53
20180411,248.9
20180410,244.71
20180409,237.34
20180406,232.57
20180405,237.09
20180404,236.44
20180403,237.04
20180402,235.48
20180329,241.68
20180328,239.97
20180327,242.33
20180326,242.7
20180323,243.76
20180322,238.96
20180321,241.43
20180320,235.1
20180319,230.31
20180316,231.14
20180315,227.42
20180314,226.66
20180313,225.39
20180312,226.67
20180309,228.8
20180308,222.8
20180307,226.04
20180306,230.58
20180305,230.23
20180302,225.96
20180301,224.88
20180228,227.89
20180227,233.83
20180226,236.66
20180223,235.27
20180222,232.33
20180221,228.8
20180220,228.68
20180216,227.4
20180215,225.43
20180214,223.89
20180213,218.85
20180212,218.86
20180209,218.96
20180208,225.87
20180207,227.97
20180206,233.25
20180205,236.44
20180202,240.28
20180201,242.81
20180131,239.79
20180130,238.78
20180129,242.22
20180126,244.9
20180125,243.3
20180124,243.27
20180123,240.53
20180122,237.41
20180119,236.18
20180118,238.3
20180117,238.28
20180116,237.51
20180112,239.3
20180111,237.8
20180110,237.27
20180109,235.69
20180108,231.92
20180105,231.51
20180104,233.44
20180103,232.54
20180102,228.17
20171229,229.11
20171228,227.1
20171227,226.39
20171226,227.59
20171222,221.57
20171221,220.81
20171220,219.82
20171219,217.55
20171218,216.11
20171215,215.49
20171214,215.21
20171213,213.22
20171212,216.3
20171211,219.73
20171208,216.96
20171207,213.61
20171206,210.53
20171205,216.4
20171204,215.25
20171201,219.47
20171130,215.81
20171129,215.96
20171128,218.62
20171127,219.06
20171124,220.51
20171122,218.04
20171121,215.31
20171120,213.98
20171117,215.39
20171116,210.88
20171115,211.96
20171114,212.9
20171113,216.85
20171110,217.44
20171109,218.63
20171108,217.12
20171107,217.92
20171106,219.13
20171103,212.51
20171102,208.42
20171101,207.88
20171031,208.6
20171030,207.48
20171027,206.52
20171026,202.47
20171025,200.39
20171024,200.44
20171023,197.93
20171020,198.52
20171019,196.65
20171018,199.18
20171017,198.73
20171016,198.81
20171013,197.12
20171012,193.84
20171011,196.17
20171010,194.95
20171009,190.92
20171006,190.43
20171005,195.99
20171004,192.54
20171003,193.03
20171002,193.58
20170929,197.43
20170928,198.11
20170927,199.63
20170926,199.8
20170925,201.34
20170922,195.46
20170921,194.69
20170920,194.62
20170919,191.54
20170918,192.69
20170915,193.56
20170914,192.66
20170913,191.18
20170912,188.12
20170911,187.23
20170908,186.82
20170907,190.55
20170906,190.11
20170905,188.39
20170901,185.75
20170831,185.83
20170830,178.91
20170829,179.96
20170828,179.38
20170825,181.6
20170824,180.71
20170823,182.66
20170822,180.25
20170821,179.12
20170818,183.01
20170817,177.92
20170816,176.61
20170815,178.85
20170814,179.33
20170811,183.31
20170810,182.95
20170809,185.84
20170808,184.62
20170807,185.33
20170804,186.39
20170803,184.97
20170802,186.42
20170801,184.86
20170731,188.12
20170728,186.19
20170727,183.43
20170726,182.01
20170725,179.04
20170724,173.64
20170721,172.19
20170720,176.37
20170719,177.36
20170718,174.16
20170717,172.97
20170714,174.52
20170713,172.45
20170712,170.26
20170711,169.09
20170710,166.88
20170707,166.04
20170706,170.94
20170705,169.5
20170703,175.57
20170630,171.97
20170629,168.22
20170628,167.42
20170627,165.4
20170626,162.03
20170623,161.05
20170622,160.3
20170621,159.35
20170620,162.65
20170619,165.92
20170616,167.5
20170615,166.14
20170614,166.57
20170613,172.53
20170612,171.19
20170609,170.56
20170608,169.42
20170607,169.55
20170606,176.92
20170605,174.78
20170602,176.63
20170601,179.31
20170531,179.32
20170530,184.12
20170526,184.92
20170525,182.77
20170524,190.63
20170523,191.05
20170522,190.14
20170519,188.56
20170518,184.65
20170517,183.82
20170516,182.25
20170515,182.51
20170512,179.14
20170511,179.08
20170510,176.97
20170509,171.72
20170508,173.35
20170505,172.32
20170504,169.45
20170503,177.38
20170502,176.75
20170501,180.17
20170428,182.14
20170427,181.32
20170426,184.25
20170425,184.59
20170424,183.63
20170421,184.96
20170420,188.67
20170419,189.21
20170418,195.69
20170417,197.01
20170413,198.6
20170412,198.24
20170411,198.77
20170410,197.74
20170407,194.83
20170406,192.9
20170405,191.12
20170404,190.56
20170403,187.33
20170331,188.53
20170330,187.38
20170329,184.92
20170328,181.11
20170327,179.01
20170324,179.18
20170323,178.31
20170322,179.16
20170321,180.15
20170320,182.24
20170317,182.84
20170316,182.57
20170315,182.86
20170314,179.81
20170313,181.65
20170310,181.88
20170309,184.34
20170308,188.04
20170307,196.38
20170306,196.08
20170303,195.77
20170302,193.48
20170301,198.05
20170228,198.9
20170227,199.33
20170224,198.96
20170223,200.73
20170222,197.75
20170221,200.18
20170217,198.3
20170216,198.15
20170215,198.35
20170214,198.91
20170213,197.72
20170210,200.8
20170209,196.82
20170208,194.38
20170207,192.43
20170206,194.42
20170203,197.74
20170202,196.79
20170201,198.17
20170131,194.28
20170130,193.17
20170127,194.76
20170126,197.3
20170125,193.84
20170124,195.79
20170123,194.54
20170120,195.98
20170119,191.85
20170118,191.45
20170117,196.38
20170113,196.14
20170112,197.77
20170111,194.49
20170110,189.09
20170109,192.67
20170106,199.38
20170105,198.56
20170104,197.45
20170103,194.62
20161230,199.52
20161229,199.71
20161228,200.11
20161227,199.58
20161223,195.98
