품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"PDS 철강 하위지수2015.01.02=100"
20180717,114.707
20180716,114.707
20180713,114.559
20180712,114.559
20180711,114.559
20180710,114.559
20180709,114.277
20180706,114.277
20180705,114.277
20180704,114.277
20180703,114.277
20180702,114.277
20180629,114.277
20180628,114.277
20180627,114.277
20180626,114.277
20180625,114.218
20180622,114.442
20180621,114.442
20180620,114.442
20180619,114.442
20180618,112.969
20180615,113.079
20180614,113.079
20180613,113.079
20180612,113.079
20180611,112.855
20180608,112.855
20180607,112.855
20180606,112.855
20180605,112.855
20180604,112.115
20180601,112.115
20180531,112.115
20180530,112.115
20180529,112.115
20180528,110.857
20180525,110.857
20180524,110.857
20180523,110.857
20180522,110.857
20180521,110.633
20180518,110.633
20180517,110.633
20180516,110.633
20180515,110.409
20180514,109.84
20180511,109.84
20180510,110.715
20180509,110.715
20180508,110.715
20180507,110.715
20180504,110.715
20180503,110.715
20180502,110.715
20180501,110.715
20180430,110.774
20180427,110.774
20180426,110.774
20180425,110.774
20180424,110.774
20180423,110.893
20180420,110.893
20180419,110.893
20180418,110.893
20180417,112.936
20180416,113.268
20180413,113.268
20180412,113.268
20180411,113.268
20180410,113.268
20180409,113.562
20180406,113.562
20180405,113.562
20180404,113.562
20180403,113.562
20180402,113.54
20180330,113.54
20180329,113.54
20180328,113.54
20180327,113.54
20180326,113.183
20180323,113.183
20180322,113.183
20180321,113.183
20180320,113.183
20180319,113.234
20180316,113.234
20180315,113.234
20180314,113.234
20180313,113.234
20180312,111.988
20180309,111.988
20180308,111.988
20180307,111.988
20180306,111.988
20180305,110.953
20180302,110.953
20180301,110.953
20180228,110.953
20180227,110.953
20180226,110.953
20180223,110.953
20180222,110.953
20180221,110.953
20180220,110.953
20180219,112.318
20180216,112.318
20180215,112.318
20180214,112.318
20180213,112.318
20180212,112.021
20180209,112.021
20180208,112.021
20180207,112.021
20180206,112.021
20180205,113.11
20180202,113.11
20180201,113.11
20180131,113.11
20180130,113.11
20180129,113.924
20180126,113.924
20180125,113.924
20180124,113.924
20180123,113.924
20180122,114.042
20180119,112.802
20180118,112.802
20180117,112.802
20180116,112.802
20180115,112.98
20180112,112.98
20180111,112.98
20180110,112.98
20180109,112.98
20180108,112.188
20180105,112.188
20180104,112.188
20180103,112.188
20180102,112.188
20180101,111.328
20171229,111.328
20171228,111.328
20171227,111.328
20171226,111.328
20171225,111.328
20171222,111.328
20171221,111.328
20171220,111.328
20171219,111.328
20171218,111.35
20171215,110.678
20171214,108.772
20171213,108.772
20171212,108.772
20171211,106.182
20171208,106.182
20171207,106.182
20171206,106.182
20171205,106.182
20171204,106.689
20171201,106.689
20171130,106.689
20171129,106.689
20171128,106.689
20171127,106.821
20171124,106.821
20171123,106.821
20171122,106.821
20171121,106.821
20171120,107.153
20171117,107.153
20171116,107.153
20171115,107.153
20171114,107.153
20171113,108.553
20171110,108.553
20171109,108.553
20171108,108.553
20171107,108.553
20171106,110.427
20171103,110.539
20171102,110.539
20171101,110.539
20171031,110.539
20171030,109.559
20171027,109.559
20171026,109.559
20171025,109.559
20171024,109.559
20171023,108.849
20171020,108.849
20171019,109.601
20171018,109.601
20171017,109.601
20171016,109.753
20171013,109.753
20171012,109.753
20171011,109.753
20171010,109.753
20171009,109.753
20171006,109.753
20171005,109.753
20171004,109.753
20171003,109.753
20171002,111.931
20170929,111.931
20170928,111.931
20170927,111.931
20170926,111.931
20170925,109.753
20170922,109.306
20170921,109.306
20170920,109.306
20170919,109.306
20170918,109.129
20170915,108.851
20170914,108.851
20170913,108.851
20170912,108.851
20170911,107.743
20170908,107.743
20170907,107.071
20170906,107.071
20170905,107.071
20170904,104.018
20170901,104.018
20170831,103.906
20170830,103.906
20170829,103.906
20170828,104.025
20170825,104.025
20170824,104.025
20170823,104.025
20170822,104.025
20170821,102.376
20170818,102.376
20170817,102.376
20170816,102.376
20170815,102.376
20170814,100.815
20170811,99.209
20170810,99.209
20170809,99.209
20170808,99.209
20170807,98.981
20170804,98.309
20170803,98.309
20170802,98.309
20170801,98.309
20170731,97.561
20170728,97.561
20170727,97.561
20170726,97.561
20170725,97.561
20170724,97.465
20170721,97.465
20170720,97.465
20170719,97.465
20170718,97.465
20170717,97.168
20170714,96.038
20170713,96.038
20170712,96.038
20170711,96.038
20170710,95.373
20170707,95.373
20170706,95.373
20170705,95.373
20170704,95.373
20170703,94.221
20170630,94.501
20170629,94.501
20170628,94.501
20170627,94.501
20170626,94.417
20170623,94.417
20170622,94.417
20170621,94.417
20170620,94.417
20170619,95.593
20170616,95.593
20170615,95.593
20170614,95.593
20170613,95.593
20170612,95.206
20170609,95.206
20170608,95.206
20170607,95.206
20170606,95.206
20170605,94.376
20170602,94.376
20170601,94.376
20170531,94.376
20170530,94.376
20170529,95.137
20170526,95.137
20170525,95.137
20170524,95.137
20170523,95.137
20170522,96.044
20170519,96.044
20170518,96.044
20170517,96.044
20170516,96.044
20170515,97.326
20170512,98.516
20170511,98.516
20170510,98.516
20170509,98.516
20170508,98.516
20170505,98.516
20170504,98.516
20170503,98.516
20170502,98.516
20170501,99.508
20170428,99.508
20170427,99.508
20170426,99.508
20170425,99.508
20170424,101.429
20170421,101.429
20170420,101.429
20170419,101.429
20170418,101.429
20170417,102.135
20170414,102.135
20170413,103.839
20170412,103.839
20170411,103.839
20170410,105.154
20170407,105.154
20170406,105.154
20170405,105.154
20170404,105.154
20170403,105.615
20170331,105.615
20170330,105.615
20170329,105.559
20170328,105.559
20170327,105.867
20170324,105.867
20170323,105.867
20170322,105.867
20170321,105.867
20170320,105.863
20170317,105.863
20170316,105.863
20170315,105.863
20170314,105.863
20170313,106.112
20170310,103.513
20170309,103.513
20170308,103.513
20170307,103.513
20170306,103.762
20170303,103.762
20170302,103.762
20170301,103.762
20170228,103.762
20170227,104.487
20170224,104.487
20170223,104.487
20170222,104.487
20170221,104.487
20170220,104.605
20170217,104.605
20170216,104.605
20170215,104.605
20170214,104.605
20170213,105.19
20170210,105.721
20170209,105.721
20170208,105.721
20170207,105.721
20170206,106.121
20170203,106.345
20170202,106.345
20170201,106.345
20170131,106.345
20170130,105.617
20170127,105.617
20170126,105.617
20170125,105.617
20170124,105.617
20170123,106.616
20170120,106.616
20170119,106.616
20170118,106.616
20170117,106.616
