품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Rogers International Commodities Index Agriculture1998.07.31=1000"
20180713,786.74
20180712,787.95
20180711,777.49
20180710,793.79
20180709,799.42
20180706,805.69
20180705,793.28
20180703,791.07
20180702,787.71
20180627,794.89
20180626,793.79
20180622,806.84
20180621,802.7
20180619,796.12
20180618,808.94
20180615,817.43
20180614,825.39
20180613,834.46
20180612,842.83
20180611,835.07
20180608,843.51
20180607,844.07
20180606,845.81
20180605,842.04
20180604,841.53
20180601,857.24
20180531,859.18
20180530,857.75
20180529,864.91
20180525,865.03
20180524,858.48
20180523,860.18
20180522,856.52
20180521,853.38
20180518,847.06
20180517,838.21
20180516,836.35
20180515,837.58
20180514,838.37
20180511,840.34
20180510,844.78
20180509,845.73
20180508,849.05
20180507,846.85
20180504,855.65
20180503,858.34
20180502,853.44
20180501,853.05
20180430,844.82
20180427,842.07
20180426,835.92
20180425,836.55
20180424,829.31
20180423,828.94
20180419,838.11
20180418,839.37
20180417,834.34
20180416,833.26
20180413,838.57
20180412,841.12
20180411,840.01
20180410,842.42
20180409,843.33
20180406,833.74
20180405,833.74
20180404,823.22
20180403,829.66
20180402,824.89
20180328,820.01
20180327,823.5
20180326,823.63
20180323,825.42
20180321,827.62
20180320,826.74
20180319,826.68
20180316,840.33
20180315,845.41
20180314,847.69
20180313,848.96
20180309,848.67
20180308,855.82
20180307,852.47
20180306,859.68
20180305,862.17
20180302,852.15
20180301,858.34
20180228,850.36
20180227,842.56
20180226,841.98
20180223,837
20180222,833.68
20180221,832.58
20180220,830.85
20180216,829.39
20180215,829.39
20180214,832.31
20180213,827.94
20180212,828.14
20180209,818.4
20180208,823.85
20180207,825.56
20180206,822.78
20180205,817.43
20180202,822.31
20180201,824.26
20180131,822.07
20180130,825.38
20180129,823.41
20180126,822.02
20180125,818.56
20180124,821.42
20180123,813.42
20180122,816.1
20180119,813.83
20180118,814.24
20180117,811.94
20180116,806.29
20180112,805.56
20180111,809.42
20180110,809.29
20180109,808.07
20180108,805.18
20180105,810.04
20180104,813.72
20180103,813.39
20180102,810.07
20171229,805.85
20171228,805.6
20171227,806.72
20171226,803.02
20171222,799.81
20171221,800.93
20171220,796.24
20171219,793.83
20171218,793.88
20171215,794.58
20171214,794.35
20171213,792.11
20171212,787.38
20171211,791.52
20171208,797.74
20171207,799.38
20171206,801.92
20171205,809.15
20171204,810.41
20171201,815.12
20171130,810.63
20171129,814.25
20171128,808.17
20171127,807.49
20171124,812.67
20171122,814.8
20171121,810.44
20171120,810.74
20171117,813.21
20171116,808.25
20171115,809.17
20171114,809.85
20171113,813.07
20171110,817.11
20171109,815.3
20171108,818.14
20171107,817.59
20171106,819.4
20171103,814.32
20171102,815.85
20171101,811.9
20171031,811.21
20171030,813.68
20171027,813.77
20171026,813.22
20171025,816.41
20171024,817.07
20171023,816.12
20171020,806.55
20171019,810.93
20171018,807.76
20171017,809.51
20171016,812.12
20171013,817.95
20171012,810.87
20171011,808.76
20171010,809.91
20171009,808.8
20171006,812.41
20171005,810.98
20171004,810.02
20171003,808.23
20171002,806.76
20170929,809.45
20170928,808.56
20170927,813.08
20170926,809.86
20170925,814.18
20170922,815.21
20170921,814.56
20170920,816.93
20170919,809.51
20170918,812.63
20170915,815.96
20170914,813.56
20170913,812.1
20170912,808.22
20170911,813.32
20170908,819.11
20170907,817.44
20170906,822.98
20170905,821.97
20170901,811
20170831,809.86
20170830,800.33
20170829,800.58
20170828,805.65
20170824,807.12
20170823,800.94
20170822,800.33
20170821,802.78
20170818,804.81
20170817,801.86
20170816,802.36
20170815,806.89
20170814,816.86
20170811,820.53
20170810,817.26
20170809,839.47
20170808,838.43
20170807,840.7
20170804,836.99
20170803,837.33
20170802,843.78
20170801,837.81
20170731,849.52
20170728,852.35
20170727,852.08
20170726,846.69
20170725,840.3
20170724,851.44
20170721,860.83
20170720,866.55
20170719,859.16
20170718,853.63
20170717,852.54
20170714,853.78
20170713,847.98
20170712,865.37
20170711,875.46
20170710,873.81
20170707,865.73
20170706,864.55
20170705,870.71
20170703,867.46
20170630,853.14
20170629,831.24
20170628,817.88
20170627,814.25
20170626,811.44
20170623,813.46
20170622,812.44
20170621,822.49
20170620,831.61
20170619,836.78
20170616,841.45
20170615,834
20170614,829.3
20170613,832.11
20170612,829.15
20170609,838.25
20170608,836.38
20170607,831.61
20170606,825.79
20170605,822.51
20170602,823.27
20170601,823.84
20170531,825.19
20170530,824.07
20170526,829.24
20170525,828.48
20170524,831.06
20170523,832.81
20170522,841.52
20170519,841.47
20170518,832.82
20170517,842.67
20170516,837.59
20170515,839.77
20170512,840.55
20170511,835.59
20170510,833.69
20170509,832.9
20170508,834.4
20170505,838.76
20170504,837.31
20170503,845.57
20170502,844.06
20170501,843.94
20170428,829.76
20170427,824.82
20170426,823.9
20170425,826.78
20170424,821.71
20170421,823.43
20170420,830.98
20170419,830.98
20170418,833.83
20170417,835.95
20170413,837.61
20170412,837.33
20170411,838.2
20170410,836.73
20170407,831.96
20170406,832.56
20170405,835.62
20170404,830.53
20170403,835.57
20170331,838.4
20170330,835.5
20170329,840.52
20170328,842.63
20170327,842.92
20170324,847.76
20170323,852.11
20170322,854.25
20170321,855.59
20170320,857.88
20170317,861.14
20170316,859.63
20170315,858.39
20170314,852.38
20170313,852.21
20170310,856.35
20170309,858.51
20170308,865.28
20170307,870.33
20170306,878.32
20170303,877
20170302,874.25
20170301,879.27
20170228,866.38
20170227,857.82
20170224,865.26
20170223,869.01
20170222,875
20170221,874.17
20170217,876.14
20170216,884.79
20170215,891.18
20170214,886.57
20170213,887.85
20170210,887.39
20170209,883.28
20170208,880.74
20170207,876.73
20170206,873.1
20170203,874.78
20170202,879.2
20170201,878.64
20170131,867.23
20170130,864.47
20170127,873.2
20170126,872.6
20170125,874.57
20170124,872.97
20170120,875.59
20170119,874.26
20170118,878.83
20170117,879.54
20170113,868.92
20170112,868.42
20170111,861.08
20170110,861.27
20170109,856.96
20170106,855.77
20170105,862.55
20170104,859.75
20170103,843.53
20161230,840.98
20161229,838.38
20161228,833.13
20161227,837.68
20161223,825.12
20161222,828.9
20161221,835.66
20161220,836.14
20161219,842.49
20161216,846.97
20161215,845.44
20161214,849.47
20161213,850.53
20161212,850.13
20161209,845.06
20161208,841.83
